数据下载时间：2021-06-28 12:59:36 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/609038810890/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**3,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,宝贝收到了，今天装好了，开始烧了，这燃气灶很好，看了燃气灶，我更 邻居们说了，她们也买了，好评😄,-,-,2021-06-25
2,t**1,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,之前用的也是美的炉灶，其中有个炉头打不着，看了好久选了这个型号，比之前那个火大也好清洁！ ,-,-,2021-06-16
3,t**3,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,外观设计好看，火力旺。商家发货及时，安装到位，还有赠品，一定要够买。,-,-,2021-06-25
4,天**豆,颜色分类: Q218B燃气灶 适用气源: 液化气,好评,非常满意，火力十足，快递小哥非常热情，安装细心周到。很愉快的一次购物。,-,-,2021-06-21
5,澜**0,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,物流很快，产品包装完好，燃气灶美观实用，值得购买。,-,-,2021-06-19
6,b**3,颜色分类: Q219燃气灶 适用气源: 天然气,好评,服务周到热情，做工精细，包装精美，物品完美，相信大品牌质量杠杠滴的。细节到位，安装完美。 ,-,-,2021-06-11
7,姿**宝,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,是否易清洗：表面光滑非常容易清理油污 加热效果：火力大加热速度快 性价比高，值得购买 ,-,-,2021-06-26
8,y**y,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,点火很快，火力很大，使用也很方便，烧水比以前快了3分钟，安装后有些小问题，都顺利解决了，感谢一下客服柠檬的热心服务。 ,-,-,2021-06-14
9,t**9,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,加热效果：火力猛，加热快，效果不错。家里旧的樱花燃气灶右边阀门坏了开关拎不动，预约修理得300元还不如买一台美的燃气灶，物美价廉性价比高，安全舒心，老公自己上手安装的换掉旧的燃气灶前后不超过5分钟。😂😁关键是这款好清洗电池也是两节省得我老忘记换电池。 ,-,-,2021-06-22
10,w**y,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,安装师傅责任心很强，很敬业！,-,-,2021-06-26
11,z**7,颜色分类: Q218B燃气灶 适用气源: 液化气,好评,师傅服务到位，质量不错，发货快。 ,-,-,2021-06-26
12,w**7,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,家里的旧燃气灶坏了，维修需要200多，正值618抱着试试看的态度购买了美的的燃气灶，到家安装后颜值很高，火也大，价廉物美，各方面都很好，全家都被圈粉了。好评。 ,-,-,2021-06-23
13,何**9,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,是否易清洗：面板好清洗 火力大，来火很快速，用起来很省心 会自动熄火保护，不会漏气，安全放心 ,-,-,2021-06-13
14,风**8,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,加热很快，加热效果挺好，蓝色火苗，整体外观也挺好的，感觉挺满意的。 ,-,-,2021-06-24
15,s**宝,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,家里旧的燃气灶报废了，美的这款关注了好久了，因为厚度很薄，适合我家的情况，618终于降价了，果断买了。就是安装师傅很紧缺，终于安装好了。很漂亮大气。性价比高，又是大品牌，售后还是不错的。 ,-,-,2021-06-09
16,严**镘,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,是否易清洗：挺好的，价格适中，质量看着不错🎈商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！跟实体店没有区别，还便宜，喜欢！ ,-,-,2021-06-23
17,x**3,颜色分类: Q218B燃气灶 适用气源: 液化气,好评,表扬“荞麦”客服，送货的速度太快了，而且安装师傅服务态度也特别好美的的这一款真的性价比好高呀，有优惠。￼  ,-,-,2021-06-26
18,t**9,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,火盖做工厚实，应该能用很多年，面板黑色，大气，点火灵活，期待使用，物流真快 ,-,-,2021-06-22
19,柒**7,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,特意等到十二点下单，没有失望，送货很快，售后也很好。因为很方便，我们就自己安装的，但是收到平台和店家的电话，再三确认，服务很好。两个灶眼，火力很大，感觉不用开很大的火就能快速烧熟。火的调节范围也比较广。,-,-,2021-06-26
20,f**s,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,美的燃气灶已收到，质量很好，厂家直接给安装好，质量超棒，服务也超棒 ,-,-,2021-06-24
21,t**1,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,都说美的的售后服务不错，送货安装的师傅也很棒呀，因为我家是第一次安装燃气灶，之前都用的电池炉，问了师傅很多问题，师傅非常的耐心，而且也很温柔的解答，然后我**门坏了，师傅还非常贴心的帮忙安螺丝啥的，产品还没开始使用，但是就这个安装师傅，我就好评了好吧，火的话，目前感觉很猛，后续有问题，会追加评论的。❤谢谢安装师傅,-,-,2021-06-16
22,宇**厂,颜色分类: Q218B燃气灶 适用气源: 液化气,好评,收到货就使用了火力不错美的大品牌信得过想要买的女神选它,-,-,2021-06-22
23,正**g,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,家里大家电基本都是美的的，用的很放心，送货很迅速，性价比高，等把家里管线接好了直接安装，售后服务很满意，客服紫霞效率高，点个赞。 ,-,-,2021-06-26
24,涛**4,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,此用户没有填写评价。,用了几天了，感觉非常好用，点火很快，火力也很猛，美的是我最信得过的产品,每一个细节，精益求精，每一次进步，全力以赴，再好的产品，若没有您这位伯乐，咱家宝贝也只能明珠蒙尘了~知遇之恩，咱会用自己的努力来回报咱家亲们哒！,2021-05-29
25,z**6,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,性价比非常的高！以最低的价格买到最实惠的产品！服务态度非常的好！值得信任的大品牌！,-,-,2021-06-23
26,t**7,颜色分类: Q218B燃气灶 适用气源: 天然气,好评,大品牌的值得信赖，售后也放心，看起来非常不错，火力十足，好评！,-,-,2021-06-23
