数据下载时间：2021-06-27 19:00:42 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/574265807449/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,s**1,颜色分类: 福袋,好评,看起来挺大气，暂时还没用 ,-,-,2021-06-22
2,青**莫,颜色分类: 福袋,好评,差评！机器退了评价不了只能来这里说了。 如果有半星 我连这一星都不想给 机器没什么。主要是客服。套路一大堆就催你下单 啥注意 提醒都不说就这种套路你下单。结果货发过来了。家里地方小了。换货吧。不好意思 运费自己承担………这么大件自己寄回厂家……我真的是！太差劲了 买的时候不 提醒。也没有上门退比某东 某宁真的是太差劲 之前在京东买那么大冰箱回来拆了箱子了人家都能上门退 就你家不行。不行你说清楚啊……后面找客 服沟通 除了抱歉。要您自己承担。啥都不会说……希望看到的人引以为戒！ ,-,-,2021-06-24
3,j**i,颜色分类: 福袋,好评,风量很大，和以前的机器比，就是好了一个数量级了。安装师傅很认真，钻孔时瓷砖松动，师傅取下瓷砖重新用胶粘上了。增加了不少工作量。谢谢。,-,-,2021-06-25
4,芊**歌,颜色分类: 福袋,好评,费神费力费时间，最终白拍了，为了省那么一点钱，耗在直播间里那么长时间做陪衬，真的很傻，以后这种事情就别参加了，机会永远轮不到你！,-,-,2021-06-20
5,彬**8,颜色分类: 福袋,好评,整体评价：不错 做工质量：可以 产品性能：还没用 容量大小：不懂 外形外观：好看 ,-,-,2021-06-21
6,t**1,颜色分类: 福袋,好评,整体评价：做工精细，整体看着也美观，朋友介绍买的，很不错，推荐大家购买！ ,-,-,2021-06-24
7,i**h,颜色分类: 福袋,好评,颜值挺高的。还没用。期待装上去之后的效果。感觉应该不会太差吧！,-,-,2021-06-25
8,c**庆,颜色分类: 福袋,好评,刚好做活动，价格便宜了很多，性价比超高，真的特别划算 ,-,-,2021-06-20
9,t**2,颜色分类: 福袋,好评,整体评价：差 做工质量：差 产品性能：差 容量大小：差 外形外观：差 不知道为什么会有那么差的服务态度 ,-,-,2021-06-25
10,单**着,颜色分类: 福袋,好评,整体评价：客服**.说明原因了，硬是要客人付运费，明明是你们发上门测量，没有弄清情况，然后发了货过来，然后我是按套装买的，现在只让退烟机，不让退灶具，这是什么道理？退灶具要自己付顺丰运费！问题是我买烟机才一起买灶具的，现在是你们的烟机先出了问题，按套装买的，居然不能按套装退？？不讲诚信司门道理吗？？？ 做工质量：差 产品性能：差 容量大小：差 外形外观：差 ,-,-,2021-06-20
11,c**3,颜色分类: 福袋,好评,太好了，拍了这个福袋送了一盒厨小布 ,-,-,2021-06-24
12,漫**长,颜色分类: 福袋,好评,直播间活动，必拍项目，抽大奖用的，可以没中奖 ,-,-,2021-06-23
13,格**意,颜色分类: 福袋,好评,已使用，不愧为大品牌，满意。,-,-,2021-06-16
14,美**1,颜色分类: 福袋,好评,直播拍的，评价有赠品 ,-,-,2021-06-18
15,c**w,颜色分类: 福袋,好评,旧机换新机，之前买的另外一个国际品牌坏了。这次换的老板烟机，妈妈说吸力很猛。。容易清洗，颜值高，抽得很干净。好评,-,-,2021-06-12
16,蘑**3,颜色分类: 福袋,好评,整体评价：活动价买的，性价比最高的一套，希望使用起来也很棒 ,-,-,2021-06-18
17,c**1,颜色分类: 福袋,好评,非常好，下次一定再购买。,-,-,2021-06-25
18,t**8,颜色分类: 福袋,好评,好用既买既装非常之好,-,-,2021-06-24
19,z**3,颜色分类: 福袋,好评,宝贝已经收到，期待安装后的效果！！,-,-,2021-06-02
20,小**9,颜色分类: 福袋,好评,送房装修中，还没有安装后期追评,-,-,2021-06-24
21,静**r,颜色分类: 福袋,好评,非常好，服务最周到 ,-,-,2021-06-20
22,e**5,颜色分类: 福袋,好评,福袋超值，很满意,-,-,2021-06-21
23,张**3,颜色分类: 福袋,好评,very  good ,-,-,2021-06-23
24,l**1,颜色分类: 福袋,好评,很好，老板活动非常给力，大赞！ ,-,-,2021-06-23
