数据下载时间：2021-06-28 13:20:11 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/634384419947/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**9,颜色分类: 1.5米闪充线【原封正品】,好评,数据线有点小贵，但是质量不错。。还送了粉色的东东 ,长度刚好,-,2021-06-25
2,爱**d,颜色分类: 1.5米闪充线【原封正品】,好评,此用户没有填写评价。,东西不错。充电速度挺快的！！！,-,2021-06-23
3,t**0,颜色分类: 1米闪充线【原封正品】,好评,挺好的和原装一样显示小数点哦NB！ ,挺好的和原装一样的 显示小数点 加油吧,-,2021-06-20
4,吴**8,颜色分类: 1.5米闪充线【原封正品】,好评,这个线是正品，很不错，充电速度很快，1.5米长的已经够了 ,是原装正品，第二次购买了，充电速度快，希望卖家一如既往的好,-,2021-06-18
5,我**啊,颜色分类: 1.5米闪充线【原封正品】,好评,很划算，服务超级好。期待好用。下次还会来光顾的。 ,看着不错,-,2021-06-19
6,d**籍,颜色分类: 1.5米闪充线【原封正品】,好评,良心商家，充电速度非常快，便宜优惠又值得，喜欢的感觉入手,-,-,2021-06-16
7,t**3,颜色分类: 1米闪充线【原封正品】,好评,接触灵敏度：好 充电速度：快，的确是快充 外观材质：很好 ,-,-,2021-06-26
8,终**哒,颜色分类: 1.5米闪充线【原封正品】,好评,好好好，不错的一次购物，线材质软硬适中非常棒。,-,-,2021-06-21
9,杨**5,颜色分类: 1.5米+2米闪充线【原封正品】2条装,好评,东西很好，两条都是快充显示小数点，和原装的一样。,-,-,2021-06-02
10,康**帅,颜色分类: 1米+1.5米闪充线【原封正品】2条装,好评,不错，充电蛮快的，线的质感也还蛮好的,充电用了一下，还不错，中规中矩，不错不错,-,2021-06-19
11,赵**7,颜色分类: 1.5米闪充线【原封正品】,好评,此用户没有填写评价。,买的是一米五的线，专门拿卷尺量的是一米三七，偷工减料欺骗消费者！,-,2021-06-18
12,1**多,颜色分类: 1米+1.5米闪充线【原封正品】2条装,好评,感觉跟原装的基本一模一样，充电效果可以的，拿回就开始用了 ,线质量也很好，很粗，应该很耐用,-,2021-06-12
13,t**8,颜色分类: 1.5米闪充线【原封正品】,好评,数据线的质量不错，确实达到快充的效果，喜欢,用了一段时间确实不错，喜欢，充电非常快,-,2021-06-25
14,安**i,颜色分类: 2米闪充线【原封正品】,好评,数据线绝了，充电速度很快，线够长，实用没得说,没得说,-,2021-06-11
15,怡**酱,颜色分类: 2米闪充线【原封正品】2条,好评,接触灵敏度：很好，床单不错，物美价廉，关键是这个价格真的很划算，很喜欢，颜色也很好看，打算再买几个换着用，不错不错，以后充电器就买你家的了 充电速度：超级快 外观材质：酷 ,非常满意非常满意非常好，,-,2021-06-09
16,t**0,颜色分类: 1米+2米闪充线【原封正品】2条装,好评,很好的数据线，充电很快,很垃圾的数据线，充电不进反退，建议别买,-,2021-06-20
17,t**4,颜色分类: 1米+1.5米闪充线【原封正品】2条装,好评,嗯，怎么说呢？我原装的坏了，然后拿这个新买的仪式，感觉充电很快，电量以肉眼可见的速度在往上走，应该是和原装的一个速度吧 安装是三安的，下买了跟武汉的，不影响充电的速度挺不错的。  ,质量不错，用了好几天了，还没有明显的不好用的感觉,-,2021-06-25
18,u**h,颜色分类: 1.5米闪充线【原封正品】,好评,第二次买了，之前买的被小孩泡水里了，还是一如既往的好 ,挺好的，充电很快，价格实惠，值得购买,-,2021-06-25
19,j**6,颜色分类: 1米闪充线【原封正品】,好评,充电器非常好，充电速度非常快。一次满意的购物。 ,用了一段时间，非常好，充电速度太快啦！,-,2021-06-23
20,t**4,颜色分类: 1米闪充线【原封正品】,好评,非常帅，非常好，非常满意，非常牛。,显示小数点，一定OK,-,2021-06-25
21,t**4,颜色分类: 1米闪充线【原封正品】,好评,东西太差，用一天就坏了，太坑人了，还让我写好听的评价，写完返2元，太上当了,-,-,2021-06-25
