数据下载时间：2021-06-27 18:36:26 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/642016714845/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**4,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,总体满意，价格便宜，实惠，希望用的久一点，不指望快充，但希望长久,-,-,2021-06-20
2,雪**7,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,这个三合一的数据线真的不错。材质好，充电快。而且长度还可以。 ,-,-,2021-06-24
3,z**4,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,不错不错，真的很不错，线很粗，长度也合适，质量看着就不差，美赞👍！充电速度还没试！ ,-,-,2021-06-20
4,家**鞋,颜色分类: 【Type-C+苹果+安卓】1.2M⭐【鎏金石墨黑】【单】,好评,物超所值！三个头挺实用，细致做工，黑色的看着上档次，尼绒线包结实耐用！,-,-,2021-06-12
5,飞**y,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,接触灵敏度：特别好 充电速度：挺快的 外观材质：质量挺好的，物美价廉， ,-,-,2021-06-10
6,郑**8,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,宝贝收到了，充电速度快，很喜欢哦，物美价廉很实惠呢棒棒的 ,-,-,2021-06-24
7,我**我,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,接触灵敏度：充电还算挺快很不错 ,-,-,2021-06-21
8,a**3,颜色分类: 【Type-C+苹果+安卓】1.2M⭐【鎏金润玉粉】【单】,好评,买来放办公室备用的，之前买的已经被用的破旧不堪了，而且苹果接口已经坏掉了！所以趁着618赶紧下单，还没使用，等用过之后再来评价吧！,-,-,2021-06-21
9,t**4,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,精致好用 ,-,-,2021-06-20
10,2**y,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,不错，值得购买 ,-,-,2021-06-15
11,l**7,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,鞋子超级漂亮，穿着很舒服，孩子很喜欢，比实体店优惠很多。在实体店也没看上眼的！ ,-,-,2021-06-20
12,贝**8,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,质量很好，很灵敏，充电快，线很软 ,-,-,2021-06-21
13,飞**8,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,我是真的没想到几块钱能买到这么好的充电线，还是三个头的，充电也很快！非常满意！红色的也是我喜欢的！,-,-,2021-06-25
14,m**已,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,不错。价格也好便宜！我在实体店买的一个头子得都要15   这个还是三个头子，很划算，昨天试了下充电也挺快的，值得买 ,-,-,2021-06-22
15,t**0,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,看上去挺高档，充电也不错。质量挺好 ,-,-,2021-06-24
16,t**1,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,充电快还不会发烫，接头处是加固的，充电反应很迅速，伸缩线不会打结，也不会容易断。接触很稳不会松动，小巧玲珑，很方便携带。材料够结实耐用。！所有接口都是正反两面充电很好，可以给多种手机充电，易打理，不会缠绕，充电稳，快，好评绝对要好评！,-,-,2021-06-07
17,t**4,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,包装完好，配送很快，质量不错，非常实惠！,-,-,2021-06-20
18,丫**1,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们 ,-,-,2021-06-19
19,t**0,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,方便，不用一直换线 ,-,-,2021-06-24
20,林**8,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,质量不错,-,-,2021-06-21
21,晶**晶,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,总体不错，价廉物美，下次有需要再来买～ ,-,-,2021-06-04
22,楚**飞,颜色分类: 【Type-C+苹果+安卓】1.2M⭐【鎏金润玉粉】【单】,好评,充电快还不会发烫，接头处是加固的，充电反应很迅速，伸缩线不会打结，也不会容易断。接触很稳不会松动，小巧玲珑，很方便携带。材料够结实耐用。！所有接口都是正反两面充电很好，可以给多种手机充电，易打理，不会缠绕，充电稳，快，好评绝对要好评！,-,-,2021-06-16
23,蓝**2,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,好用，值得拥有,-,-,2021-06-21
24,寻**浅,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,充电速度快，好用 ,-,-,2021-06-23
25,m**g,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,宝贝很满意，物超所值，很方便，充电很快。,-,-,2021-06-22
26,s**4,颜色分类: 【Type-C+苹果+安卓】1.2M⭐【鎏金润玉粉】【单】,好评,包装很好，结实耐用，不错,-,-,2021-06-21
27,东**阳,颜色分类: 【Type-C+苹果+安卓】⭐【彩色混发】,好评,刚好做活动，价格便宜了很多，性价比超高，真的特别划算 ,-,-,2021-06-19
