数据下载时间：2021-06-29 09:30:10 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/644454708957/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**4,颜色分类: 轿车/SUV/货车/挖机通用 点烟器插头+香薰片【数显款】,好评,本来还担心会遮挡视线，试了一下并没有，比空调出风口的风力大多了，放前面也好看，我找了好久才找到这款比较耐看小清新的款式，还有三个档位，两个全角度旋转的风扇头，而且两个独立开关，真的蛮不错的呢  ,-,-,2021-06-17
2,我**9,颜色分类: 轿车/SUV/货车/挖机通用 点烟器插头【数显款】,好评,想我们这种长期和车打交道的天气热起来是真的受不了，现在有这个宝贝就舒服很多了，很真，非常满意，风有大，价格也不算贵，对比实体店实惠多了，喜欢的朋友可以下手。 ,-,-,2021-06-17
3,t**5,颜色分类: 车家两用 USB插头 +香薰片【不挡视线】,好评,做工挺好的，质量也ok，风力也不错，有种自然风的感觉。,-,-,2021-06-25
4,t**3,颜色分类: 车家两用 USB插头 +香薰片【不挡视线】,好评,挺好，没什么噪音，做工也很精致,-,-,2021-06-24
5,妈**9,颜色分类: 车家两用 USB插头【数显款】,好评,真的物超所值，第一次买到这么好的宝贝！物流速度很快没有破损，中间有点小问题客服也很快帮忙解决问题了，下次有需要还会来这家店！ ,-,-,2021-06-22
6,黎**2,颜色分类: 车家两用 USB插头【数显款】,好评,声音我个人认为2挡内都还能接受，今天刚收到，具体等使用过后再来评论 ,-,-,2021-06-19
7,t**3,颜色分类: 车家两用 USB插头+香薰片【不挡视线】,好评,非常棒的一次购物！超级满意。 ,-,-,2021-06-24
8,嘿**撒,颜色分类: 车家两用 USB插头【数显款】,好评,很凉快，放到货车上面最好不过了，这点小噪音放货车上完全感觉不到风扇噪音的 货车的司机们真的可以推荐用 ,-,-,2021-06-16
9,t**3,颜色分类: 轿车/SUV/货车/挖机通用 点烟器插头+香薰片【数显款】,好评,风扇可以 风大声声也不算大 就是太贵了,-,-,2021-06-24
10,家**。,颜色分类: 轿车/SUV 12V点烟器插头【三档双控】,好评,买回来2天了，用起来很好。风大，外观也好看。还有一年质保，值得购买。,-,-,2021-06-26
11,t**2,颜色分类: 轿车/SUV/货车/挖机通用 点烟器插头+香薰片【数显款】,好评,风力还可以，数显的   看着高端大气。值得购买。希望能用的时间长,-,-,2021-06-16
12,安**情,颜色分类: 轿车/SUV/货车/挖机通用 点烟器插头【数显款】,好评,外观挺好看，试了下风速也挺大的 小小的很实用 满意,-,-,2021-06-24
13,w**7,颜色分类: 车家两用 USB插头【数显款】,好评,现在***物流太不负责任了 ，收到 盒子都压扁掉了 风扇壳子压碎掉了,以前在淘宝买东西都是系统自动好评。花了好&nbsp;多好多钱，后来才知道淘宝评论得积分可以涨淘气&nbsp;值，才知道评论的重要性,-,2021-06-26
14,t**7,颜色分类: 12V点烟器插头 轿车/SUV专用 【三档双控 】,好评,和描述的一样，风力很大，噪音小，非常好！,-,-,2021-06-17
15,t**5,颜色分类: 轿车/SUV/货车/挖机通用 点烟器插头【数显款】,好评,风一般！！！粘胶粘性太差了,-,-,2021-06-25
