数据下载时间：2021-06-27 10:17:22 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/539382643302/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**0,长度: 1m 颜色分类: 白色丨Type-c【5A超级快充】特价一条装,好评,外观：完美！充电是5A，线很结实！标注有安数！比一般的线粗一点！不容易断！和原装手机线没有区别！帮朋友买了几根，避免长期背着数据线跑！,这数据线的确质量不错 满粗的 也软  ，价格一般，能做到这样也可以了   性价比是很好的  很紧的口  还有紫色的标识  细节不错  5A的线非常满意,亲，您的满意是我们所有员工的动力，好东西要与朋友一-起分享，记得帮帮忙推荐哦。这里不仅有好的产品和更好更优质的服务，如有遇到什么问题，可以通过旺旺联系我们的售后客服，售前售后都会给您一流的服务态度，更好的为您解决问题，感谢您对我们的支持，祝生活愉快，感谢您的好评，期待您的下次光临。感谢您的信赖！！！,2021-06-23
2,k**g,长度: 1.5m 颜色分类: 白色丨Type-c【5A超级快充】买一送二发三条同款,好评,已经第三次购买啦，这几年用的数据线都是这家的，完全用的住，比原厂数据线都耐用，都是速充模式，我感觉非常值得购买！,"线的充了之后，仔细观察了一下，做工很精细的哦，充电也很快,线柔软度适中，东西很好, 插口和手机接口衔接很紧密，反应很迅速，实际使用效果良好，包装精致，质量不错，不会弹出提示框,充电也很快而且很稳定。连接电脑和充电头都没问题",-,2021-06-18
3,w**7,长度: 1.2m 颜色分类: 白色丨Type-c【5A超级快充】买一送一发两条同款,好评,发货速度快，第二天收到，试了一下和手机type-c接口匹配，充电速度快，关键是性价比还很高啊，又介绍几个同事关注了，有需要还来。喜欢的不要犹豫了,-,-,2021-06-21
4,t**8,长度: 1.5m 颜色分类: 白色丨Type-c【5A超级快充】特价一条装,好评,数据线的到来就是及时雨，正等数据线用，迫不及待等来的数据线，没有让我失望。拆开来用，用了一段时间，没有发现不良问题，材质好，线的长度刚刚好。拆到手机很合适。价格实惠。发货快。,-,-,2021-06-14
5,沁**语,长度: 0.5m 颜色分类: 白色丨Type-c【5A超级快充】买一送二发三条同款,好评,数据线质量特别好，USB口咬合的比较紧。可以用作USB调试，也可以用作普通的充电。每根数据线我都试过可用作USB调试，线的质感也挺好，每根数据线都搭配了一个收纳皮筋。,用了一段时间，公司的都感觉不错哟！之前也在这家买过苹果数据线和三充，都值得回购，希望品质依旧，赞👍👍👍👍👍👍,亲，您的满意是我们所有员工的动力，好东西要与朋友一-起分享，记得帮帮忙推荐哦。这里不仅有好的产品和更好更优质的服务，如有遇到什么问题，可以通过旺旺联系我们的售后客服，售前售后都会给您一流的服务态度，更好的为您解决问题，感谢您对我们的支持，祝生活愉快，感谢您的好评，期待您的下次光临。感谢您的信赖！！！,2021-06-22
6,t**0,长度: 1m 颜色分类: 白色丨Type-c【5A超级快充】特价一条装,好评,数据线挺好的，线是比较粗的，质量比我之前用的要好很多，插口挺紧的，不容易掉，充电速度也比较快，同时价格也比较实惠，感觉很值。 物流比较快，很及时，包装也不错，但是被我扔掉了，现在无法拍照。,便宜好用，而且很不错哦，数据线充电也非常不错，价格便宜，可以入手，物流也挺不错的，两天就差不多到了，充电也差不多，1m的数据线差不多合适。,亲，您的满意是我们所有员工的动力，好东西要与朋友一-起分享，记得帮帮忙推荐哦。这里不仅有好的产品和更好更优质的服务，如有遇到什么问题，可以通过旺旺联系我们的售后客服，售前售后都会给您一流的服务态度，更好的为您解决问题，感谢您对我们的支持，祝生活愉快，感谢您的好评，期待您的下次光临。感谢您的信赖！！！,2021-06-23
7,t**3,长度: 3M 颜色分类: 白色丨Type-c【5A超级快充】买一送二发三条同款,好评,充电数据线收到，买了好几次了，几个原机线用了三年都需要更换了。网上对比几家，这家性价比不错。用了质量不错。一定要买长一点的，方便。,-,-,2021-06-17
8,伊**夏,长度: 0.5m 颜色分类: 白色丨Type-c【5A超级快充】特价一条装,好评,数据线收到了，就迫不及待的拆开。包装完好。回家就赶紧给手机充上电。很好哟，充电感觉也挺快的。特别满意呀！有需要还会继续回购的！,-,-,2021-06-23
9,丨**9,长度: 1.2m 颜色分类: 白色丨Type-c【5A超级快充】特价一条装,好评,数据线很好，做工跟原装几乎一样细腻，非常满意，支持快充协议，前提是你得有快充头跟手机支持，我的华为mate30 pro完美支持40瓦快充。买这种线记得一分钱一分货，贵有贵的道理，支持这家相信我！,-,-,2021-06-14
10,想**龙,长度: 1m 颜色分类: 白色丨Type-c【5A超级快充】特价一条装,好评,收到数据线了，包装很完好，马上拆开试了试，确认无误是快充的，数据线很厚实，充电也很快，我买的1m长度的，足够用了，目前没有发现任何问题。,-,-,2021-06-21
