数据下载时间：2021-06-27 18:50:19 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/644045628150/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,z**5,颜色分类: 4L升级球釜煲,好评,用了两次了，非常好用。选了好多家才买的这款，价格实惠 应该能用好多年了。容量也够大 ，目前家里人少 我一般选少量煮，有这个功能真方便。以前家里的电饭煲蒸个饭总是溢水，这个电饭煲不会，真是开心，终于不用总是擦机器了。这款清洗也方便，总之还挺满意 ,-,-,2021-06-20
2,美**0,颜色分类: 4L升级球釜煲,好评,外观漂亮，内胆质量好，功能区操作简单，方便老人使用，天天熬杂粮粥再也不用费劲了,-,-,2021-06-18
3,思**业,颜色分类: 5L豪华球釜煲,好评,家里以前有一个，煮饭很香，这次活动又给公司也买了一个 效果杠杠的，比超市便宜多了 ,-,-,2021-06-16
4,镖**妹,颜色分类: 4L升级球釜煲,好评,大小合适，3-4个人都可以，外观好看，加热快，多种模式可选。原本打算买两个一样的，给一个妈妈用的，可店家限一个T号只能拍一个，只好到別家再拍一个一模一样的，好在价格一样。 ,-,-,2021-06-21
5,n**虹,颜色分类: 5L豪华球釜煲,好评,锅收到了，很喜欢 容量很大 很不错 比以前的锅功能多很多比实体店的要便宜 物流很快就到了喜欢的人可以买来用非常实惠 ,-,-,2021-06-14
6,平**店,颜色分类: 4L升级球釜煲,好评,一直都用苏泊尔的电饭锅，已经连续第三个了，煮饭香！ ,-,-,2021-06-18
7,夏**8,颜色分类: 5L豪华球釜煲,好评,电饭煲很不错，样子很喜欢，等用了之后来追评，点赞 ,-,-,2021-06-17
8,p**8,颜色分类: 5L豪华球釜煲,好评,电饭煲收到了，质量很好，我买的是五升的，很深，可以煮六七个人吃的饭，很满意 ,-,-,2021-06-15
9,t**9,颜色分类: 4L升级球釜煲,好评,煮饭香香颗粒饱满,-,-,2021-06-16
10,旧**首,颜色分类: 咖啡色,好评,容量大小：四人左右用量，刚拿来烧了水试了一下，还不错 ,-,-,2021-06-21
11,g**4,颜色分类: 5L豪华球釜煲,好评,很满意，产品美观，家里人很喜欢。,-,-,2021-06-23
12,d**y,颜色分类: 咖啡色,好评,容量大小：容量挺大的，可以一次性闷好多人吃的米饭 功率大小：功率还好吧 是否粘锅：不粘锅，用起来挺好的 ,-,-,2021-06-25
13,e**n,颜色分类: 5L豪华球釜煲,好评,苏泊尔球釜采用的是球形设计，独有的62度黄金双对流角，能够形成超强热对流，这样产生环流大沸腾，达到1.62倍的黄金膨胀率，让每一颗米粒喝饱水，让米饭体积更加饱满，米饭也更香。 ,-,-,2021-06-23
14,t**9,颜色分类: 5L豪华球釜煲,好评,苏泊尔电饭煲好好，到货就试了一下，好好吃，好香，贵一点也值。但也比店里便宜。最主要是好，好东西贵一点也是划算。喜欢的赶紧买，我过段时间也给父母买一个。从来难得评论一条，但是东西真的好，所以必须评论。希望有需要的人看到就会买，真的好。,可以，喜欢的赶紧买，,亲爱的 感谢您对苏泊尔的信任 生活中有许多东西值得我们去回味，在回味中，我们会领悟一些，感受一些，而这一些或许就是我们感受最深的东西，我们的产品期待给您带来最愉悦的心情，人生是一幅风景，爱情是一束鲜花。没有鲜花，风景就不会绚丽，没有爱情，人生就容易成为荒凉的土地。而若没有您们的支持，苏泊尔品牌也不会那么快速的成长、感恩、有您们真好,2021-06-16
15,美**t,颜色分类: 5L豪华球釜煲,好评,买了5l的，足够大，不粘锅，做出来的饭香香的，非常好,-,-,2021-06-15
16,瑟**昭,颜色分类: 4L升级球釜煲,好评,包装完好无损，，电饭锅看着不错，煮饭不溢水，按键简单 ,-,-,2021-06-23
17,j**o,颜色分类: 咖啡色,好评,不粘锅，煲的米也挺香的，大品牌值得信赖 加热效果：也很不错的，以后也会继续购买，希望苏泊尔越来越好 ,-,-,2021-06-21
