数据下载时间：2021-06-29 09:36:30 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/612912040302/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**8,,好评,专用耳机很棒✅特地来评价一下，没有杂音，听歌效果很赞，高中低都能兼顾，确实是不错的好产品✅颜值也不低，最外面的漆层光滑有质感，又没有油腻的感觉✅怎么说呢，就是挺耐看的，线的材质非常好，柔软有韧性，性价比挺高的⛵⛵ ,-,-,2021-06-15
2,l**n,,好评,户外路面施工工程队的，由于一直在山区使用，自从配了这种耳机，这个耳机的通话效果真的好很多，再用都可以听到；只要有什么需要就在对讲机群里喊一下，就可以吩咐几十公里几百公里外的办公室配送货过来给我们使用 机器质量非常好 ,-,-,2021-06-24
3,t**4,,好评,此用户没有填写评价。,黑色感觉看起来不错💞，👀很贴合耳朵🎾，🎄佩戴感受：佩戴很舒适。顺丰快递很快🚇⛔音质清晰好用♦，⬇尤其是黑色显得特别高端与细节，📲材质杠杠滴，👋音质也不错，🔠总体效果特别的完美📤，♋音质也很对得起这个价格，⁉下次一定还会回购的🐘,-,2021-06-14
4,温**裙,,好评,很有科技感，我们是超五星级酒店，公司要求我们需要配的对讲机耳机就是要选择高级一点的。 这种在我们店里经常有客人问这是什么东东怎么可以对讲那么远那么神奇的 ,-,-,2021-06-26
5,陈**1,,好评,收到了，做工精细材质很好，防水耐磨，空间容纳很大很实用便宜很多价格很理想包装很好，看起来很高档东西的质量也不错，产品描述和实物一致很满意，性价比很高，质量很好。 ,-,-,2021-06-24
6,t**8,,好评,"M尤其是黑色显得特别高端与细节,,性价比高。还送了🔎两对耳塞,没有漏音,🌵戴在耳朵上面,耳朵不🐎疼,也不会有很难受的🐋感觉。吃鸡可以,功能📛愈加强大,没电流声。➰音质清晰好用,电量很⌚足,佩戴很舒适",-,-,2021-06-15
7,t**9,,好评,包装也比较细致，购买的小包也适合耳机的整理和放置  包装很好，还送了大小两幅耳塞，很贴心了！带磁吸不怕缠线，还有一个蓝色指示灯，一闪一闪很漂亮 ,-,-,2021-06-18
8,t**0,,好评,对讲机都是在他家买的，用着不糟心，机器性能比较全面，比我之前在实体店买的300多的对讲机都好用，值得推荐 耳机佩戴也舒服  ,-,-,2021-06-26
9,t**7,,好评,耳机很好用，质量很好 我们这边是物流运输车队的，每天都要使用目前已经测试过6百多公里，一点问题都没有，而且有的时候还比手机的信号好 ，对讲机的电池一天下来没有任何问题，这种全国对讲机我们已使用马上就要普及给我们的公司运输车队整个车队有50多台车每台都要配这个机器了 ,-,-,2021-06-26
10,卓**m,,好评,耳机挺方便的，信号强悍，可以对讲十几公里，电池还是加厚的，电量特别耐用，充电一次可以用半个月不止，商家还帮我和老款对讲机调试在一起对讲，真厉害 ,-,-,2021-06-26
11,花**0,,好评,"隔音效果好特别喜欢这款耳机﻿大可以放心购买哦☔装很好完整严实☁,喜欢的可以入手了哦 质量很好",-,-,2021-06-23
12,春**5,,好评,"质量真的很好！性价比很高⛄佩戴🍥舒适轻盈 配对简便。还是很满意🎾的,已推荐! ",-,-,2021-06-23
13,t**9,,好评,耳机质量挺好的，耳机线很软，扛扯，听着佩戴舒适。性价比高也不错，也不漏音。语音也很清晰，耐看且低调，接头部分设计也很棒，非常结实，连接手机不松动不晃动，拔插这方面也很容易。 ,-,-,2021-06-18
14,杜**8,,好评,蛮喜欢的，做工确实不错，线身也结实耐用，入耳式戴着挺舒适，比较轻盈，而且听歌音质清晰无杂音，，线控灵敏，使用了一段时间完全没有问题  ,-,-,2021-06-16
15,郑**9,,好评,货比三家还是买了这家的快充，对于我这种经常打游戏的人来说真心好用，充电快，不发烫，有MFI认证就是给力，节约了我很多时间，价格也不贵，使用过程中也没有什么问题，用着不错，充电效果挺好！ ,-,-,2021-06-17
16,龙**雨,,好评,收到了货了，还不错，音质对于我来说足够了，用起来很满意，价格还不贵。发货速度太快了，同城配送，第一下单，第二天就到了，可以购买 。 ,-,-,2021-06-25
17,招**8,,好评,很好，戴着耳朵不疼。 外观材质：黑色耐脏，百搭。 声音效果：我觉得音效很好。也有隔音的效果。 总体满意。 ,-,-,2021-06-15
18,f**6,,好评,"以前没用耳机很不方便  cl柔软有韧性,声🕝音不会断断续续,而且也🐐不会出现卡顿的情况。😓物流很快,总得来说这🛅个价格性价比很高了。🍚简直太好了,声音清楚🌟清晰,还不错啦, ",-,-,2021-06-19
19,m**n,,好评,耳机收到了  同事都在用 而且都用的很满意，佩戴柔软舒适  音质也很清晰 ,-,-,2021-06-23
20,a**2,,好评,耳机真的是价格很便宜，性价比很高，按键也没有不灵敏的状态。这款耳机戴着听歌很舒服，戴上后很舒适，戴久了耳朵也没有疼痛感✌声音也挺清晰，用起来没有杂音，可以放心入手哈哈🌏,-,-,2021-06-17
21,一**司,,好评,此用户没有填写评价。,已经收到，质量很好，通话清晰，跟我之前买的一模一样，因为我们是建筑工地，用完了，下次会继续购买，长期关注贵店的宝贝，全五星好评，并且推荐其他的工地购买贵店的宝贝。,-,2021-06-17
22,m**6,,好评,理发店做活动，怕忙时还得上下楼跑来跑去。商家很热情的详细介绍他的产品，觉得这家耳机不错，拍了一对看看效果，收货拆开看了下效果，包装很好，频道调节都很稳定的，信号不错，音质效果非常清晰的，没有杂音，质量方面很不错！物流也很快！这段时间对讲机使用的很顺畅，没有什么大问题。,-,-,2021-06-15
23,m**7,,好评,质量很好  很适合我家这几款对讲机  音质清晰 对讲方便 发货速度也很快  长时间带耳朵 也不会痛 ,-,-,2021-06-23
