数据下载时间：2021-06-28 14:05:03 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/558691644470/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,u**样,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦！,-,-,2021-06-26
2,俗**q,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,很好用，价格实惠,-,-,2021-06-21
3,梦**幻,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,做工质量：非常不错，转换视频非常清晰 外形外观：小巧实用，操作方便不占地方 ,-,-,2021-06-25
4,威**威,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,很不错，便宜实惠，插上就能用 ,-,-,2021-06-22
5,1**超,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,东西挺好的，物流速度超快，,-,-,2021-06-26
6,买**8,长度: 25cm 颜色分类: 黑色【音频+音频线】,好评,还没用，不知道好不好用，不过这个东西，应该也不会特别差，用不了吧， ,-,-,2021-06-25
7,m**1,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,可以可以，完美运行，是想要的转接头 ,-,-,2021-06-17
8,t**3,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,做工不错，质量可以 ,-,-,2021-06-20
9,读**伤,长度: 25cm 颜色分类: 白色【音频+音频线+供电+供电线】,好评,东西很齐全，而且后面也会很认真的教你怎么使用，安利!,-,-,2021-06-25
10,s**5,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,旧显示器完美使用！ ,-,-,2021-06-16
11,红**9,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,已经是第二次购买了，非常实惠,-,-,2021-06-22
12,心**8,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,好用，一通电就接上了，很方便,-,-,2021-06-22
13,伊**混,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,很好很实用值得购买,-,-,2021-06-21
14,流**泣,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,显示器成电视不错,-,-,2021-06-22
15,鑫**光,长度: 25cm 颜色分类: 黑色【音频+音频线】,好评,不错 很实用 ,-,-,2021-06-21
16,p**4,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,不错，挺好用的。有需要再来,-,-,2021-06-24
17,选**y,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,很好，立刻用上了！ ,-,-,2021-06-26
18,心**丨,长度: 25cm 颜色分类: 白色【无音频无供电】,好评,整体评价：不错 ,-,-,2021-06-16
19,p**s,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,好用，质量可以,-,-,2021-06-17
20,y**r,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,第二次购买，复购就说明产品不错！ ,-,-,2021-06-17
21,买**尖,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,东西很好！！老板细心教导！ ,-,-,2021-06-06
22,y**9,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,十元方便 ,-,-,2021-06-15
23,t**8,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,良心店家，质量和服务都杠杠的,-,-,2021-06-17
24,l**6,长度: 25cm 颜色分类: 白色【音频+音频线+供电+供电线】,好评,整体评价：满意 特色功能：符合 音质音效：不错 做工质量：好 外形外观：满意 ,-,-,2021-05-11
25,f**7,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,收到了，非常好。,-,-,2021-06-20
26,j**m,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,很好，即插即用。,-,-,2021-06-17
27,凛**雨,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,蛮好的 ,-,-,2021-06-10
28,x**8,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,线接头的地方晃动，不牢固。,-,-,2021-06-21
29,h**p,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,质量很好,-,-,2021-06-18
30,2**7,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,"东西收到,不错还可以，有机会还会买的。",-,-,2021-06-11
31,司**4,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,跟实体店没有区别，还便宜，喜欢！,-,-,2021-06-13
32,x**7,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,价格低，老板细心指导修正参数，这一点，值得五星好评！也顺利说一下，大家买东西，试了有问题，不要第一时间吐槽或投诉，联系老板，他会帮解决！我是买家，绝非是托！真心觉得老板应对客户的需求，能准确的解决！值得帮推广,-,-,2021-05-29
33,l**7,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,做工质量：不错 ,-,-,2021-06-10
34,熊**2,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,此用户没有填写评价。,很好用，质量也不错,-,2021-05-09
35,t**5,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,可以好用,-,-,2021-05-28
36,月**娜,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,不错很好用,-,-,2021-06-14
37,y**y,长度: 25cm 颜色分类: 白色【音频+音频线+供电+供电线】,好评,更换下来的vga接口显示器配机顶盒用，一转接就通。为保险起见买了个带供电的，收货后一试，不用供电一样好用。,-,-,2021-06-05
38,萌**笔,长度: 25cm 颜色分类: 黑色【音频+音频线】,好评,质量不好接上去闪屏,-,-,2021-06-14
39,l**1,长度: 25cm 颜色分类: 黑色【音频+音频线】,好评,还不错，能用，PS4用一定一定一定一定要买带电源的，之前买错了，只好让男朋友再买一套带电源的,-,-,2021-06-06
40,怀**0,长度: 25cm 颜色分类: 白色【音频+音频线+供电+供电线】,好评,产品收到，正在使用中，效果非常不错，如果音频供电线能更长一点，可能会更方便更好一点，希望以后能够改进，谢谢,-,-,2021-05-28
41,t**t,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,老显示屏复活了 ,-,-,2021-06-18
42,子**4,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,便宜！！！物流快！！！ ,-,-,2021-06-19
43,t**5,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,好用哈哈 老板真棒 客服真好,-,-,2021-05-28
44,我**白,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,外形外观：这东西是不是老是断，不知道是不是接触不好 ,-,-,2021-06-14
45,p**2,长度: 25cm 颜色分类: 黑色【音频+音频线】,好评,好，效果杠杠滴，老液晶显示器成电视机了。,-,-,2021-06-04
46,p**o,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,特别好 比香港便宜多了 还帮同事买了 ,-,-,2021-06-03
47,洪**贸,长度: 25cm 颜色分类: 黑色【音频+音频线】,好评,还行，能用就好 ,-,-,2021-06-17
48,李**8,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,第二次购买，很好用。。。 ,-,-,2021-06-08
49,k**n,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,好用，用着方便。,-,-,2021-06-06
50,t**6,长度: 25cm 颜色分类: 白色【无音频无供电】,好评,好评，真心好评！ ,-,-,2021-06-07
51,八**店,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,超级好用，以前没注意有这个转化头，我的电脑连不上投影仪，现在好了,-,-,2021-05-13
52,t**2,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,去店里问这东西要50块，还好上淘宝看了一下，物美价廉~ ,-,-,2021-05-10
53,l**9,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,感觉自己买错型号，连接机顶盒没有声音，但东西是真便宜，转换头能用 ,-,-,2021-06-12
54,高**物,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,宝贝收到了，质量不错，和商家店里图片一样，给五星。 ,-,-,2021-05-26
55,藕**东,长度: 25cm 颜色分类: 白色【音频+音频线+供电+供电线】,好评,转接头收到，特意试用一下才来评价。买的带电源的试用后发现电源接不接有源音箱都能出声，转接线做工看着不错，使用效果很满意，快递也很快，很满意的一次购物，好评！！,-,-,2021-05-18
56,z**5,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,颜色都 整体评价：坏的颜色都对不上这线，居然还是说退回维修，懒得退了 ,-,-,2021-06-05
57,k**1,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,买错了，想买VGA转HDMI的，就十几块，索性留着吧 ,-,-,2021-06-05
58,李**3,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,东西相当的不错滴，已经买了好几个了，挺实用的，电脑显示屏又能当电视用了 ,-,-,2021-05-11
59,z**t,长度: 25cm 颜色分类: 白色【音频+音频线+供电+供电线】,好评,买来给ps4连旧显示器的，亲测可用，放心买。一定要买带电源的。 ,-,-,2021-05-13
60,c**0,长度: 25cm 颜色分类: 白色【无音频无供电】,好评,发货很快，包装很好，质量用起来还可以，已经多次回购了，五星好评了,-,-,2021-05-26
61,恋**福,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,不错，买错了，先留着，还是好评,-,-,2021-05-26
62,老**上,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,小东西大作用，不错，信号稳定，值得推荐！,-,-,2021-05-13
63,p**2,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,质量不错，价廉物美，希望能用长点时间！,-,-,2021-06-04
64,王**3,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,根本是垃圾没声音说我的设备不兼容，不能用，说要供电的，其实供不供是一样不能用的没有声音，接上音响也没用,-,-,2021-05-23
65,浩**司,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,不明白买供电的有什么用，供不供电也没反应 ,-,-,2021-06-08
66,黑**生,长度: 25cm 颜色分类: 黑色【音频+音频线】,好评,不错的小东西。,-,-,2021-05-15
67,登**四,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,东西很好用。,-,-,2021-05-21
68,t**2,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,用了，效果很好，值得购买 ,-,-,2021-05-26
69,h**3,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,稳定，无异常。其实电脑显示器不需要供电。,-,-,2021-05-11
70,c**u,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,还没有用过，以后有机会再追评 ,-,-,2021-05-24
71,n**t,长度: 25cm 颜色分类: 白色【音频+音频线+供电+供电线】,好评,可以，还能转出音频,-,-,2021-06-07
72,g**6,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,很好的商品，值得购买发货速度快,-,-,2021-05-11
73,t**7,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,很好    完美    拉斯维加斯,-,-,2021-05-26
74,z**3,长度: 25cm 颜色分类: 黑色【音频+音频线】,好评,全试过了，没有问题,-,-,2021-05-13
75,j**y,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,用了几天，没有问题。,-,-,2021-06-13
76,y**f,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,好用，还不贵,-,-,2021-05-18
77,育**心,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,五星好评五星好评,-,-,2021-05-14
78,苦**学,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,小小转换器确实不错，闲置的显示器重新利用，客服态度很好，一步一步的教我终于成功完成。,-,-,2021-04-01
79,w**m,长度: 25cm 颜色分类: 白色【无音频无供电】,好评,速度很快，产品也很好。,-,-,2021-05-15
80,风**1,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,先说体验感吧，给我的感觉这东西不太好 ，虽然说便宜 但是是真的不能用， 在说说服务态度吧：明显这东西有问题非要扯东扯西的， 很明显的了 用的好好的突然黑屏黑屏，耗子尾汁吧,-,-,2021-06-03
81,世**华,长度: 25cm 颜色分类: 白色【音频+音频线+供电+供电线】,好评,非常好用，东西非常好，,-,-,2021-04-02
82,t**7,长度: 25cm 颜色分类: 白色【音频+音频线+供电+供电线】,好评,商家包装很好，没有任何损坏。目前还用不上习惯好评！ ,-,-,2021-04-22
83,t**7,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,买回来，己用上，显示屏不在闲置，很棒,-,-,2021-05-05
84,罗**赢,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,产品做工可以，但是注释不清楚。下单需要和客服沟通清楚。,-,-,2021-05-31
85,w**3,长度: 25cm 颜色分类: 白色【无音频无供电】,好评,应该是好评，淘宝最低价，能用，不过用老显示器，分辨率对不上，图像变形。,-,-,2021-05-04
86,竹**筏,长度: 25cm 颜色分类: 白色【无音频无供电】,好评,必须好评，物流很快，而且非常感谢可乐客服，一直非常耐心 的帮我解决问题，大家放心下单吧  ,-,-,2021-04-19
87,不**i,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,第二次购买，好用,-,-,2021-04-18
88,叶**6,长度: 25cm 颜色分类: 黑色【音频+音频线】,好评,看着不错，买来备用 ,-,-,2021-04-28
89,金**厂,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,没有用，买了白买了。 ,-,-,2021-05-30
90,暮**5,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,品质很不错🍆，性价比比较高的的商品🍀，喜欢的亲可以直接下手不要犹豫哦📍 ,-,-,2021-04-16
91,c**l,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,转换器不错，清晰度高，图像无停滞现象。好,-,-,2021-04-22
92,于**9,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,非常好用，链接显示屏，机顶盒，插上音箱，就是一台电视，央视节目都有，地方的节目也有，非常棒！👍 ,-,-,2021-05-07
93,烽**里,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,推荐买了带电源线的，实际使用不带电源也可以用，转换稳定。,-,-,2021-05-05
94,t**i,长度: 25cm 颜色分类: 黑色【音频+音频线+供电+供电线】,好评,外形外观：实用，美观，简便 ,-,-,2021-04-30
95,m**0,长度: 25cm 颜色分类: 黑色【无音频无供电】,好评,实物与描述一样，试用还可以！物流送货直接放在门卫，电话不打,-,-,2021-05-24
