数据下载时间：2021-06-29 09:40:42 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/642820939495/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,q**o,颜色分类: 6寸粉色卡通扇,好评,风力效果：强，很凉快 便携性：小巧可爱 外观材质：材料柔软，没有味道 ,-,-,2021-06-25
2,蠢**猪,颜色分类: 6寸粉色卡通扇+延长线+适配器,好评,小风扇好可爱啊，手掌大小。风力不是很强劲，但是挺柔和的，最后要夸一下它这个底座，很稳，一点都不容易倒。,-,-,2021-06-16
3,柠**6,颜色分类: 6寸淡绿色卡通扇,好评,有两档风力，也没噪音，之前买的那个坏了，就立马又给我寄了个好的，客服态度很好，物流也很快，风扇我很满意，推荐购买 ,-,-,2021-06-24
4,我**4,颜色分类: 6寸深蓝色卡通扇,好评,哇哦这个电风扇质量很好风速也很大非常不错,-,-,2021-06-16
5,我**4,颜色分类: 6寸淡绿色卡通扇,好评,质量很好哦也很好看风速也很大非常不错很凉快颜值也很高,-,-,2021-06-16
6,t**8,颜色分类: 6寸灰色卡通扇,好评,很不错 声音也较小 在宿舍里用刚刚好,-,-,2021-06-22
7,江**5,颜色分类: 6寸淡绿色卡通扇+延长线+适配器,好评,"风力还挺大的哦，在炎热的夏天，很好用!外观呢美观,清新自然，挺漂亮的,放在桌子旁边，吹一吹也很凉快，我对这个小电风扇还是很满意的,价格也实惠，我觉得特别值 ",-,-,2021-06-21
8,胖**浩,颜色分类: 6寸淡绿色卡通扇,好评,风力效果：风力不错，非常棒，柔和 便携性：小巧便携 外观材质：外观漂亮 我买的蓝色的，感觉很好看的样子 ,-,-,2021-06-22
9,z**8,颜色分类: 6寸粉色卡通扇+延长线+适配器,好评,破风扇 今天第一次用 一档居然不起风 估计用不了多久就会挂 ,-,-,2021-06-02
10,2**发,颜色分类: 6寸蓝色卡通扇+延长线,好评,外观材质：好 款式好看， 挺方便的给宝宝用 推荐哦 ,-,-,2021-06-24
11,我**5,颜色分类: 6寸淡绿色卡通扇,好评,风力效果：分为两档，风力很大，在宿舍里用没问题 便携性：小巧精致， 外观材质：马卡龙色系，颜值非常高，很喜欢。 ,-,-,2021-06-14
12,t**2,颜色分类: 6寸淡绿色卡通扇,好评,风力效果：很棒，舍友推荐的，声音也不是很大可以接受，风力一档就够了， 外观材质：就是中间保护壳有点儿软但是没影响 ,-,-,2021-06-18
13,五**7,颜色分类: 6寸灰色卡通扇,好评,小风扇真的不错，一个人用够了，USB插口用起来很方便，插电脑上也可以。风力还算可以，两档调节。大小合适，放桌面上颜值也很高。,-,-,2021-06-09
14,x**1,颜色分类: 6寸粉色卡通扇,好评,小小物品，大能量，非常满意哦，买这个就是给宝宝吹饭的，没想到这风力还挺大的，爱了爱了 ,-,-,2021-06-09
15,乱**f,颜色分类: 6寸蓝色卡通扇+延长线+适配器,好评,风力效果：静音的很好  风速很大 外观材质：没有色差  和图片一样 ,-,-,2021-06-17
16,t**2,颜色分类: 6寸粉色卡通扇,好评,风力效果：风很柔和，吹一晚上不感冒 便携性：不大不小，适合放在桌上床上 外观材质：安全轻巧 总的来说，挺满意的，没啥噪音！价格也实惠。粉色好看，推荐一下，没色差 ,-,-,2021-06-18
17,白**a,颜色分类: 6寸淡绿色卡通扇,好评,此用户没有填写评价。,风很大，声音也不大，但是只有一个档位，刚收到的时候那几天热，也就没有提一档会不会转的问题，毕竟嗯拿优惠买的挺便宜，二档风比较大，一档直接不会转。,-,2021-06-20
18,t**7,颜色分类: 6寸淡绿色卡通扇,好评,上班吹吹还是可以的。☀有两档*.(@价格也很美丽，风量可以。☀摸起来质感也是可以的，两个档特别方便，☀usb接口的使用很方便，放桌子上很稳不会倒，☀静音而且价格实惠，风力效果一个人吹正好，☀夏天放在办公桌上非常适用，充电宝都可以使用，放桌面也不占地方 ,-,-,2021-06-08
19,大**3,颜色分类: 6寸淡绿色卡通扇,好评,此用户没有填写评价。,风扇收到有一定时间了，风力刚刚好，有两档可以调.看起来挺开爱的,-,2021-06-25
20,h**6,颜色分类: 6寸深蓝色卡通扇,好评,风扇不大风力到挺大的，一档风力就挺舒服的，放在桌面插在电脑上正合适，终于凉快了 ,-,-,2021-06-24
21,a**7,颜色分类: 6寸灰色卡通扇,好评,"CD大小合适,效果❗很棒,上班吹吹还是可以😌的。有两档,大风很给🔌力,两个档特别方便。🌕价格实惠,价格也很美🏠丽。颜色很好看,风力👵足够用,颜色也好看,🚂风量可以。摸起来质感🎺也是可以的,价格也很🐒美丽.大家购买哦",看我晒图！！非常划算吆！,-,2021-06-03
22,z**8,颜色分类: 6寸灰色卡通扇,好评,买了灰色的 没色差 很大气显高级感的颜色 哈哈 耐看 风速两档 一挡微风 二档销大些 现在天热了……就可以用啦 外形可爱小巧 6寸大小刚好 可以说是物超所值 售后服务态度非常好 把买的不用犹豫 直接买就对啦…… ,-,-,2021-06-02
23,t**1,颜色分类: 6寸淡绿色卡通扇,好评,宝宝用挺大的，也不怕吹到了，放床上棒棒哒,-,-,2021-06-12
24,杨**6,颜色分类: 6寸淡绿色卡通扇,好评,风扇很可爱，很漂亮，放桌子上很合适 ,-,-,2021-06-11
25,玲**曲,颜色分类: 6寸淡绿色卡通扇+延长线,好评,实物比想象中大，没有色差，放电脑桌上用的，效果很棒，充电也很方便！很满意的一次购物体验！,-,-,2021-06-26
26,晶**1,颜色分类: 6寸蓝色卡通扇,好评,风力效果刚刚好，颜色是我喜欢的，大小合适，材质很细腻！需要的可以放心入手！声音很小！！ ,-,-,2021-06-10
27,大**子,颜色分类: 6寸淡绿色卡通扇,好评,风扇很不错，风力大而且声音不大，还有两档可以调控，在寝室吹着美滋滋，但就是我买的这款是usb接口的必须全程插电才可以用，这个价格真的可入！ ,-,-,2021-06-19
28,t**8,颜色分类: 6寸淡绿色卡通扇,好评,很好，很方便 风力效果：凉快 便携性：轻巧 外观材质：好看 ,-,-,2021-06-22
29,富**图,颜色分类: 6寸深蓝色卡通扇+延长线+适配器,好评,声音挺小的，搭配延长线不错，舒适的风力适合😴,-,-,2021-06-21
30,安**0,颜色分类: 6寸淡绿色卡通扇,好评,很好看耐用，寝室这么热现在不热了，而且寝室限电的也不影响，哈哈不错，颜色很嫩,-,-,2021-06-24
31,i**7,颜色分类: 6寸灰色卡通扇,好评,东西很好，有问题找客服，也很快给我处理了！！东西5星，服务5星！！！！,-,-,2021-06-13
32,子**佳,颜色分类: 6寸黄色卡通扇,好评,小电扇收到了，有两档风力，第一档很适合小宝宝用的，风扇的做工也很好很光滑细致，很好看的电风扇,-,-,2021-06-16
33,嘻**6,颜色分类: 6寸淡绿色卡通扇,好评,买的绿色  感觉会很凉快的。 质量还不错。  家里也买了两个。很好用。。。 ,-,-,2021-06-23
34,急**宏,颜色分类: 6寸粉色卡通扇,好评,小风扇收到了，粉色的很可爱，usb接口的使用很方便，放桌子上很稳不会倒，风力还可以，静音而且价格实惠！ ,-,-,2021-06-02
35,t**3,颜色分类: 6寸灰色卡通扇,好评,风力效果：风力还是挺大的 便携性：很小然后可以放车上，usb接口就很方便 ,-,-,2021-06-26
36,贴**8,颜色分类: 6寸粉色卡通扇,好评,小电扇收到啦，非常方便实用，风力也很大。超赞，值得购买。 ,-,-,2021-06-24
37,t**3,颜色分类: 6寸淡绿色卡通扇,好评,买的绿色特别好看 风力强 小巧可爱,-,-,2021-06-26
38,w**0,颜色分类: 6寸蓝色卡通扇,好评,风力效果：第二次购买了风力效果很好外观漂亮，物流也很快值得购买。 ,-,-,2021-06-24
39,t**6,颜色分类: 6寸淡绿色卡通扇,好评,风力效果：非常好，有两个档位，小档位的风力也很大❤声音也很小 便携性：小巧便于携带👀插个充电宝就能用 外观材质：浅绿色的非常好看，小熊的造型很可爱 ,-,-,2021-06-03
40,我**美,颜色分类: 6寸蓝色卡通扇,好评,"风力效果：我是我们村第一个在淘宝上买东西的人。这里大部分人 是不网购的。他们买东西价格一般不超过五块，听说我 在淘宝买东西后，整个村都震惊了，村长跑到我家里对 我爸说我是不是疯了? 媳妇跟我闹离婚，说这日子没法 过了，面对重重压力，我坚持要买。我相信我这个月的 工资不会白花，终于快递到了，我怀揣着激动的心情， 颤抖的打开包裹，那一霎那，感觉我的眼都要亮**， 啊..这颜值、这手感、这质量、只怪我读书少，无法用 华丽的语言来形容它。我举着它，骄傲的站在村口，整 个村都沸腾了，,更有人喊，我不给他们看，他们就跳 井。吓得我赶紧收起宝贝，挤出人群落荒而逃。为测试 宝贝效果，我立刻去我们村高达100米山上村长家客厅 里用。用完后，在全村人羡慕的目光中，仰首挺胸扬长而去 ",-,-,2021-06-18
41,名**哈,颜色分类: 6寸粉色卡通扇,好评,风力效果一个人吹正好，颜色很清新，还有两个档真好小巧可爱，颜色也好看，风力很ok声音也不大，夏天放在办公桌上非常适用，6寸大小刚好。可以说是物超所值了，推荐 ,追评语是    我买的很优惠，大家可以看图↓↓领取,-,2021-06-03
