数据下载时间：2021-06-27 19:17:28 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/600027237240/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**6,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,电源插头非常容易坏,-,-,2021-06-23
2,s**o,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,东西不错，用了几天才来评价的。 ,-,-,2021-06-14
3,申**华,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,之前买的 保险丝莫名其妙断了，单独买保险丝 数量太多 觉得没用，重新买的时候发现送保险丝，联系客服 麻烦多送几个，客服答应了 但没送，联系后，客服态度带着敷衍，另外保险丝断了不属于质量问题，客服说 电压不稳定就会导致保险丝短路，建议启动车一分钟后再启动转换器。,-,-,2021-06-21
4,樊**海,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,问题没解决，几十块钱的东西，就这么不当回事？,-,-,2021-06-24
5,y**3,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,这个是我第一个买的，我用了几天是充电速度很快，我同事看见说也不错，让我也帮他买了一个。,-,-,2021-06-15
6,y**3,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,充电速度很快 同事看见说不错，让我也帮他买了一个。所以我买了两个。,-,-,2021-06-15
7,h**m,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,已经用了一个，开拖拉机用，进脏的太多了坏了。又买了一个车上用，希望用久点,-,2021-06-16
8,t**2,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,虚标的东西输出应该不到60瓦。跟他理论还理直气壮的。好意思?,-,-,2021-06-09
9,t**2,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,收到就用了！感觉特别好，就是不知道能用多久哈！先给个五星好评吧！,-,-,2021-06-09
10,t**8,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,看着质量不错，用着目前没有出现问题 ,-,-,2021-06-25
11,t**9,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,质量不错，买来在大车上充电用的！,-,-,2021-04-25
12,t**4,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,效果不行，使用了一段时间就坏了，很差劲，什么转220 完全是忽悠人的，大家请绕行吧。,-,2021-06-18
13,t**2,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,还没拿到车，暂时先给个好评,-,-,2021-06-09
14,t**9,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,昨天到了今天就使用了感觉挺好的！,-,-,2021-04-25
15,g**i,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,如果边上再有插孔会更好。,-,-,2021-06-24
16,闵**0,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,使用情况：垃圾中的垃圾，两个手机同时充电就不能用，还设置那么多孔有啥用！一个充电 一个吹风扇都带不起来！ ,-,-,2021-06-21
17,t**2,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,很好第二次购买了,-,-,2021-06-09
18,f**0,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,多次购买，加油 ,-,-,2021-06-21
19,峰**瑶,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,好评好用不错,-,-,2021-06-25
20,秋**照,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,使用还好,-,-,2021-06-23
21,伍**聪,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,这家是大骗子来的，买的这东西不能用的,-,2021-05-15
22,t**9,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,不好用，用了没几次，保险就烧了，这里还不卖保险，从别的地方买上保险也不能用，客服也不管，真的是只管卖，不管售后,-,2021-04-25
23,绝**4,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,插在点烟器两天拔出来的时候居然断了。注：拔出来的时候我很注意。质量差，太薄了,-,-,2021-06-19
24,笑**9,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,第二次购买！,-,-,2021-06-22
25,家**杆,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,不知道该怎么评价这个商品。买的时候看评论差不多都说好用！我是6月14号收到的，今天15号。插上去以后USB可以充电。但是这三个插头没一点反应！如果说是因为我买的这个车载小电风扇有问题的话。但是另一个小夜灯也没反应！如果说一个没反应，有可能是我自己东西的问题。但是两个都没反应怎么说？现在插上有一会儿，干脆连电源指示灯都不亮了,-,-,2021-06-15
26,t**6,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,刚用一天的逆变器坏了。用不了，质量太差了，差！差！差，,-,-,2021-06-23
27,t**1,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,买回来头一个孔就不好使。,-,-,2021-06-16
28,t**0,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,用了好久才来评价，不错的车载充电器，满意👍 ,-,-,2021-06-19
29,弘**牧,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,质量很差用了十分钟就坏了,-,2021-04-04
30,天**间,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,整体评价：东西还可以，非常喜欢 ,-,-,2021-06-19
31,t**5,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,我很喜欢，主要手机充电，这个价格太值了，,-,-,2021-06-16
32,伯**星,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,质量很好可以购买,-,2021-05-08
33,t**8,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,质量不错 ,-,-,2021-06-25
34,天**泥,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,已经多次购买，确实不错,-,-,2021-06-14
35,天**5,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,非常的好用，在车上用很方便充电很快，值得购买 ,-,-,2021-06-17
36,s**3,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,此用户没有填写评价。,太差劲啦。还没用就坏啦,-,2021-06-17
37,t**4,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,真的好用车载逆变器太好了,-,-,2021-06-18
38,梁**3,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,宝贝收到，用了几天后才来评价，充电很快,-,-,2021-06-11
39,l**3,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,今天用啦220V用不了,-,2021-06-18
40,雷**8,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,产品挺好的,-,-,2021-06-14
41,s**2,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,此用户没有填写评价。,收到就这样了，太差了,-,2021-06-11
42,王**2,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,拿到手里用的时候发现是坏的？联系客服又不回复， ,-,-,2021-06-17
43,林**娇,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,这是第二个了，亲戚看着好用也叫帮他买一个,-,-,2021-06-08
44,f**你,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,挺好用的，便宜实惠,-,-,2021-06-12
45,a**5,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,用了两天就坏了,虽然产品不是很贵，但是质量极差，才用两天就坏了,-,2021-06-19
46,毕**i,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,还行  挺好用的 就是不知道能用多久😂,-,-,2021-06-18
47,t**2,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,此用户没有填写评价。,没两个月，插上去烧保险丝，是不坏了,-,2021-06-09
48,祖**8,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,东西差劲👎！用了两天就坏了,-,-,2021-06-17
49,t**l,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,唉~又被坑了 手机充电都不可以的 大家注意了 什么直流交流 最基本的手机充电都不能满足的  我的是5v4a的说不可以  说只能5v2a  什么年代了  还5v2a  广告说的以换代修说说的  别认真~~,-,2021-04-18
50,1**轩,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,不错像KTV,-,-,2021-06-11
51,林**娇,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,公公叫买的，说是还可以,-,-,2021-06-08
52,t**2,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,宝贝不错，和描述的一样,-,-,2021-06-09
53,h**e,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,这是第二次购买，很实用的,-,-,2021-06-12
54,t**2,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,此用户没有填写评价。,今天刚装上去，没用一会就坏了，,-,2021-06-09
55,t**7,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,发个坏的，不能给更换，没有回复意见，差评。,-,-,2021-06-18
56,t**9,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,不好用，带不动，电流太小了,-,-,2021-04-25
57,猛**8,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,问一下怎么带不动28瓦的车票风扇啊,-,2021-06-18
58,邓**当,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,使用情况：50W的电器都带不动 ,-,-,2021-06-16
59,f**1,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,很好，实用，方便，充电快！,-,-,2021-06-12
60,d**6,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,非常不错,-,-,2021-06-10
61,t**4,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,不错的产品，,-,-,2021-06-18
62,j**g,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,还没使用，使用后再评论,-,-,2021-06-18
63,x**8,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,失望😔了！没想到连笔记本都带不动！唉！失败的一次购物！,-,2021-05-30
64,b**林,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,质量很好，放心使用，我叫朋友也要买个 ,-,-,2021-05-31
65,t**1,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,300瓦的电器也带不了,-,-,2021-06-16
66,心**0,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,看上去挺不错的，,-,-,2021-05-13
67,二**8,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,很好，挺好用的，充电也快,-,-,2021-05-17
68,t**3,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,服务差，装上去拿下来就坏了❌❌❌❌,-,-,2021-06-10
69,w**9,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,保险太容易烧了  我就插了个行车记录仪 一个充电器  一拔点烟器接口 保险就烧了,-,2021-05-14
70,t**5,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,买回来放了半个月才试的，谁知道一插上插头，竟然不通电，只有充电手机的那一排可以充，垃圾，退又退不了，直接丢了 ,-,-,2021-06-16
71,夜**湖,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,还行吧  充电还可以  不吹不嘞 ,-,-,2021-06-14
72,小**1,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,挺好，和描述的一样,-,-,2021-06-02
73,麻**万,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,这个18号售前客服态度特别差，这个产品很坑人，这个产品的相关资料写的特别有问题。比如额定电压是200w，火星文化？产品介绍存在严重干扰，明明是仅仅支持直流电器使用，却模棱两可的写220电器使用。结果买回来了正常逆变都没法使用。客服态度特别差，差评，严重差评,-,2021-05-23
74,x**1,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,此用户没有填写评价。,说是转换成220伏的，其实是骗人的。带一个小小的电饭煲都带不动。买过来一点用都没有，今天开始用。,-,2021-05-27
75,成**5,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,东西在车上用，效果好，值得拥有。,-,-,2021-06-05
76,w**4,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,USB冲不上电，假的，千万不要买,-,2021-04-14
77,t**4,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,东西还没有用，看上去不错，先好评用了回来追评,-,-,2021-06-18
78,爱**0,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,东西收到了，现在用的还不不错，用段时间再来追评！,-,-,2021-06-05
79,不**6,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,垃圾东西手机充电都用不了,-,-,2021-06-12
80,时**6,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,不错的一次购物！本人车上有充电的，只接插车充功率过大，发现手机非常烫，所以买了该产品用原装充电器充，对手机没伤害！物美价廉，值得拥有！ ,-,-,2021-05-11
81,c**l,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,帮别人买的，据说好用，目前看很物美价廉的,-,-,2021-05-31
82,h**4,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,用了几次就坏了   与客服沟通，让自己再买点烟器连接线  真不知道店家怎么想的    质量没有保障   我是不会再来了,-,2021-04-16
83,w**0,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,根本没有220瓦，根本带不动，只能给手机充电，买了个**回来,-,-,2021-06-13
84,单**0,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,简单冲个电还行,-,-,2021-06-02
85,棒**兹,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,220和点烟器一样充电速度。发烫。 ,-,-,2021-06-09
86,t**6,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,此用户没有填写评价。,质量太差,-,2021-06-23
87,林**0,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,做工不错,-,-,2021-05-30
88,z**7,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,很不错很薄很滑一直都在用,-,-,2021-06-03
89,t**6,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,安装简单，充电方便快捷,-,-,2021-06-23
90,拽**音,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,目前使用下来，挺好的，各位等我追评？,-,-,2021-05-31
91,h**8,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,用着不错挺好的,-,-,2021-05-30
92,原**生,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,不错很满意,-,-,2021-05-27
93,低**1,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,此用户没有填写评价。,大家不要买 骗子  从属驴嘴不对马尾 买的时候夸的可好 买回来就坏,-,2021-03-21
94,y**3,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,非常棒棒哒！,-,2021-06-15
95,t**4,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,产品不错,-,-,2021-06-18
96,t**8,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,220V都不能用 这是什么鬼,-,-,2021-06-25
97,花**眸,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,挺好的，车里用着方便 ,-,-,2021-05-27
98,s**银,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,很好下次再来，建议后期产品增加数显功能。 ,-,-,2021-05-26
99,x**0,颜色分类: 【12V24V通用】3插座+2点烟器口 输出电压: 220V,好评,不错，用了一段时间了，值得入手,-,-,2021-04-15
100,扎**凉,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,就是这样的态度，都不说自己的产品的问题都是我车的问题，骗子。 ,-,-,2021-06-04
101,s**8,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,本产品质量杠杠滴，功能齐全,-,-,2021-05-11
102,c**水,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,东西收到了 小巧实用,-,-,2021-05-20
103,孙**彩,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,差劲，都不如我车载的USB充电快，差❌❌❌❌❌,-,-,2021-06-06
104,不**久,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,收到了，外观和描述一致，唯一的缺点就是只能给手机充电，车载冰箱吸尘器电风扇电压高都带不动。,-,-,2021-06-01
105,吊**哥,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,东西收到，包装完好无损，用着还可以充电很快，插风扇和充手机一起用也没事，很好满意,-,-,2021-05-25
106,海**鬼,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,绞的匀称效果好,-,-,2021-05-09
107,t**0,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,这个老牛🐮🐮🐮🐮,-,-,2021-06-19
108,小**7,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,充电非常快 ,-,-,2021-05-21
109,我**去,颜色分类: 【12V24V通用】3插座+2点烟器口+4USB 输出电压: 220V,好评,此用户没有填写评价。,用了两次，现在坏了，电源灯亮的，插上手机充电器就滴滴滴的响，不充电了，很是遗憾,-,2021-05-26
