数据下载时间：2021-06-26 20:39:06 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/560856092783/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,蔡**2,适用手机型号: iPhonex 颜色分类: 【9D曲面全覆盖蓝光】2片*收藏送神器+后膜,好评,材质手感：细腻光滑 尺寸大小：完美 贴合度：严严实实  和其他家就是不一样😀，质量强硬！价格实惠，而且手感很不错，触屏也很灵敏。性价比非常高，能完全贴合手机，😀而且这款钢化膜确实能很好的抗蓝光👈 ,贴上去整个屏幕看起😀来相当漂亮，也不会影响手机的清晰度，平常使用的时候也没有出现刮痕，保护性很好,-,2021-06-24
2,v**_,适用手机型号: iPhone12 颜色分类: 【电镀加倍抗指纹】非全屏*3片*收藏送神器+后膜,好评,"不容易碎⚡边,膜🌄是全屏保护的,尺寸大🌃小：正好,玩起手机来也不需要很🌁费力的去按,屏🌁幕很光滑,非常适合看小﻿☀说,确实很好的膜,非常的干净,没有翘边的情况,材质手感：细腻,玩起游戏来手感顺滑无比*^_,防摔不碎边  ",集美们快快下手啦，看下面↓↓,-,2021-06-22
3,蒋**2,适用手机型号: iPhonexr 颜色分类: 【9D曲面全覆盖高清】1片*收藏送神器+后膜,好评,"HP尺寸大小：正好⚡,钢化膜完美贴合手机屏幕🌂,和原机屏幕的手感一模⛄,贴上能和手机完全匹配🌂,玩起游戏来手感顺滑无比☁,pz对得起闪魔这个品牌~跟屏幕贴合的十分完美☁,里面也有贴膜的工具🌂,不容易进灰聊天打字反应很快🌀!  ",好物不断，优惠同享,-,2021-06-20
4,x**2,适用手机型号: iPhone12 颜色分类: 【电镀加倍抗指纹】非全屏*2片*收藏送神器+后膜,好评,贴合度：很好 尺寸大小：正好 材质手感：没有指纹  很耐摔，平常磕碰都没事，屏幕保护的很完美，用着也没有出现划痕的情况，性价比较高。质量非常强硬，轻轻松松就贴上了，而且不沾指纹，手感触屏都很好的。 ,物流十分快，快递一到我就满怀期待的打开了，东西超出我的预期，简直完美，好用，值得推荐,-,2021-06-23
5,l**8,适用手机型号: iPhonexr 颜色分类: 【电镀加倍抗指纹】非全屏*2片*收藏送神器+后膜,好评,钢化膜和手机很贴合，非常清晰，触碰反应非常灵敏，没有影响到原来的视觉效果，完美的还原了裸机的手感和质感，恰到好处的薄，跟裸机手感一样，值得入手 ,"贴好之后也没有气泡，整个手机屏幕焕然一新，关键是几乎都看不出我贴了膜，保护手机效果很好，玩起手机也很灵敏，各种滑动都很顺畅，手感都不知道要比之前那些膜要好多少,太喜欢这款膜了!",-,2021-06-22
6,t**6,适用手机型号: iPhonexsmax 颜色分类: 【9D曲面全覆盖高清】2片*收藏送神器+后膜,好评,"cj膜贴上去颜值很高🌂,质量非常强硬🌀,触摸反应灵敏🌇,和原机屏幕的手感一模🌁,对比了许多家﻿☀,防摔也防刮☔,而且贴附性很强🌀,没有遮挡屏幕🌀,质量非常不错🌁,而且没气,泡🌅,自己贴没有问题﻿☀,屏幕看起来舒服,材质手感：边缘覆盖着很好",-,-,2021-06-23
7,麦**2,适用手机型号: iPhone12 Mini 颜色分类: 【9D曲面全覆盖蓝光】2片*收藏送神器+后膜,好评,正好，💽玩起手机来也不需要很🎂费力的去按，👨屏🚄幕很光滑，😃非常适合看小🔸说，📌确实很好的膜，🎤非常的干净，🅾没有翘边的情况，🐻材质手感：细腻，💀玩起游戏来手感顺滑无比*^_，♣防摔不碎,-,-,2021-06-24
8,a**0,适用手机型号: iPhonex 颜色分类: 【9D曲面全覆盖蓝光】2片*收藏送神器+后膜,好评,贴合度：非常好 尺寸大小：完美 材质手感：棒  这膜很好用，耐脏，而且是玩完之后手机屏幕也是非常干净的没有看到指纹残留，和刷抖音吃鸡*都很顺溜，大家可以一起开黑哦，这个手机膜用卖家赠送的神器很快就贴好了，特别是贴上没白边，护眼效果也很棒 不刺眼 非常舒服，听筒那里也没有看到灰尘，性价比较高，很值 ,试了一下 防指纹效果真的很好 而且护眼蓝光效果很酷 很好看,-,2021-06-24
9,时**蛋,适用手机型号: iPhone12 颜色分类: 【9D曲面全覆盖高清】2片*收藏送神器+后膜,好评,贴合度：不错 尺寸大小：完美 材质手感：棒 贴上没有白边和气泡，完全符合屏幕的尺寸，触屏很灵敏。钢化膜很高😘清透彻非常😘舒服触摸起来手感很舒服，手感不错。 ,玩手机挺久的也不会有指纹，防指纹的效果赞，边缘是不😘会进灰尘的那种，完美的保护了手机屏幕，不容易刮花，膜的透光率高，触摸屏反😘应也是很灵敏的，手感很好，非常推荐。,-,2021-06-24
10,麦**孩,适用手机型号: iPhone12 颜色分类: 【电镀加倍抗指纹】非全屏*2片*收藏送神器+后膜,好评,贴上钢化膜触摸起来很舒服，屏幕反应也挺灵敏，😚，膜薄薄的，能好好的保护手机，膜贴上和手机非常搭配，尺寸也很精准。👍触摸起来手机也很灵敏，滑动起来非常给力，保护手机的效果不  ,屏幕超级清晰，完全不翘边，尺寸大小刚刚合适，完美贴合，贴上去之后手机更帅了,-,2021-06-24
