数据下载时间：2021-06-29 09:26:59 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/557269641899/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,姚**5,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,已经多次购买了，老板家的宝贝非常好用，各种长度的线都能买到。 ,-,-,2021-06-24
2,t**8,颜色分类: 单数据线（1米）【官方授权】,好评,接触灵敏度：很不错，给力 充电速度：挺快的，线也挺粗的，刚试了下，终于都买对了，不容易呀，一波三折 外观材质：挺有质感，跟原装没什么区别，点赞 ,-,-,2021-06-10
3,浮**7,颜色分类: 单数据线（1.5米）【官方授权】,好评,此用户没有填写评价。,5.9号购买的，现在是6.24号凌晨1点20分，实在受不了，好歹我以前买的便宜的充电线还能坚三四个月，这玩意什么鬼，不到两个月就开始接触不良！一会儿能充上一会儿充不上，这不就是我那些充电线坏之前的症状吗？以前那些几块钱十几二十块钱的还耐用一点。唉，真是踩坑,-,2021-06-03
4,t**8,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,插座面板不通电,-,-,2021-06-10
5,咚**2,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,超棒啊！包装就很好 第二次买了 第一次买的是去年这个时候 还一直用着 加长的很方便。 ,-,-,2021-06-05
6,简**7,颜色分类: 单数据线（1米）【官方授权】,好评,试了下能充上，还送了个保护器，包装的也很好，很喜欢 ,-,-,2021-06-20
7,旧**心,颜色分类: 充电器头（官方授权）,好评,超级好用呀 充电速度也很快 ,-,-,2021-06-21
8,t**4,颜色分类: PD快充线1.5米【官方授权】,好评,主页视频介绍误导购买者 害卖回来个费物,-,-,2021-06-26
9,幽**洁,颜色分类: 实惠套装★ 数据线（1米）+充电头【官方授权】,好评,好评，第二次回购勒，感觉没第一次那么好，但是也还可以 ,-,-,2021-06-26
10,q**7,颜色分类: 单数据线（1.5米）【官方授权】,好评,但愿使用时间长些。,-,-,2021-06-24
11,和**秒,颜色分类: 单数据线（1.5米）【官方授权】,好评,接触灵敏度：还行 充电速度：一般 外观材质：可以 ,-,-,2021-06-18
12,木**8,颜色分类: 快充双口2.4A★充电头【官方授权】,好评,充电快，快充有点发热，但还是满意，物有所值。好评！,-,-,2021-06-25
13,t**3,颜色分类: 单数据线（1米）【官方授权】,好评,挺好的卖家很细心！客服也很好,-,-,2021-06-26
14,6**a,颜色分类: 单数据线（1米）【官方授权】,好评,挺好用的，会回购,-,-,2021-06-19
15,t**3,颜色分类: 实惠套装★ 数据线（2米）+充电头【官方授权】,好评,老是断开,-,-,2021-06-26
16,t**0,颜色分类: 实惠套装★ 数据线（1米）+充电头【官方授权】,好评,线皮过硬,-,-,2021-06-25
17,桅**3,颜色分类: 单数据线（2米）【官方授权】,好评,够长，给办公室配了一个。,-,-,2021-06-23
18,倾**4,颜色分类: 单数据线（2米）【官方授权】,好评,买了一个多月，天天用，质量还是可以的 ,-,-,2021-06-15
19,许**兴,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,很多用，赞,-,-,2021-06-21
20,鹭**方,颜色分类: 快充套装双口2.4A★ 数据线（2米）+充电头【官方授权】,好评,不错，已经第二次回购了！超级稳定好用 ,-,-,2021-06-20
21,失**1,颜色分类: 单数据线（1米）【官方授权】,好评,宝贝做工精细，物有所值，值得推荐。,-,-,2021-06-20
22,菰**望,颜色分类: 单数据线（1米）【官方授权】,好评,发货特别快，下次还会再来,-,-,2021-06-16
23,t**1,颜色分类: 单数据线（1米）【官方授权】,好评,说发顺丰、发过来是圆通。,-,-,2021-06-03
24,q**9,颜色分类: 实惠套装★ 数据线（2米）+充电头【官方授权】,好评,不错👍，好用,-,-,2021-06-20
25,钟**生,颜色分类: 快充双口2.4A★充电头【官方授权】,好评,此用户没有填写评价。,好评，客服回复很快，充电器充电也很快,-,2021-03-31
26,哈**妹,颜色分类: 单数据线（1.5米）【官方授权】,好评,此用户没有填写评价。,不到两个月，冲不上电了。日。,-,2021-05-27
27,晓**珠,颜色分类: 单数据线（1.5米）【官方授权】,好评,可以，挺好的，不错，满意，哈哈哈哈哈 ,-,-,2021-06-18
28,鬼**指,颜色分类: 单数据线（1米）【官方授权】,好评,一直在用,-,-,2021-06-16
29,小**l,颜色分类: 单数据线（1.5米）【官方授权】,好评,一直在这家买，不错,-,-,2021-06-20
30,我**宝,颜色分类: 单数据线（1.5米）【官方授权】,好评,我之前买过，这次买的为什么不太好用啊！跟我的充电头好像配不上,-,-,2021-06-21
31,郑**a,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,此用户没有填写评价。,老板人非常好，充电头坏了立马发个新的给我，值得信任👍👍👍,-,2021-05-17
32,t**9,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,必须要用的东西,-,-,2021-06-14
33,c**0,颜色分类: 单数据线（1米）【官方授权】,好评,宝贝看着不错，接触灵敏，充电也很正常 ,-,-,2021-05-21
34,苍**由,颜色分类: 单数据线（1米）【官方授权】,好评,回购好几次了,-,-,2021-06-14
