数据下载时间：2021-06-27 18:59:17 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/596824749877/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**1,颜色分类: 粉色（单层）,好评,宝贝粉嫩嫩的颜色 ，小巧精致，价格优惠，操作易懂，拍的是单层的，适合两个人蒸蛋馍，其他均可，祝店家生意兴隆！ ,操作方便，水烧完后，自动断电，安全，价格实惠！,感谢每一位亲亲对我们的大力支持，希望能为您带来更好的使用体验。亲亲的意见是我们努力的方向，亲亲的肯定是我们动力的源泉，秉承着服务好每一位客户的宗旨，去认真对待好每一位客户。而您对我们的厚爱，我们会以更坚定的质量、更优质的服务回报与您。宝贝能得到您的喜爱是我们所一直追求的，我们一直都秉承服务至上的企业理念！服务好每一位顾客是我们的服务宗旨！您在使用过程中有什么问题，可以随时联系咱们，您的满意是对我们最大的肯定！欢迎下次惠顾！祝亲生活愉快，真诚期待您的再次选购！,2021-06-16
2,t**9,颜色分类: 粉色（单层）,好评,蒸蛋器外型美观，质量也不错，拿到货第二天就用了，值得购买。 ,东西很好用，大小合适，价格也很实惠。,感谢每一位亲亲对我们的大力支持，希望能为您带来更好的使用体验。亲亲的意见是我们努力的方向，亲亲的肯定是我们动力的源泉，秉承着服务好每一位客户的宗旨，去认真对待好每一位客户。而您对我们的厚爱，我们会以更坚定的质量、更优质的服务回报与您。宝贝能得到您的喜爱是我们所一直追求的，我们一直都秉承服务至上的企业理念！服务好每一位顾客是我们的服务宗旨！您在使用过程中有什么问题，可以随时联系咱们，您的满意是对我们最大的肯定！欢迎下次惠顾！祝亲生活愉快，真诚期待您的再次选购！,2021-05-29
3,l**9,颜色分类: 粉色（单层）,好评,东西收到了，很好又便宜，下次还会介绍朋友来购买的。,-,-,2021-06-20
4,快**0,颜色分类: 粉色（单层）,好评,这个蒸蛋器根本都不会自动断电，我煮半个多小时，还在那里一直蒸一直蒸搞什么鬼不知道。我劝大家都不要买这一种的。￼ ,-,-,2021-06-23
5,t**8,颜色分类: 粉色（三层）带蒸碗,好评,操作难易：操作简单 做工质量：质量保证， 外形外观：美观大方，方便实用 ,-,-,2021-06-23
6,t**8,颜色分类: 粉色（三层）带蒸碗,好评,之前就在他们家购买过同款煮蛋器，这次买一个送给亲戚用，一样的满意，物美价廉，质量也是杠杠的。还赠送了蒸碗，蒸东西很方便，一层一层的分开很干净卫生,-,-,2021-06-23
7,t**3,颜色分类: 粉色（双层）带蒸碗,好评,买来蒸汽消毒奶瓶的，是不是很聪明，哈哈哈，经济实惠,-,-,2021-06-24
8,山**8,颜色分类: 粉色（单层）,好评,很好，非常喜欢，绝对好评！,-,-,2021-06-23
9,u**1,颜色分类: 粉色（单层）,好评,以前想吃个煮好完好鸡蛋还要放在米饭上去蒸自从了蒸蛋神器煮鸡蛋方便多了而且操作简单易懂在圆形发热板加适量的水就可以喜欢的亲们可以放心购买了 ,-,-,2021-06-20
10,c**2,颜色分类: 粉色（单层）,好评,便宜实惠，蒸蛋快速方便。 ,-,-,2021-06-18
