数据下载时间：2021-06-27 10:15:19 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/625921372275/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,a**k,颜色分类: 【2】 1厘米×3米,好评,没想到一款小小的3m双面胶都有独立的包装，扫码验证了是正品，发货也快，粘性也很强大，效果出乎意外的好，很满意！！！有需要还会回购的. 希望店家生意兴隆，必须给店家五星好评。赞 ,-,-,2021-06-19
2,g**9,颜色分类: 【2】 1厘米×3米,好评,3m双面胶粘性很好，粘的特别牢固，粘一些别的东西也很美观，很不错。粘在背面不容易看出来，而且还不用打孔，很方便、美观大方很不错了，超级赞哦！而且使用方便，清理都拿不下来。 ,-,-,2021-06-25
3,王**8,颜色分类: 【2】 1厘米×3米,好评,胶带收到了，非常棒，是我想要的3M胶带。独立密封包装，还有防伪标，绝对的正品。粘力超强，超乎我的想象，值得一购，等用完了我会再来此店买这个双面胶。 ,-,-,2021-06-25
4,y**2,颜色分类: 【2】 1厘米×3米,好评,买来是为了粘插座轨道的，粘性很好，价格实惠，粘后的效果很满意，看来自己放弃了用免钉胶粘选择了3M胶条是正确的！简便易操作，撕下来没有痕迹，用完还会再来的。  ,-,-,2021-06-25
5,紫**哈,颜色分类: 【7】 0.8厘米×30米,好评,此用户没有填写评价。,胶收到了，有严重的质量问题，粘一个塑料材质都没有手掌大的东西都直往下掉，告诉我24小时以后效果好，难道我要一直在那按着，24小时不动？你们商家搞笑不？让我申请7天无理由才退款，怎么不让说实话？退不退是你们的事，说不说实话是我的事！不知道现在这个时间不诚信能有回头客吗？自己想想吧！,-,2021-06-23
6,t**7,颜色分类: 【2】 1厘米×3米,好评,整体评价：正品，3m大品牌，双面胶收到啦，物流挺快，粘性非常好，撕了无残留，绝对的正品，质量不错。粘性好，粘得牢靠，使用简单方便！粘插座，墙壁免打孔，一粘即可，省心省事！下次再来买！ ,-,-,2021-06-25
7,毛**4,颜色分类: 【3】 1.5厘米×3米,好评,3M的双面胶真的好，粘合度非常高，牢度特别强。一直都是用3M的产品，下次还会再买的。,-,-,2021-06-11
8,张**0,颜色分类: 【5】 3厘米×3米,好评,在他们家买了除胶剂，助粘剂，3m双面胶，100块钱不到解决了大问题，非常满意，各方面都不错。值得推荐购买，4s店换一个原厂轮眉都得上千元，买了双面胶自己就搞定，超级满意。 使用效果：非常满意 ,-,-,2021-06-22
9,m**9,颜色分类: 【2】 1厘米×3米,好评,我直接就吹爆， 东西绝对没问题 ，用之前擦干净要粘的东西 ，粘上去了再用力按一圈基本上很牢固了， 双面胶有一点点厚度 ，有弹力 ，粘个灯带稳稳当当，拿到手一看就是正品，不是和别的店买来就各塑料袋，这是密封包装发来，要正品就在这家买 ,-,-,2021-06-19
10,真**晨,颜色分类: 【12】 0.8厘米×3米（2卷）,好评,整体评价：好用 其它性能：粘贴牢靠 性价比：可以 使用效果：很好 匹配程度：完美 材质做工：好 ,-,-,2021-06-16
11,活**睿,颜色分类: 【2】 1厘米×3米,好评,自己加装了雨眉，胶是朋友推荐的，车改装都用这个胶，效果确实还不错，贴的挺牢固的，温度二十几度的时候操作最好，还贴了etc，都没问题 ,-,-,2021-05-30
12,a**z,颜色分类: 【11】 0.8厘米×3米（2卷）,好评,正品！！！！这家的3m双面胶粘的特别结实！！！！！我是买来粘雨眉的！雨眉自带的双面胶早开了，之后我在那种生活用品综合店买的3M胶也开了！！！这次终于买到正品了！！！以后买3m双面胶就认准这家了！！！ ,-,-,2021-06-23
13,a**5,颜色分类: 【2】 1厘米×3米,好评,好用，别的胶粘上不久就滑下来了，只有被3M牢牢地粘住了！放写小物件完全没问题，贴的特别牢。质量非常好，客服态度非常非常赞，有问题及时给解决了 ,-,-,2021-06-23
14,t**4,颜色分类: 【2】 1厘米×3米,好评,与厂家描述相符，粘接能力强，下次还会买的 ,-,-,2021-06-20
15,吴**5,颜色分类: 【2】 1厘米×3米,好评,整体评价：果然名不虚传的好用，新装修的房子，用了3m双面胶，贴固定灯带在木板和岩板上问题不大，一下粘住，目前看没什么问题，贴的很牢固的，小东西，还是很好用的 ,-,-,2021-06-17
16,t**6,颜色分类: 【3】 1.5厘米×3米,好评,使用效果：车载ETC粘上去没过一段时间就掉下来了，这款双面胶粘性不够 ,-,-,2021-06-25
17,q**7,颜色分类: 【4】 2厘米×3米,好评,感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手 ,-,-,2021-06-20
18,王**d,颜色分类: 【2】 1厘米×3米,好评,整体评价：不错 其它性能：佳 性价比：高 使用效果：满意 匹配程度：高 材质做工：优 ,-,-,2021-06-20
19,d**总,颜色分类: 【2】 1厘米×3米,好评,这个买窄了，厚度也不是很够，但是凑和用了，也行，也挺结实。 ,-,-,2021-06-23
20,0**0,颜色分类: 【1】 0.8厘米×3米,好评,抱着试试的态度去买的，结果特别好用，粘的很结实！,-,-,2021-06-20
21,x**8,颜色分类: 【15】 3厘米×3米（2卷）,好评,没有粘性，贴个双面胶让我静止24小时，然后在加热，视频是静止后的效果，谁敢挂东西在上面，真坑 ,-,-,2021-06-13
22,矿**脸,颜色分类: 【4】 2厘米×3米,好评,使用效果：效果很好，黏性很棒 ,-,-,2021-06-20
23,败**哲,颜色分类: 【6】 0.6厘米×30米,好评,完全假货。耽误时间浪费钱，我基本没有过差评，这个送给你们，一点心不亏，真假你们不清楚吗？希望别人不要上当了，要给我6块钱解决。有意思。我和之前剩下的真货对比，上面的3m颜色质感都完全不一样。今天用它粘海报，海报都粘不住。无语。还有一点，它的味道很重，化学品的味道，辣眼睛。图二我用别的地方送的胶能粘住，3m粘不住海报，无语 ,-,-,2021-06-19
24,d**2,颜色分类: 【2】 1厘米×3米,好评,家里的旋转鞋柜有一小块镜子掉下来了，为了把镜子贴上，购买了3M胶，能把镜子贴结实了 ,-,-,2021-06-07
