数据下载时间：2021-06-29 19:27:22 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/587398990188/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,s**5,口味: 【初尝】原味高铁有机大米粉,好评,"说是小皮米粉够细腻🌂,米糊也跟着喷出来☔,泡出来很细腻🌂,尤其是米粉盒☔,包装与外观外包装很高大尚🌂,宝宝该添辅食了🌁,送了一个甘薯泥☁,生产日期是今年最近的🌁,建议兑60ml的水正品( 很安全  没有添加  勺子特别好看 很硬 ☁",东西很好用，看我晒图,-,2021-06-23
2,t**9,口味: 【辅食初添期】-丁香医生推荐,好评,"lei吃到嘴里就酥了🌅,比较细腻吧﻿☀,味道有点怪怪的﻿☀,很多宝妈都说小皮好🌃,泡出来很细腻⚡,还送了1小罐的甘薯泥🌄,目前看包装挺好的🌀,包装与外观：外包装很高大尚⚡,吃一种没问题后﻿☀,一点黏度都没有⚡,米粉特别细腻🌄!",好物不断，优惠同享,-,2021-06-21
3,t**3,口味: 【初尝】原味高铁有机大米粉,好评,"lei还贴心送了米粉勺子和夹子﻿☀,包装设计风格简约大气上档次🌃,生产日期是今年最近的⛄,包装与外观：包装的很好﻿☀,米粉特别细腻🌁,又入手了他们家果泥☔,真良心🌁,味道特别想浓,有时候忍不住尝哈哈☔,宝宝肯吃⚡!",好物不断，优惠同享,-,2021-06-22
4,陈**5,口味: 【6月+】益生菌高铁番茄菠菜南瓜谷物粉,好评,"lei小皮家东西让我很放心🌁,还贴心送了米粉勺子和夹子⛄,刚拿到就拆开来🌂,包装与外观：好☁,但他们说小皮的铁比较容易吸收⚡,我也尝过了🌀,一点黏度都没有⛄,面条比较细☔,又入手了他们家果泥☁,就那种大米的味道☔! ",-,-,2021-06-26
5,爱**0,口味: 【初尝】原味高铁有机大米粉,好评,"ll记不清是多少次入手小皮了，😥宝宝吃着不过敏，💃非常的爱吃，⁉小皮的米粉很细腻，🕑好冲泡，📺含铁量高，📀还送了米粉勺和米粉盒，🐌米粉很好冲泡多搅拌下就会很细腻很均匀，🍒而且配料表很简单,没有什么添加剂,很放心,好消化味道好,小皮家东西让我很放心 ",好物不断，优惠同享,-,2021-06-23
6,y**q,口味: 【初尝】原味高铁有机大米粉,好评,"cjll记不清是多少次入手小皮了🌃,从一开始就吃的小皮这一款米粉🌁,,宝贝特点：米粉很细☔,不管怎么冲都好细腻🌀,会推荐朋友们购买的﻿☀,再也不会买☁,味道很丰富🌃,孩子喜欢喝🌂,我买过好几盒小皮米粉🌃,喜欢吃还会回购🌀",-,-,2021-06-25
7,l**8,口味: 【初尝】原味高铁有机大米粉,好评,口感很滑，也容易冲泡。刚入手，冲好评来的，也不知道是否值得😂我不知道有没有宝妈和我一样冲泡时有发现沉淀物，稀泡才有，稠泡时是没什么但细看还是有的……找了客服，客服说正常那就正常，三价铁，我也不懂是啥，还是挺不放心的。没冲泡时也能看到多少其它颜色的微细物，大家看着买吧。反正说是原味大米就觉得是大米色，不应该有其它物。 ,-,-,2021-06-23
8,y**g,口味: 【初尝】原味高铁有机大米粉,好评,"ye很喜欢吃,有颗😺粒,就先来囤着了成分很👱好,成分比较简单,就📔是纯米糊味儿。想要那🕝个小碗,颜色特别亮。😾为了收集更多的周边,☀没有添加白糖,小皮的💽米粉很细,宝宝很爱吃🍦。多次购买,,从宝宝🐄六个月开始,",-,-,2021-06-17
9,t**6,口味: 【初尝】原味高铁有机大米粉,好评,宝宝是从这个月9号开始吃的，她很喜欢，我也尝过了，大米的味道，很细腻，本来刚开始更看重贝拉米，经过几番比较还是选这款小皮米粉，很不错的一款米粉，又入手了他们家果泥。,-,-,2021-06-22
10,t**0,口味: 【初尝】原味高铁有机大米粉,好评,还没给宝吃，到了好几天了，他人不舒服还没给吃，看起来不错，还送了这小甘薯泥，,-,-,2021-06-17
