数据下载时间：2021-06-29 19:28:44 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/630166911506/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**4,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,打开一大堆超值超值超值 特别喜欢孩子爱吃 我也爱吃,-,-,2021-06-22
2,小**琪,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,果冻挺好吃的，拿回来孩子也喜欢吃，满满的一箱 ,-,-,2021-06-23
3,z**1,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,日期都是6月份，很新鲜，都等了几天才发货也值了 ,-,-,2021-06-22
4,牛**琦,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,口感味道：口味不错，孩子特别喜欢，三下五除二，大人小孩一起消灭了一包。 ,-,-,2021-06-22
5,嗳**沃,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,特别好，孩子们很爱吃，口味也多，比在超市买便宜。 ,-,-,2021-06-21
6,张**5,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,猫妹**直播间买的！比超市便宜，是正品，好吃！ ,-,-,2021-06-22
7,许**诺,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,亲亲果冻收到了，味道还不错，比实体店的划算。 ,-,-,2021-06-21
8,我**静,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,比超市便宜好多，味道也很好吃，孩子很喜欢吃。 ,-,-,2021-06-22
9,t**7,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,在猫猫直播间买的，很合算，拿回来给孩子吃，可开心了，他喜欢包装袋上的草莓图案，看到就吃那个口味的。三种口味都很好！,-,-,2021-06-24
10,鼠**0,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,口感味道：店家包装很细心没有破损，快递也很给力，一共6包，特别好吃，最喜欢橘子味的，满满的橘子果粒，小时候的味道 ,-,-,2021-06-22
11,x**x,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,口感不错，包装也很精美，满意的一次购物 ,-,-,2021-06-24
12,冰**3,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,好吃，实惠，是小时候的味道,-,-,2021-06-24
13,w**言,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,非常不错 还会回购滴 好吃的零食就要买买买,-,-,2021-06-21
14,t**5,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,好吃到根本停不下来！小时候也许没有吃到的缘故，现在超级喜欢各种小零食！哈哈并不是所有的小零食都是孩子专利哦！哈哈哈 ,-,-,2021-06-23
15,明**5,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,六小袋，还不错，平时爱吃,-,-,2021-06-23
16,魔**柒,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,味道很好吃，价格很实惠，性比价很高， ,-,-,2021-06-22
17,t**5,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,很好吃，跟超市里买的一样。,-,-,2021-06-23
18,姑**琳,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,哈哈哈，买了一箱亲亲果冻，果然还是小时候的味道，吃不完做冷饮也可以放，太划算了,-,-,2021-06-24
19,z**6,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,质量没得说，特别特别喜欢，而且价格优惠,-,-,2021-06-22
20,李**人,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,三种袋口味，价格真合适，亲亲牌，宝贝喜欢 ,-,-,2021-06-20
21,y**i,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,直播间拍的，日期新鲜5月份生产，和超市卖的差不多价格便宜不少，其中有两包橘子活动,-,-,2021-06-21
22,p**0,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,划算！ ,-,-,2021-06-21
23,t**6,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,孩子很爱吃,-,-,2021-06-19
24,j**3,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,果冻收到了，挺实惠的，值得购买  ,-,-,2021-06-24
25,t**8,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,活动不错，口感可以，大人小孩都喜欢吃，实惠,-,-,2021-06-21
26,x**7,口味: 360g什锦果冻*2袋+360gAD钙果冻*2袋+450g桔子果冻*2袋,好评,口感味道：宝贝已收到，是我想要的，手感很好，质量也挺好，有问题客服也很快就解决了，态度非常好，一定好评！ ,-,-,2021-06-22
