数据下载时间：2021-06-29 19:29:04 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/605517415019/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,赵**4,口味: 蓝莓味,好评,第一次买这家的溶豆就像赠品一样下次不会再来买了太差,-,-,2021-06-24
2,w**妞,口味: 苹果味,好评,味道很好吃 大人都比较喜欢 不过包装建议可以改下 宝宝一次性没有吃完一包打开后不好保存 开袋后就得一次性吃完  可以做成密封拉链设计 ,-,-,2021-06-23
3,漂**影,口味: 原味,好评,好吃，不光是孩子爱吃，我都快把孩子的吃完了。特别是蓝莓味，超级好吃。 ,-,-,2021-06-23
4,l**9,口味: 草莓,好评,打开好大一股草莓香，吃了一颗，很好吃，不过宝宝捏容易碎成渣，宝宝还是很喜欢吃。 ,-,-,2021-06-24
5,t**6,口味: 草莓,好评,食用效果：宝宝爱吃，味道不错，大人也爱吃 包装与外观：小狮子很可爱 宝贝特点：酸奶味很浓 ,-,-,2021-06-24
6,红**f,口味: 原味,好评,质量没得说，跟专卖店一样，特别特别喜欢，而且价格优惠 ,-,-,2021-06-23
7,恩**康,口味: 猕猴桃味,好评,这个溶豆一捏就碎 本来想让宝宝自己拿着吃 锻炼手部精细动作 结果宝宝一拿就碎了 弄得手上和桌上都是** 买的别的牌子的溶豆 比这个大也硬一点 宝宝抓取很方便 而且入口即化,-,-,2021-06-17
8,芯**哈,口味: 苹果味,好评,618活动买的，0点秒杀，价格还是可以的。 ,-,-,2021-06-23
9,b**佳,口味: 原味,好评,从来没有轻易为哪家商铺写过差评也没写过差评，但这次真的是意外了。酸奶溶豆客服的回复是建议8个月，然后又说按照国家规定都是3岁以上。那么在包装盒子上面或者在快递盒子里面有没有关于溶豆的建议说明。答案是没有。我可以理解不够完善但是不能理解这种“巧言善辩”。,-,-,2021-06-26
10,l**9,口味: 原味,好评,宝宝手上的口水，再拿着溶豆一捏，几乎成渣了。但味道确实好，宝宝很喜欢吃！ ,-,-,2021-06-24
11,花**7,口味: 原味,好评,7m➕宝宝很爱吃，刚开始接触就吃的原味，她简直太爱吃了，这次618也囤了其他口味打算给他试试，,-,-,2021-06-19
12,t**1,口味: 猕猴桃味,好评,在她家购买好多吃的了 酸甜 甜味偏重 到嘴里快速融化 这个牌子孩子吃的放心 放心购买 ,-,-,2021-06-25
13,t**1,口味: 苹果味,好评,备注好了4种口味各样一盒，结果给我发了4个一样的口味！ ,-,-,2021-06-25
14,张**1,口味: 原味,好评,超级垃鸡的售后，垃鸡的店铺，以后再也不会在禾央央家买任何东西，玩儿了10几年淘宝，从来没有给过差评，这次真的是第一次，忍无可忍！！申请退货退款，卖家收到货给拒绝了申请，说内外包装破损影响二次销售，这个应该去找快递吧，卖家让我自己联系快递，快递那边也不了解情况，卖家也不跟快递说明情况，让我打了几天的电话，最后也没有解决问题，最后卖家又得了钱也得到了货物……她们家的产品也不建议给宝宝买，如果东西好吃的东西我也不会去退，溶豆的甜度太高，比糖都甜，真的很不好，米饼宝宝吃了也上火严重！！真的差劲儿，严重差评 ,-,-,2021-06-20
15,莫**暮,口味: 苹果味,好评,宝宝很喜欢吃 买了几次禾泱泱的零食 想说不仅东西好 客服也真的特别负责 下单都会提醒原材料 以及适不适合月龄吃 好感倍增 虽然价格比起其他稍微高点 但毕竟一分钱一分货 值得！ ,-,-,2021-06-19
16,w**y,口味: 原味,好评,经常买，宝宝爱吃不能停，尤其喜欢草莓和蓝莓口味。很稣，从6个月吃到13个月了！ ,-,-,2021-06-23
17,t**0,口味: 原味,好评,非常值得信赖的品牌，质量有保障，价格还亲民，相当满意 ,-,-,2021-06-22
18,t**0,口味: 苹果味,好评,🌈质量很好，买的很合我心意💕，棒棒哒！✨需要的亲们可以放心购买 ,-,-,2021-06-22
19,g**7,口味: 蓝莓味,好评,实在很不错哦，顺丰快递很快，跟描述一样，太赞了，推荐朋友关注这家店 ,-,-,2021-06-17
20,张**g,口味: 原味,好评,不错哦！第一次给宝宝买零食，朋友推荐的牌子！,-,-,2021-06-20
21,朱**9,口味: 猕猴桃味,好评,我是个说真话的人 他家的食物真的不错 零食宝宝很爱 我也偶尔尝尝 真的很不错 食材也干净 ,-,-,2021-06-23
22,a**g,口味: 原味,好评,活动划算 包装精美  ,-,-,2021-06-23
23,郑**4,口味: 原味,好评,食用效果：好 包装与外观：可爱 ,-,-,2021-06-21
24,蕊**3,口味: 蓝莓味,好评,跟我在实体店买的一模一样！还是一样的好用，开心,-,-,2021-06-26
25,c**2,口味: 原味,好评,5月27的生产日期，比母婴店便宜，但还是有点小贵。之前吃过试吃的，宝宝很喜欢吃，这回买了正装，4袋能吃一段时间了。 ,-,-,2021-06-23
26,龙**汇,口味: 蓝莓味,好评,味道挺好吃的，宝宝很爱吃，没毛病 ,-,-,2021-06-26
27,2**秋,口味: 原味,好评,日期很新鲜，活动也很优惠。 ,-,-,2021-06-21
28,王**9,口味: 原味,好评,如果不使用优惠，太贵啦。价格应该亲民点 ,-,-,2021-06-24
29,李**5,口味: 苹果味,好评,宝宝喜欢 主要是成分没有乱七八糟的糖分 ,-,-,2021-06-22
30,回**g,口味: 草莓,好评,宝宝很喜欢吃，味道不错,-,-,2021-06-25
31,哇**4,口味: 苹果味,好评,还好吧，四小包 ,-,-,2021-06-25
32,q**8,口味: 草莓,好评,孩子不爱吃饭、就要用这个当菜吃  ,-,-,2021-06-23
33,玫**啦,口味: 原味,好评,宝宝很喜欢吃 不知道会不会上火 ,-,-,2021-06-22
34,赤**香,口味: 原味,好评,还可以 酸奶本身的味道  酸酸甜甜,-,-,2021-06-26
35,j**3,口味: 原味,好评,好吃的！和实体店的一样 ,-,-,2021-06-22
36,d**蓝,口味: 原味,好评,买过很多次了，这次又来买了，还是一如既往的好。 ,-,-,2021-06-21
37,钱**1,口味: 草莓,好评,宝贝特点：好吃，我也喜欢吃。哈哈  ,-,-,2021-06-26
38,t**0,口味: 猕猴桃味,好评,真的超级喜欢，质量非常好，与卖家描述的一致！ ,-,-,2021-06-22
39,程**n,口味: 蓝莓味,好评,挺好的 没啥添加  小孩喜欢吃  主要锻炼它抓东西 8 ,-,-,2021-06-15
40,3**夏,口味: 草莓,好评,草莓味道的最喜欢吃 ,-,-,2021-06-22
41,粉**1,口味: 草莓,好评,很好，小朋友很喜欢吃。除了贵没毛病了吧 ,-,-,2021-06-26
42,安**丫,口味: 原味,好评,宝宝的零食都是禾央央 ,-,-,2021-06-23
43,9**在,口味: 猕猴桃味,好评,宝宝很喜欢吃，味道很好。配料也干净。就是价格有点小贵。 ,-,-,2021-06-18
44,b**货,口味: 原味,好评,非常好。多次购买溶豆和奶块 宝宝很喜欢吃 一小包一小包的也很卫生干净,-,-,2021-06-17
45,k**7,口味: 原味,好评,奶酪不错，宝宝喜欢。 ,-,-,2021-06-25
46,小**2,口味: 草莓,好评,宝宝特别爱吃 囤货 ,-,-,2021-06-21
47,w**光,口味: 苹果味,好评,溶豆宝宝很喜欢吃 ,-,-,2021-06-26
48,刘**颖,口味: 原味,好评,我觉得好甜 小盆友还是大点吃吧 ,-,-,2021-06-21
49,刘**o,口味: 蓝莓味,好评,好好好，孩子喜欢吃 ,-,-,2021-06-24
50,2**感,口味: 原味,好评,好吃，宝宝很喜欢 ,-,-,2021-06-26
51,t**5,口味: 猕猴桃味,好评,宝宝很爱吃 很喜欢 ,-,-,2021-06-26
52,y**子,口味: 原味,好评,娃子挺爱吃 ,-,-,2021-06-19
53,木**6,口味: 猕猴桃味,好评,收到了，一如既往满意，已经回购很多次了…… ,-,-,2021-06-23
54,晓**0,口味: 原味,好评,宝贝喜欢吃这个！！！,-,-,2021-06-24
55,n**w,口味: 原味,好评,味道很好，家里的小宝宝很爱吃，已经回购了很多次了，宝宝看到就想吃。,-,-,2021-06-19
56,说**谊,口味: 草莓,好评,第一次买给宝宝吃   很喜欢   一下子吃了半包   我也试吃了一下   挺好吃就是吃多了会腻   要多喝水,-,-,2021-06-23
57,慕**9,口味: 原味,好评,言而无信，哪有那么好 ,-,-,2021-06-26
58,t**u,口味: 蓝莓味,好评,禾泱泱溶豆和米饼好吃,-,-,2021-06-26
59,g**8,口味: 猕猴桃味,好评,一盒四小袋还是几袋了，一次吃一袋很轻松，宝宝还挺爱吃的。 ,-,-,2021-06-17
60,m**i,口味: 原味,好评,好吃 二次回购了,-,-,2021-06-24
61,本**2,口味: 原味,好评,食用效果：好吃 包装与外观：好 ,-,-,2021-06-18
62,蓝**3,口味: 猕猴桃味,好评,好吃不胡说 ,-,-,2021-06-26
63,a**1,口味: 原味,好评,给娃买的，爱吃 ,-,-,2021-06-26
64,c**子,口味: 原味,好评,宝宝很喜欢吃，不错的 ,-,-,2021-06-23
65,t**5,口味: 苹果味,好评,好吃宝宝爱吃 ,-,-,2021-06-26
66,h**6,口味: 原味,好评,不错，孩子爱吃,-,-,2021-06-22
67,胡**0,口味: 苹果味,好评,不错。孩子喜欢 ,-,-,2021-06-23
68,x**y,口味: 苹果味,好评,不错，宝宝喜欢吃 ,-,-,2021-06-25
69,t**8,口味: 草莓,好评,我儿子超级喜欢吃米饼 溶豆   以前都是在实体店买 这次在官网买的 很棒呦  ,-,-,2021-06-11
70,t**0,口味: 草莓,好评,挺好吃的，宝宝喜欢，但是价格也挺贵的，分量不多，很少。 ,-,-,2021-06-22
71,守**贝,口味: 草莓,好评,挺好的！孩子喜欢吃！成分也算健康！没有七七八八的添加！不错哦,-,-,2021-06-19
72,苏**0,口味: 原味,好评,此用户没有填写评价。,简直是学爬神器，宝宝学爬就用豆豆诱导～超级省心！,感谢您购买禾泱泱产品并进行反馈，我们禾泱泱的产品从食材的选取到制作的工艺，都是择优选择，为宝宝健康保驾护航。您的好评是对我们最大的鼓励，也将是我们不断前进的动力！感谢您的光临，欢迎再次惠顾！~祝您生活愉快，宝宝茁壮成长！~,2021-06-12
73,c**7,口味: 蓝莓味,好评,溶豆是宝宝的最爱啊，我也超级爱吃。,-,-,2021-06-20
74,t**2,口味: 原味,好评,有点甜了,-,-,2021-06-21
