数据下载时间：2021-06-29 19:50:55 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/622659674713/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**9,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,每天早上喝一杯，元气满满一整天，芝麻糊香味很浓郁，价格又特别的实惠，独立包装防潮又健康安全，容易冲泡不易结块，甜度对于我来说刚刚好，适中不会很甜，再搭配点麦片在里面吃口感更丰富，味道更佳。 ,-,-,2021-06-21
2,天**8,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,黑芝麻粉很香，我自己比较喜欢吃浓稠的，水会放的比较少。口感味道不错，也不会很甜腻，价格很实惠，强力打call~，早餐冲泡一杯再搭配个包子很有营养很美味！浓浓的芝麻香味，香香甜甜的，爱了爱了，省时又省力的早餐代餐，特别适合上班族、学生党。独立包装特别的方便携带放一盒在办公室想喝了随时来一杯，多吃芝麻粉可以长头发哦。 ,-,-,2021-06-21
3,g**0,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,溶解难易：用对方法还是很好冲泡的 包装品质：包装很不错，看着也很有档次 口感味道：口感香滑细腻，分无糖和高钙款，可以根据自身需要选择 买过好多次了，这次买了3盒，日期很新鲜，一直在这家买，还会继续支持 ,-,-,2021-06-24
4,z**7,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,黑芝麻粉很香，喜欢浓稠一点的可以少加点水，喜欢稀一点可以多加，我自己比较喜欢吃浓稠的，水会放的比较少。因为这款是芝麻粉不像之前吃的芝麻糊那么的稠，口感味道不错，也不会很甜腻，价格很实惠，强力打call~，早餐冲泡一杯再搭配个包子很有营养很美味！浓浓的芝麻香味，香香甜甜的，爱了爱了，省时又省力的早餐代餐，特别适合上班族一档哦。,-,-,2021-06-21
5,g**0,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,这家的核桃芝麻粉是真的不错，价格便宜性价比高，买了好多年了，会一直支持下去，还有他家的藕粉也很好吃，特别细腻，老人孩子都能吃 ,-,-,2021-06-24
6,t**9,口味: 【高钙款】无糖黑芝麻粉-12小包,好评,掌柜发货很快，物流也很给力，隔天就收到货了，买回来当早餐喝，学生党、办公室必备呀，超级方便，拿温开水冲泡就可以直接喝了，省时省力的早餐之选，芝麻香味很浓，日期都是很新的，价格很实惠，里面含有多种食材合理搭配，营养均衡、丰富还可以补钙，独立包装更方便，多吃黑芝麻对身体好对头发好，值得购买！ ,-,-,2021-06-21
7,j**6,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,发货快，分量足，开水冲调很粘稠，甜度适中，芝麻核桃的香气扑鼻而来，家人们都喜欢喝！吃完继续回购哦！ ,在一家人这里买的核桃芝麻粉已经很多次了，无糖黑芝麻粉也买过，适合血糖高，不适合吃甜的人群，已经成功它家的忠实粉丝了！！！,感谢亲对宝贝的喜爱。您的好评都好似一块香甜的提拉米苏蛋糕，让我们甜在嘴里美在心中。我们用心服务每一位亲，只要您能满意，我们的工作就充满了动力。感谢亲对一家人的支持！,2021-06-25
8,t**8,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,口感味道：味道超级棒 包装品质：包装高大上 溶解难易：易溶解，家人都很喜欢喝 外观品相：不错 配件问题：不错👍，易推荐给朋友，非常棒👍 ,-,-,2021-06-21
9,t**2,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,包装好看，买回来就分给同事，剩下几包了，同事都说口感好，找我要了链接，早上来一包美美哒 ,-,-,2021-06-24
10,z**z,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,之前在他们家买过即食麦片，有干果等非常好吃。这次又拍了两袋芝麻糊糊。吃起来方便又好吃，非常容易冲调，是早餐的最佳选择,-,-,2021-06-25
11,诚**佳,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,这个芝麻糊很有营养，味道也不错推荐大家买 ,特别特别好的一款产品呀，吃了很多年的芝麻粉了，现在是最喜欢一家人的了，粉末细腻，口感很顺滑，家里的老人小孩子都可以吃，味道真的超级棒，愿越做越好，多种食材合理配比，吃着很放心，独立包装很方便快捷，想喝就喝，关键是它家的价格是相当的优惠，活动时候在它家囤了好多好多盒，打算送给亲戚她们也尝一尝。以后买芝麻粉就选择一家人了。,每一句赞美的言词，每一句肯定的话语，都证明我们的努力和认真没有白费！岁月静好，我心安然，一家人食品旗舰店，期待您的再次光临~,2021-06-19
12,t**0,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,已经用喝了一段时间了 ，特别好喝，然后又屯了几盒，特来评价的 ，大家喜欢甜食的。选他，多吃黑芝麻还可以补肾，黑色的实物，对身体好，每天早上来一杯，吃多了感觉头发都有开始变黑了点了，哈哈哈哈，是心里作用吗。 ,-,-,2021-06-23
13,v**丘,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,黑芝麻粉收到了味道很好喝，比超市的便宜值得购买，值日豆和小脆幸客服态度很好哦，回复很详细很有耐心也很速度，一定会再回购的。口感真的非常的不错，粉很细腻，不容易结块，冲泡的时候不要用太高温的热水，否则特别的容易结块，因为蛋白质过高。甜度刚刚好不会太甜，拿来当早餐下午茶都是一个非常不错的选择。,-,-,2021-06-21
14,晓**0,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,不错包装盒大气、上档次。味道还不错。妈妈喜欢吃😊,-,-,2021-06-23
15,米**姐,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,孕妇每天吃这个蛮好就买了。配鸡蛋 很有饱腹感。当早餐不错。又稠又香 ,-,-,2021-06-23
16,冰**妹,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,还没开始吃，独立包装，干净卫生又方便。,-,-,2021-06-25
17,风**9,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,非常不错，已多次回购，一有活动就多买两盒放着 ,-,-,2021-06-22
18,p**n,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,每天早上喝一杯，🎉元气满满一整天，🔶芝麻糊香味很浓郁，💬价格又特别的实惠，🍣独立包装防潮又健康安全，💗容易冲泡不易结块，💅甜度对于我来说刚刚好，🌃适中不会很甜，🌿再搭配点麦片在里面吃口感更丰富，🍖味道更佳。�黑芝麻粉很香，🎢我自己比较喜欢吃浓稠的，😢水会放的比较.浓浓的芝麻香味，🍑香香甜甜的，📺爱了爱了，⏬省时又省力的早餐代餐，👠特别适合上班族、学生党。独立包装特别的方便携带放一盒在办公室想喝了随时来一杯，👋多吃芝麻粉可以长头发哦。�wxyp ,-,-,2021-06-26
19,梅**友,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,买的黑芝麻糊收到了，包装精美，物流给力，非常满意 ,-,-,2021-06-21
20,青**洋,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,溶解难易：好溶解，黑芝麻脂肪含量比较高，遇到容易结块，冲泡的时候可以分多次去加水冲泡，这样冲泡出来的黑芝麻粉特别的好喝，顺滑。包装品质：用盒子装着的，收到货的时候没有破损，很严实。外观品相：盒子很精美，挺漂亮的，拿去送礼挺合适的看起来很大方高档。口感味道：甜度适中，喝着不会很腻。独立包装的很方便想喝的时候来一包，粉质很细腻，芝麻香味很浓郁很香。值得回购的产品！以后继续支持打call  ,-,-,2021-06-22
21,诚**佳,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,多次购买，这个味道不错，和南方的差不多，料更多营养全面 ,掌柜发货很快，物流也很给力，隔天就收到货了，买回来当早餐喝，学生党、办公室必备呀，超级方便，拿温开水冲泡就可以直接喝了，省时省力的早餐之选，芝麻香味很浓，日期都是很新的，价格很实惠，里面含有多种食材合理搭配，营养均衡、丰富还可以补钙，独立包装更方便，多吃黑芝麻对身体好对头发好，值得购买！,每一句赞美的言词，每一句肯定的话语，都证明我们的努力和认真没有白费！岁月静好，我心安然，一家人食品旗舰店，期待您的再次光临~,2021-06-19
22,阿**儿,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,在一家人这里买的芝麻粉都不下5次了，越吃越喜欢，而且价格也是特别的优惠划算。芝麻粉粉质很细腻，里面没有多余杂质。冲泡后有一股浓香，易溶于水，不易结块，独立包装好携带，常喝黑芝麻粉，可以养发，补肾，这家性价比很高，喜欢吃芝麻粉的不要错过。,-,-,2021-06-26
23,平**淡,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,第四次回购，真的好喝，可当早餐。,-,-,2021-06-24
24,m**1,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,第一次购买，觉得味道蛮不错的，而且每袋量也不少，芝麻香味很浓郁，只需要用75度-85度左右的热水去冲泡就可以了，不容易结块，纸盒包装非常的精美，拿去送礼也是一个不错的选择。价格比超市卖的便宜好多，喜欢！拿去放在办公室饿的时候来一杯，很香，多吃黑谷物对身体好。  ,-,-,2021-06-25
25,恶**1,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,纸盒包装非常精美，每袋量也不少，很容易冲泡开，不容易结块，用玻璃杯加半杯水也不会特别稀，很浓稠，比之前买的某品牌的芝麻糊好，真是一分钱一分货，物超所值，喜欢！每天早上来一杯再搭配点吐司当早餐，吃着很香，多吃黑谷物以黑养黑，对身体好。 ,-,-,2021-06-22
26,燕**物,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,"纸盒包装非常的精美大方，吃了一段时间才来评价的，味道真的很ok,都不敢相信是这个价格买的芝麻粉，太令人惊讶了，每袋量不少，而且特别容易冲开，不易结块，比我之前买其它的芝麻粉都要好，里面有多种食材，合理搭配营养均匀且日期新鲜。",-,-,2021-06-25
27,1**5,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,里面是独立包装一小包一小包的很方便携带，平时都是放在办公室当早餐，自己还会添加点坚果进去搭配，早上没时间直接拿一包一冲即可，简单饱腹又好喝，闻着香喝上更香，当做早餐和代餐都很合适，而且不易结块，冲泡很粘稠，是正品，味道很纯正,-,-,2021-06-23
28,t**8,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,溶解难易：易容解，包装漂亮，口感香甜，非常满意! ,-,-,2021-06-21
29,姜**5,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,溶解难易：没有结块现象 包装品质：包装高大上 口感味道：甜度适中，口感好 外观品相：包装完整快递无破损 值日豆服务哇哇赞 ,-,-,2021-06-16
30,m**3,口味: 【高钙款】核桃黑芝麻粉-12小包,好评,纸盒包装，收到没有破损，包装紧实，一盒里面有12小包，量挺多的，甜度也没有评论里面说的非常的甜，特别的喜欢喝！而且味道非常的好闻浓浓的芝麻香味，口感特别的纯正，是正品，每天一包对头发好，对身体好，可以拿来当早餐，再配点面包很完美。  ,-,-,2021-06-26
