数据下载时间：2021-06-29 19:53:26 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/601371503810/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**0,口味: 6只混合装（原味+抹茶+紫薯)【0蔗糖0油高饱腹感】,好评,"饱腹感超级强🌁,没问题酒味☁,一个纸袋装着🌇,看见碳水就和看见亲妈一样⚡,宝贝与描述相符☁,完美又丰盛的早餐就搞定🌄,味道淡淡的﻿☀,切片可以接受🌁,外皮较松软⛄,面包也不会很硬欧包很新鲜⛄,一般都很对胃口🌆,用烤箱烤后🌁,口感味道：好吃哦☔",-,-,2021-06-22
2,h**8,口味: 6只混合装（原味+抹茶+紫薯)【0蔗糖0油高饱腹感】,好评,水分很足。果肉细腻但是特别新鲜爽口外表漂亮里面红红的而且营养价值挺高富含维生素C挺多的口感鲜甜微苦、果肉细嫩柔滑，是减脂去腻、水分很足，剥开皮闻着超级香，看见果肉颜色非常的漂亮，皮很薄，肉饱满，水分足 一次吃一个剥皮，很方便。推荐而且性价比很高，发货发了一大箱子，发货很快，不用担心水果变坏,-,-,2021-06-23
3,t**3,口味: 12只全麦抹茶味【夏日茶香物语】,好评,七年五季  真是个别致的名字   简简单单    包装品质：包装完好  还是顺丰快递  很完美  也很快就吃到嘴啦     商品分量：看图片以为很小的一个呢   结果回来一拆包装  好大呀    保质期：日期特别新鲜    保质期十五天    新鲜度：很新鲜的欧包    口感味道：口感不错   比一般全麦欧包要好吃很多呀    买了好几种口味的  还有混合口味的   就着酸奶吃特别好吃😋  可以尝试呀   包装上的字简简单单   确深入人心 好好生活   好好吃饭 就是最简单的幸福 ,-,-,2021-06-10
4,心**近,口味: 6只混合装（原味+抹茶+紫薯)【0蔗糖0油高饱腹感】,好评,"饱腹感超级强，一个纸袋装着✌，看见碳水就和看见亲妈一样，宝贝与描述相符☝，完美又丰盛的早餐就搞定，味道淡淡的，,切片可以接受🐛，外皮较松软，面包也不会很硬欧包很新鲜，🐠一般都很对胃口，用烤箱烤后，口感会更好。🌺日期特别新鲜，比一般全麦欧包要好吃很多呀，推荐的。💰",-,-,2021-06-24
5,l**d,口味: 6只混合装（原味+抹茶+紫薯)【0蔗糖0油高饱腹感】,好评,"比一般全麦欧包要好吃很多呀⛄,我比较能接受⛄,口感味道：还好﻿☀,里边每个面包独立包装🌄,618凌晨买的🌃,每我喜欢嚼全麦的感觉﻿☀,保质期：日期特别新鲜🌃,用烤箱烤后🌂,大人难以下咽🌄,饱腹感超级我喜欢嚼全麦的感觉⛄,分量是可以的⛄",-,-,2021-06-26
6,t**4,口味: 12只装混合装（原味+抹茶+紫薯）,好评,此用户没有填写评价。,"商品分量：很足🌂,里边每个面包独立包装⚡,确深入人心🌁,很少给评价🌂,完美又丰盛的早餐就搞定⚡,口感味道：还好⚡,再加点生菜叶🌁,包装看起来让人十分有食欲☔,但个人觉得不如他家经典原味的⛄ng",-,2021-06-22
7,w**鹿,口味: 6只混合装+6只红丝绒紫薯馅【席鑫推荐热卖爆款】,好评,味道很赞，👅饱腹感强，💤，♠口感味道：相对比较蓬松外🌅皮较松软，⚾味道很好。👂我是很喜欢吃的，😞这个😣很软，💐再加点生菜叶，🔖很划算。不知道是多少次回购了，🔻很新鲜🔌配料也很健康快递很快包装的也很好🐯下次再来。  ,下単之前记得--看图！很好看,-,2021-06-23
8,y**2,口味: 【6只混合装+6只红丝绒】【顺丰包邮】,好评,"yf全麦里最好吃的🚌一款,有股药味,很新鲜♍配料也很健康快递很快📔包装的也很好下次再来🌸。皮很薄,有点上头,🚼很划算。一共两袋,能🌕放很久不坏。如图所示💝,大人难以下咽。面包🔱也不会很硬欧包很新鲜💓,抑制食欲,",-,-,2021-06-26
9,t**3,口味: 12只混合装(原味+抹茶+紫薯)【约90%会员推荐回购】,好评,七年五季  真是个别致的名字   简简单单     包装品质：包装完好  还是顺丰快递  很完美  也很快就吃到嘴啦      口感不错   比一般全麦欧包要好吃很多呀    买了好几种口味的  还有混合口味的   就着酸奶吃特别好吃😋  可以尝试呀   包装上的字简简单单   确深入人心 好好生活   好好吃饭 就是最简单的幸福 ,-,-,2021-06-10
10,t**6,口味: 【6只混合装+6只红丝绒】【顺丰包邮】,好评,"yd欧包很新鲜,有♒股药味,包装看起来让人⛽十分有食欲。分量是可🎱以的,不熟,味道是真🍶不错的。中间的馅儿还🏮行,有点上头,用烤箱🐪烤后,血糖生的很快,😥抑制食欲。是真空独立🍷包装,大人难以下咽。🔓生产的,",看我晒图！！！非常划算哟！！！,-,2021-06-24
