数据下载时间：2021-06-29 19:54:38 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/555582668359/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,冰**7,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,适合懒人.[拥抱]家人孩子很喜欢吃[红包]，效果好质量好[红包]，食用方便，不错，东西己经收到里面有冰袋，[红包]东西跟照片一样味道不错[發]，口感很好酥酥嫩嫩，可以搭配生菜葱香肠等，必须回购哦  [發],味道真的好。,-,2021-06-21
2,默**8,口味: 【100克×40片】送40个纸袋+5包番茄酱+顺丰包邮,好评,"推荐大家买，[玫瑰]加点葱花和鸡蛋做出来的味道很美味[拥抱]，用锅放点油煎的酥脆一些更好吃[太阳]，手抓饼质量挺好的[红包]，煎出来效果很好，[福]食用方便，[烟花]简直是懒人福利,[礼物]家人孩子都很喜欢[社会社会]，会回购 ",太好吃了下次还会继续回购,-,2021-06-23
3,赵**号,口味: 【100克×20片】送20个纸袋+5包番茄酱+顺丰包邮,好评,"这次快递很快☔,煎出来效果很好⛄,买的最大的☁,食用很方便🌁,犹豫的亲们可以放心购入🌁,包装很好所以收zq到快递完好无损﻿☀,已经收藏网址☁,这家的性价比真的很高🌀,家人孩子都很喜欢﻿☀ ",-,-,2021-06-22
4,y**1,口味: 【100克×40片】送40个纸袋+5包番茄酱+顺丰包邮,好评,手抓饼质量很棒，做起来很简单，很适合懒人，尤其是煎时间长一些，外边那个脆皮超级棒，可以搭配生菜鸡蛋烤肠 孩子也喜欢吃，效果很好，食用也很方便呢,-,-,2021-06-22
5,f**6,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,手抓饼质量很好👙饼也很大，两面都有薄膜，用小火比较好🍎操作很简单，适合懒人🎈配送了袋子 搭配番茄酱🎄效果很好。食用很方便，自己制作简单又健康🏆家里人都很喜欢 ,吃着口感也很好，第三次买了,-,2021-06-21
6,雪**泽,口味: 【 80克×30片】送30个纸袋+5包番茄酱+顺丰包邮,好评,口感味道：一团*面，膨胀不起，口感极差，带酸味 新鲜度：冰袋不知道什么时候都化了，面都踏一起了，大热的天，东西放几个小时就会变质， 整体评价：冰袋不知道什么时候化得，面也踏一起没层次了，带酸味，客服说冰袋话是正常的，我也知道，关键我中午收的货，还是夏天，冬天也就算了，夏天这样的东西谁敢吃，还敢给孩子吃吗，**商家， ,-,-,2021-06-23
7,大**6,口味: 【100克×40片】送40个纸袋+5包番茄酱+顺丰包邮,好评,手抓饼很好吃，吃起来松软香脆，宝贝们都很喜欢，可以做各种花样的吃的，效果好食用方便的，自己可以搭配材料，操作简单、懒人的做法武器，吃完再来、、、 ,-,-,2021-06-23
8,贾**7,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,手抓饼早上用来当早餐加上自己喜欢的配菜🌴营养丰富方便快捷节省时间～效果好食用也方便🍳做起来也方便，很适合懒人👩家人和孩子都喜欢吃呢🍔饼质量很好，满意,这是第二次购买了，确实满意,-,2021-06-24
9,t**6,口味: 【100克×20片】送20个纸袋+5包番茄酱+顺丰包邮,好评,手抓饼收到了，质量很好🎸收到快递完好无损。第二天用平底锅几分钟就搞定了🌵效果好食用也很方便的哦，很适合懒人🐭而且这家的饼很大。孩子很喜欢吃🍟吃完再来回购 ,手抓饼味道很不错，做起来也方便，点个赞。,-,2021-06-26
10,2**p,口味: 【100克×25片】送25个纸袋+5包番茄酱+顺丰包邮,好评,比外面买的实惠又健康，质量也很好，满意哦。孩子也很喜欢吃。吃完还会回购的。饼味道不错，吃起来也酥脆，效果很好食用方便，喜欢的朋友可以买来吃，很适合懒人呢,-,-,2021-06-17
11,s**7,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,手抓饼真的很好吃🍣质量也好，价格优惠，自己第一次做👑做的很棒哦，懒人不怕做饭了🎈做的效果超好，弄得好跟外面买的味道是十分相向的🌴食用也很方便推荐推荐  ,几乎每次都在他家买的，物流快，口感也不错，大人小孩都喜欢,-,2021-06-21
12,j**1,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,"日期新鲜，性价比高。很好吃，饼酥脆香,用不沾锅煎的.不需要放油。饼里面本身就有油，两面各煎一下再打**蛋盖上去，放点酱蔬菜。适合懒人 效果好 质量好 食用方便  家人和孩子也很喜欢吃。",-,-,2021-06-16
13,s**诗,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评, 这家的饼是我尝过众多家的饼之后，目前最最满意的饼[發]。层次分明、香酥软。犹豫的亲们可以放心购入，[胜利]太好吃了，[礼物]适合懒人.家人孩子很喜欢吃，[福]效果好质量好，食用方便，[礼物]还会回购 [太阳] ,这家饼真心推荐给大家，儿子每天都吵着要吃,-,2021-06-15
14,周**户,口味: 【100克×20片】送20个纸袋+5包番茄酱+顺丰包邮,好评,手抓饼收到了，质量很好，吃着口感很好，包装有冰袋保鲜，拿回来直接放冰箱，食用很方便效果也好，大人和小朋友们都很喜欢吃！操作也很简单方便，真的很适合懒人的哦 ,-,-,2021-06-17
15,风**5,口味: 【100克×40片】送40个纸袋+5包番茄酱+顺丰包邮,好评,下单两天半就到了，一个圆柱形泡沫箱装着，打开一看，里面有一个冰袋，几小包番茄酱，冰袋已化了，还好里面还有些凉，不错（我们这高温38度左右）马上放进冷冻室，中午拿了一片试做，开最小火，不用放油，小煎2至3分钟，中间要番面，就好了，酥脆可口，面饼不酸，有淡淡的盐味。起层的哟。 ,-,-,2021-06-21
16,陪**花,口味: 【 80克×30片】送30个纸袋+5包番茄酱+顺丰包邮,好评,"gl饼里面本身就有油,犹豫的亲们可以放心购入🌁,手抓饼质量挺好的🌁,会回购很不错⛄,煎出来效果很好,孩子很喜欢吃很适合懒人做的饭家庭必备了,手抓饼收到了质量很好🌃,手抓饼不需要油,孩子大人都爱吃继续购买🌃,比外面的味道好极了干净又卫生☔非常好 ",-,-,2021-06-23
17,a**9,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,这个手抓饼给孩子做早餐很方便[玫瑰]手抓饼质量很好，做起来非常简单方便🍦煎一下就可以了，在放一个荷包蛋🍳又香又脆，很适合懒人操作🍝效果好食用也方便🌴家人都喜欢吃 ,味道不错，大人小孩都喜欢，多次联系了。,-,2021-06-21
18,5**梁,口味: 【100克×40片】送40个纸袋+5包番茄酱+顺丰包邮,好评,"下班回去做了几个🐙，非常的酥脆[嘴唇]，💝孩子也特别喜欢吃他们说真好吃[玫瑰]🌺，质量挺好的，👻煎出来效果很好，🎃食用方便，简直是懒人福利,🐧家人孩子都很喜欢⚡，会回购的已经推荐身边的朋友啦[拥抱] ",-,-,2021-06-22
19,绿**纷,口味: 【 60克×20片】普通快递 无赠品,好评,快递非常慢 寄过来已经融了，都变质了，和客服说还说我们晚取了快递导致的，明明都是快递送货上门的，好无语。都不是解决问题的，一直在推卸责任。,-,-,2021-06-23
20,小**行,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,真是绝了这手抓饼🍣这次买的相当成功！质量很好👑饼里面搭配任何东西也不会觉得装不下🌺效果好的很，孩子很爱吃👻做起来方便，超适合懒人，不用早起了🐸食用也很方便,味道不错👍,-,2021-06-25
21,幸**3,口味: 【 60克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,这个乐麦点的手抓饼多次购买了，大小厚薄正合适，孩子超级喜欢吃，自己动手做的，早上起来很省事。比外面买的又干净又好吃。关键是方便，便宜。吃完了还回购，认准了这个牌子的。 ,越做越好,-,2021-06-26
22,t**5,口味: 【100克×40片】送40个纸袋+5包番茄酱+顺丰包邮,好评,一颗星都觉得多，在零下14度的冰箱保存，客服竟然告诉我需要零下20度才可以，质量有问题就是有问题，做生意不是发昧良心财的。一揭就烂。真是买过最差的手抓饼。,面还灰灰的不白。,-,2021-06-25
23,长**娘,口味: 【100克×25片】送25个纸袋+5包番茄酱+顺丰包邮,好评,喜欢吃的手抓饼收到了[爱心]口感还是一如既往的好吃[猪头]质量也很好，自己在家做也很方便⛳效果好🍟食用也方便，很适合懒人👩 吃完还回购 ,还可以开发新的吃法 烤一下😀,-,2021-06-13
24,t**8,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,真的很便宜很划算适合懒人.家人孩子很喜欢吃，效果好质量好，食用方便，口感酥脆清香 家里大人孩子都很喜欢吃 早上吃的时候不用放油和盐就可以了 搭配在他们家买的地道肠非常完美，吃完回购哦n,方便、好吃😋,-,2021-06-24
25,c**4,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,超级酥脆🍳一点不比外边买的差，质量很好🏆煎制出的效果很好，孩子老公都很喜欢吃🍔 很适合我这种懒人用来做早餐⛳简单方便 ，食用起来很方便🔨吃完继续回购！,下次继续回购！,-,2021-06-22
26,我**0,口味: 【 60克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,此用户没有填写评价。,手抓饼保鲜的非常好，🌟没有褶皱，🐛平铺再冰箱冷冻之后再做，🌊特别香哈哈哈，我拿来做了各种花样，🌴想怎么做就怎么做，🌙适合懒人.家人孩子很喜欢吃，效果好质量好💝，食用方便，🎃，回购哦,-,2021-06-26
27,嵇**8,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,"这两天买了这个面饼[玫瑰]，又给孩子买了香肠和番茄酱[福]，配在一起做的饼孩子说和外面卖的吃着一样，👇手抓饼质量挺好的，煎出来效果很好，食用方便👊，简直是懒人福利🌺,家人孩子都很喜欢🌴，会回购的 ",早餐手抓饼很方便。,-,2021-06-26
28,葵**说,口味: 【100克×40片】送40个纸袋+5包番茄酱+顺丰包邮,好评,"手抓饼不错的，🐹口感很好，用不粘锅几乎不用放油就可以了🌴，再也不用去外面的小摊上吃了☎，手抓饼质量挺好的📫，煎出来效果很好，食用方便🐠，简直是懒人福利,✌家人孩子都很喜欢，会回购的",-,-,2021-06-21
29,w**n,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,"早餐丰盛又快捷，🐹比店里便宜很多🌴，吃完了还会再来。🌊喜欢的小伙伴可以下单哦🐸，手抓饼质量挺好的🐳，煎出来效果很好，💝食用方便，🌵简直是懒人福利🎅,家人孩子都很喜欢🎃，会回购  ",-,-,2021-06-21
30,w**w,口味: 【 90克×20片】送20个纸袋+5包番茄酱+顺丰包邮,好评,"很方便，[爱心]很容易上手，用最小火煎[庆祝]，我放了一点点的油！很快就有金黄色了[太阳]！感觉不粘锅不放油也行[福]！配料自己随意加，手抓饼质量挺好的[烟花]，煎出来效果很好[666]，食用方便，简直是懒人福利,家人孩子都很喜欢。[调皮]会回购",做法多样,-,2021-06-05
31,到**光,口味: 【100克×40片】送40个纸袋+5包番茄酱+顺丰包邮,好评,跟以前买的完全不一样 冻都冻不好 买的100g都很薄 面饼一没啥油 二不起层 跟*饼一样 味道也怪怪的  因为之前买过觉得还挺好的 就再次买了 后悔没听评论 不应该买的,-,-,2021-06-26
32,悦**1,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,此用户没有填写评价。,手抓饼一点也不油[庆祝]已经多次购买，质量很好⛄特别适合我这种懒人，简单方便🎈做出来效果很好，而且一点都不硬 🎃老人小孩都爱吃，食用很方便🎄随吃随做，还会回购,-,2021-06-21
33,z**8,口味: 【100克×40片】送40个纸袋+5包番茄酱+顺丰包邮,好评,"手抓饼收到了[玫瑰]，迫不及待试了下，[拥抱]真的很赞哦。[太阳]饼很大，手抓饼质量挺好的[礼物]，煎出来效果很好👉，食用方便，[拥抱]简直是懒人福利,家人孩子都很喜欢，[拥抱]会回购",很好吃，还会回购的。,-,2021-06-24
34,阿**博,口味: 【100克×20片】送20个纸袋+5包番茄酱+顺丰包邮,好评,  把产品从箱子里拿出来放冰箱里冷冻 ，[礼物]制作的时候也比较方便[福]，制作一张拿一张。适合懒人.家人孩子很喜欢吃[勾引]，效果好质量好，[發]食用方便[红包]，，吃完再来回购！！   ,制作一张拿一张。适合懒人.家人孩子很喜欢吃[勾引]，效果好质量好，[發]食用方便[红包]，，吃完再来回购！！,-,2021-06-22
35,格**6,口味: 【 60克×20片】普通快递 无赠品,好评,收到了，很好吃，好评好评好评🌞🌞🌞🌞🌞🌞,"他们家的手抓饼包装很好🌺，味道也好👾，买来自己做很干净卫生 🍳。适合懒人.家人孩子很喜欢吃🍔，效果好质量好🍣，食用方便，🏁,里面可以放点生菜鸡蛋烤肠，回购哦",-,2021-06-10
36,t**3,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,"手抓饼真的超级超级好吃🐙，一直很喜欢吃手抓饼，💝真的很好吃，💝手抓饼质量挺好的🎃，煎出来效果很好🌴，食用方便，简直是懒人福利📫,家人孩子都很喜欢，🐯会回购",可以放心购买,-,2021-06-06
37,l**q,口味: 手抓饼 [ 60克×20片 ],好评,"孩子很喜欢好评☁,我喜欢酥脆的口感很好🌈,家人孩子都很喜欢🌁,早上一个刚好够食用🌂,效果好质量好🌈,煎出来效果很好🌇,包装好发货快🌂,外边的太大了想吃又怕胖🌀,直接下手购买吧🌅,卖家很细心哦🌁,效果很好适合懒人⚡,朋友推荐我来买的🌇,放在早餐机上☔,价(*￣︶￣)格实惠味道棒棒的信得过的品牌⚡ ",-,-,2021-05-28
38,王**5,口味: 【100克×20片】送20个纸袋+5包番茄酱+顺丰包邮,好评," 分量真的没话说[拥抱]，一口下去超级满足[合十]，而且也不花时间，做也很方便，[烟花]完全来得及，[猪头]手抓饼质量挺好的，[得意]煎出来效果很好，食用方便，[红包]简直是懒人福利🌴,家人孩子都很喜欢💝，会回购的 ",脆香 继续购买,-,2021-06-19
39,阡**比,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,前一天发货，第二天上午就到了，冰块还没化呢。物流快快的。没什么问题，之前有在这家店买过，现在是回购第二次了，依然好吃。锅里没放油再煎手抓饼的，后面煎蛋的时候锅底放了点油。好吃好吃 ,-,-,2021-06-21
40,莉**0,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评," 收到了你们家手抓饼了[拥抱]，真的非常好吃🌺，很实惠，🎃朋友也说很好吃味道不错📫，我已经把链接推荐给他了🌙。手抓饼质量挺好的，煎出来效果很好，👑食用方便，简直是懒人福利🍎,家人孩子都很喜欢，💎会回购🍝 ",好吃的，还会再来,-,2021-06-15
41,x**2,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,整体评价：味道一般，买的最厚的感觉也很薄，赠送番茄酱也不好吃，有股怪怪的味道，就这样还没事发短信要给好评，梁静茹给你的勇气嘛 ,-,-,2021-06-26
42,t**3,口味: 【 80克×50片】送50个纸袋+5包番茄酱+顺丰包邮,好评,手抓饼收到了⛳质量很好，比在超市便宜很多👑收到货就给两个孩子做了几个🎄孩子特别喜欢吃，跟在外边做的味道一样⛳早上懒得做饭弄一块🍜效果好食用也方便👩适合懒人哦,分量很足，给宝宝当早餐很方便👍放心购买,-,2021-06-06
43,j**4,口味: 【100克×40片】送40个纸袋+5包番茄酱+顺丰包邮,好评,从来没买过有这么差的东西，拿到说时效还正常不会坏，可就是酸塑料味。下午找她说我放坏的（他是想等人家试出人命出来才说问题在哪）,刚开妗想拍时我就在想十万个单不会我就是望料酸味的吧，后来才想到是刷单出耒的。她们家就是在买酸味的薄饼，加上包装就有化学反应了。她们家还不认账 。这样的**商家,-,2021-06-23
44,菲**4,口味: 【100克×40片】送40个纸袋+5包番茄酱+顺丰包邮,好评,"非常方便，💍味道也很不错～🍜早上只需几分钟，🍎早餐就搞定了，而且没有外面的那么油腻🎃。手抓饼质量挺好的，🍔煎出来效果很好，食用方便🚲，简直是懒人福利,✈家人孩子都很喜欢，会🎈回购的 ",购买好多次了,-,2021-06-05
