数据下载时间：2021-06-29 19:54:52 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/628768693594/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,今**2,口味: 黑芝麻味,好评,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的!说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。,-,-,2021-06-21
2,b**1,口味: 黑芝麻味,好评,口感香醇，用料考究，易生白发者和肾功能不好的朋友建议可以多吃,-,-,2021-06-26
3,越**谜,口味: 黑芝麻味,好评,此款九信匠造九蒸九晒黑芝麻丸的原材料好，颗粒均匀无杂质，味道不错好吃，已是多次购买了。,-,-,2021-06-23
4,怡**凯,口味: 黑芝麻味,好评,收到货了，像吃零食一样，每天三四颗，香香的，不腻，太好吃了。,-,-,2021-06-24
5,t**2,口味: 山楂藜麦丸,好评,黑芝麻的很好，但是山楂的纯属恶搞，以后不会买山楂味的。味道好怪,-,-,2021-06-26
6,t**7,口味: 黑芝麻味,好评,好吃，很香，浓浓的芝麻味,-,-,2021-06-17
7,f**q,口味: 黑芝麻味,好评,活动划算,-,-,2021-06-22
8,t**7,口味: 黑芝麻味,好评,这次是回购的，已经吃完3瓶了，这回又买三瓶，非常香，关健饿了的时侯吃两丸，胃不疼，好吃,-,-,2021-06-17
9,姜**8,口味: 黑芝麻味,好评,这已经是我多次回购了，甜甜的，口感不错，拆开能闻到非常浓郁的黑芝麻味，喜欢,-,-,2021-06-20
10,t**6,口味: 黑芝麻味,好评,口感非常好，不像别家的那么油大，这个吃起来棉棉的，很不错！,-,-,2021-06-16
11,t**6,口味: 山楂藜麦丸,好评,山楂黎麦丸入口一言难尽。吃着吃着，还挺好吃的。总之，还是不要轻易尝试。另外两个黑芝麻的更好吃。但是这个味道好像还挺开胃的。吃完之后，我的饭量都变大。,-,-,2021-06-16
12,t**8,口味: 黑芝麻味,好评,东西收到了，看着不错，一会儿打开尝尝。活动价九块钱一瓶，很划算。,-,-,2021-06-17
13,f**语,口味: 黑芝麻味,好评,很好吃  满意哦  推荐购买,-,-,2021-06-24
