数据下载时间：2021-06-29 19:55:22 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/612892354031/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**0,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,        很满意的一次购物，刚一家人都试吃了，手抓饼非常好吃，做法简单，好吃，外酥里嫩，真的很香，自己动手干净卫生，还没有那么油，想吃什么就吃什么。包装完好，里面有冰袋和纸袋，给孩子手拿着刚刚好。之前买过一个品牌的，远不如这个好吃，这个吃着还有点儿自己家做的油饼的味道，我一直不会做饼，这下好了，煎**蛋，抹点甜辣酱或者番茄酱，再冲碗燕麦粥，切点儿水果，一顿早餐搞定了。营养又好吃，对了，记得搭配西生菜哦。 ,-,-,2021-06-11
2,t**0,口味: 【 60克×20片】 普通快递 无赠品,好评,下单两天半就到了，一个圆柱形泡沫😊😊😊😊箱装着，打开一看，里面有🥳🥳🥳一个冰袋，几小包番茄酱，冰袋已化了，😍😍😍😊😊还好里面😘😘😘😘还有些凉，不错（我们这高温38度左右）马上放进冷冻室，中午拿了一片试做，开最小火，不用放油，小煎2至3😘分钟，中间😉😉要番面，就好了，😳😳😳酥脆可口，面饼不酸，有淡淡的盐味。起层的哟。  ,-,-,2021-06-11
3,南**柒,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,"DB饼整的挺好,很📼干,冷藏很保鲜。物流快🚀,添加剂放心,比外面🎦买的吃着放心点。非常🍞喜欢,有赠品,自己买🐳点其他配料不输外面买👍的。非常好,没有发霉👗,不怕压变形,厚度适🏊中,吃完再买点儿。比🐶外面的便宜多了, ",-,-,2021-06-26
4,z**9,口味: 【 90克×50片】 50纸袋+5包番茄酱+顺丰包邮,好评,多次购买了，很方便，放平底锅两三分钟就可以，味道不错，宝贝很喜欢吃 ,-,-,2021-06-22
5,8**薇,口味: 【 60克×30片】 30纸袋+5包番茄酱+顺丰包邮,好评,手抓饼收到了，厚度适中，面质细腻，三分钟简单搞定好吃。 ,-,-,2021-06-23
6,少**时,口味: 【 80克×30片】 30纸袋+5包番茄酱+顺丰包邮,好评,非常好，，孩子很喜欢吃，这个80克是最合适的，之前别家买过100克，感觉厚了一点，口感不是很好，有时候不想做早餐，就来个手抓饼，冲碗奶粉给孩子，几分钟搞定，,-,-,2021-06-17
7,g**6,口味: 【 60克×20片】 普通快递 无赠品,好评,非常方便，而且做起来特别的简单，非常适合懒人，自己加点火腿或者是鸡柳再加点菜就特别的好吃，快递也很快，包装的也很好👍 ,-,-,2021-06-25
8,z**e,口味: 【 60克×20片】 普通快递 无赠品,好评,饼整的挺好，挺大一张，足够一个人吃了，比外面买的手抓饼干净还便宜，早上几分钟就把早餐搞定了，卫生干净，用的泡沫箱装的，不怕压变形，吃完再买点儿。 ,-,-,2021-06-17
9,s**l,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,此用户没有填写评价。,特意这个时间来评价。吃了一段时间，很好吃。已经购买了第二次了。喜欢的可以放心购买。,-,2021-06-05
10,升**糖,口味: 【 60克×20片】 普通快递 无赠品,好评,不错，挺好吃的，比外面的便宜多了，价格实惠，物美价廉 ,-,-,2021-06-21
11,夜**1,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,包装挺好滴！收到货，还是冰冷的效果，还担心天热运输途中有影响！还好！商家处理得挺好！不错！！ ,-,-,2021-06-21
12,l**4,口味: 【 60克×20片】 普通快递 无赠品,好评,收到了，拿回来就来不及做着吃了，做好的忘记拍了，总之，挺好吃的，包装精美，很新鲜！！回回购的！ ,-,-,2021-06-17
13,私**5,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,包装好好，速度也很快，可以在家自己做着吃，比外面的好的多，还划算哈哈  口感味道：很好吃 客服也很认真  ,-,-,2021-06-19
14,龙**n,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,每天孩子都想着吃这个手抓饼，比外面买的吃着放心点。自己买点其他配料不输外面买的。,-,-,2021-06-16
15,马**3,口味: 【 90克×25片】 25纸袋+5包番茄酱+顺丰包邮,好评,包装很严实，泡沫圆盒子里面放着冰袋，发了顺丰，期待明天品尝美味😃 ,-,-,2021-06-16
16,m**0,口味: 【 60克×20片】 普通快递 无赠品,好评,整体评价：收到了  用泡沫箱包装  里面放了冰袋  夏天运输起来有保障 口感味道：起床后几分钟就可以了  加上青菜和鸡蛋火腿肠  跟外面的饭一样好吃😋 ,-,-,2021-06-09
17,孙**7,口味: 【100克×40片】40纸袋+5包番茄酱+顺丰包邮,好评,质量不错，客服态度也很好，发货速度很快，值得购买。 ,-,-,2021-06-25
18,t**6,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,到了的时候都臭了，有股酸酸味，都没有冰，到了冰都融化了变温水了,售后服务还不错，淘宝评论得积分可以涨积分值，现在才知道评论的重要性。大家有疑问可以先咨询客服哦,-,2021-06-25
19,t**8,口味: 【 60克×20片】 普通快递 无赠品,好评,刚拿到就放冰柜了，蛮实惠的，煎出来脆脆的蕉(❁´ω`❁)糖色，，不错的皮子，纸包裹的很好，不沾手，早上弄个饼方便,-,-,2021-06-10
20,t**9,口味: 【 60克×20片】 普通快递 无赠品,好评,"sz看到很实惠的价格,💔正品,不错吃法。物流快📎,完好无损,吃完再买🍲点儿。不怕压变形,自🚦己买点其他配料不输外🍟面买的。克的一次一个🙉吃点粥就够了,到处有🎁,非常劲道,口感不是♿很好,非常喜欢,每天🌙孩子都想着吃这个手抓🌵饼,",真心不错！!好评！好评!,-,2021-06-26
21,l**0,口味: 【 90克×25片】 25纸袋+5包番茄酱+顺丰包邮,好评,这种手抓饼收到啦！昨天晚上出发来到做了两个很好吃，和描述的一样，客服服务好，物流快，值得购买，下次还来👍 ,-,-,2021-06-19
22,j**9,口味: 【 80克×30片】 30纸袋+5包番茄酱+顺丰包邮,好评,手抓饼买了有一阵子了，做起来方便省事，而且手抓饼新鲜好吃，送了手抓饼袋子，加**蛋一起煎当早餐吃很不错 包装品质：赞 口感味道：赞 ,-,-,2021-06-13
23,x**人,口味: 【 80克×30片】 30纸袋+5包番茄酱+顺丰包邮,好评,早上接到的快递电话，取回来以后正好可以当早餐，立马就把塔放进了电饼铛里，口味的话自己可以加番茄酱或者加点培根什么的，总之东西是很不错的。 ,-,-,2021-06-14
24,陆**姐,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,差评，这么热的天气，四五天才到，都发酸了,售后服务还不错，淘宝评论得积分可以涨积分值，现在才知道评论的重要性。大家有疑问可以先咨询客服哦,-,2021-06-25
25,l**8,口味: 【100克×40片】40纸袋+5包番茄酱+顺丰包邮,好评,发货快包装完好挺大一盒手抓饼分量很足也有冰袋冰着饼质完好已经开始吃了味道还不错价格也实惠推荐大家购买,-,-,2021-06-22
26,l**1,口味: 【 60克×20片】 普通快递 无赠品,好评,手抓饼香酥好吃，第二次购买了，比在外面买的好多吃，非常喜欢，买的是60克的一次一个吃点粥就够了，非常好一次购物体验，吃完会回购的。 ,-,-,2021-06-13
27,牧**羊,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,便宜又方便，当早餐和晚餐都行，操作简单味道也好，，已经吃了好几张了，考虑吃完再买鸡蛋饼试试。 ,-,-,2021-06-09
28,t**4,口味: 【 60克×20片】 普通快递 无赠品,好评,整体评价：大家放心购，真的很好吃，物超所值，每天吃两个就吃好了，很便宜，价钱也好，做工也好，大家把钱给我买吧！ ,-,-,2021-06-10
29,2**果,口味: 【 60克×20片】 普通快递 无赠品,好评,手抓饼拿到冰袋化了，饼也软了些，但是闻味还没有变味，放冷冻里面了，过两天弄点吃吃试试，感觉比我之前买的别家大一圈，很不错 ,-,-,2021-06-26
30,t**1,口味: 【 60克×20片】 普通快递 无赠品,好评,手抓饼让不会做饭的人也轻松的动手做起来，在干底锅里简单操作搭配上生菜火腿番茄酱或甜面酱就是美味了。 ,-,-,2021-06-13
31,t**0,口味: 【100克×40片】40纸袋+5包番茄酱+顺丰包邮,好评,买了40片，特别的好吃，已经吃了一半了，哈哈早餐特别合适，味道不错， 包装品质：包装很严实，快递很好，回来之后还在冷冻状态！ 口感味道：口感很好。吃着不错，孩子也特别的喜欢， ,-,-,2021-06-11
32,t**0,口味: 【 60克×20片】 普通快递 无赠品,好评,手抓饼完好无损，每一张都有一张纸隔开，方便拿取，用来当早餐很方便，吃完还会回购的 ,-,-,2021-06-11
33,小**8,口味: 【 60克×20片】 普通快递 无赠品,好评,味道好吃，口味正宗，像街边小吃摊卖的那种，夹上鸡蛋和香肠，里脊肉风味更佳。 ,-,-,2021-06-09
34,君**3,口味: 【 60克×20片】 普通快递 无赠品,好评,手抓饼到货了，非常多，软软糯糯的非常好，一张一个人就能吃饱，非常好，运输途中放了冰带，到家还是冰的呢，吃完再买点 ,-,-,2021-06-09
35,扎**筑,口味: 【 60克×20片】 普通快递 无赠品,好评,"看到很实惠的价格，趁着'做活动就入手了，如果后期吃了感觉可以，我会再来补充评价，尽请期待吧。 ",-,-,2021-06-14
36,小**9,口味: 【 60克×20片】 普通快递 无赠品,好评,整体来说不错，商家考虑的非常全面，用了泡沫箱子里面还有冰袋，手抓饼取回来以后还是冻着的，还会光临本店的。 ,-,-,2021-06-09
37,j**3,口味: 【 60克×30片】 30纸袋+5包番茄酱+顺丰包邮,好评,整体评价：都还不错  可以购买  新鲜度：快递也很快  面饼都不错   性价比高  还会继续回购得 ,-,-,2021-06-14
38,t**4,口味: 【 60克×20片】 普通快递 无赠品,好评,快递很及时，收到后马上放冷藏室，质量很好，手抓饼味道很好，建议大家购买。 ,-,-,2021-06-10
39,我**意,口味: 【 60克×20片】 普通快递 无赠品,好评,收到货了，包装完好的，放入冰箱冷冻一天之后，再做的，吃着挺好吃的，不错，好评了。,-,-,2021-06-09
40,仰**4,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,好看又好吃，包装很好，寄过来马上放冰箱，第二天早上弄了当早餐，和外面买的一样，但是比外卖的便宜多了，赞赞赞赞👍！ ,-,-,2021-06-26
41,水**3,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,拿到快递，就迫不及待的尝试了，店家还送了几包番茄酱，还在同一家买了香肠搭配着；总的来说，挺不错的，味道好，价格也便宜。 ,-,-,2021-06-09
42,l**2,口味: 【 60克×20片】 普通快递 无赠品,好评,很好吃，味道不错，价格很实惠，每天当早餐吃，很快！ ,-,-,2021-06-11
43,吴**唏,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,整体评价：味道很好，做好后很酥脆 胀包问题：没有 口感味道：好 新鲜度：快递很快，里面放有冰袋还送了番茄酱，很新鲜 ,-,-,2021-06-16
44,c**a,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,刚好做了几张卖家服务态🌂度也不错早饭不用愁🌃了每一片都🌂单独封着.:.里面还有冰🌆袋打开🌄也没有胀包包装的﻿☀很严实手抓饼太好吃⚡了作为运动前的能🌃量补充我一🌃次可以吃四个味道外面☁买的一样呢做起来很⚡方便,-,-,2021-06-01
45,h**8,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,包装很严实，发货很快，饼好方便食用，不油腻。好吃不贵,-,-,2021-06-14
46,t**5,口味: 【 80克×50片】 50纸袋+5包番茄酱+顺丰包邮,好评,便宜又实惠，买了好多，宝贝一如既往的好😊，性价比非常高， ,-,-,2021-06-25
47,4**i,口味: 【 60克×20片】 普通快递 无赠品,好评,第二次买这个手抓饼，非常省事，方便，也很喜欢吃 ,-,-,2021-06-13
48,z**赫,口味: 【 60克×20片】 普通快递 无赠品,好评,买的手抓饼收到啦  本来还担心天气热没有发顺丰快递送过来会变质的   还好收到老公就做什么了一个尝了没有变味  拿回来就放冰箱了 老公在工地干活早上起的早  做这个早餐很方便省时又省力  打**蛋加点生菜抹点辣椒酱想想都美味啊 ,-,-,2021-06-06
49,嘘**嘘,口味: 【 60克×20片】 普通快递 无赠品,好评,还不错，回购很多次了，价格真的非常划算，还会再来的。 ,-,-,2021-06-09
50,柳**9,口味: 【 60克×20片】 普通快递 无赠品,好评,宝贝包装很好，收到就放冰箱了，宝贝爱吃，她奶奶就给他下个，很方便快捷！第二次回购了~ ,-,-,2021-06-21
51,7**鱼,口味: 【100克×20片】20纸袋+5包番茄酱+顺丰包邮,好评,网购十几年第一次差评，袋子里居然有老鼠屎，放货物的仓库到底有多脏！望改进！,-,-,2021-06-26
