数据下载时间：2021-06-30 09:40:28 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/646228766888/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,【**伤,食品口味: 葡萄238ml*2+芒果175ml*2+草莓238ml*3+橙子238ml*3罐,好评,东西收到了，打开看看还不错，喝了一罐里面果粒很多，味道很不错，孩子也很喜欢喝，很实惠也很新鲜，日期都是最近生产出来的，喝着也放心，强烈推荐这款果粒多，下次还会回购的。 溶解难易：很好溶解无沉淀杂质。 包装品质：包装很好，无破损现象 口感味道：味道挺好，果肉味很多，也很浓郁。 ,-,-,2021-06-20
2,幸**5,食品口味: 葡萄238ml*2+芒果175ml*2+草莓238ml*3+橙子238ml*3罐,好评,这个很好喝，孩子也很喜欢，每一罐里面都有果肉，葡萄味的里面的葡萄是整颗的，草莓和橙子还有芒果里面都是打碎的果肉。 ,-,-,2021-06-08
3,s**远,食品口味: 葡萄238ml*2+芒果175ml*2+草莓238ml*3+橙子238ml*3罐,好评,口感味道：我是在猫妹**直播间买的，发货很快，当时宣传的说是很好喝，一旁的雪大也说辛巴经常喝，家里主要的饮料之一，凭着他们的口碑购买的，没想到买回来跟糖水一样，特别甜，一般市超市买的都没有那么甜，不建议老人孩子喝，没有什么所谓的果粒，我不是黑粉，经常买直播间的东西我只是有感而发，也可能每个人对糖的甜度不一样的吧， ,-,-,2021-06-17
4,爱**儿,食品口味: 葡萄238ml*2+芒果175ml*2+草莓238ml*3+橙子238ml*3罐,好评,口感味道：好喝 ,-,-,2021-06-21
5,晓**洁,食品口味: 葡萄238ml*2+芒果175ml*2+草莓238ml*3+橙子238ml*3罐,好评,猫猫直播间购买，很划算，比平时店里买便宜很多,-,-,2021-06-24
6,t**4,食品口味: 葡萄238ml*2+芒果175ml*2+草莓238ml*3+橙子238ml*3罐,好评,和在超市买的一样。非常实惠,-,-,2021-06-18
7,微**人,食品口味: 葡萄238ml*2+芒果175ml*2+草莓238ml*3+橙子238ml*3罐,好评,一直大爱的葡萄味儿 其他的也好喝 太棒啦 辛选值得信赖！！！ ,-,-,2021-06-18
8,z**6,食品口味: 葡萄238ml*2+芒果175ml*2+草莓238ml*3+橙子238ml*3罐,好评,好喝，价格也实惠。,-,-,2021-06-23
9,c**神,食品口味: 葡萄238ml*2+芒果175ml*2+草莓238ml*3+橙子238ml*3罐,好评,还不错 很优惠 也很喜欢和这种饮料 ,-,-,2021-06-18
10,3**雪,食品口味: 葡萄238ml*2+芒果175ml*2+草莓238ml*3+橙子238ml*3罐,好评,担心干净问题   真的是……    一般    客服说是种子,-,-,2021-06-18
11,y**6,食品口味: 葡萄238ml*2+芒果175ml*2+草莓238ml*3+橙子238ml*3罐,好评,一般， ,-,-,2021-06-26
