数据下载时间：2021-06-30 09:43:27 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/604280051331/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,黄**4,口味: 自然锦礼-核桃芝麻黑豆粉600g*2+食养杯（颜色随机）,好评,补充能量！用作早餐很方便🌀打开喝了感觉味道还不错☁每次活动都会囤一点🌁比超市便宜🌁就拿了一罐给爸妈了☁很简单就溶解了☁拿来当早餐或者加餐都是不错的选择！买了第三次了🌆一罐送我妈☁脱发也没有很严重🌅比超市卖的划算很多🌁质量也很好☔但是需要先放水﻿☀  ,-,-,2021-06-25
2,奴**3,口味: 黑之养-核桃芝麻黑豆粉600g*2,好评,  以前经常有吃黑芝麻，吃过很多家的黑芝麻粉粉，一直喜欢五谷磨房家的黑芝麻和核桃口味，买来调理产后脱发的，希望能改善脱发的情况，让自己有自信，黑豆芝麻对脾胃好肾好。吃完一段时间，确实感觉还不错，掉发需要慢慢调理去改善，不熬夜，饮食方面也要注意，多吃黑色食材，黑豆粉，黑芝麻，头发会黑又健康，粉的特别细的那种，真的很不错， 价格特别实惠，包装特别漂亮，我闺蜜也有在吃，我看到她是坚持吃的，掉头发的现象明显减少了。所以要坚持吃，客服也很热情周到，保质期也很新鲜呢，核桃芝麻粉就认准你们家了， 还是挺适合养发的，很健康的食品。是正品，会回购！ ,-,-,2021-06-21
3,l**0,口味: 自然锦礼（核桃芝麻黑豆粉600g*2+食养杯).,好评,"AE包装很精致,外🌀壳有质量,还是挺好喝的📴。确实感觉还不错,乌🐋发养发。体内积聚太多⚾湿气,看了很多款黑豆💒粉,买来调理产后脱发😥的,体重下降会很明显➰。一直喜欢五谷磨房家✅的黑芝麻和核桃口味,🚼密封很严 ",-,-,2021-06-26
4,西**2,口味: 黑之养-核桃芝麻黑豆粉600g*2.+星空杯,好评,看了很多款黑豆粉，最终还是选择五谷磨房这款黑豆粉，含有黑大豆，黑芝麻，黑米，黑藜麦，等多种黑色食材结合一起，科学比例配方，营养丰富，其中食材含有奇亚籽可以补充身体所需要的营养元素，维生素、蛋白质、膳食纤维，能够及时补充身体所需要的营养元素，一罐600g，粉粉量充足，这款粉粉性价比高，打开一股香味扑鼻而来，冲调起来味道很香、很纯正，近期的日期，吃着很新鲜，喝了味道特别喜欢，质量也很好，包装很精致，吃完再来囤货，坚持每天喝一杯五谷杂粮粉，加上日常锻炼，身体一定会棒棒哒。 ,-,-,2021-06-18
5,t**9,口味: 黑之养-核桃芝麻黑豆粉600g*2,好评,以前经常有吃黑芝麻，🍉吃过很多家的黑芝麻粉粉，🍉一直喜欢五谷磨房家的黑芝麻和核桃口味，🍉买来调理产后脱发的，🍉希望能改善脱发的情况，🍉让自己有自信，🍉黑豆芝麻对脾胃好肾好。吃完一段时间，🍉确实感觉还不错xial🍉 ,-,-,2021-06-23
6,王**9,口味: 黑之养-核桃芝麻黑豆粉600g*2,好评,之前就买过，打开就可以闻到浓浓的香味，冲泡也很容易，每天早晚一杯，给身体补充满满的能量，入了两罐，应该可以喝好久。五谷磨房的东西，吃了很久了，纯天然，对身体很好！,-,-,2021-06-23
7,陈**城,口味: 黑之养-核桃芝麻黑豆粉600g*2,好评,脱发太厉害了，房间到处都是自己的头发，用过各种生姜洗发水，还是没有多大改善，饮食方面也在慢慢调理，熬夜确实也有相关的影响，经同事介绍的黑豆粉，看他经常在公司也有在吃，从他哪里得知吃了一段时间也有一些变化改善，脱发也没有很严重。我也是吃过之后觉得味道好喝，活动期间我也买了两罐来试试，打开包装里面，浓浓的芝麻味真的很香，粉粉也磨得很细腻，吃起来的口感挺不错的，芝麻，黑豆，里面有很多黑色食材，黑大豆、黑芝麻、黑米，还有核桃仁，多补充营养多头发好，坚持食用来改善我的脱**况，希望能很好的改善~ ,-,-,2021-06-18
8,t**5,口味: 黑之养-核桃芝麻黑豆粉600g*2,好评,到货挺快的，还没吃过呢，想白发少点，补充能量！,-,-,2021-06-23
9,一**z,口味: 黑之养-核桃芝麻黑豆粉600g*2,好评,朋友推荐的  给老爸老妈买的   溶解难易：好冲泡 包装品质：满意 还另送了几袋代餐粉 外观品相：满意 口感味道：满意 ,-,-,2021-06-26
10,苑**雷,口味: 黑之养-核桃芝麻黑豆粉600g*2,好评,吃了六七组了，感觉不错，既可代餐又能防止白发滋生，关键是产品味道也很正，好品推荐哦 ,-,-,2021-06-20
