数据下载时间：2021-06-30 09:44:26 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/595399070077/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,晴**郡,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,孩子喜欢吃果蔬菜干，趁着搞活动，蔬菜菠萝蜜干多买了一些，今天收到了，表扬一下卖家，产品质量真不错，脆脆的，红红绿绿颜色保存的真好看！,孩子放学回来说真好吃，吃完还要再买这个牌子的！,-,2021-06-18
2,g**8,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,宝贝收妥，描述近乎，感觉还好！但脱水干果不受压  包装防压和封箱胶多绕一圈（十字）还需提升。图二为收到时的样貌。,-,-,2021-06-23
3,柒**y,食品口味: 【人气推荐】菠萝蜜250克+秋葵250克（共发500克）,好评,嗯，收到货以后试吃了一下，感觉到惊喜啊，因为确实好的，口感上还有这个酥脆程度上颜色上都是属于上乘，能这个价钱买到这样的货真是不错，性价比真的很高，所以说给店家点赞啊  ,-,-,2021-06-10
4,施**2,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,菠蘿蜜干收到了，包裝嚴實，很酥脆，天然無添加_味道非常不錯，老爸很喜歡吃，吃完了再來，謝謝 ,-,-,2021-06-22
5,调**帅,食品口味: 【爆款组合】菠萝蜜250克+果蔬脆250克（共发500克）,好评,菠萝蜜干整体不错，味道也很好，果蔬脆也可以，适当吃一点不会上火，总体可以，值得购买 ,值得购买,-,2021-06-21
6,n**3,食品口味: 【实惠半斤装】菠萝蜜250克袋装,好评,食品的生产日期很新鲜，买那独立小包装的一斤要四十多元，那包装袋和干燥剂就有三分之一的重量，还是这种简包装实惠。 ,-,-,2021-06-20
7,0**璐,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,妹妹很喜欢吃菠萝蜜干，这次618多买了一些，看她喜不喜欢吃，喜欢的话会回购。 ,-,-,2021-06-22
8,t**0,食品口味: 【实惠半斤装】菠萝蜜250克袋装,好评,打開已經有很香濃的菠蘿蜜的香味傳出來！每一塊都很香脆，非常好！食完再回購！！,-,-,2021-06-19
9,m**3,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,打开尝试一口，硬硬脆脆的，少些甜味。可当空闲时零食。,-,-,2021-06-24
10,f**u,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,经济实惠口感香脆，比实体店里便宜得多，下次想吃还会再来 ,-,-,2021-06-18
11,z**1,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,菠萝蜜干很好吃，好吃的停不下来，送了试吃，味道都很好！ ,-,-,2021-06-25
12,我**聘,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,吃了一袋了，感觉还可以把。挺新鲜。口感还可以。 ,-,-,2021-06-26
13,z**9,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,很好吃，多次购买了，也很新鲜，推荐购买  ,-,-,2021-06-22
14,t**9,食品口味: 【爆款组合】菠萝蜜250克+果蔬脆250克（共发500克）,好评,口感味道：口感很好，很脆，我更喜欢果蔬脆太好吃了吧，3天被我干的差不多了，所以没有图片了，建议混着买效果很好 ,-,-,2021-06-23
15,水**刀,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,啥也不说，直接618买了7斤做办公室零食 ,-,-,2021-06-25
16,2**w,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,，收到货以后试吃了一下，感觉到惊喜啊，因为确实好的，口感上还有这个酥脆程度上颜色上都是属于上乘，能这个价钱买到这样的货真是不错，性价比真的很高，所以说给店家点赞啊,-,-,2021-06-21
17,h**0,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,包装品质：很精致 商品分量：足够 保质期：很长 口感味道：不错 ,-,-,2021-06-15
18,夏**6,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,多次购买了，味道很好，香酥干脆，价格相当便宜，全家人都爱吃 ,-,-,2021-06-18
19,w**波,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,质量不错、价位合适、多次购买、休闲娱乐的好零食、吃起来脆脆甜甜的  ,-,-,2021-06-21
20,尼**y,食品口味: 【实惠半斤装】菠萝蜜250克袋装,好评,这是第二次买咱家菠萝蜜了，口感不错，价格也合适，非常翠，量也很足，值得购买 棒棒👍🏻的 ,-,-,2021-06-07
21,s**4,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,从来不写评价的，宝贝很不错，也来写两句宝贝不错酸酸甜甜的，比较适中肉厚软软的我母亲很喜欢吃,第二次购买了我母亲喜欢吃，不甜脆脆的,-,2021-06-15
22,神**界,食品口味: 【实惠半斤装】菠萝蜜250克袋装,好评,口感香脆酥，味道非常好，价格也亲民，宝宝喜欢吃，买了好几次了,-,-,2021-06-19
23,y**7,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,很大一包，打开后口感很不错，吃起来脆脆的，很新鲜，会继续回购。 ,-,-,2021-06-17
24,小**9,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,非常好吃的干果，份量足味道好干净不碎，下次一定再来选购……谢谢，祝生意兴隆…… ,-,-,2021-06-20
25,叶**9,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,货己收到，酥酥脆脆的特别好吃，口感超级棒，一会工夫就吃了多半包，吃完会回购的，👍👍👍,-,-,2021-06-18
