数据下载时间：2021-06-30 09:45:31 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/641121532948/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,h**花,口味: 【买1送1】蟹香蛋黄味500g（送海鲜味锅巴500g）,好评,味道真心不错！很好吃的一款小零食、同事吃了也说好吃！纷纷问我要链接😘😘分量都特别足、包装的也很好😚😚😚 ,-,-,2021-06-23
2,t**4,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,蟹黄味锅巴很好吃，孩子特别喜欢，质量很好，口感酥脆，吃完还会再来的,-,-,2021-06-18
3,t**5,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,包装很好，没有破损，独立包装吃起来很方便，家人们都特别喜欢吃，会回购的,-,-,2021-06-07
4,a**3,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,很好吃的蟹黄锅巴。💚这个价格一分钱一分货❤️，从外观包装看很美💙，味道口感都不错💜，感觉买值了，还有物流超级快，点赞！,-,-,2021-06-19
5,t**6,口味: 【香脆】蟹香锅巴500g+多味花生250g+椒盐香芋片125g,好评,买了好几次这家的蟹黄味锅巴，孩子特别爱吃，拿到家孩子就吃了上面一层的一半了[大爱]，大人孩子都爱吃，可以放心购买[大爱],-,-,2021-06-17
6,w**5,口味: 【买1送1】蟹香蛋黄味500g（送海鲜味锅巴500g）,好评,一直想买这种颗粒状的锅巴，对比了好几家，选择了这家，口感酥脆，味道nice，准备给家人也买一些吃 ,-,-,2021-06-18
7,小**8,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,最近的爱，我最近爱好多，蟹黄锅巴，好好吃?好吃到舔手指， ?过年追剧必备，过年囤了好多好吃哒，我的嘴巴可以吧唧吧唧吃不停了[大爱] ,-,-,2021-06-16
8,t**1,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,蟹黄锅巴很好吃，好吃到停不下来。换购的豆乳威化味道也不错，很划算值得买,-,-,2021-06-23
9,q**6,口味: 【买1送1】蟹香蛋黄味500g（送山药薄脆饼干500g）,好评,锅巴蟹香浓郁，送的山药饼也脆爽秀甜，会回购，建议购买囤货。,-,-,2021-06-15
10,x**6,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,锅巴收到，品尝了一下口味还不错，物流也蛮快的，客服人员服务态度很好，全五星好评。,-,-,2021-06-17
11,天**爷,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,灰常灰常灰常好吃！！当零食当早饭绝了~~脆脆的~今天新开发一种吃法——加在煮好的泡面里面，绝了👍🏻爱不释手，吃到停不下来~~包装也好好看~盒子还可以当收纳盒~~爱了会回购的🍭🍭🍭刚刚拿出来拍照忍不住又吃了一个呢❤️ ,-,-,2021-06-25
12,y**子,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,第二次回购，这家锅巴小包装精美，出门携带方便。生产日期靠前，东西很新鲜。锅巴嚼起来脆香，有很浓的蟹香蛋黄味，超棒。 ,-,-,2021-06-24
13,夏**7,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,这个锅巴回购好多次了，跟那种在店里先做出来的味道一样好，就是浓浓的蛋黄味道，特别好吃 ,-,-,2021-06-09
14,梦**遇,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,"这锅巴也真的真的是太好吃了，好吃不贵特别喜欢这个味道价格也实惠，期待下次还有买的,本人比较喜欢吃锅巴这种东西!很香;咸蛋黄味浓，都很棒!比我在超市买的好多啦!绝对好评!30小袋，一次吃不完也不会放嗝，不错不错",蟹黄锅巴特别好吃，比较脆，分量足，比较新鲜，放办公室同事都抢着吃。特别好吃，同事还让推荐一下,-,2021-06-15
15,瑶**啵,口味: 【香脆】蟹香锅巴500g+多味花生250g+椒盐香芋片125g,好评,买了一斤尝一尝是真好吃啊，以前我都是在蛋糕店里买，又贵味道也没有这个好，吃完我会继续在这里买,-,-,2021-06-11
16,宇**！,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,吃不腻，也管饱，深夜食堂必备小零食。味道上面不次于其他同类的吐司面包，包装也完好。价格也实惠，在外面挺贵的，这边买性价比超高。很愉快的一次购物，吃完再来买！ ,-,-,2021-06-17
17,t**7,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,快递拿到就变成了这样,-,-,2021-06-21
18,t**6,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,快看我发现了什么宝藏小吃?? ?蟹黄锅巴这也太优秀了，爱了爱了刚开始是被这个名字吸引了，因为喜欢蟹黄还有肉松的食品，收到货也太实惠了吧[憧憬] 一定要试试这个【蟹黄锅巴】，好吃到停不下来，满满的蟹黄还有肉松，吃后太满足了，香而不腻，口感香香脆脆的，热别喜欢这种酥脆的小零食，追剧必备 ,-,-,2021-06-17
19,t**5,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,锅巴收到了，物流很快 ，跟店家图片描述一致。非常干燥，味好又脆又香，营养食物多多食，价格也不贵，独立包装方便又营养，小孩特别喜欢，一会功夫一包没有了，一年四季都好食，太赞????了。 感谢店及时送来的美食，值得购买。祝店家生意兴隆。店主非常厚道。,-,-,2021-06-07
20,浅**凉,口味: 【掌柜推荐】蟹香锅巴1000g【买1送1】约52包共2000g,好评,分量挺足的，生产日期新鲜，口味不错！独立包装，一袋两块，还不错！ ,-,-,2021-06-25
21,t**5,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,很好吃哦，朋友推荐的，味道真心不错 包装品质：没有破损。 商品分量：很足 ,-,-,2021-06-07
22,紫**程,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,包装品质：第二次购买，非常好吃 商品分量：买一送一超级多 口感味道：不甜，非常脆 ,-,-,2021-06-23
