数据下载时间：2021-06-30 09:54:15 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/583009869469/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**4,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,"非常nice而且便宜实惠,保质期：6个月,味道也不好吃,新鲜度：6月4号的生产日期,性价比极高,这次买的都是裂开的,第一次用另个手机买的,拿到店铺里面,下次再来回购 ","超级划算,看我晒图，真实有效！！！",-,2021-06-21
2,叶**h,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,CC排可以放九个🌿，🔸是偷吃了吗？要吃自己买去，🈯而且便宜实惠♦，🍁性价比极高，🎄害得我赶紧催吐出来💙，🔤上面标着55~60个🈁，😣吃过最硬的肉松饼，🚀有点干外(*￣︶￣)壳😼，👮口感还可以吧，🍑细心一！这服务很好，超赞👰，💝两斤快吃完了👦，🔍五星好评！吃完回购,好吃巴适，看图tui荐↓↓↓,-,2021-06-22
3,3**2,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,"J真的是挺实惠的,🚬日期也比较新鲜,自己赚🚬到了买到了肉松饼还那🎭么便宜,口感上其实跟📊肉松饼差不多,里面还🍸是可以看到肉松,口感🐳还可以吧,。量还是够🐮的,挺多的,馅料挺足🔅的,就是有点腻。我喜🔒甜所以觉得还好。",-,-,2021-06-26
4,熊**a,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,包装品质：一个箱子一个袋子 商品分量：足量 保质期：足够了 新鲜度：还算可以 口感味道：就是绿豆饼 ,-,-,2021-06-21
5,t**2,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,CC🌂已经吃了两个🌂肉松饼到货了﻿☀下次再来回购﻿☀不得不得竖起大拇指⚡真的是便宜🌂量还是够的🌂因为本姑娘很懒不想每个宝贝都写好评🌂 ,肉松饼很好吃，都快吃完了，喜欢的可以入手。,-,2021-06-22
6,世**行,口味: 肉松饼1kg+送同款1kg（发4斤/箱约55-60个仅28.8元),好评,商品分量：太恶心了，像老鼠屎一样的根本不敢吃，在包装里面，这质量工商部门真应该介入了，淘宝小二也查下，有图有视频为证，从没碰到这样的食品，是垃圾场做的吗？你们有良心吗，免得不承认，拍视频取证。 ,-,-,2021-06-21
7,l**9,口味: 礼盒装】肉松饼640g+送640g（发1280g/箱仅19.9元),好评,非常差，人工也不回复，这是到货了就不管了么？邮空包装袋？？？,-,-,2021-06-22
8,g**8,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,肉松饼到货了，儿子说很喜欢吃，下次再来回购 ,-,-,2021-06-15
9,t**1,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,很香，已经吃了两个，肉松很多，我家孩子很喜欢,-,-,2021-06-26
10,t**1,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,包装品质：包装可以。 商品分量：分量足的，满满一箱。 保质期：日期都是新鲜的。 口感味道：味道不错，便宜实惠还好吃。 ,-,-,2021-06-26
11,v**米,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,包装品质：有个漏气了。  商品分量：一斤有14个 保质期：生产日期是挺新的就是不知道是不是临时加印的 口感味道：皮略硬，里面肉松很少，等于一个咸口的绿豆饼。 ,-,-,2021-06-25
12,老**9,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,其妙东西常买，这次肉松饼非常不好，里面的肉松没有肉味，一股糕点过期的哈喇味，全家都吃不下去，像是嚼塑料丝，肉松饼质量不好，慎重入手。找客服客服不管，说是口味问题，其实不是，吃了这么多肉松饼这次的没法将就。态度恶劣。,-,-,2021-06-22
13,1**x,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,馅料挺足的，😁里面隐约还是可以看到肉松。😁量口感上其实跟肉松饼差不多，😁很满意，😁肉松饼口感不错很柔软，😁份量很足包装可以。😁密封保鲜，😁味道很好吃，😁解馋还解饿，😁有机会还囤货😁,-,-,2021-06-25
14,t**3,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,"这个肉松饼好吃,肉🌹质松软,。非常不错不得🔚不得竖起大拇指。人工📊回复及时,外壳很软,✏肉松饼质量很好,闻到🚪不错 很美味 喜欢的🙋宝宝们赶紧下单购买哦  ",价格实惠，看图↓每天就送100张↓,-,2021-06-25
15,q**2,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,小狗🐶很爱吃 ,-,-,2021-06-21
16,t**2,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,刚下单不久就发货了🌂下次还会购买🌂昧道还可以🌂包装和味道都不错⛄你给我寄两包咖啡槟榔是几个意思？⛄价格也实惠☔不过看配料表绿豆比豌豆多🌃这次感觉那个饼皮太厚了🌄口感比外面好吃☁味道不错就是偏干🌆非常意外！非常好食！瞓咗啲比身邊同事食🌅新鲜度：近期生产的🌃 还可以,-,-,2021-06-22
17,一**2,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,宝贝收到，这款肉松饼不错，和卖家描叙的一样，味道香甜，口感极佳，是不错的小零食， 商品分量：足 保质期：新鲜 口感味道：极佳 ，卖家发货快，包装好卖家发货快，包装好  物流给力。 ,-,-,2021-06-26
18,h**你,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,"1排可以放九个🌆,是偷吃了吗？要吃自己买去⛄,而且便宜实惠﻿☀,性价比极高⚡,害得我赶紧催吐出来🌅,上面标着55~60个🌂,吃过最硬的肉松饼⚡,有点干外(*￣︶￣)壳🌁,口感还可以吧☔,细心一看发现已经发霉了🌅,气都漏了！这服务有意思！都是压扁的🌆,两斤快吃完了🌆,五星好评！吃完回购🌇",-,-,2021-06-04
19,z**4,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评, 这是一个好评模版，不要看了下面都是废话。因为本姑娘很懒不想每个宝贝都写好评 所以才模仿网友的  好评模版  但是这个宝贝不管是质量 款式还是性价比 都是本姑娘喜欢的  如果是不喜欢的那本姑娘就会很生气 然后这个模版就变成了各种喋喋不休的吐槽  自然就不会撒下这个好评给各位淘友一个参考  本宝贝还是极好的  ,-,-,2021-06-21
20,蓝**肥,口味: 肉松饼1kg+送同款1kg（发4斤/箱约55-60个仅28.8元),好评,真的是便宜，以为自己赚到了买到了肉松饼还那么便宜，口感上其实跟肉松饼差不多，但是里面松松散散的更像是绿豆饼，里面隐约还是可以看到肉松。量还是够的，挺多的，另附上配料表供大家参考,-,-,2021-06-22
21,y**9,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,实惠好吃，很满意，下次再来光顾。,很好吃，推荐给朋友一起品尝,-,2021-06-15
22,l**2,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,这是我们村第一个在淘宝上买东西的人，这里大部分人是不网购的。他们买东西价格一般不超过五块，听说我在淘宝买东西之后，全村都震惊了，村长跑来我家里对我的爸说我疯了! 媳妇跟我闹离婚，说这日子没法过了! 面对重重压5力，我坚持买、买!我相信这个月的工资不会白花的。终于快递到了，我怀揣这激动的心情，颤抖着打开包裹，那一刹那，我感觉我的眼睛要亮**，啊..这颜值这手感这质量! 只怪我读书少，无法用华丽的语言来形容它，骄傲的站在村口，整个村都沸腾了。说太好了，太值得了，更有人拼命的喊，不给他们看就，他们就跳井。吓得我赶紧收拾宝贝， 落荒而逃。为了测试宝贝的好吃， 我立刻去我们村高达250米的山上的村长试吃！ ,-,-,2021-06-26
23,t**8,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,肉松饼已经收到，挺好吃的，购买了两层，都足称。很愉快的一次购物。我会继续关注该店的，希望店家经常搞促销活动，只要价格便宜，我还会再来买的。最后祝店家生意兴隆！ ,-,-,2021-06-25
24,r**s,口味: 肉松饼500g【送】厦门椰子饼400g（仅18.9元）,好评,包装品质：送到来泡水内外包装都破破烂烂的，店家爱理不理，第一次网上买这东西，确实心里难以接受，当买个教训！ ,-,-,2021-06-25
25,套**员,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,肉松饼收到了，一箱十多个，分量足，包装完好没漏气，日期也比较新鲜 ,-,-,2021-06-21
26,t**9,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,味道挺不错的，朋友都很喜欢吃，说下次还要继续点。今天还是比较幸运的，选中了你们这家店 店家提供的量是够的。还担心不好吃呢，结果是感觉比想象中令人满意，希望店家多搞活动，下次会再团.✌🏻  ,-,-,2021-06-26
27,5**恋,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量//,好评,"孩子喜欢！与实体店绿豆糕口感没有区别﻿☀,口感味道：略甜﻿☀,口感还可以吧﻿☀,味道还可以﻿☀,而且便宜实惠﻿☀,拿到店铺里面﻿☀,点赞哈密瓜小姐姐的耐心解决﻿☀,但嚼起oa来越吃越香﻿☀,喜欢的朋友尽管来吧﻿☀,被一群小孩子吃完了﻿☀ ",-,-,2021-05-31
28,桂**下,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐跟实体店没有区别，还便宜，喜欢！品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理 ,-,-,2021-06-24
29,黄**0,口味: 肉松饼500g【送】奶黄流心蛋黄酥6枚（仅15.8元）,好评,包装品质：很差劲 新鲜度：不新鲜的 口感味道：真不好吃啊 ,-,-,2021-06-26
30,t**8,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,包装品质：还可以 商品分量：分量很足，有二十几个 保质期：还不错 新鲜度：还行 口感味道：口感一般，肉松量少，不过一分钱一分货，能理解 ,-,-,2021-06-25
31,c**8,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,感谢店家，感谢淘宝，感谢天猫，感谢阿里巴巴，感谢马云，让我足不出户享受到如此好的物美价廉的产品与服务。你们辛苦了! ,-,-,2021-06-22
32,请**名,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,不是我之前吃过的那种原始形的绿豆饼   内陷不是特别有绿豆味  可能这样的加工产品都是这个味道  这个真的太🉑了，🎁包装很精美，宝贝做工比较精细，商家特别好❤，有问题都及时处理👍，确实是一次相当满意的网购，还会再来的😘 ,-,-,2021-06-25
33,m**2,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,包装品质：包装好 商品分量：分量足 口感味道：口味美 一直买奇妙的零食，实惠而且好吃 ,-,-,2021-06-22
34,l**6,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,味道不错，比想象中的好吃，皮不会很厚，甜度刚好 ,-,-,2021-06-23
