数据下载时间：2021-06-30 09:56:09 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/606940292908/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**4,,好评,薏米一股潮味，卖家说炒出来就是这样的，还赖是天气的原因，赤小豆很多黑色的，就是坏了的，还特别脏，别买，坑可大了，,不要买，买了就后悔,-,2021-05-29
2,红**猪,,好评,此用户没有填写评价。,豆子还好，薏米打开有一股子哈喇味，煮着吃了一次，哈喇味依旧，后来就没吃了。我是5.4收到的货，瓶身上日期是4.13，当时就挺味儿的。今天收拾厨房才想起这么个东西，打开盖子气味刺鼻，看着堵心扔了了事，还是买生薏米自己炒吧。,-,2021-05-19
3,超**9,,好评,此用户没有填写评价。,口感不错。泡茶很容易泡出味道，浓浓的香味。用锅煮肯定更好 但是懒人泡泡水喝总比不喝强 ，很有效果 份量也很足 煮熟后更是香味扑鼻，饭后泡一包感觉胃里也不再油腻了，值得大家购买喝着也非常好喝，无论每天再忙都要喝两杯！！,-,2021-05-28
4,格**淘,,好评,此用户没有填写评价。,产品里面有虫子🐛，我联系卖家，卖家说给犯六元红包，我本不在乎，就回复“算了吧，下次再买给优惠就行”，卖家答应了，今天我又打算去买点儿，结果卖家根本不搭理我，不给优惠我也不在乎，主要是不搭理，好大的架子哦，什么态度嘛,-,2021-06-11
5,t**1,,好评,此用户没有填写评价。,第二次买，明显和第一次买的不一样，不仅颗粒小，变质气味刺鼻，只能倒掉，很失望。,-,2021-06-06
6,风**听,,好评,这次太差 红豆开罐后 煮水 一股石灰味 。以前一直这家店买，从没出现过，勉强喝了一杯，直接喝坏肚子。不会再买了 ,知道我对红豆有疑议后，卖家主动补发了一瓶，对卖家的行为还是要点个赞的,-,2021-06-17
7,刘**茶,,好评,现炒过的，打开后味道香香的，货真价实，煮水喝香香的，可以去湿气，小盆友也可以喝，口感细腻，小盆友喝可以加点蜂蜜谷物的香甜配料特别足 东西很好又很新鲜。湿排水很管用，有利于减肥。 ,日期也很新鲜，好评，打開一看就是很高級的豆子哈哈会继续喝下去的包装严实没有挤压破损，挺满意的，,"感谢亲的评价，授人玫瑰手有余香，您简短的几句胜过无数的赞美，因为您的喜欢，温暖了我们整个手心，在忙碌的生活中，您选择了我们，我们的相遇，是基于无数个偶然，感谢您的邂逅，有什么意见和建议可联系我们, 我们会心存感激的倾听并努力改进,我们的进步离不开亲的理解与支持,。也希望亲在我们这里得到最愉快最放心的购物体验。我们相信您买的不只是一件商品，更多的是一份惊喜。对我们而言使这个世界灿烂的不是阳光，而是您满意的微笑。天空的美，在于云卷云舒;海洋的美，在于潮起潮落;生活的美，在于有苦有甜; 有您支持的美，便是对我们的肯定，亲的支持是我们成长发展的基石、提供优质服务的动力，我们承诺会以更快更好的服务回馈我们的顾客，也将是我们不断前进的动力！再次感谢亲的认可和肯定!您的好评是对我们最大的支持与鼓励，一份坚持 ，一份努力，一份用心，一份耕耘，一份承诺，一份期盼，一份收获，一份喜悦，一份感动，一份温暖，换来您的十分信任，期待下一次的交集，谢谢您的光顾，祝您生活愉快",2021-05-18
8,s**7,,好评,已买多次了，煮水喝，全家都在喝……分量很足，打开就闻到一股谷物香，里面的赤小豆跟薏米都非常的新鲜会坚持喝下去，看着是真才实料，煮过之后很好喝， 放在保温杯里 ， 可以喝一整天 ，味道也好，我很喜欢这个味 ,毕竟不是速效的，坚持下去效果会更好。一打开是那种炒出来的焦香味。包装也用心，,"感谢亲的评价，授人玫瑰手有余香，您简短的几句胜过无数的赞美，因为您的喜欢，温暖了我们整个手心，在忙碌的生活中，您选择了我们，我们的相遇，是基于无数个偶然，感谢您的邂逅，有什么意见和建议可联系我们, 我们会心存感激的倾听并努力改进,我们的进步离不开亲的理解与支持,。也希望亲在我们这里得到最愉快最放心的购物体验。我们相信您买的不只是一件商品，更多的是一份惊喜。对我们而言使这个世界灿烂的不是阳光，而是您满意的微笑。天空的美，在于云卷云舒;海洋的美，在于潮起潮落;生活的美，在于有苦有甜; 有您支持的美，便是对我们的肯定，亲的支持是我们成长发展的基石、提供优质服务的动力，我们承诺会以更快更好的服务回馈我们的顾客，也将是我们不断前进的动力！再次感谢亲的认可和肯定!您的好评是对我们最大的支持与鼓励，一份坚持 ，一份努力，一份用心，一份耕耘，一份承诺，一份期盼，一份收获，一份喜悦，一份感动，一份温暖，换来您的十分信任，期待下一次的交集，谢谢您的光顾，祝您生活愉快-【刘冰花旗舰店】",2021-03-24
9,t**8,,好评,此用户没有填写评价。,味道不错，会坚持喝下去的，有去湿的效果。建议天天喝.用养生壶煮水时一整间屋子都是香香的哈薏米真的炒的特别香，日期也很新鲜，挺好的值得购买这个红豆薏米分量很足质量不错的，强烈推荐给湿气重的小伙伴们值得入手。,-,2021-05-12
10,盼**姐,,好评,日期很新鲜， 价钱也很实惠。豆子和薏米可以煮的软糯糯的，泡起来很香，养生日常。味道挺好。里面再加个红枣味道更好喝炒熟后再喝不仅健康而且口感也很好！很快就煮开花了。口感很是香浓会坚持喝下去。,-,-,2021-05-23
