数据下载时间：2021-06-30 10:33:39 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/567586049992/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,c**亿,口味: 原味,好评,饼干收到了，打开看了日期很新鲜，我是用来代替晚餐的，下午16点吃两袋，再喝一大杯热水，很有饱腹感，晚上也不会觉得饿，而且饼干很好吃。 ,饼干吃了差不多一周，体重有下降，吃完还会继续回购的，主要是味道也不错,-,2021-06-24
2,t**0,口味: 原味,好评,上次买过一箱，全家都喜欢吃，有粗粮的口味又不甜，很好吃，这件是专门买给家里老人吃的，老人又分了一半给我们吃，因为不住在一起。吃了还继续买。 ,-,-,2021-06-26
3,c**7,口味: 原味,好评,吃了一包，给了同事一包，口感感觉很厚实！饱腹感还可以，0负罪感哈哈  ,包装很好，也好吃，不怕胖，希望能助我减肥顺利,-,2021-06-21
4,沉**1,口味: 原味,好评,产后体重增高，找点健康小零食吃吃，这款饼干很符合我的期望，粗粮颗粒感，不甜，热量也不高，真是真爱。 ,小包装的饼干，早晚吃二包，当小点心，真方便。不怕饿肚子啦。,-,2021-06-18
5,难**0,口味: 葱香味,好评,好吃又有饱腹感，确实能起到减肥的作用，饿了吃两块，再喝点水，饱腹感特明显，吃完了再买，给五星好评,-,-,2021-06-21
6,l**6,口味: 原味,好评,代餐饼干，饱腹感十足，粗粮高纤维，好。 ,代餐全麦，要的就是这个口味。,-,2021-06-25
7,g**刘,口味: 原味,好评,他家老顾客了 这次趁618又来囤了一箱 ,他家的饼干减脂控糖都OK 极力推荐,-,2021-06-20
8,t**0,口味: 原味,好评,商品分量：大概三四十个 保质期：日期新鲜 5月份的 口感味道：我看很多评论都说不好吃 我觉得蛮好吃的 只是不甜 当然这种减肥的东西不甜才好 味道很香  客服也很好 很热情 满意满意！以后还会回购的  ,-,-,2021-06-26
9,冉**2,口味: 原味,好评,味道真心谈不上好吃，也不至于吃不下去，吃到嘴里就像吃农村大锅烀的玉米面饼子，满满的粗粮！我是上班饿了吃一点，整天坐着吃太多甜的饼干的长肉。 ,-,-,2021-06-21
10,菠**果,口味: 葱香味,好评,哇，好吃的呀！很脆很香！虽然没啥味道，但是有很浓的杂粮香气，也比较容易饱腹，但是比不了吃饭的饱腹感的哈我们，饿了吃一点还行，推荐！ ,-,-,2021-06-24
11,难**0,口味: 葱香味,好评,已经是第二次回购了好吃有能减肥的代餐饼干，早晨出去跳广场舞饿了吃点，姐妹们都说好吃，这次给姐妹们回购了三箱，给五星好评,-,-,2021-06-21
12,一**1,口味: 葱香味,好评,买给父母吃的，家人觉得口感包装各方面都很有档次，非常不错,-,-,2021-06-23
13,l**9,口味: 原味,好评,包装品质：包装非常好方便携带，好吃又有饱腹感，吃着味道也不错也很香，我非常满意！下次还会继续购买的👍 ,-,-,2021-06-24
14,t**7,口味: 海苔味,好评,很好的哦，预备着晚上饿的时候吃～既不用饿着肚子睡觉也不用担心会胖啦！日期也很新鲜,-,-,2021-06-24
15,f**2,口味: 葱香味,好评,新鲜度：还好 商品分量：46包足足的 保质期：日期是印着五月份的，想想应该是新鲜的 唯一不足的就是碎光了，想想反正嚼碎了吃就勉强一下好了，希望可以改进 ,-,-,2021-06-26
16,t**5,口味: 原味,好评,商品分量：分量足 保质期：日期新鲜 有股糊味，不好吃，坚持吃一下，看有效果没 ,-,-,2021-06-26
17,1**o,口味: 葱香味,好评,味道不错，口感合适。适合减脂期使用，喜欢的亲们值得入手。 ,-,-,2021-06-23
18,t**6,口味: 原味,好评,买了葱香的和原味的，都挺好吃 葱 更香一点 吃完一包就打嗝。有一个不减肥的也老抢我饼干吃 ,-,-,2021-06-21
19,孤**龙,口味: 原味,好评,饼干不错，口感和味道我都喜欢。盒子上的图文也挺好。,-,-,2021-06-25
20,多**2,口味: 原味,好评,饼干收到了，看起来不错，希望坚持能达到预期的减肥效果 ,-,-,2021-06-26
21,无**女,口味: 原味,好评,饼干很好吃嗷 但是姐妹们吃多了也会胖胖滴 没办法我太喜欢吃饼干了 初吉家很不错嗷 ,-,-,2021-06-25
22,q**仙,口味: 原味,好评,同事推荐的店铺，收到包装完好，吃起来很不错，下次还会回购 ,-,-,2021-06-22
23,y**洋,口味: 原味,好评,包装很有质量，味道不错，吃不腻的感觉，很喜欢，下次再买。,-,-,2021-06-21
24,m**r,口味: 葱香味,好评,"味道不错,非常好的代餐饼干,第二次购买了,性价比很高。 ",-,-,2021-06-25
25,爱**2,口味: 葱香味,好评,葱香味很不错，饼干从口感上就知道是各种粗粮制作的，跟家里榨汁机榨的粗粮糊糊一样的口感，日期很新鲜 ,-,-,2021-06-19
26,蒋**8,口味: 原味,好评,小红书推荐，第一次买，好好吃，挺香的，吃了两包真的有饱腹感，对于减脂的人来说真的不错，会再回购的 ,-,-,2021-06-22
27,y**8,口味: 原味,好评,包装很好，打开尝了一下，里面是粗粮做的，口味不错,-,-,2021-06-24
28,m**0,口味: 葱香味,好评,回来迫不及待的就尝了两块，特别好吃，淡淡的麦香味非常好吃，客服也非常耐心，会常来的 ,没忍住又吃了一块，太好吃啦,-,2021-06-21
29,j**6,口味: 葱香味,好评,此用户没有填写评价。,已经吃过，葱香味不是那么浓郁，口感偏干，但我可以接受，下次准备试试海苔味,-,2021-06-21
30,酷**徐,口味: 原味,好评,口感味道：全麦的那种粗粮口感 饼干挺好吃的，身边同学尝了也说还不错。有点饱腹感，由于好吃，总是吃了还想吃，一包大概100千卡，可以解馋的时候吃一包。 ,-,-,2021-06-21
31,t**3,口味: 葱香味,好评,品尝之后，口感不错，适合减肥人士食用,-,-,2021-06-23
32,3**n,口味: 葱香味,好评,饱腹感是挺强的，就是很干，吞都吞不下去，哈哈哈哈哈哈 ,-,-,2021-06-22
33,t**2,口味: 原味,好评,低脂营养健康饼干只认初吉家的，吃完继续回购,-,-,2021-06-26
34,小**8,口味: 海苔味,好评,包装品质：挺好的 商品分量：重量足 新鲜度：挺新鲜的 口感味道：口感不错老顾客了 ,-,-,2021-06-15
35,j**6,口味: 原味,好评,饼干很香，酥脆可口，甜度适中，低脂健康不长肉!还会再来回购的! ,饼干很扎实  很浓的粗粮味道! 香香脆脆! 最主要是低卡!  吃完再来回购!,-,2021-06-21
36,f**蓉,口味: 原味,好评,朋友介绍买的，减肥，代餐，很好的选择。 ,-,-,2021-06-24
37,唯**迦,口味: 原味,好评,不错的，我是拿来做下午垫肚子的，感觉蛮健康 ,-,-,2021-06-26
38,付**x,口味: 葱香味,好评,减肥饼干这么好吃怕是减不了肥了，吃完继续回购。 ,-,-,2021-06-22
