数据下载时间：2021-06-30 10:34:25 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/637245933359/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,c**5,颜色分类: 东北长粒香米2.5kg,好评,真空包装，打开有米香，米粒饱满，应该会好吃，价格超实惠，赶紧再囤几包， ,-,-,2021-06-19
2,钓**1,颜色分类: 东北长粒香米2.5kg,好评,米好  量足  真空包装保质长  真正东北长粒货真价实好米   好！   ,-,-,2021-06-20
3,l**i,颜色分类: 东北长粒香米2.5kg,好评,之前买的10斤一袋的   吃的还不错  618有优惠又买了  日期新鲜  不错的！,-,-,2021-06-22
4,l**i,颜色分类: 东北长粒香米2.5kg,好评,日期新鲜  价格实惠  好评！,-,-,2021-06-22
5,z**0,颜色分类: 东北长粒香米2.5kg,好评,治疗冠状病毒感染，建议使用多种药物联合治疗方案：1建议使用抗病毒药 奥司他韦 或 阿比多尔 。2.建议使用抗生素 罗红霉素 或 头孢克肟 ，用于治疗病毒感染导致的继发性细菌感染。3.建议使用 盐酸氨溴索 用于化痰。4，在病房和公共场所打开通风系统，降低空气中病原体浓度。5，每天让病人洗个温水澡，维持免疫力。6对于重症患者考虑使用 ECMO系统 和 人工肝肾血液净化系统，7.建议病人和医生服用复合维生素维持免疫力，8.建议医生和病人尽量不要吃转基因食品，避免转基因食品导致的免疫系统损伤。9.冬天注意保暖，夏天打开空调，避免中暑。10.尽量单人单间，避免交叉感染。11公共场所佩戴口罩，避免出现超级传播者。 12，尽量实行分餐制。 13中药注射液毒性太强，中药尽量不要注射，能口服尽量口服。14使用激素不要过量，避免将来导致病人骨质疏松多关节病变坏si。15定期监测病人肝肾功能，避免多种药物导致病人肝肾衰竭。。不可放松警惕，祝疫情早日结束     ,-,-,2021-06-17
6,x**n,颜色分类: 东北长粒香米2.5kg,好评,米收到了，里里外外几层，日期很新鲜，最里面是真空包装，便于贮存，米还没吃，看样子应该不会错。好吃会回购的。 ,-,-,2021-06-22
7,z**3,颜色分类: 东北长粒香米2.5kg,好评,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的!说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。 再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好!不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦!  ,-,-,2021-06-21
8,五**春,颜色分类: 东北长粒香米2.5kg,好评,商品成分：米 商品分量：5斤装 包装品质：一真空包装未漏气，包装日期近吧 口感味道：香软可口，米挺香的！！ ,-,-,2021-06-21
9,c**s,颜色分类: 东北长粒香米2.5kg,好评,商品分量：份量是2.5公斤 包装品质：真空很严实，快递很快 口感味道：看着粒粒晶莹，颜色洁白， 新鲜度：看着就很新鲜，吃后追评！ ,-,-,2021-06-22
10,z**0,颜色分类: 东北长粒香米2.5kg,好评,治疗冠状病毒感染，建议使用多种药物联合治疗方案：1建议使用抗病毒药 奥司他韦 或 阿比多尔 。2.建议使用抗生素 罗红霉素 或 头孢克肟 ，用于治疗病毒感染导致的继发性细菌感染。3.建议使用 盐酸氨溴索 用于化痰。4，在病房和公共场所打开通风系统，降低空气中病原体浓度。5，每天让病人洗个温水澡，维持免疫力。6对于重症患者考虑使用 ECMO系统 和 人工肝肾血液净化系统，7.建议病人和医生服用复合维生素维持免疫力，8.建议医生和病人尽量不要吃转基因食品，避免转基因食品导致的免疫系统损伤。9.冬天注意保暖，夏天打开空调，避免中暑。10.尽量单人单间，避免交叉感染。11公共场所佩戴口罩，避免出现超级传播者。 12，尽量实行分餐制。 13中药注射液毒性太强，中药尽量不要注射，能口服尽量口服。14使用激素不要过量，避免将来导致病人骨质疏松多关节病变坏si。15定期监测病人肝肾功能，避免多种药物导致病人肝肾衰竭。。不可放松警惕，祝疫情早日结束      ,-,-,2021-06-17
11,z**w,颜色分类: 东北长粒香米2.5kg,好评,包装无破损，不过和商品图片不大一样，米还没吃，先好评 ,-,-,2021-06-26
12,t**6,颜色分类: 东北长粒香米2.5kg,好评,这次收到的长粒香大米是新包装，看起来很高档，生产日期很近，会继续关注。,-,-,2021-06-26
13,f**i,颜色分类: 东北长粒香米2.5kg,好评,物流很快，包装很好，晚上煮饭特意煮了这米，味道可以，比实体店便宜太多。 ,-,-,2021-06-23
14,亚**9,颜色分类: 东北长粒香米2.5kg,好评,好棒棒哒🎊棒棒哒🎊棒棒哒🎊棒棒哒🎊棒棒哒（群里的一个人的时候就会有一些人在一起了。我就想着我自己去吧。我在一起了。我在这里等你来时我就可以接受的是吗。我在一起了。我在一起的时候就这样吧。你的孩子也不知道怎么了？我们这边没有任何地方的工）这家米好 非常好 便宜好吃😋 ,-,-,2021-06-22
15,t**1,颜色分类: 东北长粒香米2.5kg,好评,很快就到了，全新正品，包装很仔细，没有问题。品质一级棒，包装也不错，物流很快，而且价格合理很实惠，很喜欢大品牌！值得信赖的！效果超级好！贵有贵的道理！很棒的商品！想买的别犹豫哇！没有廉价的感觉，很高端，特别棒！,-,-,2021-06-20
16,s**1,颜色分类: 东北长粒香米2.5kg,好评,这个牌子买过，这款沒试过，看着不错，价格实惠 ,-,-,2021-06-24
17,a**1,颜色分类: 东北长粒香米2.5kg,好评,真空包裝的不錯，看到產地是五常的，這價錢值,不是好評返現，是今天煮了真的不錯，米很香。,-,2021-06-25
18,p**7,颜色分类: 东北长粒香米2.5kg,好评,真正东北产长粒米  粒整  6月1日生产，真空塑封包装保质长  量足，货真价实好米。 外观看很好（食用后再来反馈口味） ,-,-,2021-06-20
19,t**9,颜色分类: 东北长粒香米2.5kg,好评,口感味道很好，香甜可口好喝还会回购 ,-,-,2021-06-26
20,f**1,颜色分类: 东北长粒香米2.5kg,好评,口感味道：一东北长粒香口感很好。软。 ,-,-,2021-06-21
21,5**d,颜色分类: 东北长粒香米2.5kg,好评,商品成分：大米 商品分量：2.5kg 包装品质：比较简陋 口感味道：还没试 ,-,-,2021-06-24
22,o**7,颜色分类: 东北长粒香米2.5kg,好评,不错   便宜的口粮    挺好吃 ,-,-,2021-06-24
23,t**1,颜色分类: 东北长粒香米2.5kg,好评,618红包兑换的，日期新，5月份的，家里开火少，买大包的米吃不完，平时就熬点稀饭炒个饭之类，到明年，刚刚好 ,-,-,2021-06-20
24,a**创,颜色分类: 东北长粒香米2.5kg,好评,回购的，好吃，就是物流这次有些久，还是顺丰快递呢，都不比上次别的快递快 ,-,-,2021-06-21
25,l**具,颜色分类: 东北长粒香米2.5kg,好评,商品成分：长粒香米 商品分量：够份量 足足2.5Kg装 包装品质：原厂包装 还有防水气泡袋子 口感味道：一如既往的好 新鲜度：618活动期间购买的   6月1号的日期，很新鲜了 ,-,-,2021-06-23
26,j**6,颜色分类: 东北长粒香米2.5kg,好评,居然还用顺丰，太划算了 ,-,-,2021-06-22
27,t**8,颜色分类: 东北长粒香米2.5kg,好评,日期新鲜，米质很好！ ,-,-,2021-06-24
28,a**创,颜色分类: 东北长粒香米2.5kg,好评,很多吃，价格实惠，不错！ ,-,-,2021-06-21
29,牙**了,颜色分类: 东北长粒香米2.5kg,好评,大米收到了，看着不错，还没用品尝。,-,-,2021-06-22
30,一**爱,颜色分类: 东北长粒香米2.5kg,好评,米饭很好吃  煮完很香  不是长粒香  但是挺好吃的   ,-,-,2021-06-23
31,t**4,颜色分类: 东北长粒香米2.5kg,好评,今天煮了 真的好吃 生米有香味 煮时候也香 ,-,-,2021-06-19
32,幸**雨,颜色分类: 东北长粒香米2.5kg,好评,发货快，包装好，多次购买了，都是很好。,-,-,2021-06-22
33,c**h,颜色分类: 东北长粒香米2.5kg,好评,大米质量很好。,-,-,2021-06-22
34,小**敌,颜色分类: 东北长粒香米2.5kg,好评,这个大米买了很多次了，好吃。家里都喜欢吃米饭，价位合适。又回购了好几袋， ,-,-,2021-06-19
35,碧**6,颜色分类: 东北长粒香米2.5kg,好评,米不错，比打着五常大米牌子米还好，连续买了几种牌子的米，感觉还是这个米物美廉价，性价比超高，回购,物美廉价哦,-,2021-06-05
36,t**5,颜色分类: 东北长粒香米2.5kg,好评,多次在这购买了，大米好吃 ,-,-,2021-06-24
37,茵**5,颜色分类: 东北长粒香米2.5kg,好评,收到的是抽真空的米，上面写的是东北长粒香，但是没煮过，不知道好不好，等吃过了以后再来追评 ,-,-,2021-06-24
38,j**6,颜色分类: 东北长粒香米2.5kg,好评,价廉物美，包装完好无损！ ,-,-,2021-06-22
39,田**家,颜色分类: 东北长粒香米2.5kg,好评,十月稻田 东北长粒香大米2.5kg 农家自产粳米香米真空包装5斤，，回购了,-,-,2021-06-23
40,t**8,颜色分类: 东北长粒香米2.5kg,好评,非常好的大米，购买Ｎ次了！ ,-,-,2021-06-24
41,z**4,颜色分类: 东北长粒香米2.5kg,好评,买了好几袋了，很喜欢这米煮熟时的米香味，以后会经常回购的,-,-,2021-06-21
42,初**琪,颜色分类: 东北长粒香米2.5kg,好评,挺好吃的 挺香的 很大一袋 ,-,-,2021-06-23
43,程**帆,颜色分类: 东北长粒香米2.5kg,好评,宝贝收到，外包装精美。发货与快递都很快，感觉这米还是不错的，暂时还没食用，好吃再来。 ,-,-,2021-06-15
44,帷**夏,颜色分类: 东北长粒香米2.5kg,好评,吃二次了，确认很失望，口感如同散米，米本身疑似陈米，包装日期没用,失望！口感如同散米，米本身疑似陈米，包装日期没用,亲爱的客户您好，非常感谢您对十月稻田的支持与喜爱，咱们家售卖的大米是20年新米哟，十月稻田所售卖大米均为东北大米，一年一季，只卖当季的哦。您可以放心购买的呢亲亲，煮饭时会因蒸煮方式及水米比例导致，煮出口感不是最佳，正常煮米饭水分比例为1:1.2，水量超米一指节即可哟，此款大米生产日期在商品正面黑体字右侧，我们非常重视用户体验，有问题联系在线客服，我们会竭尽全力为您服务，祝您生活愉快。,2021-06-26
45,x**8,颜色分类: 东北长粒香米2.5kg,好评,口感味道：筋道  新鲜度：很新鲜的日期 商品成分：优质 商品分量：足够 包装品质：真空包装 ,-,-,2021-06-23
46,海**5,颜色分类: 东北长粒香米2.5kg,好评,宝贝不错，物美价廉。 ,-,-,2021-06-21
47,s**尧,颜色分类: 东北长粒香米2.5kg,好评,刚好做活动，价格便宜了很多，性价比超高，真的特别划算 ,-,-,2021-06-22
48,l**具,颜色分类: 东北长粒香米2.5kg,好评,商品成分：长粒香米 商品分量：2.5kg刚刚好 实标 包装品质：原厂包装 外加防水 防震气垫袋子满意 新鲜度：6.1号的 ,-,-,2021-06-23
49,t**4,颜色分类: 东北长粒香米2.5kg,好评,一直喜欢这个长粒香米！日期也近！包装完好！ ,-,-,2021-06-19
50,非**名,颜色分类: 东北长粒香米2.5kg,好评,不到13买的，吃起来还可以，和我在超市买的散装米味道差不多,-,-,2021-06-26
51,蓝**q,颜色分类: 东北长粒香米2.5kg,好评,还不错呀还不错呀 ,-,-,2021-06-22
52,帆**2,颜色分类: 东北长粒香米2.5kg,好评,和店家描述相符，产品质量不错物美价廉，包装很好没有破损，客服人员服务态度好，办事效率高，需要的话会回购，也会推荐给朋友购买。 ,-,-,2021-06-23
53,b**w,颜色分类: 东北长粒香米2.5kg,好评,新鲜度：还没有吃，保质期12个月～新旧包装随机发货。收到的是旧包装 希望口感可以 ,-,-,2021-06-17
54,t**6,颜色分类: 东北长粒香米2.5kg,好评,这个米拿来煮粥还是不错的，圆圆的像似珍珠米 ,-,-,2021-06-26
55,t**4,颜色分类: 东北长粒香米2.5kg,好评,大米看起来还不错，包装也很好。,-,-,2021-06-19
56,张**0,颜色分类: 东北长粒香米2.5kg,好评,🌈质量很好，买的很合我心意💕，棒棒哒！✨需要的亲们可以放心购买 ,-,-,2021-06-22
57,t**3,颜色分类: 东北长粒香米2.5kg,好评,(*^__^*)非常满意的一次购物，物有所值，比实体店里实惠多了！,-,-,2021-06-21
58,g**n,颜色分类: 东北长粒香米2.5kg,好评,味道很不错，价格也实惠！,-,-,2021-06-23
59,l**4,颜色分类: 东北长粒香米2.5kg,好评,真空包装，打开有米香，可以挺好吃的。好评,-,-,2021-06-25
60,t**5,颜色分类: 东北长粒香米2.5kg,好评,包装的很好日期新鲜米粒均匀口感有嚼劲！,-,-,2021-06-24
61,一**7,颜色分类: 东北长粒香米2.5kg,好评,大米吃过来评价，有米香，口感也好，下次再来 ,-,-,2021-06-24
62,雪**影,颜色分类: 东北长粒香米2.5kg,好评,宝贝看着不错活动时候买的都特别好，真的是物美价廉，宝贝挺好挺好的物流好快。 ,-,-,2021-06-20
63,浪**希,颜色分类: 东北长粒香米2.5kg,好评,别人的都是真空的 我的不是！！ ,-,-,2021-06-25
64,迈**人,颜色分类: 东北长粒香米2.5kg,好评,还没吃，看着不错。味道应该差不了，感谢 ,-,-,2021-06-24
65,时**1,颜色分类: 东北长粒香米2.5kg,好评,百亿补贴买的，新老包装，日期新鲜，期待好口感 ,-,-,2021-06-19
66,t**1,颜色分类: 东北长粒香米2.5kg,好评,好吃，做饭软软的，香香的  包装精致，好,-,-,2021-06-20
67,q**6,颜色分类: 东北长粒香米2.5kg,好评,方便快捷实惠是王道，习惯好评！,-,-,2021-06-25
68,t**4,颜色分类: 东北长粒香米2.5kg,好评,再购，做饭煮粥味道比较清香满意,-,-,2021-06-19
69,王**0,颜色分类: 东北长粒香米2.5kg,好评,挺好的 日期实在很新鲜了 打开米也很香 ,-,-,2021-06-23
70,t**3,颜色分类: 东北长粒香米2.5kg,好评,十月稻田米好，新鲜实惠，好吃不贵。,-,-,2021-06-24
71,w**7,颜色分类: 东北长粒香米2.5kg,好评,大米收到，是老包装，还没有吃？,-,-,2021-06-23
72,w**f,颜色分类: 东北长粒香米2.5kg,好评,真空包装，米很香，软糯好吃，好评！ ,-,-,2021-06-24
73,慢**8,颜色分类: 东北长粒香米2.5kg,好评,便宜实惠……,-,-,2021-06-21
74,梨**雪,颜色分类: 东北长粒香米2.5kg,好评,经常买十月稻田的米，真空包装，日期新鲜，百亿补贴活动买的很超值，下次有需要再来。  ,-,-,2021-06-21
75,小**人,颜色分类: 东北长粒香米2.5kg,好评,实惠，煮粥挺好的 ,-,-,2021-06-22
76,t**1,颜色分类: 东北长粒香米2.5kg,好评,这次购买大米商家发货新包装，超级干净，看着很舒服，只不过大米的价格时高时低。 ,-,-,2021-06-20
77,s**2,颜色分类: 东北长粒香米2.5kg,好评,口感味道：好 新鲜度：好 ,-,-,2021-06-23
78,w**5,颜色分类: 东北长粒香米2.5kg,好评,价格好实惠，牌子又好,-,-,2021-06-26
79,t**9,颜色分类: 东北长粒香米2.5kg,好评,商品成分：一直吃这个 不知道买了多少次了 大爱 ,-,-,2021-06-26
80,维**n,颜色分类: 东北长粒香米2.5kg,好评,看到有活动果断下单了，上次买过这个牌子的大米好吃,-,-,2021-06-22
81,羊**狼,颜色分类: 东北长粒香米2.5kg,好评,发货快包装很好，多次购买了，一直都很好。 ,-,-,2021-06-22
82,樱**樱,颜色分类: 东北长粒香米2.5kg,好评,价格实惠，包装完好严实，满意！,-,-,2021-06-25
83,j**3,颜色分类: 东北长粒香米2.5kg,好评,很好，价格实惠，分量足，好吃！,-,-,2021-06-24
84,明**淇,颜色分类: 东北长粒香米2.5kg,好评,十月稻田东北长粒香大米2.5kg农家自产香米真空装5斤 百亿补贴 好评~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,-,-,2021-06-23
85,噼**c,颜色分类: 东北长粒香米2.5kg,好评,包装简单，物流不错，尝尝味道再来追加评论 ,-,-,2021-06-26
86,t**3,颜色分类: 东北长粒香米2.5kg,好评,有真空包装内袋，还有气泡袋的快递包装，完全没漏气，好评,-,-,2021-06-21
87,t**4,颜色分类: 东北长粒香米2.5kg,好评,大米很香 价格也优惠 已回购好几次 ,-,-,2021-06-19
88,z**c,颜色分类: 东北长粒香米2.5kg,好评,不是很香，价格便宜 ,-,-,2021-06-20
89,多**8,颜色分类: 东北长粒香米2.5kg,好评,产品质量不错，价格合适。,-,-,2021-06-21
90,t**1,颜色分类: 东北长粒香米2.5kg,好评,收到，没打开，摸着真空包装，好存放，备用，很信任店家，应该不错。 ,-,-,2021-06-20
91,佑**0,颜色分类: 东北长粒香米2.5kg,好评,包装非常好，很严实，值这个价格 ,-,-,2021-06-23
92,潮**如,颜色分类: 东北长粒香米2.5kg,好评,不错好吃，有韧性，香味也不错👍,-,-,2021-06-26
93,y**6,颜色分类: 东北长粒香米2.5kg,好评,这款米好香啊，煮粥煮米饭都好吃，煮米饭转换率不高（就是相同的一筒，煮出来米饭没有长粒的那种多。PS，这款不是长粒的），粥煮出来很粘稠，好吃！ ,-,-,2021-06-19
94,a**0,颜色分类: 东北长粒香米2.5kg,好评,一直买这个米，百亿补贴比直播间更便宜 ,-,-,2021-06-26
95,血**空,颜色分类: 东北长粒香米2.5kg,好评,口感味道：非常不错 ,-,-,2021-06-22
96,莫**8,颜色分类: 东北长粒香米2.5kg,好评,之前买的这牌子的五常米非常不错，希望这款也同样好吃！,-,-,2021-06-23
97,g**7,颜色分类: 东北长粒香米2.5kg,好评,看到价格合适，先买了,-,-,2021-06-26
