数据下载时间：2021-06-30 14:29:49 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/626360083868/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**6,口味: （65gx5袋） 面筋,好评,"✨商品从外包装来看非常高档，🈚真是一分钱一分货，💪贵有贵的道理从没想过这么实惠的价格能买到这么好的宝贝，📅小爱到大的品牌，🐥本来价格就很优惠，♍吃就剩下最好一包了，与描述一致，完美的味道。一收到就迫不及待的吃了两包,买了很多次东西,爱了爱了。✨ ",-,-,2021-06-21
2,t**9,口味: （65gx10袋） 大面筋,好评,满满一大包，🎭一收到就迫不及待的吃了两包，☁还和以前一样的好吃，日期新鲜包装个性新颖。日期新鲜。味道属于甜辣，🎐吃着没什么辣味。不过辣条的味道还是很吸引人。物美价廉，🙏包装也不错，💖整个棒棒哒  ,-,-,2021-06-21
3,2**a,口味: 【夜宵零食组合】共750g/约47小包,好评,质量非常好，💌完全超出期望值，🐨发货速度非常快，📥包装非常仔细、严实，🎸很满意的一次购物总体来说，💌确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理从没想过这么实惠的价格能买到这么好的宝贝，下次还来你家值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试价格非常的美丽...,物流很快味道还不错建议大家购买,曾经拥有的，不要忘记。不能得到的，更要珍惜。属于自己的，不要放弃。已经失去的，留作回忆。觉得好吃的，抓紧回购！哈哈哈哈，亲爱哒同学，好吃记得来卫龙家多多回购哟，比心比心比心~~,2021-06-17
4,t**9,口味: 【尝鲜推荐】 大面筋 106g*2袋,好评,此用户没有填写评价。,卫龙一直从💘小爱到大的品牌，本来价格就很优惠，吃就剩下最好一包了，zt包装开口很方💘便，搭配了海带、面筋、魔芋爽和💘卤蛋，佳琦直播间买的很划算，感觉最💘好吃的甜辣零食了,-,2021-06-21
5,古**冉,口味: （65gx5袋） 面筋,好评,好吃啊卫龙，不会很辣，爱吃辣条的妹子可以选择，而且很便宜买的 ,-,-,2021-06-26
6,徐**x,口味: （65gx5袋） 面筋,好评,辣条很好吃，量足。日期新鲜，味道超香。 ,-,-,2021-06-24
7,乖**的,口味: （65gx5袋）大面筋,好评,"yr很好吃,麻味地🚭道,材料好。一包小面筋📛,正品,剩下的就归我🐽了。卤蛋香,上头慢,🌙很满意。三包海带丝,📹泡沫还挺多,吃得放心📄。与描述一致,完美的🐰味道。一收到就迫不及📣待的吃了两包,买了很🚔多次东西,爱了 ",-,-,2021-06-11
8,胖**8,口味: 【夜宵零食组合】共750g/约47小包,好评,好吃，分量足，保质期新鲜，口感好。 ,-,-,2021-06-19
9,林**辉,口味: 【夜宵零食组合】共750g/约47小包,好评,包装品质：整体包装不错 商品分量：分量可以 保质期：整体包装运输不错 整体好评！ ,-,-,2021-06-23
10,b**6,口味: （65gx5袋） 面筋,好评,口感味道：😍发货很快，两三天就到了，这个颜色我很喜欢，性价比很高，非常nice包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买😍感谢🙏物流很快，物品完好无损，用起来很舒服，喜欢💕搞活动买的，外观和描述一致，美观实用，材质手感都不错，好评！东西比我想象中的还要完美，十分给力，值得入手 ,-,-,2021-06-23
