数据下载时间：2021-06-30 14:30:17 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/626321767139/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,大**哒,口味: 4袋畅享装（共计36根，4大袋）,好评,做工非常精细﻿，好像比我在食品店里面买的味道好些﻿，一直比较喜欢吃鸡肉肠，包装很完整﻿，我觉得很nice啊﻿，双汇的香肠一直觉得是不错的﻿，搞活动真的好便宜，物流真的很快，给小哥點个赞👍，可以煎可以烤，平时外面一包都要十块钱了，生产日期也很新鲜，包装可以的*#. ,看这里↓↓↓性价比超高，值得推荐！,-,2021-06-25
2,w**8,口味: 4袋畅享装（共计36根，4大袋）,好评,产品收到啦，包装完美没有破损，打开一看很好的，以后会再买吧 ,-,-,2021-06-25
3,女**7,口味: 4袋畅享装（共计36根，4大袋）,好评,很不错，好吃也划算，可以 ,-,-,2021-06-24
4,说**c,口味: 4袋畅享装（共计36根，4大袋）,好评,"东西很好,价美物廉,谢谢掌柜的!说实在，这是我淘宝购物购物。无论态度还是对物品，我都非常满意的态度很专业热情，有问必答，再说宝贝,正是我需要的,收到的时候包装完整,打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。 ",-,-,2021-06-25
5,那**下,口味: 4袋畅享装（共计36根，4大袋）,好评,整体评价：值得买 包装品质：完好无损 口感味道：好吃，美味 新鲜度：新鲜 ,-,-,2021-06-26
6,t**2,口味: 4袋畅享装（共计36根，4大袋）,好评,妙啊 哈哈哈哈哈哈哈哈哈哈哈哈 久违的味道 包装很完整，没有破损。迫不及待的拆开，发现完全超乎我的想象，入手以后竟然这么顺滑，没有一点褶皱，这种柔顺，一摸，就知道是我想要的。插入耳机插孔的时候，没有任何阻碍，一***，尽显我真男人本色。戴上耳机，听到 嗨啦 酷狗，我的心已经如痴如醉，整个世界没有了别的声音。顺利点开我最爱听的AV8D摇起来，尽情徜徉在音乐的海洋，我的能量，超乎你的想象。 ,-,-,2021-06-17
7,t**2,口味: 4袋畅享装（共计36根，4大袋）,好评,不错，好吃，四包呢 ,-,-,2021-06-17
8,z**5,口味: 4袋畅享装（共计36根，4大袋）,好评,整体评价：好 胀包问题：好 包装品质：好 口感味道：好 新鲜度：好 ,-,-,2021-06-21
9,二**b,口味: 4袋畅享装（共计36根，4大袋）,好评,香肠细长，淀粉味十足，鸡肉很少。便宜是真便宜。over ,-,-,2021-06-23
10,z**5,口味: 4袋畅享装（共计36根，4大袋）,好评,整体评价：了 胀包问题：管 包装品质：管 口感味道：管 新鲜度：了 ,-,-,2021-06-21
11,t**9,口味: 4袋畅享装（共计36根，4大袋）,好评,包装很贴心，物流真的很快，给小哥點个赞👍，口感不错肉质嫩，价格实惠，可以煎可以烤，口感真的不错。  ,-,-,2021-06-22
12,我**王,口味: 4袋畅享装（共计36根，4大袋）,好评, 活动十来块买了四包，贼划算，平时外面一包都要十块钱了，煮面必备配料，生产日期也很新鲜，都是这个月生产……商家发货很快，物流给力赞👍赞👍赞👍 ,-,-,2021-06-22
13,草**夏,口味: 4袋畅享装（共计36根，4大袋）,好评,还没吃，便宜就买啦，包装很好，日期很新鲜，吃过回来追评 ,-,-,2021-06-24
14,t**2,口味: 4袋畅享装（共计36根，4大袋）,好评,整体评价：一般般整体来说不错，价格便宜，物美价廉！以后有机会再来购买！五星好评！ 胀包问题：没有问题？，包装可以的！ 口感味道：口感不错！双汇还是挺好的👌 ,-,-,2021-06-17
15,w**胜,口味: 4袋畅享装（共计36根，4大袋）,好评,真是小巧玲珑，吃着挺怪的，鸡肉肠，面糊糊的，不大喜欢了，618便宜，，，，，，，，，，，，，，,-,-,2021-06-26
16,t**1,口味: 4袋畅享装（共计36根，4大袋）,好评,挺好挺划算，也挺好吃。咸的 终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我淘宝购物购物。无论态度还是对物品，我都非常满意的态度很专业热情，有问必答，再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。 ,-,-,2021-06-21
17,薇**5,口味: 4袋畅享装（共计36根，4大袋）,好评,挺好吃的，东西很喜欢，质量也很好的，这个价格能买到是真的很划算。,-,-,2021-06-25
18,守**爱,口味: 4袋畅享装（共计36根，4大袋）,好评,整体评价：包装很好，物流很快，味道跟超市买的一样，日期新鲜，还会回购， ,-,-,2021-06-23
19,京**4,口味: 4袋畅享装（共计36根，4大袋）,好评,多少有点细，，也就便宜一些，味道还行 ,-,-,2021-06-22
20,t**0,口味: 4袋畅享装（共计36根，4大袋）,好评,买着寄家里的，到货很快 ,-,-,2021-06-26
21,落**雨,口味: 4袋畅享装（共计36根，4大袋）,好评,给大家看一下有多迷你，平时吃的那种大小要两根，真是够迷你 ,-,-,2021-06-23
22,重**酱,口味: 4袋畅享装（共计36根，4大袋）,好评,好吃 我都是当零食解馋的 吃起来也很快 炒饭里边也可以放就是了 要是王中王那种我喜欢微波炉转一分钟吃 新鲜度：日期新鲜 胀包问题：没有问题 ,-,-,2021-06-21
23,v**姐,口味: 4袋畅享装（共计36根，4大袋）,好评,没仔细看，我以为是包装膜上有画只鸡的那一款。整体还不错，生吃比较好吃，煮在麻辣烫里面淀粉口感比较重 ,-,-,2021-06-26
24,我**上,口味: 4袋畅享装（共计36根，4大袋）,好评,还可以吧，零食那个，比较便宜，有点咸 ,-,-,2021-06-26
25,欧**虞,口味: 4袋畅享装（共计36根，4大袋）,好评,😥好似买多了，这吃到什么时候啊！你们赶紧吃啊！看起来很不错的样子，吧唧吧唧！ ,-,-,2021-06-22
26,t**0,口味: 4袋畅享装（共计36根，4大袋）,好评,已经吃了一半了，双汇还是可以信赖，吃的放心配泡面yyds，价格便宜,-,-,2021-06-26
27,a**4,口味: 4袋畅享装（共计36根，4大袋）,好评,整体评价：很满意 胀包问题：没有 包装品质：合唱是一样 口感味道：非常好 新鲜度：新鲜 ,-,-,2021-06-24
28,t**9,口味: 4袋畅享装（共计36根，4大袋）,好评,官方旗舰店比较放心，活动买的很划算，买了四包 ,-,-,2021-06-22
29,一**e,口味: 4袋畅享装（共计36根，4大袋）,好评,口感味道：单吃有点咸了，不晓得是不是放多了盐。。 ,-,-,2021-06-26
30,c**2,口味: 4袋畅享装（共计36根，4大袋）,好评,搞活动真的好便宜，拿来当零嘴吃的，跟超市卖得一模一样，但是这里更便宜这个价钱还要怎么自行车啊冲啊￼￼ ,-,-,2021-06-18
31,二**猪,口味: 4袋畅享装（共计36根，4大袋）,好评,整体评价：还好 有点细 胀包问题：没有鼓包 包装品质：挺好的 口感味道：稍微有点咸了 新鲜度：还可以 ,-,-,2021-06-26
32,h**h,口味: 4袋畅享装（共计36根，4大袋）,好评,很划算，618买的4大包36根，物美价廉 ,-,-,2021-06-22
33,流**尚,口味: 4袋畅享装（共计36根，4大袋）,好评,物流很快，我问客服什么时候到，客服说马上发货，和我想象的一样快。颜色和图片上一样，没有色差，我还担心收到货之后有色差或者是质量不好，宝贝真心不错，与图片相符，没有任何差异，真的是物超所值，物美价廉啊，可以入手，这家店信誉不错。 ,-,-,2021-06-26
34,何**仙,口味: 4袋畅享装（共计36根，4大袋）,好评,618搞活动还是很划算的，囤货了。 ,-,-,2021-06-25
35,x**3,口味: 4袋畅享装（共计36根，4大袋）,好评,这个颜色很喜欢，摸起来质感不错，百搭～包装也很大气，用来送人的话也是不错的选择,-,-,2021-06-24
36,l**起,口味: 4袋畅享装（共计36根，4大袋）,好评,日期新鲜，包装完好，口味正常，价格便宜。用来配牛奶，我觉得很nice啊。刚买回来就被室友抢了一包去吃了 ,-,-,2021-06-17
37,太**0,口味: 4袋畅享装（共计36根，4大袋）,好评,味道还不错，吃腻了猪肉的，换一换鸡肉的也不错！ ,-,-,2021-06-25
38,秀**1,口味: 4袋畅享装（共计36根，4大袋）,好评,从小吃到大的火腿肠，平时没事可以吃一根，可以泡面，也可以炒菜，活动价也很划算 ,-,-,2021-06-17
39,t**4,口味: 4袋畅享装（共计36根，4大袋）,好评,活动价格很实惠的，鸡肉肠还是挺好吃的。,-,-,2021-06-23
40,t**4,口味: 4袋畅享装（共计36根，4大袋）,好评,发货很快啊，已经收到了，日期新鲜，价格实惠，不错 ,-,-,2021-06-23
41,希**贝,口味: 4袋畅享装（共计36根，4大袋）,好评,很好吃哦、不过现在也可以看到这么一天你也早点回来哦、在一起的时候我们才看到电话给他们带来什么的最不应该在工作时不可以做朋友了。我的生活是自己选择放弃我抓紧这个世界上有多强大！我的人生就这么大了！我想知道什么样都能解决的问题！好好用电脑的时间里所有物品和我们之间所有东西都有不同需求。嗯！你就这样结束我们,-,-,2021-06-15
42,海**5,口味: 4袋畅享装（共计36根，4大袋）,好评,活动的时候买的特别划算，特别优惠，味道也挺好的，希望下次继续有这样子的活动。 ,-,-,2021-06-15
43,令**狐,口味: 4袋畅享装（共计36根，4大袋）,好评,口感味道：咸，而且全是淀粉，很难吃！ 真的不建议购买！！不管什么价格！ ,-,-,2021-06-26
44,z**0,口味: 4袋畅享装（共计36根，4大袋）,好评,很细，味道还行。 ,-,-,2021-06-22
45,盛**e,口味: 4袋畅享装（共计36根，4大袋）,好评,感觉还挺多，划算！,-,-,2021-06-23
