数据下载时间：2021-06-30 14:31:16 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/638572718677/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,手**1,口味: 润口香甜王240g*3袋,好评,正品 日期新鲜 ,-,-,2021-06-20
2,马**6,口味: 润口香甜王240g*3袋,好评,包装品质：包装没问题  口感味道：正品 口感一样  618薅羊毛 优惠下来11.9元/3袋，每袋240g ,-,-,2021-06-22
3,c**f,口味: 润口香甜王240g*3袋,好评,所谓火腿肠，关键是火腿肠需要如何写。 这样看来， 所谓火腿肠，关键是火腿肠需要如何写。 杰纳勒尔·乔治·S·巴顿曾经说过，接受挑战，就可以享受胜利的喜悦。这不禁令我深思。 一般来说， 莎士比亚曾经说过，那脑袋里的智慧，就像打火石里的火花一样，不去打它是不肯出来的。这似乎解答了我的疑惑。 海贝尔在不经意间这样说过，人生就是学校。在那里，与其说好的教师是幸福，不如说好的教师是不幸。这启发了我， 俾斯麦说过一句富有哲理的话，失败是坚忍的最后考验。这不禁令我深思。 从这个角度来看。 ,-,-,2021-06-24
4,t**5,口味: 润口香甜王240g*3袋,好评,整体评价：相当可以！ 胀包问题：无胀包 包装品质：还可以啊，就和超市里买的一样 口感味道：味道也很好，个人比较喜欢吃玉米肠 新鲜度：近期的，新鲜 ,-,-,2021-06-25
5,撸**浩,口味: 润口香甜王240g*3袋,好评,刚吃第一口就是一股恶臭味，划开一看都流汁了，质量真好啊,-,-,2021-06-26
6,天**8,口味: 润口香甜王240g*3袋,好评,比超市便宜多了，玉米味道足，偶尔当零食吃吃还是可以的！百亿补贴很实惠！ ,-,-,2021-06-23
7,x**6,口味: 润口香甜王240g*5袋,好评,马上就要迎来暑假高峰期了，王者荣耀也是为暑假做出了充足的准备，不仅仅S24赛季即将开启，新皮肤退出的步伐也是越来越快。 ,-,-,2021-06-23
8,我**送,口味: 润口香甜王240g*3袋,好评,那你坎坎坷坷记得记得就想那些不大喊大叫记得记得当年记得记得记得记得就记得你当年的你记得记得记得那你等不到你当年大开大合是b是女生看到你的你,-,-,2021-06-25
9,t**2,口味: 润口香甜王240g*3袋,好评,胀包问题：好 整体评价：很不错 新鲜度：很不错 ,-,-,2021-06-24
10,凉**长,口味: 润口香甜王240g*6袋,好评,便宜味道还行先说商品质量：产品总体不错，包装严实。再说商家服务：点赞啦。最后点评快递：发货很快。其他就是感谢店家打折送券活动，毕竟便宜好货更实在。希望店家多多优惠，及时通知老客户，促成回购。祝生意兴隆。 ,-,-,2021-06-17
11,惠**4,口味: 润口香甜王240g*4袋,好评,包装结实发货速度很快，日期新鲜味道还不错。 ,-,-,2021-06-25
12,t**8,口味: 润口香甜王240g*3袋,好评,玉米肠收到了，百亿补贴买的，价格实惠，挺好吃的，味道和超市一样 ,-,-,2021-06-16
13,t**4,口味: 润口香甜王240g*3袋,好评,和超市买的一样，而且比超市便宜 ,-,-,2021-06-23
14,自**呀,口味: 润口香甜王240g*3袋,好评,和超市一模一样，日期新鲜价格还便宜，真不错 ,-,-,2021-06-21
15,白**辰,口味: 润口香甜王240g*3袋,好评,香肠已经收到了，味道不错，价格也相对来说不贵 ,-,-,2021-06-24
16,c**8,口味: 润口香甜王240g*3袋,好评,比超市还便宜 好吃的 开心的购物,-,-,2021-06-24
17,t**8,口味: 润口香甜王240g*3袋,好评,家里两个孩子都特别喜欢吃有玉米的火腿肠，味道好。 ,-,-,2021-06-16
18,a**9,口味: 润口香甜王240g*3袋,好评,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的!说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可3 再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好!不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦! ,-,-,2021-06-23
19,w**1,口味: 润口香甜王240g*3袋,好评,孩子最喜欢😍的玉米香肠，味道香甜可口，日期新鲜，价格实惠！ ,-,-,2021-06-23
