数据下载时间：2021-06-30 14:33:47 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/40622086080/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,大**k,口味: 加葡萄糖酸锌（碱性24瓶）,好评,溶解难易：肯定容易 配件问题：挺好 包装品质：不错 外观品相：不错 口感味道：挺好的，呃呃呃 ,-,-,2021-06-25
2,关**以,口味: 经典原味（碱性24瓶）,好评,618活动内买的，价格要比平时优惠，比商超里的也优惠，用一句我多年学习的英文夸一下它，那就是“very good”。因为是官方旗舰店，下单后发货快，当天就给发货，一天就到达。外包装无破损，内部瓶装水也无挤压和破损，商品日期比较新，不是沉压的货。口感微微甜，不是特别的腻，冬季直接饮用，不需要加热，夏季在冰箱里冷藏后口感比常温好，因个人饮食差异，建议不要冰冻，这样口感不好。 看到我用这么多语言描述，给个点赞吧！！！！！ ,-,-,2021-06-18
3,关**以,口味: 加葡萄糖酸锌（碱性24瓶）,好评,618活动买的，整体评价一个字“nice”。 因为有活动，所以价格很划算，比实体超市便宜。 因为是官方旗舰店，生产日期比较新。 下单后发货快，当天就给发货，一天就到达。外包装无破损，内部瓶装水也无挤压和破损。 口感微微甜，不是特别的腻，夏季在冰箱里冷藏后口感比较好，因个人差异，建议不要太冰冻信用，这个口感不如冷藏。 看到我评价这么多字，给个点赞吧！！！！！ ,-,-,2021-06-18
4,c**i,口味: 经典原味（碱性24瓶）,好评,回购，建议购买，希望青瓜味赶紧出，同时给老客户老会员更多优惠 ,-,-,2021-06-24
5,c**3,口味: 经典原味（碱性24瓶）,好评,好喝，爱上特种兵电视剧主打苏打水，也是备孕的碱性水，喝上它你就会离不开它😁 ,-,-,2021-06-24
6,m**g,口味: 经典原味（碱性24瓶）,好评,包装品质：OK 外观品相：OK 口感味道：OK ,-,-,2021-06-24
7,t**3,口味: 经典原味（碱性24瓶）,好评,快递到的很快没有破损，还有味道也很好喝，一箱已经快喝完啦！原味yyds！,-,-,2021-06-21
8,西**8,口味: 经典原味（碱性24瓶）,好评,很方便，这种小瓶的刚刚好,-,-,2021-06-26
9,芒**i,口味: 经典原味（碱性24瓶）,好评,超喜欢 会一直回购点 满意 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 ,-,-,2021-06-24
10,e**陈,口味: 经典原味（碱性24瓶）,好评,买给老爸喝的，直接买了四箱，以前最开始孕吐的时候也是都有喝，无糖无气的，很不错值得回购······ ,-,-,2021-06-19
11,淘**夕,口味: 清新薄荷味（碱性24瓶）5月新货,好评,以前喝的都是原味的，这次换了个薄荷味，买了一箱，可惜喝不惯，感觉在喝风油精😂😂  ,-,-,2021-06-25
12,欧**头,口味: 经典原味（碱性24瓶）,好评,多次购买，活动时还划算。 碱性水和这个换着喝 也可以考虑天然苏打水 ,-,-,2021-06-23
13,美**h,口味: 经典原味（碱性24瓶）,好评,包装和快递很给力哟 ☺☺☺☺☺ ,-,-,2021-06-24
