数据下载时间：2021-06-30 14:34:20 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/624509556234/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,半**4,口味: 原味,好评,"yf看着芝麻黄黄的😣,不是很咸,祝生意兴隆📨。冲着好评入手的,很🎈有营养,点赞啦。干净♈卫生,包装严实。豪无🏩保价保障可言,促成回🚴购。没想到真是挺不错😡的,发货速度还是比较🕰快的,于是就买了一瓶🎺试试,很健康,  ",看我晒图!!!非常划算哟,-,2021-06-22
2,樱**沫,口味: 原味,好评,听朋友说这个品牌不错，☀于是就买了一瓶试试*.(@没想到真是挺不错的☀，毕竟便宜好货更实在。希望店家多多优惠，☀小孩子也比较喜欢，做出来很好吃，保质期八个月，☀无添加正是我想要的，很适合宝宝。+☀给娃伴着面就吃起来了，晚上就干完了半瓶，活动价太划算了 ,-,-,2021-06-24
3,假**1,口味: 原味,好评,包装与外观：太少，太坑了，才50克，很小一罐，而且还不满，也就装了三分之二，太坑了，后悔！没有运费险，不要买，真坑！坑！坑！！！ ,真的坑！很小一罐，而且还不满，超级少，巴掌大的罐子，打开也就有三分之二的海苔，空着一半，没见过这么坑的！！没有运费险！！,非常感谢您的支持和反馈，哆猫猫收到了哟！我们会认真听取每一位顾客的建议，不断全方位的提升产品，期待后期给您带来更好的体验！店铺促销活动欢迎您多多关注哦！哆哆祝宝宝健康快乐成长，祝您生活愉快！,2021-06-26
4,东**p,口味: 原味,好评,食用效果：我觉得不是很好吃。 包装与外观：还行。 宝贝特点：海苔碎和芝麻，比较方便，口味的话，一般。 为了倒出来看看底部的脱氧剂，不小心倒地上一大半…………😄 ,-,-,2021-06-23
5,丁**廿,口味: 原味,好评,闻起来很香，吃起来挺脆的，孩子很喜欢。一瓶拌饭几天就吃完了，孩子催我再买，还要不同口味的🙀，然后我发现居然没有其他口味的。50克，这小罐还没满。总的说来挺好的。推荐 ,-,-,2021-06-26
6,t**6,口味: 原味,好评,听朋友说这个品牌不错，于是就买了一瓶试试，没想到真是挺不错的，挺好吃的，美美哒 ,-,-,2021-06-17
7,好**孩,口味: 原味,好评,很不错👍 想着给宝宝换换口味吃，主要宝宝不怎么爱吃 很新鲜！ ,-,-,2021-06-22
8,s**6,口味: 原味,好评,味道很香，宝宝很喜欢吃，日期也很新，满意 ,-,-,2021-06-22
9,t**2,口味: 原味,好评,海苔肉松很美味，我家宝宝超级爱吃。,-,-,2021-06-24
10,t**2,口味: 原味,好评,先说商品质量：产品总体不错，包装严实。再说商家服务：点赞啦。最后点评快递：发货很快。其他就是感谢店家打折送券活动，毕竟便宜好货更实在。希望店家多多优惠，及时通知老客户，促成回购。祝生意兴隆。很不错👍,-,-,2021-06-24
11,长**生,口味: 原味,好评,平常喜欢吃波力海苔，不爱吃饭，给孩子试吃了下，还不太习惯有芝麻，吃饭会嚼很久。 ,-,-,2021-06-24
12,丁**桢,口味: 原味,好评,包装很好，等孩子尝尝味道 ,-,-,2021-06-26
13,多**贝,口味: 原味,好评,孩子很喜欢，还不错。 ,-,-,2021-06-24
14,z**4,口味: 原味,好评,拌饭真的超级好吃，盐味很淡，所以小孩也可以吃！,-,-,2021-06-20
15,小**8,口味: 原味,好评,看着不错，很干净 ,-,-,2021-06-25
16,t**1,口味: 原味,好评,一罐就不大，吃完了 ,-,-,2021-06-15
17,l**f,口味: 原味,好评,价格实惠，质量杠杠的，非常好的一次购物，下次还来 ,-,-,2021-06-21
18,z**8,口味: 原味,好评,😊孩子很喜欢，没有多余的味道，拌饭，面条啥的都可以 ,-,-,2021-06-22
19,t**7,口味: 原味,好评,搭配年糕吃！口感超级美味！ ,-,-,2021-06-25
20,s**8,口味: 原味,好评,宝宝爱吃，满意！！！！！ ,-,-,2021-06-21
21,t**2,口味: 原味,好评,喜欢多猫猫家的零食！娃喜欢我也喜欢，每次都和娃抢着吃嘿嘿 ,-,-,2021-06-24
22,花**m,口味: 原味,好评,孩子挺喜欢吃的。就是要是没加糖和盐就好了，配料表有，吃着挺淡的！ ,-,-,2021-06-22
23,南**雪,口味: 原味,好评,整体来说，还是很好的，非常值得再次回购 ,-,-,2021-06-21
24,j**1,口味: 原味,好评,产品包装精致，味道我吃着不错，喜欢 ,-,-,2021-06-23
25,t**6,口味: 原味,好评,同事推荐的，希望孩子能喜欢。 ,-,-,2021-06-17
26,我**婆,口味: 原味,好评,必须好评啊 虽然我闺女吃不了 ,-,-,2021-06-20
27,陈**年,口味: 原味,好评,煮了饺子搭配这个，味道很好，满意满意。 ,-,-,2021-06-24
28,山**号,口味: 原味,好评,"很好　o(#￣▽￣)==O))￣0￣"")o 金钢飞拳~!!！！！！！！！！！！！ ",-,-,2021-06-19
29,t**7,口味: 原味,好评,发货超级给力  价格便宜实惠  赞赞,-,-,2021-06-25
30,t**1,口味: 原味,好评,好吃，女儿特别喜欢吃。下次还会回购,-,-,2021-06-15
31,t**0,口味: 原味,好评,食用效果：宝贝很喜欢吃 ,-,-,2021-06-24
32,雨**1,口味: 原味,好评,很好👍我家娃儿特别爱吃，吃完还想吃 ,-,-,2021-06-21
33,a**i,口味: 原味,好评,不错，做了一次饭团，小孩爱吃 ,-,-,2021-06-20
34,幽**余,口味: 原味,好评,挺好的孩子很喜欢吃，就是有点贵 ,-,-,2021-06-25
35,t**1,口味: 原味,好评,用来拌面拌饭都可以、喜欢吃 ,-,-,2021-06-15
36,t**3,口味: 原味,好评,打开有股浓浓的芝麻油香，宝宝超喜欢,-,-,2021-06-22
37,雨**a,口味: 原味,好评,看到简里面很少不知道味道如何？,-,-,2021-06-22
38,悦**花,口味: 原味,好评,还没有打开，包装完整没有损坏 ,-,-,2021-06-24
39,邹**2,口味: 原味,好评,很好吃，孩子每次吃好多米饭 ,-,-,2021-06-25
40,韩**2,口味: 原味,好评,口感确实挺好，很好吃 ,-,-,2021-06-26
41,陈**9,口味: 原味,好评,还不错 快递也很快就到货了  日期也很新鲜 还没有拌饭团吃  味道应该很不错 打开盖子就闻到香香的味道 有点香油的味道 海苔也很新鲜 给宝宝吃应该也很不错 ,-,-,2021-06-11
42,王**婷,口味: 原味,好评,妥妥的好评，孩子很喜欢！！,-,-,2021-06-24
43,t**2,口味: 原味,好评,很好吃哦，超级棒的味道！,-,-,2021-06-24
44,y**9,口味: 原味,好评,买的23，今天收到货再看14.9了，还第二件4.9，这么大利润空间，水真深，消费全凭缘份，豪无保价保障可言，口感一般，油腻腻的,差评，时隔一天，23块降到14，还第二件4块9，这是什么套路，水深不见底，所以商品本身不值23，只值4.9,您好，谢谢您对哆猫猫的支持！感谢您的反馈，哆哆已经收到并狂奔在让您更加满意的路上！谢谢您对哆哆的理解，您也可以关注下哆猫猫家其它产品！ 哆哆祝宝宝健康快乐成长，祝您生活愉快！,2021-06-19
45,1**元,口味: 原味,好评,还不错，孩子爱吃。 ,-,-,2021-06-21
46,q**9,口味: 原味,好评,宝宝很喜欢,-,-,2021-06-25
47,快**心,口味: 原味,好评,小孩喜欢,-,-,2021-06-21
48,a**羊,口味: 原味,好评,孩子爱吃。 ,-,-,2021-06-22
49,枯**1,口味: 原味,好评,孩子喜欢,-,-,2021-06-21
50,小**1,口味: 原味,好评,不错，女儿爱吃！挺好 ,-,-,2021-06-22
51,卡**梨,口味: 原味,好评,量不多，里面有星星点点的不知道是不是碎肉松,-,-,2021-06-24
52,少**君,口味: 原味,好评,超级棒！店家大气！可以拌面吃啦。 ,-,-,2021-06-24
53,最**6,口味: 原味,好评,包装很好，就是贵。,-,-,2021-06-25
54,凤**雪,口味: 原味,好评,比较多油，其他还好,-,-,2021-06-26
55,小**y,口味: 原味,好评,包装好，吃好再来。 ,-,-,2021-06-21
56,轻**6,口味: 原味,好评,味道不错，孩子很喜欢，就是太少了，50克 ,-,-,2021-06-23
57,t**5,口味: 原味,好评,味道一般，娃儿还是要吃。,-,-,2021-06-22
58,李**8,口味: 原味,好评,拌饭很好吃。,-,-,2021-06-25
59,t**0,口味: 原味,好评,难吃，不香,-,-,2021-06-24
60,t**4,口味: 原味,好评,没什么咸味，有优惠卷，不然不值这个价,-,-,2021-06-21
61,1**晨,口味: 原味,好评,味道不好，油油的没味道，吃油一样 ,-,-,2021-06-22
62,f**6,口味: 原味,好评,味道不错 但是小朋友不爱吃😫,-,-,2021-06-23
63,p**3,口味: 原味,好评,量很大 不光孩子爱吃 一家人做拌饭也很爱吃,-,-,2021-06-16
64,陆**眉,口味: 原味,好评,感觉海苔的香味没有多少，配料的香味比较浓,-,-,2021-06-23
65,小**3,口味: 原味,好评,海苔很好吃很香 可惜我家孩子不喜欢吃,-,-,2021-06-21
66,玲**4,口味: 原味,好评,一般吧！我家孩子不喜欢吃,-,-,2021-06-21
67,z**8,口味: 原味,好评,量比较少，吃完了盒子第下还垫了一层 ,-,-,2021-06-22
68,开**柜,口味: 原味,好评,一罐只有一半的量 ,-,-,2021-06-26
69,执**a,口味: 原味,好评,物美价廉，物流给力，值得回购 ,-,-,2021-06-22
70,j**7,口味: 原味,好评,我不知道为什么那么多好评哦，冲着好评入手的，感觉好像被坑了。,-,-,2021-06-16
71,格**情,口味: 原味,好评,还不错，孩子特别喜欢用这个伴米饭吃，好评！,-,-,2021-06-20
72,柚**粑,口味: 原味,好评,看着还不错，还没吃。先尝尝，好吃还会回购,-,-,2021-06-17
73,t**1,口味: 原味,好评,外观好看，宝宝一看就喜欢上了，开一罐直接用勺子吃上了，很香，芝麻和海苔还有油的香味，看着芝麻黄黄的，吃起来很脆，我做了几个饭团，宝宝爱吃。吃了会考虑回购的。 ,-,-,2021-06-15
74,武**停,口味: 原味,好评,很好！很有味道！,-,-,2021-06-22
75,我**0,口味: 原味,好评,宝宝很喜欢吃 挺大一桶 够吃很久,-,-,2021-06-16
76,l**n,口味: 原味,好评,包装与外观：良好 ,-,-,2021-06-15
77,王**6,口味: 原味,好评,味道不错，也很脆很好吃。,-,-,2021-06-19
78,婷**0,口味: 原味,好评,味道不错，晚上做了油煎粽子！值得购买,-,-,2021-06-18
79,八**儿,口味: 原味,好评,还行吧，宝宝不爱吃这个,-,-,2021-06-21
80,柠**0,口味: 原味,好评,不错，好吃 ,-,-,2021-06-23
81,m**6,口味: 原味,好评,还不错，女儿喜欢吃 ,-,-,2021-06-19
82,x**g,口味: 原味,好评,娃娃很喜欢吃。说很香 ,-,-,2021-06-19
83,c**i,口味: 原味,好评,小孩不喜欢吃,-,-,2021-06-23
84,y**1,口味: 原味,好评,小朋友很喜欢,-,-,2021-06-17
85,s**7,口味: 原味,好评,不知道味道咋样 ,-,-,2021-06-21
86,淘**贝,口味: 原味,好评,东西还可以,-,-,2021-06-18
87,w**3,口味: 原味,好评,收到货了，但是还没开呢，希望不会让我失望 ,-,-,2021-06-21
88,i**9,口味: 原味,好评,非常好吃哦，还有肉丝，太好吃了,-,-,2021-06-16
89,星**点,口味: 原味,好评,特别满意，好评必须好评 ,-,-,2021-06-17
90,仰**9,口味: 原味,好评,这次感觉肉松要多一丢丢… ,-,-,2021-06-24
91,格**e,口味: 原味,好评,无敌棒 强烈推荐大家购买！ ,-,-,2021-06-12
92,t**7,口味: 原味,好评,打开就半瓶  太坑了吧,-,-,2021-06-25
93,宝**俏,口味: 原味,好评,味道很好，好吃 ,-,-,2021-06-12
94,落**心,口味: 原味,好评,特别好(✪▽✪),-,-,2021-06-17
95,妮**燕,口味: 原味,好评,好好吃特别喜欢,-,-,2021-06-16
96,董**1,口味: 原味,好评,不太喜欢吃 ,-,-,2021-06-23
97,浅**8,口味: 原味,好评,非常好吃,-,-,2021-06-16
