数据下载时间：2021-06-30 17:21:10 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/646256109432/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,l**9,口味: 原味3盒+藤椒3盒,好评,"等于点一份外卖☁,口感味道：很好吃🌃,但口感一★般🌇,胀包问题：无🌃,虽然没有实体店煮的好吃🌁,把食物处理的很好⚡,很棒的味道🌆,比店里的还要好吃☁,一人食就是单人餐☔,不是南京人也喜欢吃这个⚡,口感味道：好吃哦🌂,内脏包也很好吃🌇,原价我是不会回购有活动价可以买点吃🌇 ",-,-,2021-06-26
2,c**a,口味: 原味3盒+藤椒3盒,好评,",汤料和粉丝味道不错☔,加了一点醋提鲜☔,不是南京人也喜欢吃这个🌁,藤椒味麻麻的很爽口！一口气吃完了⚡,一个东北人可以接受的微辣⛄,虽然不确定是否跟南京的正宗味道一样🌂,不出家门就能吃到正宗的南京鸭血粉丝☔very good... 哇哇哇 完全超出期望值",商品很不错 值得购买 爱了爱了  看 图,-,2021-06-26
3,水**g,口味: 【爆款必买】原味6盒,好评,口感味道：比较重的鸭子腥味，个人还可以接受！分量偏少，只适合女生！个人纯粹尝鲜买的，不会回购  ,-,-,2021-06-25
4,西**8,口味: 藤椒6盒,好评,包装品质：包装藤椒味是绿蓝色的盒子，里面料包都是单独包装，质量没得说。 口感味道：今天吃了第一包，之前总是去奥林匹克中心下面小吃街吃，现在单独买上尝尝，口感特别浓郁，鸭血是真鸭血，很顺滑，粉丝也是中细，劲到好吃。之前总是买李子柒家的螺蛳粉，这个完全让我有了久购的小心思。 ,-,-,2021-06-26
5,t**7,口味: 原味6盒,好评,好吃，就是配料有点咸，放3碗水还咸，放少配料可以。回味新鲜，煮2分钟即可吃 ,-,-,2021-06-23
6,刘**4,口味: 藤椒6盒,好评,包装品质：包装非常赞，就光这个包装都值得一个好评 口感味道：鸭肝鸭肠鸭血都非常好吃，这几天在吃药，本来想着不放藤椒包吃原味的，结果一点也不好吃，妥协把藤椒包加进去了，味道立马上了好几个层次，很棒的味道，物超所值了 ,-,-,2021-06-22
7,c**0,口味: 【爆款必买】原味6盒,好评,+7直播间推荐，第一次零食节没下单，这次忍不住下单，关键抵扣个红包还是划算，收到立马下锅两盒，料是相当足，味道非常可，我和我妈直接当晚餐吃了（我妈不吃鸭血，两袋的鸭血全部给我了😄😄） 我妈问我有没有达到妯娌老鸭粉丝汤的水准，我说已经无限接近正宗妯娌的水准，建议大家多放点水煮（粉丝膨胀力惊人），出锅后加点醋味道更加，辣油包剪开放碗里（不能吃辣的少放，但建议放一点，其实就算放一包，也不是很辣，完全可以承受），煮好的粉丝汤直接浇上去，香味马上出来。 这款YYDS了，加入回购清单! 唯一差评给韵达快递，地球人都知道的没有最差只有更差的快递，送货永远打*si不通知，直接丢地上!做品牌的公司建议别为了省这点小钱，被快递拖入阴沟。 ,-,-,2021-06-22
8,米**5,口味: 原味3盒+藤椒3盒,好评,包装超好，整齐放心，煮了一包给宝宝尝尝，超级喜欢原味，做早饭超级方便,-,-,2021-06-18
9,品**胖,口味: 原味3盒+藤椒3盒,好评,在佳琦直播间买的，用掉所有618红包以后划下来不到五块钱一盒，四舍五入等于不要钱！ 原味和藤椒味最大的区别就是料包不一样，原味是辣油包藤椒味是藤椒酱，血包和肝肠包本来就有盐味，所以调料包也可以不放。 个人感觉原味其实和我每次在南京南赶高铁时吃的鸭血粉丝味道不太像，鸭油味太重了；藤椒味反而和店里的比较类似，藤椒酱的鲜香淡化了鸭油那股子味道，吃起来很清爽。血肝肠量也很多，尤其是肝肠调味很好，空口当零食吃也没问题。 藤椒味真的很值得经常囤货，比外卖好吃料还多！ ,-,-,2021-06-20
10,巧**殇,口味: 【爆款】原味6盒,好评,味道会比较咸，也有点腥，对于怕腥的人建议另外再加辣油，我是对腥味比较敏感，所以另外加了辣油和醋，但是是好吃的，原价我是不会回购有活动价可以买点吃 ,-,-,2021-06-21
