数据下载时间：2021-06-30 17:22:06 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/541933679045/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,y**5,口味: 原味*2盒(10枚),好评,☔☀🌈原味的比较像芝士蛋糕，收到货后发现真的很赞，包装非常好，☔☀🌈到的时候冰袋还是冷的，买来买去还是喜欢半熟芝士☔☀🌈，甜里面有一丁点苦的味道*.(@，绵绵的很好吃，奥巧既有奥利奥的味道又有芝士软糯的口感，吃完空气中依然飘散着香味，这种感觉只可意会不可言传  ,-,-,2021-06-22
2,冯**5,口味: 奥巧味(4枚/盒) + 原味(5枚/盒),好评,原味永远的神，个人不喜欢奥利奥口味，太甜，容易酿人，吃一个都会影响一整天的食欲 ,开开心心吃个半熟芝士，吃出个塑料，以我的经验是一块融化又凝固的热熔胶，很震撼，这么大的品牌，吃出这玩意儿,-,2021-06-24
3,j**萍,口味: 奥巧味(4枚/盒) + 原味(5枚/盒),好评,"保质🌃期：可以,花花马卡龙emm🌃m很大很漂亮,很⛄久没吃半熟芝士了,吃☁完再买咯,回购了无数次的半熟🌀芝士,双⛄莓味吃起来就是草莓味,下戏家暴出轨嫖娼☁吸毒代孕弃子,还是原味⛄的更好吃一点,到货☁也非常快x很棒呀哦y_~  ",-,-,2021-06-20
4,大**3,口味: 柚子味(5枚/盒) + 双莓味(5枚/盒),好评,柚子味比双莓味好吃，酸酸甜甜的，双莓味有点太甜了。活动价格买的很划算。 ,-,-,2021-06-21
5,陶**0,口味: 奥巧味(4枚/盒) + 原味(5枚/盒),好评,昨天做的，今天就到了，保质期五天，买的时候都没看这些。在冰箱冰了一下午，半熟芝士入口即化的感觉，微甜。奥利奥的最一层是偏甜，下面的软软的，买来尝一下挺不错的 ,-,-,2021-06-20
6,卢**秋,口味: 奥巧味(4枚/盒) + 原味(5枚/盒),好评,好吃好吃，我喜欢半熟芝士，就是太贵了，希望能便宜点呜呜呜 ,-,-,2021-06-24
7,地**5,口味: 原味*2盒(10枚),好评,最喜欢好利来的半熟芝士和蒲公英空气巧克力，香甜软糯，口感丝滑，简直太好吃了😋 ,-,-,2021-06-25
8,z**0,口味: 原味(5枚/盒) + 抹茶味(5枚/盒),好评,物流速度很快，昨天发今天早上就收到了，好利来的半熟芝士果然名不虚传，味道好极了，原味和抹茶都是我的爱，不会很甜很腻，配咖啡完美。下次再试试其他口味的。 ,-,-,2021-06-24
9,呐**蜜,口味: 奥巧味*2盒(8枚),好评,个人口味觉得奥利奥款味道一般，不如青梅半熟芝士好吃。（我是个爱吃奥利奥饼干的人，但是这款我不会再买）,-,-,2021-06-26
10,柚**钱,口味: 奥巧味(4枚/盒) + 原味(5枚/盒),好评,就只是小蛋糕，没有吹的那么好吃，芝士比奥利奥稍微腻一点，保质期好像是七天还是十五天来着，买两盒一个人吃的话，后面几天都要一天吃两 ,-,-,2021-06-22
11,小**儿,口味: 原味(5枚/盒) + 抹茶味(5枚/盒),好评,从发货开始算一天半到了，到的时候冰袋还是冷的，不错不错，半熟芝士的抹茶味绝绝子，原味还没试，抹茶味已经可以让我无限回购了，花花马卡龙emmm很大很漂亮，酸酸甜甜，但是吃过一次就够了，没有半熟芝士那种耐吃回味的感觉，半熟芝士yyds ,-,-,2021-06-17
12,j**b,口味: 奥巧味(4枚/盒) + 抹茶味(5枚/盒),好评,趁打折买一发，最爱抹茶和奥利奥的，小小一个，嘴馋吃无负担 ,-,-,2021-06-24
13,t**3,口味: 原味(5枚/盒) + 抹茶味(5枚/盒),好评,棒 还是更爱原味！ 新鲜度：好 包装品质：好 口感味道：good ,-,-,2021-06-23
14,吴**洁,口味: 榴莲味(5枚/盒) + 原味(5枚/盒),好评,我心中的半熟芝士no.1 巧克力的无敌好吃 但是夏天没有 这次是榴莲和原味 ,-,-,2021-06-21
15,对**姐,口味: 柚子味(5枚/盒) + 双莓味(5枚/盒),好评,柚子口味很好吃，我宣布柚子成为仅次于蜂蜜蛋糕的最爱 ,-,-,2021-06-24
16,w**i,口味: 奥巧味(4枚/盒) + 原味(5枚/盒),好评,味道还行，没有宣传和评论里说的那么好吃，个人口味不一样吧 包装品质：包装挺好的，很满意，送货上门，速度很快 商品分量：分量我觉得挺值的，对于喜欢的吃的 保质期：3-5挑 新鲜度：很好，20号发货，日期20号，21号早上到了 ,-,-,2021-06-21
17,吕**9,口味: 原味(5枚/盒) + 抹茶味(5枚/盒),好评,晃然直播间随便拍的，优惠9元，好吃好吃，喜欢抹茶的～北京同城，当天收到了！好棒！幸福，快递小哥辛苦了 ,-,-,2021-06-21
18,c**c,口味: 奥巧味*2盒(8枚),好评,还挺好，我昨天晚上买的，他今天一早发当天的，然后晚上就送到了，还挺新鲜，冰都没化完。 不过收到之后最好还是先冰箱冷藏放会儿再吃，挺好 ,-,-,2021-06-26
19,永**α,口味: 奥巧味*2盒(8枚),好评,表面是脆脆的奥巧，一口下去就是那种奥利奥饼干跟芝士结合在一起，再加上浓郁的巧克力香。第一次买就惊为天人，十分符合我的口味，现在再吃可能是吃多了，就有点腻了,-,-,2021-06-21
20,美**慈,口味: 奥巧味(4枚/盒) + 原味(5枚/盒),好评,也许是我的期望值太高，实际真的很一般，特别是奥巧口味的，感觉就是一块大奥利奥饼干，又甜又腻，原味的还好一点，但和其他蛋糕店买的也没有太大区别，本来想买巧克力味的，可惜618活动没有，后续不会回购了 ,-,-,2021-06-26
21,p**1,口味: 柚子味(5枚/盒) + 原味(5枚/盒),好评,回购无数次，买过好利来的芝士牧场，豆乳芝薯盒，蛋糕，买来买去还是喜欢半熟芝士，原味的作为毕业礼物送给室友了，柚子味的也好好吃啊，甜里面有一丁点苦的味道，超级清爽 ,-,-,2021-06-19
22,彭**宝,口味: 榴莲味(5枚/盒) + 奥巧味(4枚/盒),好评,超级无敌好吃😋 东西送到冰袋还是硬的 买到季节限定的榴莲味的。太赞了 ,-,-,2021-06-26
