数据下载时间：2021-06-30 17:22:29 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/624337999485/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,我**童,口味: 三层紫米面包500g【彩盒装带奶酪】【内含5包】,好评,"hzp保质期：保质期还可以🌀,不是特别甜🌆,吃上这个就可以⚡,我想要的味道🌂,已经推荐给室友了☁,结果出乎意料的好吃☔,保质期：新鲜🌁,太太太好吃了⚡,以为挺便宜的不会好多少🌄,非常的新鲜good☁,最好快点吃掉🌁,商品分量：分量挺多的🌁...  ",真好吃吃完还会回购 好吃不贵,-,2021-06-22
2,c**8,口味: 两层紫米面包500g【水印箱无奶酪】【内含5包】,好评,终于在不着急的时候等到紫米面包发货了~是下单当天生产的，三天就到手了~ 口感味道：还是和以前一样好吃，紫米糯糯的不错，挺好吃的！买过好几次了， 紫米糯糯的，奶昔比别人家的都好吃，还可以，面包片挺软和的，里面紫米挺多的，性价比挺高，推荐～ ,很好吃啊，好久没吃了，这次是给我侄女买的，她应该会喜欢吃吧，小孩子嘛，吃个*都是香的。,-,2021-06-25
3,竹**4,口味: 三层紫米面包500g【彩盒装带奶酪】【内含5包】,好评,日期新的，掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，比我想象中的还要好！,份量挺足的，日期很新鲜，物流也挺快的，下午饿的时候不错的下午茶选择，可以解决嘴馋，挺好吃的,-,2021-06-25
4,王**贝,口味: 两层紫米面包500g【水印箱无奶酪】【内含5包】,好评,紫米糯糯的很营养，不是特别甜，可以接受。早餐一块加杯牛奶更营养，一块很饱了，感觉半块加牛奶干果也够了，上面那层奶酪也不是特别甜，紫米一颗一颗的，超级好吃，稍微有一点点黏性，一级棒！而且热量一个算下来只有352千卡，真的不高！.,物流也很快 店家回复及时 总体好评 考虑下次再来,-,2021-06-26
5,木**w,口味: 三层紫米面包500g【彩盒装带奶酪】【内含5包】,好评,"包装再完善一下就更好了,非常满意第一次买的挺好吃的☁,紫米糯糯的﻿☀,松软可口！刚打开箱子就被小孩子们一扫而空了⛄,更多的是酱～味道是挺好吃的很甜⚡,就这样包装☔,口感味道：味道很好  ",奶酪也够不会很腻酱料很均匀是香甜口紫米超级软糯而且真的很多一口下去超级满足!而且也很便宜性价比很高,-,2021-06-26
6,t**0,口味: 两层紫米面包500g【水印箱无奶酪】【内含5包】,好评,香甜软糯，﻿☀吃着还不腻，﻿☀日期新鲜，❤又来买一箱孩子当早餐。❤拿回来就尝了尝很好吃呢，﻿☀里面的紫米也挺多的，﻿☀非常满意第一次买的挺好吃的，❤真空包装， 以前也买过这个牌子的，这次又回购了，每天一包面包一罐脱脂牛奶能量杠杠滴、紫米味儿浓郁，奶香味十足 ,拿回来就尝了尝很好吃呢，﻿☀里面的紫米也挺多的，﻿☀非常满意第一次买的挺好吃的,-,2021-06-08
7,t**3,口味: 两层紫米面包500g【水印箱无奶酪】【内含5包】,好评,"CA店家说现做肯定♑很新鲜,很好吃,号就收到了。甜而不腻,用料♎挺足,性价比挺高,份量很足,紫米算多的。不是齁甜,不太喜欢。早餐吃一个喝一杯牛奶非常不错,很软,物流也非常给力了。好有满足感,不是很甜,口感味道好,一层厚厚的酱。吃着还不腻,天短保,回购回购 ",-,-,2021-06-24
8,t**1,口味: 两层紫米面包500g【水印箱无奶酪】【内含5包】,好评,面包里面的紫米很多很好吃，面包也很软，饿的时候吃一个很饱很好吃。紫米颗颗分明，酱也很多很多，❤甜而不腻很划算的，包裹着紫米的面包，物有所值满满一箱 软糯香甜 ☺买的很划算 ,很好吃室友推荐，早餐好味道很方便，超级超级好吃,-,2021-06-15
9,t**0,口味: 两层紫米面包500g【水印箱无奶酪】【内含5包】,好评,新鲜度：非常新鲜，味道真心的不错，一直没有人回复，会继续回购的，应该不会回购，紫米面包收到了买了好几次了，建议大家放心购买，很适合当早餐，紫米糯糯的，没有漏气和挤压，味道真心的不错，建议大家放心购买,早餐吃两个再喝一瓶牛奶就饱啦，面包体很香，包装再完善一下就更好了，总的还是可以的，毕竟实惠，很实惠！,-,2021-06-08
10,赛**妈,口味: 两层紫米面包500g【水印箱无奶酪】【内含5包】,好评,"yf紫米太好吃了,⏲不干,及时食用。饱腹感很强,很卫生,吃着口感超级好本来以为双十一会晚到几天,不腻,不算特别甜的,物流也是非常给力。包装精致没有损坏,热量不高,♐比较细腻。拿到就拆了尝了,面包很松软, ",-,-,2021-06-22
