数据下载时间：2021-06-30 17:23:50 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/603355551938/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,上**怀,颜色分类: 1盒装【买2发3 买3发5 买5发9】嗨吃不怕油糖克星,好评,瘦了3斤了哦。脸上也不起痘痘了，肚子也很舒服。自从瘦下来以后整个人十分的自信了，朋友们都夸我好看了不少呢，产品是纯天然的，活动时候价格也很优惠值得推荐购买！,-,-,2021-06-26
2,小**柜,颜色分类: 买3发5 【实发5盒（低至37.9盒）】快速吸油,好评,"z在这里我一定要感谢一下咱们这款产品,[强]已经瘦了5斤多,[呲牙]腰细了啊,腿瘦了,[坏笑]没有运动和节食[嘴唇],体重瘦了我已经很知足啦。[爱心]效果真的是很棒[拥抱]。而且有空可以出去运动一下[强],让自己瘦下来的更加明显,[玫瑰]大品牌真的是很棒。",-,-,2021-06-25
3,天**2,颜色分类: 强烈建议【买5发9（实发9盒 低至39.9/盒）】惊喜变身,好评,特别喜欢这种减肥成功的感觉，确实是减肥瘦下来了，我现在会注意吃的清淡一些，让自己瘦的更快，效果真的是很棒。而且有空可以出去运动一下，让自己瘦下来的更加明显，大品牌真的是很棒。,-,-,2021-06-22
4,出**2,颜色分类: 买2发3 【实发3盒（低至46.6/盒）】大餐救星,好评,这酵素我吃了一阵了，体重轻了4.4斤，效果还不错，最让我惊喜的是对身体没影响，很安全，另外我也没有节食啊什么的，生活习惯还和原来一样，很开心能遇到这么适合自己的减肥产品，还会继续吃下去的,回购，正品，很安全，效果真的非常好。,-,2021-06-21
5,尹**你,颜色分类: 买2发3 【实发3盒（低至46.6/盒）】大餐救星,好评,吃完第一次购买的4盒，我已经肚子瘦多了，所以又来回购，效果简直太好了。我二十多年的肥胖体质特别难减，吃了一段时间孝素竟然能瘦了快8斤了，肚子上的肉变少了很多，但是胸没有变小哦。墙裂推荐,-,-,2021-06-25
6,q**1,颜色分类: 买2发3 【实发3盒（低至53.3/盒）】大餐救星,好评,我这是第三次回购了，这个酵素还行，每天坚持喝，会逐渐的改善体质，一方面是食欲降低了一点，另一方面是能阻断油脂吸收到体内，之前喝了其他家的酵素没有什么用。我会坚持用下去的。,好产品值得回购，推荐大家购买,-,2021-06-26
7,婷**业,颜色分类: 买2发3 【实发3盒（低至46.6/盒）】大餐救星,好评,特别赞的宝贝，包装无破损，个人觉得使用效果不错，用了一段时间体重从116到现在的109。有想瘦身的可以来尝试一下，我是自己亲身体验之后才来的，虽然看着体型没太大变化不过自己感觉轻松许多,虽然我的体重已经恢复到之前体重了， 但是我还在坚持喝， 继续保持。,-,2021-06-21
8,c**a,颜色分类: 买3发5 【实发5盒（低至45.9盒）】快速吸油,好评,先来个五星好评，用后效果感觉不错，而且正好赶在聚划算期间买滴，产品特别安全不会有肚痛啥的，有效果瘦了2斤多点，能够帮我们减掉肚子上的赘肉，物超所值想减肥的可以入手。,挺好的 没副作用会坚持喝,-,2021-06-21
9,t**0,颜色分类: 买2发3 【实发3盒（低至46.6/盒）】大餐救星,好评,喝这个酵素我瘦了4斤了。这次接着喝，打算在瘦点，这是胖人的首选，而且男女都可以喝，排油很好，客服也特别的耐心。以后就你家购买了，比药店便宜，推荐亲们购买。,这几天天天饭后一袋，效果真的很不错,-,2021-06-12
10,r**7,颜色分类: ★强烈建议【买5发9（实发9盒 低至36.6/盒）】惊喜变身,好评,已经买了几次了，口味不错，每天都在喝，没有拉肚子，最近觉得肚子上的肉肉是少了一些，但是因为近段时间也有在控制饮食，很少吃主食，所以不知道是不是喝这个的原因掉肉了。,-,-,2021-06-23
