数据下载时间：2021-06-30 17:32:47 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/560954932692/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,我**6,颜色分类: 迷你一口酥蛋挞皮24个,好评,"hzp值得推荐购买⚡,卖家有用干冰🌂,还不够吃！喜欢吃蛋挞的朋友可以买！真的不错⚡,看着蛋挞皮的样子也很新鲜🌀,拿到当天就烤了☁,可能个人口味一直清淡所以吃起来觉得有点甜腻🌀,娃很喜欢吃🌂 ",很快吃完了，很好吃,-,2021-06-25
2,d**8,颜色分类: 【低至0.47/个】大号蛋挞皮75个（24+51个）,好评,很好，香甜的，娃很喜欢吃。 吃到最后一个才想起来拍照，哈哈哈哈 ,-,-,2021-06-16
3,飘**5,颜色分类: 【热卖组合】大号蛋挞皮24个+乳脂蛋挞液400g,好评,第一次做蛋挞，味道真心不错，值得推荐购买。,-,-,2021-06-22
4,秋**雨,颜色分类: 大号蛋挞皮24个+乳脂蛋挞液800g,好评,展艺家的宝贝质量总是很好的。在他家买了好多烘焙原料。体验感很好的。 ,-,-,2021-06-17
5,香**气,颜色分类: 【热卖组合】大号蛋挞皮24个+乳脂蛋挞液400g,好评,非常好吃，弄起来方便。 ,-,-,2021-06-22
6,x**人,颜色分类: 大号蛋挞皮51个*2 (102个),好评,蛋挞不好，难拿出来,-,-,2021-06-26
7,t**5,颜色分类: 大号蛋挞皮24个,好评,口感味道：很好吃 新鲜度：很新鲜送来泡沫箱放了2个冰袋，收到货冰还没融 ,-,-,2021-06-24
8,太**4,颜色分类: 大号蛋挞皮24个,好评,我认为没走冷藏运输，快递到我手里，我紧接着就放入了冷冻，第二天一早好尴尬啊，全沾上了，解开后全变形了，最后几个也解不开。 实话说这个品牌的品质还是蛮好的，吃过几个品牌的，这个口感更酥脆。如果物流给力就好了。,-,-,2021-06-23
9,t**9,颜色分类: 【热卖推荐】大号51个（低至0.52/个）,好评,来的时候冰袋化了但是东西没坏，打开奶香味很足包括烤的时候也是很香，很酥脆很满意 第一次烤很满意啊,-,-,2021-06-24
10,1**q,颜色分类: 大号蛋挞皮24个,好评,差评吧，1个是产品宣传页没有说买蛋挞皮还要单独买蛋挞液呀。 2是就只因为我只下了蛋挞皮的定单还特意问了客服还需要买什么，客服竟然说什么都不用加。就这样我把所有的孩子带回家准备开工做蛋挞时才发现蛋挞皮包装里没没有蛋挞液。好吧，让我大热天的跑2公里买蛋挞液，现在想想都在气。,-,-,2021-06-26
11,微**亲,颜色分类: 大号蛋挞皮24个*3盒,好评,蛋挞皮很酥，不错，又回购了,-,-,2021-06-22
12,阿**本,颜色分类: 大号蛋挞皮24个,好评,一直买这个牌子的，个人感觉还是不错的一款选择，烘焙已经成了每周一次的习惯，家人都很喜欢吃，继续搞活动，多多做起来，祝卖家生意兴隆，财源广进哦！ ,-,-,2021-06-21
13,t**0,颜色分类: 大号蛋挞皮24个+乳脂蛋挞液800g,好评,展艺的忠实老客户经常买他家的东西，自己来做，特别好，有半成品做起来很方便，然后给孩子做东西吃，也比较卫生，也很好，可以根据自己喜欢的口感来做，还会经常来买的，冰箱已经被塞满了，满意多多做活动更好了，大大的优惠 ,-,-,2021-06-24
14,雪**霖,颜色分类: 大号蛋挞皮24个,好评,融化程度：放了两个冰袋，收到货了还有冰没融化，很不错哦，晚上就迫不及待的烤了，和买的一样，好吃好吃 包装品质：用泡沫箱子装了 口感味道：香 新鲜度：很新鲜 ,-,-,2021-06-17
15,t**3,颜色分类: 【热卖推荐】大号51个（低至0.52/个）,好评,蛋挞皮挺好的，一点没压坏。做出来的味道也很正。价格也实惠，下次还会光顾的。 ,-,-,2021-06-23
16,月**g,颜色分类: 【热卖组合】大号蛋挞皮24个+乳脂蛋挞液400g,好评,卖家有用干冰，收到货时冰袋还一点儿没化，日期比较新鲜，这是第二次购买了，之前买过其他牌子的，都没有这个好吃，这次618有活动，再买点儿。 ,-,-,2021-06-21
17,a**y,颜色分类: 迷你一口酥蛋挞皮24个,好评,CC上层起酥很好🌂所以一盒很快就用完啦﻿☀感觉很新奇🌀新鲜度：很新鲜🌀里面冰都没有化呢⚡融化程度：好🌂只是倒蛋挞液的时候不是很方便🌁包装品质：感谢客服小虎☔ ,-,-,2021-06-20
18,深**8,颜色分类: 迷你一口酥尝鲜蛋挞套餐（含蛋挞液）,好评,操作简单，味道好，但是买的蛋哒皮太小了，建议买大的，放点水果味道更好 ,-,-,2021-06-26
19,侯**脸,颜色分类: 【热卖推荐】大号51个（低至0.52/个）,好评,"比超市便宜了好多，卖家发货快，快递的速度也快，收到冰化了，打开盒子，好香的味道,日期新鲜，看着蛋挞皮的样子也很新鲜，应该不错。 ",-,-,2021-06-17
20,t**7,颜色分类: 大号蛋挞皮24个,好评,推荐购买 很好做 跟买的一样香 自己可以做无糖的 更健康些,-,-,2021-06-21
21,何**6,颜色分类: 【热卖推荐】大号51个（低至0.52/个）,好评,速度很快，收到货冰袋还没有化完。到货就做了蛋挞，蛋挞皮挺酥脆的，挺好吃的，会回购 ,-,-,2021-06-25
22,t**7,颜色分类: 蛋挞套装270g,好评,我是用空气炸锅的，180度15分钟完全可以了，第一次200度烤过了，自己做挺方便的 ,-,-,2021-06-21
