数据下载时间：2021-06-30 17:34:08 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/536709759370/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,a**3,口味: 【快煮】黑珍珠1kg,好评,珍珠挺好煮熟的口感和外面卖的一样，又像煮火锅里吃的那种红薯粉，煮几分钟，我闷了20来分钟，太便宜吃不完冷水泡着就行，便宜大碗，好吃不贵，值得推荐，会回购准备做珍珠奶茶，做了奶茶和芒果西米露珍珠又香又好吃还都是一颗颗的。 ,-,-,2021-06-11
2,t**3,口味: 【常规】焦糖味珍珠 500g,好评,确实很好吃，买的常规的，但是也很好煮，上面说煮25分钟，我应该没有煮那么长时间，水沸腾后大火煮到浮起来又煮了小会，就停火了，盖上盖子闷了一会。吃的时候凉水一冲再倒掉水就行了。特别劲道，不留白心 ,-,-,2021-06-15
3,雪**婷,口味: 【常规】焦糖味珍珠 500g,好评,此用户没有填写评价。,这是假的吧，没有焦糖的味道，轻轻一碰就碎了，粉面子，也不好吃。很小。,-,2021-06-20
4,a**1,口味: 【常规】黑珍珠1kg,好评,以前都是自己做，但总是做不成功。在网上买非常方便，想吃就煮一点儿，满满一大包，老板还送了一个封口夹，价格实惠。 ,-,-,2021-06-21
5,w**0,口味: 【免煮】黑珍珠25g*10包,好评,这个还没有吃！冰凉粉很不错！一小袋可以做两大汤碗那么多 一家人都吃不完！ ,-,-,2021-06-25
6,三**丝,口味: 【快煮】樱花珍珠1kg,好评,包装品质：不错 外观品相：好看 口感味道：适合我的口味 ,-,-,2021-06-22
7,某**1,口味: 【快煮】琥珀珍珠500g,好评,这包装可以啊，看着就舒服多了分量很足 ,-,-,2021-06-22
8,张**脏,口味: 【常规】黑珍珠1kg,好评,是真空包装的，拿在手上很有分量，准备自己做着吃。 ,-,-,2021-06-21
9,t**5,口味: 【快煮】黑珍珠1kg,好评,这个1千克装的煮出来像塑料一样硬！我分别煮过3分钟、5分钟、8分钟、10分钟、15分钟，再闷3～5分钟，但是不管煮多久，冷水冲完会缩小，然后是硬的，吃着像嚼塑料一样！剩下的全扔了。我一共在广禧买过4次珍珠了，之前买过500克装的快煮黑珍珠，那个煮出来软糯Q弹，不回缩，我是买到假货了吗？ ,-,-,2021-06-25
10,l**2,口味: 【快煮】黑珍珠1kg,好评,此用户没有填写评价。,不错，下次回购。孩子很喜欢喝奶茶。给她做的。。。。,-,2021-06-24
11,侯**依,口味: 【快煮】水蜜桃味珍珠500g,好评,真空包装，看着还是挺好的，等吃了再追评 ,-,-,2021-06-22
12,苏**1,口味: 【常规】迷你黑珍珠（0.4cm）1kg,好评,看着好多啊，宝贝又有口福了，吃了再来追评,-,-,2021-06-26
13,空**9,口味: 【常规】黑珍珠1kg,好评,溶解难易：态度很好很负责 ,-,-,2021-06-22
14,t**8,口味: 【常规】黑珍珠1kg,好评,珍珠收到挺好的，很划算,-,-,2021-06-24
15,侯**依,口味: 【常规】焦糖味珍珠 500g,好评,真空包装，看着不错，等吃了再追评 ,-,-,2021-06-22
16,t**0,口味: 【常规】黑珍珠1kg,好评,这种珍珠也可以拿出来卖？服务态度差，发给他们，还得要求没煮的图片，你们想逃避责任直接说！买10包里面3包会出现这种情况，根本不能用！大家不怕损失就买，试试看就知道了,-,-,2021-06-25
17,一**6,口味: 【常规】黑珍珠1kg,好评,按照说明煮的，粉圆的外边吃着没事，芯吃着味道就不对了，有股塑料的味道，找了客服，客服说是没放糖，可是我都放了，味道还是不对，客服又说是因为中间硬，口感不对，我想说味道不对和塑料的感觉是不一样。从来没有评论过那么多字，这次的购物体验真的很差，毕竟是吃进肚子里的东西，建议大家还是注意点。,注意看了一下评论区，不知道那么多的好评是不是刷单刷出来的，也看到部分人吃出了塑料的味道，大家谨慎购买或者是换一家，劲道是挺劲道的，只是塑料味很重。,非常遗憾没能给到您一次满意的购物体验，亲购买的这款珍珠是我们的明星产品，销量和口碑一直都是非常好的，亲这边联系我们反馈说珍珠表面没问题，只有最中心的位置吃起来有塑料味，这种情况我们也是实在从未听过，要做到亲描述的这种效果，目前的珍珠工艺水平暂时还是无法到达的哦，未能达到亲心目中完美的要求，我们感到非常遗憾，每个人都是独立的个体，对食物的口感需求各有不同，店铺中的产品都是正规厂家生产，符合国家标准，品质您可以放心的哦~广禧也向亲们郑重承诺，我们店铺从来不做刷销量，我们销量都是每一个客户每一单积累，我们拥有着十年以上的奶茶饮品经验，诚信一直是我们发展的根本所在，亲们的支持和信任永远是我们最宝贵的财富！,2021-06-23
18,t**3,口味: 【常规】黑珍珠1kg,好评,超级大包，口感很Q弹～自己弄了红茶牛奶，跟奶茶店的味道一样～简直完美,-,-,2021-06-15
19,t**2,口味: 【常规】迷你黑珍珠（0.4cm）1kg,好评,你这珍珠很小，一点都不好。,-,-,2021-06-26
20,最**8,口味: 【快煮】樱花味珍珠500g,好评,这种珍珠很好吃，好有嚼头。真心值得推荐。,-,-,2021-06-11
21,豆**你,口味: 【常规】焦糖味珍珠 500g,好评,哈哈，成功了，很好吃。谢谢卖家的好东西。还会再来的 ,很好吃呢，还会再来的,-,2021-06-22
22,深**扣,口味: 【快煮】抹茶味珍珠500g,好评,还没打开吃，不过这家店买了好几次了，都挺满意 ,-,-,2021-06-21
23,c**0,口味: 【常规】黑珍珠1kg,好评,已经煮好啦，很好吃。都很完整。 ,-,-,2021-06-26
24,w**6,口味: 【常规】黑珍珠1kg,好评,太神奇了，跟奶茶店的珍珠一模一样，在家想喝珍珠奶茶，终于不用再用木薯粉练铁砂掌了。 ,-,-,2021-06-22
25,t**1,口味: 【常规】焦糖味珍珠 500g,好评,焦糖珍珠一点味道都没有，难吃，还难煮 客服也不理人,-,-,2021-06-26
26,没**后,口味: 【常规】黑珍珠1kg,好评,复购的，上次买了一袋，分了三次吃完了，自己在家做奶茶真的很好！这次的包装比上次好很多，上次碎了不少。,-,-,2021-06-17
27,王**0,口味: 【常规】黑珍珠1kg,好评,货到了 不错的   和店里买的一样   溶解难易：好煮开 配件问题：发货快 包装品质：包装也完整 ,-,-,2021-06-23
28,没**丢,口味: 【快煮】抹茶味珍珠500g,好评,还没有煮，不过应该都一样，我买过广禧双皮奶，自己煮很好吃，这个珍珠也尝试一下 ,-,-,2021-06-24
29,t**0,口味: 【常规】黑珍珠1kg,好评,不知道是包装垃圾，还是材料垃圾，每一包都有很多是烂成粉，成团的成团，粉成粉，我们消费者的钱是抢来的吗？,-,-,2021-06-25
30,盘**0,口味: 广禧快煮黑珍珠 500g,好评,包装优，煮5分钟闷5分钟，黑糖蜜1小时。不错哦～推荐！ ,-,-,2021-06-20
31,崔**3,口味: 【常规】黑珍珠1kg,好评,包装品质：好 口感味道：好买过很多次了，跟蜜雪的一样 ,-,-,2021-06-21
32,王**8,口味: 【快煮】琥珀珍珠500g,好评,选了快煮型试了试，方便美味微甜，物流也快,-,-,2021-06-21
33,林**8,口味: 【常规】黑珍珠1kg,好评,不错哦～ ,-,-,2021-06-24
34,h**8,口味: 【常规】黑珍珠1kg,好评,发货速度快，很容易煮，嚼劲很好 ,-,-,2021-06-24
35,t**3,口味: 【免煮】黑珍珠25g*5包+糖纳红豆20g*5包+椰果40g*5颗,好评,回家就冲泡上了，搭配喝特别好喝，跟外面买的一个味道太喜欢了,-,-,2021-06-15
36,浦**生,口味: 【常规】黑珍珠1kg,好评,喝了这一包珍珠，这么多，我是再也不想喝珍珠奶茶了。 ,-,-,2021-06-26
