数据下载时间：2021-07-01 09:44:17 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/627495060395/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,q**a,食品口味: 【约20袋小包】原香味250g*1袋（酥脆醇香）,好评,山核桃仁收到了 特别完美，吃完会回购。好吃实惠，大人孩子的最爱。味道好而且比超市的便宜很多。就这个价格来说性价比太高了。！坚果有益于健康。买给小朋友或者父母都合适！收到打开后看，包装好拆开后不易返潮，很方便。果仁颗粒完整，吃起来香酥可口。,太喜欢了.越嚼越香，越吃越得劲，山核桃仁闻起来真的非常香，都很新鲜酥脆,-,2021-06-21
2,晓**哒,食品口味: 【约40袋小包】奶油味250g*2袋（2份更划算）,好评,宝贝到了日期挺新鲜的 ，而且颗粒很饱满，也很均匀，很少碎的，很满意了，吃了几颗，香脆香脆的，忍不住一颗接着一颗的吃，哈哈，太好吃了。颗颗饱满也吃过了生产日期也新鲜前段时间在其他店铺买的都是碎的这次非常的完整也非常好吃香香脆脆的孩子很喜欢吃，酥脆可口很喜欢,核桃仁是独立小包装的，可以随身放在包里，很方便的，分量很足。颗粒饱满也不小 吃起来贼方便～干净放心，会回购的！,-,2021-06-25
3,青**牛,食品口味: 【约20袋小包】椒盐味250g*1袋（好吃停不了）,好评,核桃仁颗粒真的饱满☎，味道也还不错，最主要的是价格便宜，性价比高，真的香，口感脆脆的🐬，核桃仁不用剥壳，颗粒都是整颗的🌴，吃起来很爽，买来当追剧零食也可以🎄，对比很多家 了，下次准备买的时候，肯定会选择这家店的🎈~ ,非常非常特别好吃～核桃的色泽也是很好看的，推荐购买的呀。,-,2021-06-25
4,f**y,食品口味: 【约40袋小包】奶油味250g+椒盐味250g,好评,此用户没有填写评价。,很脆很香，一次吃一把，口味纯正，分量也很足，吃起来很香营养价值很高，，颗粒比较完整。自己吃可以也可以送给朋友,-,2021-05-09
5,朱**炎,食品口味: 【约20袋小包】椒盐味250g*1袋（好吃停不了）,好评,包装完好无损，核桃仁比较脆，最最最喜欢的就是临安山核桃仁了，，包装是单独小包装的，没包份量都很足，颗粒都是饱满的大颗粒，质量均符合预期，且物品价格也比较合理，是我想要的东西。 ,质量均符合预期，且物品价格也比较合理，是我想要的东西。,-,2021-06-19
6,跷**n,食品口味: 【约40袋小包】原香味250g*2袋（酥脆醇香）,好评,香香脆脆的很好吃山核桃吃起来口感香醇，新鲜干净完整挺大的颗粒，吃起来香脆可口，油脂丰富，脆而不腻☺☺☺，好吃果仁吃起来很香脆越嚼越香没有什么碎的，味道好酥酥脆脆的感觉。 ,和卖家描述的一样，是不错的小零食，卖家发货快，包装好，物流给力。,-,2021-06-23
7,m**6,食品口味: 【约20袋小包】椒盐味250g*1袋（好吃停不了）,好评,新鲜度：好吃 性价比高 吃了好几包 口感味道：不是香精味很重的核桃 新鲜好吃 商品分量：份量多 方便小包 随身携带 ,-,-,2021-06-19
8,是**脱,食品口味: 【约20袋小包】椒盐味250g*1袋（好吃停不了）,好评,一边刷剧一边吃！每天早餐都吃几颗 给孩子补脑真心特别好是我一直喜欢的香脆  真的太满足了！ 这一大袋里有许多小包装！ 不会担心潮掉！ 而且发货很快，日期都是新鲜的。  ,感觉这家的口味最正宗，像之前吃过的味道。比较的香脆，推荐大家试试。,-,2021-06-17
9,陈**2,食品口味: 【约40袋小包】原香味250g+奶油味250g,好评,核桃仁好香呀，吃了还想吃，独立装特别赞，密封性强，还很精致，可以放包里随身携带，下午饿了就可以来一点，看的到的原材料，每一口都好满足。 ,推荐给我的亲朋好友，他们吃了之后都说好，物有所值.,-,2021-06-20
10,t**1,食品口味: 【约20袋小包】原香味250g*1袋（酥脆醇香）,好评,真的太美味了！每袋分量也很足，这是我买过的坚果好的其中之一，价格也不贵。核桃每一颗都很好很新鲜呀开始抱着试试看的态度才买的，谁知道味道真的很好吃，又脆又香，个也挺大，很满意给个大赞,好香呀，吃了还想吃，独立小包装特别赞，可以放包里随身携带，下午饿了就可以来一块，看的到的原材料，每一口都好满足。,-,2021-06-23
11,风**雅,食品口味: 【约40袋小包】原香味250g+奶油味250g,好评,宝贝收到了已经开始吃了，没有那种放很长时间的味道，还是脆脆的味道 口感味道： 味道不错我和我麻麻都挺喜欢的都被我吃完了 很好吃 没有烂的味道。并且包装盒的质量也很结实吃完了还可以用来装其他的东西质量很好。 ,简直太方便了，吃的停不下来，价格超级地道，非常喜欢，优惠挺划算，很好吃。,-,2021-06-12
12,h**2,食品口味: 【约20袋小包】奶油味250g*1袋（酥香脆）,好评,就是喜欢这个核桃仁，一点办法都没有，吃完了买吃完了买，钱包都满满空下去了哈哈哈，不过还好，这个价格不算贵的，核桃仁的品质很好，原味也比较清淡，口味不重，没有添加剂吃了不腻 ,吃起来很方便分量足。吃起很好吃，大人小孩都喜欢,-,2021-06-23
13,y**g,食品口味: 【约20袋小包】原香味250g*1袋（酥脆醇香）,好评,很新鲜，颗粒很饱满，是今年的新货，日期也新鲜，口感很好，一罐不知不觉就吃完了，追剧的时候怎么能少的了零食呢，这个山核桃仁就最好了，不用剥壳，直接放嘴里就行，好吃的不行，我真的是太爱吃这个山核桃仁了！卖家发货速度很快,特别完美，吃完会回购。好吃实惠，大人孩子的最爱。味道好而且比超市的便宜很多.性价比很高,-,2021-06-22
14,j**u,食品口味: 【约20袋小包】原香味250g*1袋（酥脆醇香）,好评,份量也挺多且价格实惠，平常当零食或招待朋友都是非常不错，最后在说一句，非常非常特别好吃～核桃的色泽也是很好看的，推荐购买的呀。  ,个个饱满，单独包装.也不担心返潮，重量是足克的。,-,2021-06-25
15,h**煊,食品口味: 【约20袋小包】原香味250g*1袋（酥脆醇香）,好评,包装完好无损，核桃仁比较脆，最最最喜欢的就是临安山核桃仁了💘，太喜欢了.越嚼越香，越吃越得劲，山核桃仁闻起来真的非常香😊，👍👍都很新鲜酥脆  ,香香脆脆的，正是我的最爱，物流也特别快，准备再次回购,-,2021-06-21
16,捡**饭,食品口味: 【约40袋小包】原香味250g+椒盐味250g,好评,第一次买，对产品相当满意挺好的很不错！，如果味道好的话还会再次光临！包装设计也相当合理！值得拥有！品质非常好与卖家描述的完全一致，完全超出期望值，快递很给力发货速度超快！宝贝非常好！ ,-,-,2021-06-25
17,坐**烟,食品口味: 【约20袋小包】奶油味250g*1袋（酥香脆）,好评,味道很好，值得购买,-,-,2021-06-26
18,小**恒,食品口味: 【约40袋小包】奶油味250g+椒盐味250g,好评,非常好！味道可以！还可以！省剥省时！非常快捷！,-,-,2021-06-20
19,博**子,食品口味: 【约40袋小包】原香味250g+椒盐味250g,好评,包装品质：核桃仁收到了 香香脆脆的 一颗接着一颗的吃.颗粒特别大，日期也很新鲜，非常新鲜，满意的一次购物。还新鲜，非常好囤货就要新鲜好吃 放心购买吧 超好吃，停不下来，又脆又香 ,最最最喜欢的就是临安山核桃仁了，太喜欢了.越嚼越香，越吃越得劲,-,2021-06-19
20,沁**花,食品口味: 【约40袋小包】原香味250g*2袋（酥脆醇香）,好评,不错的质量，不错的味道独立包装，方便携带，颗粒饱满，物美价廉值得购买， ,-,-,2021-06-22
21,c**1,食品口味: 【约40袋小包】原香味250g*2袋（酥脆醇香）,好评,核桃仁味道真的不错.有独立包装 不会担心吃不完变潮 这个很赞.颗颗饱满也吃过了，跟以前买的味道一样，香脆的，吃着很新鲜 口感味道：家人都说好吃包装很完好无损 ,这个价格能买到真是赚了，实物与卖家的描述一致，物美价廉,-,2021-05-29
22,逆**2,食品口味: 【约20袋小包】原香味250g*1袋（酥脆醇香）,好评,发货很快，客服态度很好，收到货颜色也很好看，核桃没有很多碎的 味道很不错，里面的壳也弄的很干净 收到货孩子就打开吃了一盒了味道不错，孩子很喜欢味道正常，没有不新鲜的味道。赶上活动，价格合理。 ,会回购哦.核桃仁收到了超级满意 很喜欢很好吃分量很多 很好吃不错好支持爱了爱了,-,2021-06-16
23,丫**8,食品口味: 【约40袋小包】原香味250g+椒盐味250g,好评,此用户没有填写评价。,我觉得挺不错的，已经开始吃了，没有那种放很长时间的味道，还是脆脆的味道 口感味道好山核桃很脆口，还有独立包装 不会担心吃不完变潮 这个很赞,-,2021-06-13
24,我**史,食品口味: 【约20袋小包】原香味250g*1袋（酥脆醇香）,好评,出乎意料的好，之前买过知名品牌的，比这个贵很多，吃过朋友买的其他牌子的，不新鲜，新鲜的又比这个贵，所以这是我对比了很多家发现的既便宜又美味又新鲜的核桃仁。朋友吃过也说好，大家放心买吧！ ,真是一次满意的购物，吃完了再回购，谢谢店家，祝生意兴隆！,-,2021-06-18
25,富**路,食品口味: 【约40袋小包】原香味250g+椒盐味250g,好评,新鲜度：新鲜好吃。干净。原香树盐味分不清。 下次再来 ,-,-,2021-06-25
26,梁**f,食品口味: 【约20袋小包】奶油味250g*1袋（酥香脆）,好评,口感特别好，香香脆脆的，正是我的最爱，物流也特别快，准备再次回购,-,-,2021-06-22
27,金**2,食品口味: 【约20袋小包】椒盐味250g*1袋（好吃停不了）,好评,独立小包装，携带方便，脆香脆香的 ,-,-,2021-06-21
28,t**1,食品口味: 【约20袋小包】奶油味250g*1袋（酥香脆）,好评,忒被喜欢 打算再买点 很好吃小孩也只要吃 ,-,-,2021-06-23
29,b**8,食品口味: 【约40袋小包】奶油味250g+椒盐味250g,好评,小核桃仁的味道香脆，颗粒很饱满，口感极佳，发货和物流都很快，包装是单独小包装的。每包分量都很足，颗粒都是饱满的大颗粒，而且都是近期生产的。吃起来都是核桃的香味！吃了还想吃的感觉，明天再放一些泡牛奶当早餐吃！ ,愿店家生意兴隆 亲亲态度超好 问的每个问题都耐心解答 超赞 很暖心的一家店,-,2021-06-15
30,k**失,食品口味: 【约20袋小包】原香味250g*1袋（酥脆醇香）,好评,这个是真的棒！分量很足真好吃，实惠又便宜，带去公司。同事一下子就把它抢光了，推荐这店的核桃仁好吃不贵，又酥又脆还价格优惠，继续下单继续买！太赞了  ,最满意的一次购物。酥脆不腻！物美价廉！包装很精美，是餐后餐前爱吃零食友友们的首选,-,2021-06-12
31,七**烂,食品口味: 【约20袋小包】原香味250g*1袋（酥脆醇香）,好评,山核桃仁实物很新鲜🌟，口感不错，核桃含有很高的营养价值✨，给家里的老人孩子吃刚好，补充他们体内所需的一部分营养。💦吃完后考虑再购买，核桃仁吃吃方便💘，不用剥壳，吃的也很快,与卖家描述的是一样的，满足了我的期待，卖家服务态度很好，物流也很快,-,2021-06-21
