数据下载时间：2021-07-01 09:45:04 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/635282951035/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**4,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,真的很好做，很简单，在宿舍也不需要冰箱，只要开水把他泡一下然后晾凉就可以啦！外面都卖6-10元一碗，料还少，买了这个，一小包冰粉粉可以做好几碗，水果配料什么的都可以根据自己的喜好添加，呜呜呜，真的巨划算！我是宿舍三个人一起吃的，hiahiahia，真不戳戳！姐妹们！可以冲哦！ ,今天第二次吃 一共泡了六碗 袋子里还有很多 真的很🉑️！,-,2021-06-17
2,t**5,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,比在餐厅吃实惠太多了 而且做起来也是很简单 烧开水了盒粉一起搅一搅 放凉了就可以吃了 搭配牛奶 葡萄干 水果一起 真的好吃绝了 伴侣也还不错 里面是干果碎,不错的 清凉一夏,-,2021-06-03
3,2**x,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,冰粉粉拿到啦～小小一包可以做一碗哦！！❤️还配了红糖包跟葡萄干啥的，简直自己就可以还原在外的冰粉店店！ 可以自己切点水果丁儿加上，有内味儿了！冰粉很滑口感很好～～适合夏天！会一直回购 ,操作很简单方便～夏日必备的甜品可以自己做咯！！❤️,-,2021-06-09
4,t**4,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,买过好几家冰粉粉 还是觉得这家好 最爱这家的口味 夏天到了 配上刚从冰箱里拿出来的西瓜 再配上我最爱吃的香蕉 还有店家送的液体红糖和冰粉粉伴侣 简直不要太美味 真的绝绝子  ,最近几天迷上冰粉粉了 连着做着吃了好几天 西瓜真是绝配 每次必须放的就是西瓜了🍉,-,2021-06-17
5,t**2,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,冰粉粉收到咯，还送了红糖汁和芝麻花生碎，自己看着袋子上的说明做了一下，原来很简单的呀，做出来放进冰箱冷藏一下拿出来吃，简直绝了，冰冰凉凉的，很弹很细腻，以前没发现这么好吃😋的东西了，以后离不开了。关键一袋就可以做好多次了，不错的呢。 ,做给同事吃，同事都说冰粉味道很好还有红糖汁和芝麻花生碎一起，省了好多事。太开心❤️了，爱上这道美食了,-,2021-06-05
6,别**来,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,制作很方便简洁，配料很足，质量很不错呦，花生碎包还是真空包装的，买多了，可以放很久，是小包装的，很划算，红糖浓度挺高的，可以放点纯牛奶，效果更好。 ,味道不错，制作挺方便的。,-,2021-06-06
7,戴**3,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,男朋友爱吃冰粉，嘿嘿，真的好方便呀，小小一包能做4 5次吧，真的好简单，只要锅里烧开水放进去搅拌搅拌倒进容器就好，过1小时放冰箱，拿出来我还加了前几天做的芋圆，嘿嘿，有送花生包和红糖水噢～真的超级方便，爱了！,很好吃～做完一下子就吃完了，配牛奶和芋圆yyds,-,2021-06-05
8,w**色,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,终于可以实现冰粉自由啦，外面一份10块多，我也可以简单操作啦，按照说明兑了沸腾的开水，等冷却后自然成型，操作真的简单方便，一半可以分好几次使用，配上红糖水，加点水果蜂蜜味道绝绝子，太赞了👍  ,简单还好吃，还可以做别的口味，下次试试别的口味😋,-,2021-05-31
9,d**y,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,40g的粉，可以做好几次，袋子上有制作说明，很容易上手，加了点水果，也太好吃了。还赠了液体红糖和花生碎伴侣，红糖不用放太多，做出来和外面卖的一样好吃诶 ,太好吃了！！熬好的粉放在冰箱上层冷藏一下加上鲜水果，味道绝了，老爸超喜欢,-,2021-05-29
10,t**0,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,第一次在网上买这种冰粉，我是个手残党，买的时候还怕自己做不好，买回来看着说明书，非常容易做，口感特别好，红糖和芝麻花生质量都很棒，我自己一个人吃了一大碗，你也来试试吧😉 ,夏天吃这个真的太解馋了，冰粉顺滑有嚼劲，吃了也不会腻，一包可以做很多，便宜又好吃，太爱了😍,-,2021-05-27
