数据下载时间：2021-07-01 09:45:30 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/645965354219/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**8,口味: 香辣口味 虾尾,好评,味道很正宗，香辣口味的吃起来老过瘾了，爱了,-,-,2021-06-14
2,t**2,口味: 蒜蓉口味虾尾,好评,小龙虾味道不错，新鲜，放心购买,-,-,2021-06-15
3,刘**0,口味: 蒜蓉口味虾尾,好评,味道不错挺香好吃，就是买少了。打算在多买点，孩子也爱吃。好评 ,-,-,2021-06-16
4,s**9,口味: 蒜蓉口味虾尾600g,好评,本来买蒜香的就是不能吃辣，结果蒜香也是辣的,-,-,2021-06-26
5,啊**坤,口味: 蒜蓉口味虾尾,好评,龙虾尾收到了，吃着口感非常不错，味道鲜美,-,-,2021-06-15
6,t**4,口味: 香辣口味 虾尾,好评,快递很快就到，斤数足，味道不错 ,-,-,2021-06-16
7,红**5,口味: 香辣口味 虾尾,好评,味道不错，好吃！,-,-,2021-06-20
8,自**1,口味: 蒜蓉口味虾尾,好评,"物流很快,小龙虾很饱满,肉质口感好,好吃",-,-,2021-06-15
9,短**妹,口味: 蒜蓉口味虾尾,好评,发货快，口感好，好吃 ,-,-,2021-06-17
10,t**8,口味: 蒜蓉口味虾尾,好评,总体来说味道棒极了，非常好吃的一款，蒜蓉的是我最喜欢的味道了，挺棒的商家。 ,-,-,2021-06-14
11,m**6,口味: 香辣口味 虾尾,好评,好吃又简单方便的一个菜，对于懒人不会做菜的非常满意，下次会回购的,-,-,2021-06-14
12,t**8,口味: 蒜蓉口味虾尾,好评,味道好，价格实惠,-,-,2021-06-14
13,宝**h,口味: 香辣口味虾尾600g,好评,自己加了年糕和莴笋，还是很辣。虾尾好小，感觉性价比不是很高，应该不会回购了 ,-,-,2021-07-01
14,张**6,口味: 香辣口味虾尾600g,好评,云南人表示味道不重  当然  也因为味道不重才觉得虾挺新鲜  虾有点小  嫩 ,-,-,2021-07-01
15,k**n,口味: 香辣口味虾尾600g,好评,天热，不想吃太辣，所以放了配菜进去。很不错 ,-,-,2021-07-01
16,h**2,口味: 香辣口味虾尾600g,好评,放点土豆黄瓜挺好吃的，不算辣，没啥油特别好,-,-,2021-07-01
17,玲**薇,口味: 香辣口味虾尾600g,好评,以前在长沙店里吃过，一直念念不忘，期待网购的效果。,-,-,2021-07-01
18,c**8,口味: 香辣口味虾尾600g,好评,味道不错！很鲜美,-,-,2021-07-01
19,可**束,口味: 香辣口味虾尾600g,好评,好吃 无限回购 ,-,-,2021-07-01
20,小**佃,口味: 香辣口味虾尾600g,好评,好吃，喜欢吃,-,-,2021-07-01
21,a**a,口味: 香辣口味虾尾600g,好评,光盘是光盘了，但这小龙虾个小，味道总体普通。 ,-,-,2021-07-01
22,我**7,口味: 香辣口味虾尾600g,好评,包装挺好的，还没吃，不知道味道怎样。 ,-,-,2021-07-01
23,爱**丶,口味: 香辣口味虾尾600g,好评,有一股子洗洁精的味道 ,-,-,2021-07-01
24,m**0,口味: 香辣口味 虾尾,好评,好,-,-,2021-06-12
25,t**6,口味: 香辣口味 虾尾,好评,品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢,-,-,2021-06-13
26,祸**0,口味: 蒜蓉口味虾尾,好评,口感特别好 非常肥，而且非常鲜嫩  非常实惠，还好吃 很满意 ,-,-,2021-06-09
27,t**9,口味: 蒜蓉口味虾尾,好评,收到货了，非常满意，口感特别好，家里人都很喜欢，值得购买。 ,-,-,2021-06-15
28,潇**笑,口味: 蒜蓉口味虾尾,好评,此用户没有填写评价。,-,-,2021-06-19
29,上**儿,口味: 香辣口味 虾尾,好评,此用户没有填写评价。,-,-,2021-06-22
30,a**9,口味: 香辣口味 虾尾,好评,此用户没有填写评价。,-,-,2021-06-22
31,爱**9,口味: 香辣口味虾尾600g,好评,正常口味的吃货，觉得虾不辣耶，挺干净的，姜味很重 ,-,-,2021-06-29
32,白**0,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-29
33,s**a,口味: 香辣口味虾尾600g,好评,不好吃，没味道，失望，跟店里的简直天差地别,-,-,2021-06-29
34,大**6,口味: 香辣口味虾尾600g,好评,我口味比较重，感觉一点也不辣，味道有点略淡,-,-,2021-06-29
35,l**g,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-28
36,b**n,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-29
37,m**n,口味: 香辣口味虾尾600g,好评,干净又好吃😋，虽然小，肉还是挺足的，提供的是铝箔盒，无需解冻，撕开直接在卡式炉加热就好了，很方便 ,-,-,2021-06-30
38,z**z,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-30
39,y**7,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-30
40,t**1,口味: 香辣口味虾尾600g,好评,还没试吃 ,-,-,2021-06-30
41,转**4,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-30
42,姐**铺,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-29
43,雨**3,口味: 香辣口味虾尾600g,好评,好吃,-,-,2021-06-29
44,依**牛,口味: 香辣口味虾尾600g,好评,好吃，马上又下单购买了 ,-,-,2021-06-29
45,t**5,口味: 香辣口味虾尾600g,好评,发货速度超快，东西干净好吃,-,-,2021-06-28
46,w**4,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-30
47,g**e,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-29
48,g**芮,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-30
49,j**e,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-30
50,林**9,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-29
51,d**h,口味: 香辣口味虾尾600g,好评,包装完美，顺丰迅速，味道鲜美。,-,-,2021-06-29
52,s**6,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-29
53,w**8,口味: 香辣口味虾尾600g,好评,包装很好收到还是冷冻状态，味道没有想象中那么好吃。 ,-,-,2021-06-30
54,j**琴,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-28
55,金**油,口味: 香辣口味虾尾600g,好评,回头客，方便好吃。 ,-,-,2021-06-30
56,大**1,口味: 香辣口味虾尾600g,好评,此用户没有填写评价。,-,-,2021-06-30
57,痛**0,口味: 香辣口味虾尾600g,好评,好,-,-,2021-06-29
