数据下载时间：2021-07-01 09:46:39 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/631505044625/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**8,口味: 巧克力奶145ml*12罐,好评,"yf巧克力控表示非🏬常满意,罐子很袖珍,像🚱是高乐高的味道。至于📔为什么这样写各位仙女😁应该耶知道原因,小小💽的,包装严严实实。我🌺是感觉不合适,不苦,📖根据说明喝之前要摇匀♨。及时通知老客户,性🎡价比超级高,",看我晒图!!!非常划算哟！,-,2021-06-25
2,t**6,口味: 巧克力奶145ml*12罐,好评,"yt配料安全,小小🚽的,大可不必。一开箱就🚃看到旺仔贴纸了快递速🏃度可以,没有翘边。神👥仙饮料,正品,不如买💗大的合适。其他就是感🙀谢店家打折送券活动,🔰罐子很袖珍,另外一边🏀的包装已经坏了。就是🚵很不错的意思,适合大🚫人,",-,-,2021-06-25
3,t**5,口味: 巧克力奶145ml*12罐,好评,好满意喔CD礼盒有点秀气，🍰🌏🔳好香，🍡💺像是高乐高的味道。从小就喜欢喝旺仔牛👶奶，📫🍣老公喜欢喝，🍂孩子🌽们都特别喜欢喝哦。第🆙一时间拆包装，🆘💍配料安♣全，👰⚡包装严严实实。，💍🎵非常赞。物流运输速度快，🍌🍳巧克力味浓郁，🎰🔙日期也是非常新鲜!AF性价比超级高，👅🐥🌙不苦，🔯🍪像是高乐高的味道🎽。打开一瓶喝了，🍢♥有赠品，📞🍶这么便宜的价格能🍴买到这么好的，↙🈲罐子很♉袖珍，🎤🍊浓浓的。巧克力控表示非常满意，😍推荐📩有需要的亲们可以入手🌅。巧克力味浓郁，🔨包装🕐好可爱�wzyp,好评好评！↓↓↓看图，必须推荐！,-,2021-06-26
4,憧**天,口味: 巧克力奶145ml*12罐,好评,"巧克力口味也很不错﻿☀,有赠品还不错﻿☀,外观品相：迷你款吧﻿☀,贴纸很可爱！旺仔大朋友﻿☀,小朋友永远快乐！像是高乐高的味道﻿☀,知道oa我需要吗﻿☀,最后谢谢旺仔还送了个婴儿米饼﻿☀,感谢店家觉得喝这个牛奶的人是小宝宝我也是这么觉得的呢﻿☀",-,-,2021-06-11
5,花**人,口味: 巧克力奶145ml*12罐,好评,店铺给力，物流给力，包装给力，非常满意，还有赠送的礼品,-,-,2021-06-23
6,t**4,口味: 巧克力奶145ml*12罐,好评,五月17生产的，六月买的，新鲜。喝前摇一摇，不然越喝底下沉淀越浓郁，味道还行，解辣不解渴。口感就是巧克力奶的那种味道，比其他牌子冰鲜奶浓。买成26元/12小罐 ,-,-,2021-06-23
7,暴**妖,口味: 巧克力奶145ml*12罐,好评,新上市的口味 但已经是第二次购买了 第一次3天就喝完了一件 看到评论有人说不好喝 只能说众口难调吧 反正这是我喜欢的味道  成人肠胃好的话可以冰箱冷藏或者加冰块 口感真的一级棒 145毫升的小包装也是恰到好处的能喝完 不得不提的是随手加购的零食赠品更是让人眼前一亮 推荐 趁有活动 赶紧买吖😄 ,-,-,2021-06-18
8,t**3,口味: 巧克力奶145ml*12罐,好评,"有赠品,配料安全,😈浓浓的。毕竟是小罐,礼🔪盒有点秀气,收到这个🔍快递大概是让我唯一心🐮情变好的事情。临近六⭐一八买的,点赞啦。思😍维敏捷跳跃,设计独到🔜,再次也感谢一下商家👮的赠送了。甜度正和我🐑胃口 ",-,-,2021-06-22
9,t**8,口味: 巧克力奶145ml*12罐,好评,价格特别合适！而且特别好喝！之前就在超市买过！现在从网上买一箱，便宜实惠！,-,-,2021-06-25
10,蓝**1,口味: 巧克力奶145ml*12罐,好评,可可爱爱，比超市优惠，小朋友喜欢喝，大朋友喝不习惯，冷藏味道更佳~ ,-,-,2021-06-24
11,c**6,口味: 巧克力奶145ml*12罐,好评,味道不错，孩子145ml够喝了。 ,-,-,2021-06-23
12,绿***,口味: 巧克力奶145ml*12罐,好评,非常好喝呀！比较奇怪的是，家里小朋友不喜欢这款牛奶。小朋友的妈妈还有我，都喜欢。日期很新鲜，发货好快，小赠品有点儿小惊喜呢。 ,-,-,2021-06-22
13,c**3,口味: 巧克力奶145ml*12罐,好评,到货速度很快，包装精美，巧克力味很浓，小小的一瓶一次就能喝完，不浪费。 ,-,-,2021-06-25
14,夕**6,口味: 巧克力奶145ml*12罐,好评,神仙饮料，买的时候还以为就是普通的巧克力奶，就那个标准的味道，没想到居然是很醇厚的那种可可奶，超级好喝，推荐用很细的吸管喝最能品出味道，根据说明喝之前要摇匀。发给同事喝，安利了几个人下单了。罐头会随机包含一些不同角色的旺仔，我这箱里面有3瓶是特别版的，可以收集一下。送的贴纸很怀旧 ,-,-,2021-06-19
15,t**7,口味: 巧克力奶145ml*12罐,好评,口感味道：口感不错，我很喜欢喝。棒棒哒 ,-,-,2021-06-19
16,t**1,口味: 巧克力奶145ml*12罐,好评,溶解难易：好 配件问题：没有 包装品质：不错 外观品相：好看 口感味道：美味 ,-,-,2021-06-21
17,常**7,口味: 巧克力奶145ml*12罐,好评,味道很好喝啊，孩子很喜欢喝，比原味还好喝，就是罐子有一点憋了，不耽误喝 ,-,-,2021-06-24
18,媚**维,口味: 巧克力奶145ml*12罐,好评, 平时出门放一罐在包里不占什么地方 小小的一罐刚刚好 也不会腻  还是原味的最好喝，不过这款味道也不错。 ,-,-,2021-06-23
19,张**4,口味: 巧克力奶145ml*12罐,好评,溶解难易：容易 配件问题：没问题 包装品质：好 外观品相：好 口感味道：好 ,-,-,2021-06-22
20,g**新,口味: 巧克力奶145ml*12罐,好评,是正品 第一次喝巧克力味的 好喝 还会继续回购的 喜欢💕 ,-,-,2021-06-25
21,毒**6,口味: 巧克力奶145ml*12罐,好评,口感味道：好喝最近突然想喝巧克力味奶就买了，小小一罐，送了赠品耶居然 ,-,-,2021-06-21
22,z**8,口味: 巧克力奶145ml*12罐,好评,宝贝收到后很满意，实物图和图片一样，支持,-,-,2021-06-21
23,c**5,口味: 巧克力奶145ml*12罐,好评,男朋友馋了很久的巧克力奶，终于下手了！好喝！就是挺甜的！很小一罐！几口就没了 ,-,-,2021-06-25
24,1**叶,口味: 巧克力奶145ml*12罐,好评,个人感觉没有原味牛奶味的好喝 巧克力有一股香精味 比想象中的小 大概三四口就没了 ,-,-,2021-06-26
25,莲**9,口味: 巧克力奶145ml*12罐,好评,溶解难易：很不错 配件问题：给了个超大📦 包装品质：还不错 外观品相：好 口感味道：口感好 ,-,-,2021-06-12
26,一**i,口味: 巧克力奶145ml*12罐,好评,特别可爱的小罐子，超级好喝就是感觉有点过于小只 ,-,-,2021-06-22
27,大**8,口味: 巧克力奶145ml*12罐,好评,旺仔牛奶巧克力我收到了 ，宝宝很喜欢喝 ，物流也很快 ，客服态度非常好 ，下次还在他家购买 ，这个牌子的我很放心 ，一整箱有12罐儿 ，我给孩子买了一整箱 。 ,旺仔牛奶巧克力味儿的，我收到了 ，物流也很快 ，客服态度非常好 ，到家以后，宝宝也很喜欢喝 ，宝宝喝了两罐儿了 ，下次还在他家购买 。,-,2021-06-25
28,寞**洛,口味: 巧克力奶145ml*12罐,好评,是小罐的喔  还有两罐职业款的！感觉像抽中了盲盒一样嘿嘿嘿 ,-,-,2021-06-22
29,流**爱,口味: 巧克力奶145ml*12罐,好评,挺好喝的，不太喜欢喝原味的，巧克力味的很好喝。一小罐是145ml，送了一张贴纸已经贴上了。 ,-,-,2021-06-21
30,欧**嘛,口味: 巧克力奶145ml*12罐,好评,本仙女觉得这个产品不错，就是很不错的意思，至于为什么这样写各位仙女应该耶知道原因，因为只有写的长才能表达我对这个宝贝的喜爱之情，要是不喜欢这个产品我也不会这样写，而是满满的委屈和不满！喜欢的仙女可以直接下单了 ,-,-,2021-06-16
31,放**心,口味: 巧克力奶145ml*12罐,好评,便宜实惠 ,-,-,2021-06-24
32,h**3,口味: 巧克力奶145ml*12罐,好评,好喝，比伊利蒙牛的巧克力奶好喝，从小就喝旺仔，算算都快30年的品牌了吧？ ,-,-,2021-06-22
33,t**1,口味: 巧克力奶145ml*12罐,好评,溶解难易：可以 包装品质：一般 外观品相：好看小巧 口感味道：好喝 ,-,-,2021-06-21
34,o**o,口味: 巧克力奶145ml*12罐,好评,巧克力奶收到啦！！之前被种**这款巧克力奶，说是市场上最好喝的，逛了好几个超市都没有，就在网上买了。确实好喝，你可以永远相信旺仔！！下次要买大罐的，这个罐子太小不够喝！好评！ ,-,-,2021-06-24
35,z**8,口味: 巧克力奶145ml*12罐,好评,这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买 ,-,-,2021-06-21
36,吾**曼,口味: 巧克力奶145ml*12罐,好评,旺仔一直是最爱  尝试下新口味 ,-,-,2021-06-24
37,混**e,口味: 巧克力奶145ml*12罐,好评,小小一罐 挺好喝的 巧克力味很浓 ,-,-,2021-06-22
38,y**1,口味: 巧克力奶145ml*12罐,好评,好迷你版的奶，另外那包糖太难吃的，吃在嘴里感觉就是胶一样，奶还没喝不知道是不是正品 ,-,-,2021-06-23
39,澜**想,口味: 巧克力奶145ml*12罐,好评,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的!说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。 ,-,-,2021-06-21
40,l**8,口味: 巧克力奶145ml*12罐,好评,好Mini 当早餐奶，日期5月 ,-,-,2021-06-23
