数据下载时间：2021-07-01 09:48:33 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/598614273525/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,滋**9,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,⚽里面配菜非常丰富，🅰📘💦米粉很耐煮，👸🍯🔙入口Lucky很弹很劲道，🆒🐠😒配料酸爽口感味道很好，🚧😽腐竹非常好吃，💯📴花生也是嘎嘣脆的那种💰可以放自己喜欢的配料📃酸臭味酸辣味👉应该也不错👦🏊老粉丝发言，💕余味深入人心🈴配菜独立包装干净卫生�  ,-,-,2021-06-25
2,t**2,口味: 日常款柳州螺蛳粉* 3袋,好评,此用户没有填写评价。,麻麻说好吃!口感味道好🤷‍♀️里面配菜非常丰富🤷‍♀️🤷‍♀️米粉很耐煮🤷‍♀️🤷‍♀️🤷‍♀️入口Lucky很弹很劲道🤷‍♀️🤷‍♀️配料酸爽口感味道很好🤷‍♀️腐竹非常好吃🤷‍♀️🤷‍♀️花生也是嘎嘣脆的那种 🤷‍♀️粉超Q弹我太爱嗦粉了🤷‍♀️ 🤷‍♀️很喜欢呢推荐购买🤷‍♀️🤷‍♀️口感味道很好🤷‍♀️🤷‍♀️酸臭味不说了嗦粉啦🤷‍♀️自己煮可太香了🤷‍♀️日期很新鲜5🤷‍♀️🤷‍♀️🤷‍♀️,-,2021-06-21
3,韩**充,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,sdf可以放自己喜欢的配料🚶酸臭味酸辣味👞应该也不错🔓🐞老粉丝发言，🎼❇汤包打开的时候贼香，👏煮出来是真的入味，💞爽脆的酸笋、金黄的腐竹、香脆的花生米泡在酸爽醇厚的红油汤汁中，🔙，📒嗦一口回味无穷。 ,-,-,2021-06-22
4,t**4,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,"整体评价：很适合🍁我们,新鲜度：日期很新鲜5月🌴10号的,咬一🍉口带爆汁的那种,出锅泡一🍁下吃味道最好～无限回购李子柒家的螺狮粉,物流也是﻿🍀顺丰发货没得说,胀包问题：无,闻着臭吃着香米粉很耐煮不易断,因味道着迷,里面的腐竹真的好吃,同样价格买了八包 ",-,-,2021-06-21
5,t**9,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,"cc香脆的花生米泡🍔在酸爽醇厚的红油汤汁中🎬,上头慢,腐竹酸豆角🔫笋花生啊都挺多的。如🍙果粉丝再粗点口感更好🚘一些,有赠品,下次如🍤果有活动还会再入手。⚡酸辣顺滑的螺狮粉,麻🔭麻说好吃,里面配菜非😍常丰富, ",-,-,2021-06-20
6,龙**滢,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,闻着臭吃着香米粉很耐煮不易断🍜加点配菜口感更好，⚫▶味道十足粉吃饭嘴巴里QQ弹弹的，🍕♋越吃越香，🙈📈煮好了比外面店里的更好吃🍣腐竹酸豆角笋花生啊都挺多的。配菜非常丰富，🃏色香味不沾，💫汤味道挺浓郁:) ,-,-,2021-06-26
7,t**6,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,"yt很弹很劲道,黏🏡黏的,一直吃一直香。可🌷以放自己喜欢的配料酸💛臭味酸辣味应该也不错🐷老粉丝发言,麻麻说好☑吃,微甜还有香味。总🔦得来说还不错,日期很💘新鲜独立包装干净卫生⚾。应该味道还不错,不👀熟,馋的时候连着两天📛都吃,上头慢,",-,-,2021-06-26
8,t**7,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,麻麻说好吃!口感味道好🍜里面配菜非常丰富🍜🍜米粉很耐煮🍜🍜🍜入口Lucky很弹很劲道🍜🍜配料酸爽口感味道很好🍜腐竹非常好吃🍜花生也是嘎嘣脆的那种 🍜粉超Q弹我太爱嗦粉了🍜 🍜很喜欢呢推荐购买🍜🍜口感味道很好🍜🍜酸臭味不说了嗦粉啦🍜自己煮可太香了🍜日期很新鲜15🍜,-,-,2021-06-11
9,s**0,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,香脆的花生米泡🔵在酸爽醇厚的红油汤汁中📎，🌉喜欢吃法。配料酸爽🍎口感味道很好，🔰有很多🐑泡沫，❗够臭料够多足。🗽花生也是嘎嘣脆的那种😾，🍓我还喜欢自己加一些🔘菜和鸡蛋，🔝泡久一点会💔有软软弹弹的口感，🔵顺🍫丰发货没得说。�,-,-,2021-06-26
10,恬**晴,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,整体评价：真的是无限次回购的产品 胀包问题：没有出现过胀包问题 包装品质：外包装略有压痕，里面包装完好 口感味道：最好吃的螺蛳粉没有之一 新鲜度：超级新鲜，汤料特别美为 ,-,-,2021-06-24
11,爱**x,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,李子柒家的包装一直都非常好看，打开🍓后有八个料包，粉包、菜包、汤料包、酸笋包、腐竹包、花生包🍓、辣油🍓包、醋包🍓。🍓汤包打开的时候贼香，煮出来是真的入味，我喜欢腐竹泡成软软弹弹的口🍓感，如果不爱这种口感的也可以稍微泡一下下就可以吃啦!酸笋特别棒  ,-,-,2021-06-24
12,舍**8,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,"粉超Q弹我太爱嗦粉了⛄,还是觉得李子柒家的螺狮粉最适合我的口味了⚡,螺蛳粉比较好吃！l味道不错！发货很快﻿☀,煮好的时候倒上去不要煮的太烂哦☔,余味深入人心配菜独立包装干净卫生喜欢⚡",-,-,2021-06-25
13,无**尪,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,🏮买了无数多次的螺狮粉🏮也吃过各种各样的品牌🏮还是觉得李子柒家的螺狮粉最适合我的口味了🏮平时不怎么吃辣的可以少放一点辣油🏮我每次都是倒一半的🏮他家的酸笋也是非常的好吃🏮酸酸的加上辣辣的非常好吃🏮🏮最爱应该是无敌爱的是他的豆皮🏮真心喜欢🏮,真的好用！,-,2021-06-26
14,樊**6,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,"hzp细节都做的那么好☁,螺狮粉历史文化🌃,够臭料够多足🌂,物流也是顺丰发货没得说⛄,汤包打开的时候贼香🌅,嗦一口回味无穷﻿☀,煮出来是真的入味⚡,老粉丝发言🌁,入口很弹很劲道﻿☀,粉超Q弹我太爱嗦粉了🌅,酸酸的加上辣辣的非常好吃🌁... ",-,-,2021-06-26
15,柠**6,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,"AD煮出来的螺蛳粉📫也是很大一碗,麻麻说好🍻吃,真心喜欢。闻着味🐍道就特别有食欲,产品🎠评品质也是业界一流。💶这个箱子我都舍不得扔🚰掉,有很多泡沫,这样👴买买起来会更方便,勺🎎子很好用,越吃越香,😧很弹很劲道,",-,-,2021-06-21
16,f**3,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,整体评价：高品质螺蛳粉  胀包问题：没有啊  包装品质：精美大气，每个料包都很清楚  口感味道：好吃  新鲜度：非常不错 ,-,-,2021-06-26
17,在**岛,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,"正品!第二次回购♨️口感味道好里面配菜♨️非常丰富♨️米粉很耐煮♨️很弹劲道配料酸爽♨️口感味道很好♨️酸辣味贼喜欢吃着很过瘾♨️可以放自己喜欢的配料♨️酸臭味酸辣味♨️应该也不错♨️♨️老粉丝发言,♨️余味深入人心♨️配菜独立包装干净卫生♨️喜欢,这样口感刚好♨️½这个牌子的螺蛳粉无限回购♨️♨️♨️  ",-,-,2021-06-11
18,t**9,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,"能吃很多次⚡,物流也是顺丰发货没得说﻿☀,煮出来是真的入味🌁,我真是太爱这个酸笋了~☔,特别是配料包﻿☀,里面包装特别精美🌁,口感味道很好🌂,余味深入人心配菜独立包装干净卫生喜欢🌁爱了..  ",-,-,2021-06-20
19,t**4,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,"CA粉其实喔自己感♓觉还好,有很多泡沫,下💟次如果有活动还会再入💢手。建议以后可以出十🏡几包的规格,上头慢,✴螺蛳粉还是喜欢这个牌📷子的。里面的腐竹真的🎊好吃,很辣,微甜还有🙋香味。酸酸的加上辣辣💣的非常好吃,",-,-,2021-06-21
20,静**烟,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,"yt次买了,有赠品🐴,很适合我们。打开后有🐾八个料包,都多次购买⏳,很辣,味道非常正宗🍏。闻着臭吃着香,而且🦉用料十足。特别是配料♣包,味道口感超级好,👮绝绝子了真的。弹弹的✔,不干,非常的好吃,👧物流也是顺丰发货没得📠说,",-,-,2021-06-17
21,t**8,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,不愧是大牌 细节都做的那么好 卡片 售后服务卡 螺狮粉历史文化 都有介绍 这么用心粉能不好吃吗 超级好评 ,-,-,2021-06-24
22,t**2,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,刚收到还没有开吃，从薇娅直播间购买，看见她们吃的超级香，没忍住，应该味道还不错，,-,-,2021-06-21
23,惯**7,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,真的好好吃，没有任何质量问题，包装完好无损，很新鲜，量也多，也买了好多了，家里囤了好多， ,-,-,2021-06-24
24,l**e,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,之前吃过觉得好吃才趁618屯的，自己在家就能煮出不输饭店的螺蛳粉呢，包装很好，看着就喜欢！ ,-,-,2021-06-22
25,a**w,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,T汤包打开的时候贼香，煮出来是真的入味，我喜欢腐竹泡成软软弹弹的口感，如果不爱这种口感的也可以稍微泡一下下就可以吃啦!酸笋特别棒，咬一口带爆汁的那种，我真是太爱这个酸笋了~ 爽脆的酸笋、金黄的腐竹、香脆的花生米泡在酸爽醇厚的红油汤汁中，嗦几口软糯筋道的米粉，再喝上一口热腾腾的汤，简直太美好! ,-,-,2021-06-11
26,w**0,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,发货快，物流也快，以前都买的好欢螺这次尝试一下李子柒，在直播间买的很划算，好吃的话会回购 ,-,-,2021-06-23
27,q**3,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,mj口感味道好，[庆祝]里面配菜非常丰富，[庆祝]米粉很耐煮，[庆祝]入口Lucky很弹很劲道，[庆祝]配料酸爽口感味道很好，[庆祝]腐竹非常好吃，[庆祝]花生也是嘎嘣脆的那种，[庆祝]粉超Q弹我太爱嗦粉了，[庆祝]很喜欢呢推荐购买，[庆祝]感味道很好，[庆祝]酸臭味不说了嗦粉啦。[庆祝]自己煮可太香了日期很新鲜[庆祝]  ,-,-,2021-06-21
28,x**3,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,一看图一老板很用心做，味道很好，食材新鲜。一次愉快的网购。,-,-,2021-06-21
29,1**i,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,日期很新鲜包装没有破损，💰馋的时候连着两天都吃，🎮嘴里有口Lucky疮还是忍不住的想吃，😠上瘾的感觉哈哈哈，🚩不过还是要适量吃，🍊味道很好吃。汤底喝着很浓，😒花生米也很脆，❕如果粉丝再粗点口感更好一些，🔳吃来吃去还是螺蛳粉最好吃，🌃够臭料够多足。,-,-,2021-06-13
30,b**k,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,酸辣顺滑的螺狮粉，让人想起来就垂涎欲滴，忍不住的来一包！粉很劲道，口感味道好。煮开后中火继续煮几分钟，效果好。总得来说还不错，没压碎，吃起来却是香香的。李子柒是口味最合适的，虽然闻起来有些臭臭的，有赠品，又酸又臭又辣，一直吃一直香。味道各方面都正宗，好吃，调料齐全，粉很劲道，可以自己加些蔬菜进去。虽然闻起来有些臭臭的，但吃起来却是香香的。汤很浓郁，料也很Lucky足，个人觉得酸度不够。总得来说还不错，还是原来的味道，口感很好，日期很新鲜独立包装干净卫生。分量足，口感味道好，，买的很合我心意，棒棒哒！需要的亲们可以放心购买！ ,-,-,2021-06-20
31,流**l,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,一直吃李子柒家的螺蛳粉~无辣不欢~李子柒的口味爱了辣度酸度都正好~~真香~~~ ,-,-,2021-06-20
32,铭**m,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,第一次买李子柒的螺蛳粉，份量很足，酸笋闻起来臭臭的，不过很好吃，螺蛳粉味道不错。收到包裹的过程真是一路坎坷。当我查看快递的时候快递公司竟然把我的快递给错分了，而且还错误的派送了…我联系客服后，客服车厘子及时与快递公司沟通才又把我的包裹给救回来。客服车厘子办事认真、态度好、效率高。 ,-,-,2021-06-23
33,我**2,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,螺蛳粉比较好吃！！！l味道不错！！！发货很快,比较好吃！！！发货很快,岁月悠然，温暖的您是我们期待相遇的风景。十分感谢卿卿对柒家的支持与信赖，希望与卿诗酒趁年华，一起经曲流年续写柒家美味食谱，即刻加入柒家还有见面礼献给您~,2021-06-23
34,精**花,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,😋里面配菜非常丰富，😞😳米粉很耐煮，🎿🙀入口Lucky很弹很劲道，💏👳配料酸爽口感味道很好，💿➰腐竹非常好吃，🏯花生也是嘎嘣脆的那种💤可以放自己喜欢的配料😻酸臭味酸辣味🎨应该也不错📒 老粉丝发言，余味深入人心🏮配菜独立包装干净卫生,-,-,2021-06-25
35,小**6,口味: 【鲜辣酸爽烫 】 螺蛳粉335g*3袋,好评,"LYW没失望,不熟💪,产品评品质也是业界一🍵流。里面配菜非常丰富☠,色香味不沾,汤味道👧挺浓郁。同样的价格,😡麻麻说好吃,李子柒家🚮国潮插画风格的包装一🌙直都非常好看,有很多🍄泡沫,他们家的的汤真🍜的很好喝,勺子很好用",-,-,2021-06-21
