数据下载时间：2021-07-01 09:48:47 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/646943559227/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**8,口味: 【店长推荐】蜂蜜味 20枚/1箱约1000克,好评,☔☀🌈保质期4个月，俩种口味都非常好吃，满满一箱子两个口味，☔☀🌈是那种老面包的味道！个头也很大！日期也很新鲜☔☀🌈！已推荐给同事，比在超市买的实惠，出门带着也方便的喜欢*.(@，都是单独包装，配点牛奶或咖啡，舒舒服服上班去了。干净卫生，有时起床晚了，放兜子里两个  ,-,-,2021-06-20
2,t**0,口味: 【热卖款】奶香味+蜂蜜味混合装 共20枚约1000克,好评,软面包收到，满满的一大箱，日期最近，保质期4个月，俩种口味都非常好吃，特别表扬客服大欣服务态度好，包装袋有破损的，还给补了差价，给五星好评。 ,-,-,2021-06-21
3,t**7,口味: 【热卖款】奶香味+麦香味混合装 共20枚约1000克,好评,面包收到了，新日期的，满满一箱子两个口味，已经吃了三个了，孩子说特别好吃吃完还买😝 ,-,-,2021-06-18
4,欧**9,口味: 【店长推荐】奶香味 20枚/1箱约1000克,好评,发货虽然有点晚，但是面包🍞味道不错，是那种老面包的味道！个头也很大！日期也很新鲜！ ,-,-,2021-06-17
5,爱**8,口味: 【店长推荐】麦香味 20枚/1箱约1000克,好评,包装品质：很严实 新鲜度：很新鲜 口感味道：好吃 ,-,-,2021-06-24
6,t**2,口味: 【店长推荐】蜂蜜味 20枚/1箱约1000克,好评,面包已收到超级好吃价格实惠以后可以放心购买,好吃的很价格实惠,-,2021-06-16
7,t**1,口味: 【热卖款】奶香味+蜂蜜味混合装 共20枚约1000克,好评,面包很好吃，包装精美，日期新鲜，孩子很喜欢吃,-,-,2021-06-22
8,t**6,口味: 【店长推荐】奶香味 20枚/1箱约1000克,好评,口感好，非常细腻，孩子非常喜欢，准备再买一箱,品质有保障，可放心购买,-,2021-06-16
9,t**2,口味: 【店长推荐】蜂蜜味 20枚/1箱约1000克,好评,满满一大箱，今天上班的时候带了几个，很好吃，香甜可口，下次还来这家买，😍😍爱了,出门拿的少了，太好吃了，松软香甜，止不住口了，😂亲们赶快下手了,-,2021-06-16
10,t**6,口味: 【店长推荐】蜂蜜味 20枚/1箱约1000克,好评,老式面包收到了。孩子很喜欢吃。店铺已收藏。,-,-,2021-06-16
