数据下载时间：2021-07-01 13:23:53 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/638549079571/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,x**2,口味: 白凉粉500g+送（量杯量勺教程）,好评,冲着那么多的评价购买的，原来评价都是加水的，做了两次都不成功，发了比凉粉多几倍的价钱，第一次做出来的牛奶果冻像豆花状，怀疑是牛奶煮开了没有及时关火，或是牛奶变质了的问题。又买来三袋鲜牛奶再做一次，有结成块但是软踏踏的也不能算成功。后来咨询邻居（她女儿经常做布丁果冻吃），还拿一包给她做，她做出来的也和我一样，反反复复几次总结出来的结果是凉粉的问题，已经使用了，也就不退了，也没多少钱？真实评价给后面的顾客参考吧，反正我是再也不会买这家的凉粉了 ,-,-,2021-06-26
2,无**6,口味: 白凉粉50g+教程（试吃装）,好评,现在在网上买东西的时候越来越多了，不想每个都去详细的评价，我会把这条全5星好评作为好评模块，如果我个人不是很满意的话我会另外做出不满意的详细评价！当你看到这条评价的时候，说明我对这次宝贝的质量、款式、做工、物流、客户服务态度等都表示满意！！！ ,-,-,2021-06-26
3,小**湖,口味: 白凉粉50g+教程（试吃装）,好评,买了很多家的 这家还是不错的 很满意 ,-,-,2021-06-20
4,变**妞,口味: 白凉粉50g+教程（试吃装）,好评,真不错，很喜欢会回购 ,-,-,2021-06-26
5,z**9,口味: 白凉粉50g+教程（试吃装）,好评,溶解难易：好 包装品质：好的 外观品相：好 口感味道：（°Д°）Ъ大赞！ (⸝⸝⸝ᵒ̴̶̷̥́ ⌑ ᵒ̴̶̷̣̥̀⸝⸝⸝)爱你三千万遍 ,赞赞赞赞赞赞赞赞赞赞赞赞赞，大赞大赞大赞大赞大赞赞赞赞,-,2021-06-26
6,小**a,口味: 白凉粉300g+送（8连小动物模具+量杯勺教程,好评,白凉粉收到已经做了两次了，儿子说味道不错，挺好吃的，第一次用水、水果、糖做的，第二次用牛奶、炼乳做的，都挺好吃的。 ,很好哦！！！,-,2021-06-09
7,无**鼠,口味: 白凉粉200g+送量杯量勺教程,好评,外观品相：味道好极了 口感味道：放在冰箱里，爽口刺激，滑嫩好看，有食欲 ,-,-,2021-06-13
8,做**x,口味: 【巨划算】白凉粉500g+送（8连鲜花+6连星星+量杯勺教程）,好评,万能白凉粉一次就成功啦！杨梅撞奶😛😛😛杨梅汁前两天熬的放冰箱今天想着随便试试竟然成功啦！ ,-,-,2021-06-10
9,诗**x,口味: 白凉粉200g+黑凉粉200g+量杯勺教程,好评,溶解难易：难，每次都不成功 口感味道：浪费钱浪费自己时间 外观品相：最失望的一次网购 ,-,-,2021-06-25
10,t**3,口味: 白凉粉50g+教程（试吃装）,好评,小身材、百变的味道！发货快、炎炎夏日、总想在家弄点甜品、这个制作简单方便！可以有不同的形状、真的太赞了！物美价廉,-,-,2021-06-22
11,t**9,口味: 白凉粉50g+教程（试吃装）,好评,溶解难易：容易 配件问题：送了配方说明，很实用，一看就懂 口感味道：很好，多次购买了，自己做比较有意思，孩子爱吃。 ,-,-,2021-06-22
12,小**湖,口味: 白凉粉50g+教程（试吃装）,好评,买了好几次这家的 口感相当好 吃了还想吃 一天一包…… ,-,-,2021-06-20
13,请**！,口味: 白凉粉50g+教程（试吃装）,好评,溶解难易：好价格亲民 配件问题：好 包装品质：好建议购买 外观品相：好直接购买 口感味道：好 ,-,-,2021-06-26
14,别**h,口味: 白凉粉200g+送量杯量勺教程,好评,看人家做的西瓜的漂亮，自己不会做，就做了这些，还有芒果的，闺女喜欢吃，外甥也喜欢 ,-,-,2021-06-22
15,s**2,口味: 白凉粉50g+教程（试吃装）,好评,收到了 速度非常快  好吃不贵 准备手工制作,-,-,2021-06-15
