数据下载时间：2021-07-01 13:24:22 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/596297763590/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,即**亡,口味: 安迪同款低脂高蛋白麦片块575g,好评,溶解难易：泡在酸奶一两分钟就好了 包装品质：不错的 口感味道：脆脆酥酥的 也不会很硬 口感很好 吃起来有一丢丢咸味 是喜欢的味道 这是回购的 ,自己的话是喜欢泡在酸奶里吃，口感丰富，很方便，也不会很硬，不需要等很久就可以啦～而且营养丰富很适合早餐来吃～ 男朋友也很喜欢 有时候嘴馋了直接当零食啃 不长胖无压力,-,2021-06-25
2,阿**大,口味: 安迪同款低脂高蛋白麦片块575g,好评,溶解难易：非常不错 看着很有食欲 买来打算当早饭吃的 泡酸奶泡牛奶都可以 推荐大家购买 ,非常不错 到货也没有碎块的 推荐大家购买 健康又省事的代餐 爱了爱了,-,2021-06-23
3,浅**y,口味: 安迪同款低脂高蛋白麦片块375g,好评,很纯的粗粮感觉 饱腹感很强 我当减脂餐吃的 尝试了下泡热牛奶 很快就溶解了 加了一些奇亚籽水果燕麦什么的 味道会更好 ,刚尝试了下干吃 味道也还行 有点点干 但是能接受 比全麦面包好吃,-,2021-06-22
4,t**1,口味: 安迪同款低脂高蛋白麦片块575g,好评,口感味道：太好吃了！！！！大家看我丰盛的早餐，美味无极限，我用的是黑豆浆，泡麦片真的非常非常好吃哦！而且麦片是低脂的毫无压力！推荐大家快去购买很好吃，而且那个夹子商家送的很方便哦！ ,吃了快一个月了 好好吃！保持身材的必备麦片，每天早上1-2根饱腹又好吃，减脂期必备哦，配上一个欧包，或者自制手抓饼绝了放点鸡蛋生菜哦,-,2021-06-11
5,唯**儿,口味: 安迪同款低脂高蛋白麦片块1.12kg*2盒,好评,一直在吃这个麦片，越嚼越香，减肥期间的好帮手，又不用担心发胖！ ,大重量的，囤一次可以吃很久，还会再来！已经推荐给同事朋友啦，大家可以放心购买！香香！,-,2021-06-24
6,枯**5,口味: 安迪同款低脂高蛋白麦片块375g,好评,溶解难易：溶解很快  不用等很久  速食食品  真的很方便 已经是第二次购买了  真的对于减肥人员帮助很大  配着一些果脯吃味道很佳 包装品质：包装很好  有保护膜  也不用担心会变质 ,真的值得购买  很好的一款麦片  低脂肪低糖  真的很适合减肥健身人士  一直在食用呦,-,2021-06-17
7,t**2,口味: 【店长推荐】安迪同款低脂高蛋白麦片块375g*2盒,好评,减肥必备啦 低脂的 干吃也可以 感觉饱腹感还不错 物美价廉 买了两种类型 都不错 ,另外还买了蜂蜜味的 一个一个的 味道稍微甜一点 不过口感更好一些 我是搭配豆浆一起吃的 感觉配酸奶口感更好,-,2021-06-26
8,满**舞,口味: 【健身教练推荐·代餐饱腹】低脂高蛋白麦片块1.4kg,好评,第二次回购了，是协和的医生推荐的健康减肥主食，方便快捷，味道也不错，出门和在家都可食用。 ,咨询问题时客服有耐心，我已经吃了两盒，的确健康美味，泡酸奶和温开水都可以，比别的面包饼干健康多了。,-,2021-06-21
9,t**5,口味: 【店长推荐】安迪同款低脂高蛋白麦片块375g*2盒,好评,总而言之就是非常非常非常非常非常非常非常非常nice！早上起不来做饭的宝宝嘛可以直接选择泡牛奶🥛或者酸奶哦 可以的话好搭配点蓝莓🫐草莓🍓类的水果都是不错滴！！ ,最近都有在吃这个呀 都懒得做饭了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈简直不要不要太方便呢 早上随便吃一点之后去运动💪一下！真的很方便哦 宝们可以放心购买哦～,-,2021-06-20
10,陆**宝,口味: 【店长推荐】安迪同款低脂高蛋白麦片块375g*2盒,好评,第二次购买了，从小红书上知道了这个麦片，第一次只买了一盒尝尝味道，很不错，就是单纯麦片的味道，不会在吃的时候有罪恶感，每天早餐都会吃，下午饿了也可以吃两块！,室友也很喜欢这个味道，泡牛奶也很好吃，早餐吃很便捷，也很快速，不费什么时间。,-,2021-06-18
11,t**0,口味: 安迪同款低脂高蛋白麦片块1.12kg,好评,麦片超级美味营养价值，营养非常均衡，很方便，减肥期间的好伴侣！真的好棒啊！饱腹感十足？,麦片多种搭配！营养丰富！无味无糖无油配方，很健康的粗粮饼干……,-,2021-06-16
12,t**0,口味: 安迪同款低脂高蛋白麦片块375g,好评,好吃，搭配酸奶更好吃，饱腹感很强，吃饭钱吃一块，有助于减肥，这样吃饭就吃的少了，本来想买来试试 果断又买2盒，真心不错， ,每天都在坚持吃，又有营养的同时还减肥，可以可以，真不错，朋友要了链接，跟酸奶一起搭配喝哦，营养更丰富,-,2021-06-16
13,七**秋,口味: 安迪同款低脂高蛋白麦片块375g,好评,很大一盒，当早饭可以吃一两个星期。甜味很淡，有麦香，很适合健身的人食用。物美价廉，会考虑回购。,还送了一个长密封夹，方便储存。包装简单，味道很不错。,-,2021-06-18
14,y**5,口味: 【店长推荐】安迪同款低脂高蛋白麦片块375g*2盒,好评,蛋白质维生素含量都很高，早上弄两块泡杯牛奶饱腹感很强，拌酸奶也行，加点坚果和水果吃更棒。 ,经常买来吃，早餐来两块简单又方便，低脂高蛋白，很棒。,-,2021-06-18
15,孤**6,口味: 安迪同款低脂高蛋白麦片块375g,好评,看小红书安利，不甜，也不是很干，可以拌酸奶吃、很好吃了。主要是嘴馋，希望吃完可以减肥。,给的小夹子很好用哦～可以防止干，而且用来夹薯片也不错！赞。可能会回购。,-,2021-06-16
16,c**0,口味: 安迪同款低脂高蛋白麦片块375g,好评,二次回购的麦片  麦片脆脆很好吃 喜欢拿来泡酸奶当早餐吃 而且不甜！！！冲呀！！ ,拿来做燕麦杯也不错啊 平时拿来代餐 也很方便 哈哈哈爱了,-,2021-06-16
17,t**2,口味: 安迪同款低脂高蛋白麦片块375g,好评,物流和发货都挺快的，618都能三天到。375g不少了，感觉能吃很久 ,干吃特别干，又没味道，但是泡豆浆简直绝了！！！好好吃！而且饱腹感很强。,-,2021-06-26
18,飞**z,口味: 安迪同款低脂高蛋白麦片块575g,好评,一直都想买这个，这次活动终于入手。目前正在减肥中，没有向别人说的口感不好，很脆，膳食纤维多。今天泡在牛奶里，更好吃，因为追求的是低脂，甜度肯定没有那么大，准备买低脂牛奶试试，健身减肥期必备。 ,-,-,2021-06-23
19,t**7,口味: 安迪同款低脂高蛋白麦片块375g,好评,宝贝收到了，在办公室当早餐的，为了减肥才选的不含脂肪不含糖的，包装也挺高大上的，挺喜欢的，准备回购。,感觉很不错，我买的有牛奶。每天早上泡牛奶喝，主要不好脂肪。,-,2021-06-09
20,t**1,口味: 【店长推荐】安迪同款低脂高蛋白麦片块375g*2盒,好评,麦片收到啦 很香哦 搭配酸奶很好吃 合适减肥期间吃 很赞很饱腹，很脆早餐吃 很满足 我太爱麦片啦 各种各样的,很好吃 减肥必入的一款麦片 每天都要吃 推荐购买五星嘻嘻,-,2021-06-11
21,薰**1,口味: 安迪同款低脂高蛋白麦片块375g,好评,包装很好，还送了一个封口夹，早上来不及做饭，直接拿两块麦片，放在牛奶或者酸奶里泡，很方便 ,口感很脆，泡在牛奶里一会儿就软了，每次拿两片就好，方便还好吃,-,2021-06-12
22,j**7,口味: 【量贩装·更划算】安迪同款低脂麦片块1.4kg*2盒,好评,明星都在吃的麦片，颜值很高，我已经买过两盒了，这次吃完还会再买，早上吃方便，搭配鸡蛋酸奶挺好吃。 ,吃过一段时间了，燕麦低脂适合减肥期间，明星同款，强烈推荐，搭配酸奶超好吃。,-,2021-06-09
23,i**u,口味: 【三盒量贩装】安迪同款低脂高蛋白麦片块375g*3盒,好评,发货快，包装严实。还送了一个封口夹，一共有三大盒，感觉能吃挺久，减肥加油！,迫不及待打开一盒，没有甜味，燕麦压制的饼干，可以单独吃，也可以配牛奶和酸奶，当做一顿晚饭。,-,2021-06-12
24,l**2,口味: 【健身教练推荐·代餐饱腹】低脂高蛋白麦片块1.4kg,好评,收到货啦，非常满意！1.4kg没想到是这么大的一包，感觉可以吃很久很久，早餐泡牛奶和酸奶都很方便，满意满意满意！,买来以后试了试泡酸奶吃，简直太好吃了，也很方便顶饱，以后还会回购！,-,2021-06-12
25,蔡**雨,口味: 安迪同款低脂高蛋白麦片块375g,好评,刚刚打开麦香味非常的浓，尝了一个就停不下来，非常的酥脆，一下子就吃了好几片。越吃越香。  ,早餐的时候用酸奶和奇亚籽拌着吃，也是真的绝，饱腹感挺强的。,-,2021-06-11
26,美**姐,口味: 【健身教练推荐·代餐饱腹】低脂高蛋白麦片块1.4kg,好评,回购N多次了，一如既往的好吃，早餐泡牛奶，方便快捷，饱腹感很强，希望一直优秀。 ,之前就种草这款，后又被很多人推荐，低脂高蛋白麦片，很健康，老公喜欢干吃，真心推荐购买哦。,-,2021-06-10
27,t**3,口味: 【店长推荐】安迪同款低脂高蛋白麦片块375g*2盒,好评,第一次买 先直接吃试了试味道 挺好的呀~口感也不粗糙 也有香味~ 以后的即食早餐有着落了哈哈 ,-,-,2021-06-07
28,k**池,口味: 安迪同款低脂高蛋白麦片块375g,好评,送了封口夹挺好的，不吃的时候也不会潮 配件问题：送了封口夹 外观品相：包装也OK 口感味道：没什么甜的味道，适合减肥的时候，配低脂酸奶很OK，有时候我会搭配一点麦片，很脆 ,-,-,2021-06-22
29,6**羊,口味: 安迪同款低脂高蛋白麦片块1.12kg,好评,溶解难易：易 口感味道：有一点咸咸的味道，配酸奶吃还是挺不错的 早晨两块配酸奶挺好的 ,-,-,2021-06-26
30,b**8,口味: 安迪同款低脂高蛋白麦片块1.12kg*2盒,好评,特别不好，日期很差。拍的时候也不提醒，赶上6.18买了很多，根本吃不完。严重怀疑店家就是趁活动清仓！不如门口超市买，这里完全就是浪费。还忽悠我发好评，非常差劲不负责任的店！ ,-,-,2021-06-26
31,x**0,口味: 蜂蜜味低脂麦片510g,好评,和图片差异太大，打开就是粉末三分之一了，尝了下是那种受潮过的味道，气味也是，太让人失望了因为打开了不给退。估计只能扔掉了，大家自己看图片吧！真实评价～,-,-,2021-06-25
32,t**9,口味: 【量贩装·更划算】安迪同款低脂麦片块1.4kg*2盒,好评,   货真价实、经济实惠、货品质量上乘、保鲜可靠、食用口感不错。 包裹包装的非常好、完好无损，物流很给力、速度很快，快递员认真负责、及时电话联系、热情服务、服务周到、送货上门 。商家热心服务，总体满意、值得推荐，祝贵店生意兴隆。  ,-,-,2021-06-17
33,t**6,口味: 蜂蜜味低脂麦片510g,好评,已经是第三次购买这个牌子的麦片了，对于正在减肥路上艰难跋涉的我来说，帮助非常的大，以后还会继续来光顾,-,-,2021-06-21
34,z**姐,口味: 【健身教练推荐·代餐饱腹】低脂高蛋白麦片块1.4kg,好评,很不错，味道也可以，很饱腹，一大盒可以吃好久了 ,-,-,2021-06-21
35,钟**6,口味: 安迪同款低脂高蛋白麦片块375g,好评,这么一大盒才二十来块！ 干吃是有点干巴，口感是脆脆的也挺好吃的，感觉就是纯麦片压在一起的感觉，一股淡淡的纯麦片微微，感觉还是很香的！ 解馋非常的耐思～拌着酸奶吃绝了！ ,跟着尹正学减肥，热量还可以，低脂无糖，搭上酸奶一绝！ 酥酥脆脆，一定要沾酸奶！！！ 干吃的味道不是很多人喜欢，我舍友就不爱干吃～ 闭眼入～,-,2021-06-04
36,姚**茶,口味: 【量贩装·更划算】安迪同款低脂麦片块1.4kg*2盒,好评,口感不错 直接吃和泡牛奶口感都不错 减脂期必备 简单方便 已经安利给朋友了 包装真的让我有点想吐槽 有一盒拿的时候直接从底部全掉出来了 掉底 真是无语 ,-,-,2021-06-22
37,b**酱,口味: 安迪同款低脂高蛋白麦片块375g,好评,收到货后，迫不及待就打开了，先买的一盒吃吃试试，绝对减脂，没有任何味道，香香的，我泡牛奶吃的，当早餐很不错，省事减肥还健康。 ,真的很不错，吃起来口感饱满，早上没时间做早饭 两块就解决了，嘴馋的时候也可以吃一块、饱腹感强，值得推荐，还会回购,-,2021-06-07
