数据下载时间：2021-07-01 13:27:50 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/596615247881/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,y**e,口味: 减1元【仅7.9(20%黑麦代餐200g送200g(发400g/箱)尝新装.,好评,"面包非常柔软⛄,口感味道：还是原来的味道☁,我本以为会像其他的全麦又干又没味⚡,很满意的一次网购﻿☀,包装品质：据美国全谷物理事会固定🌁,但是热量却不超市买的那种低☔,可以做三明治、价格实惠🌂,自己可以涂一点酱料☔",-,-,2021-06-26
2,a**3,口味: 减1元((20%黑麦代餐500g送500g(发1kg/箱仅14.8)限量100份,好评,"日期都是新日期,回✡购多少次,一直囤货。单💦吃有点干,不干,是原🍁味的。感觉很健康,水🙎很好吃,酸酸的。推荐🍔韩国超辣泡菜味,方便🐲快捷。块拿到的量出乎🚖意料,太方便了。越高📐越纯正越好,还没吃,🔬其他的感觉有点淡,  ",-,-,2021-06-26
3,k**g,口味: 减1元((20%黑麦代餐250g送250g(发500g/箱).仅8.9,好评,"软软的有嚼劲吧！喜欢的可以买🌂,不错有喜欢的亲们可以拍哦☁,还是觉得这款口感最好⚡,以后就认定这款了☁,就感觉生活还是有滋有味的☔,而且味道也很好吃🌀,价格实惠日期很新🌀,犯选择困难症时就选性价比最高的黑麦面包🌀",-,-,2021-06-21
4,w**k,口味: 【仅7.9(20%黑麦代餐200g送200g(发400g/箱)尝新装！,好评,"说实话很不错啊！口感还是可以的﻿☀,孩子也喜欢⚡,不错有喜欢的亲们可以拍哦☔,而且味道也很好吃🌂,果然没有缺斤少两﻿☀,价格实惠日期很新🌁,每片面包独立包装不干燥☔,密闭性很强🌂,口感味道：泡酸奶可以🌃",-,-,2021-06-19
5,孔**s,口味: (仅34.8)黑麦代餐1kg送全麦粗粮1kg,好评,此用户没有填写评价。,"买来代餐吃的,掌柜态度很专业热情,新鲜度：新鲜,一直在这里买了好多 ,买来平时给狗狗当零食,.：.真心推荐哦！我不吃早饭的时候吃个,下次还会回购！是我喜欢的味道，口感不错，刚到货就吃了一袋，不错有喜欢的亲们可以拍哦，包装也不错，日期也新鲜。",-,2021-06-11
6,t**8,口味: 减3元)爆卖(20%黑麦代餐1kg送1kg(发4斤整箱仅28.8).,好评,面包包装很好，摆放整齐，独立包装的 很健康卫生，日期很近期，每天用它代餐 方便，口感很好！ ,-,-,2021-06-20
7,t**7,口味: 仅24.8(黑麦粗粮500g送500g(发1kg整箱)(含黑全麦加谷物).,好评,包装品质：这个包装也是为数不多这么烂的 还有就是这个配料表我是没有看到 看到了我也不会买这个写的模棱两可的 碳水化合物和脂肪含量还是比较高的 不建议购买 这个感觉就是在玩文字游戏一样 虽然说没有糖精（我也不知道糖精是什么东西） 但是加了其它糖的这不是一样的吗 最后附上包装图和配料表 想买的仔细看看。 ,-,-,2021-06-24
8,陆**6,口味: ((20%黑麦代餐500g送500g(发1kg/箱仅14.8)限量100份,好评,食品 装 成这样  你们自己细品,8包都是漏气 怎么吃,-,2021-06-26
9,性**1,口味: 减1元((20%黑麦代餐250g送250g(发500g/箱).仅8.9！,好评,"面包很好吃,👙就感觉生活还是有滋有味的!🈚 🙈这次购物非常满意,🍊包装也不错?🐢低脂的有益身体健康 ⬅减肥人士也是可以的？🏨密闭性很强，🌺孩子也★喜欢。❇新鲜度！👐日期新鲜，🕐；🌵吃完还会再来。🌻!🈂不然有点干！🔍自己可以涂一点酱料,⛲.🍗已经多次回购。",看我晒图！！非常划算哟~,-,2021-06-25
10,兜**君,口味: 黑麦代餐500g+送奇亚籽黑全麦吐司500g.【仅17.8共2箱】,好评,天啊，88块拿到的量出乎意料，自己搬的时候累*了。鲜花饼可以尝鲜，花味独特但是感觉年轻人不会喜欢这个。干脆面特别好吃而且分量很足，推荐韩国超辣泡菜味，其他的感觉有点淡，肉松卷很香，太香了里面不是我想要的松松肉松，而且压缩过反而口感有点脆。豌豆小包很好，上班小零嘴刚刚好。红糖麻花跟椒盐麻花都是小个的也可以，红糖的也只是微甜。买了黑麦代餐包真的饱腹感强，而且有淡淡的咸味，味道不错。而且特别重点感谢店家，我说换地址，就让我退货直接重拍了，太好了，我618买肌研水乳还是机器人跟我说不给改地址，就怕店比店 ,-,-,2021-06-20
11,l**7,口味: 爆卖(20%黑麦代餐1kg送1kg(发4斤整箱仅28.8) ！,好评,包装品质：箱子的外包装没有以前严谨了，到手的时候箱子已经扁了 商品分量：没有数过，应该和以前一样 口感味道：还是原来的味道，已经回购了三次了，越嚼越香，这几天吃了很多，今晚趁此机会做了三明治和小伙伴们聚聚😬😬 ,-,-,2021-06-21
12,青**3,口味: 黑麦代餐500g+送奇亚籽黑全麦吐司500g.【仅17.8共2箱】,好评,营养成分表在这里，大家自己看 科普：全麦面包看添加比例，越高越纯正越好，小麦粉还是会容易长胖的。 全麦粉比例越高，口感越干，小麦粉比例越高，口感就比较容易做得柔软 包装品质：据美国全谷物理事会固定，全麦粉含量达到64%以上才能称为是全麦面包。而在咱们国家，没有具体的规定。也就是说，商家可以随意给自家的面包定义为“全麦面包”，哪怕这种面包里一点点全麦粉都没有。所以不想交全麦面包的智商税，那就需要买到真全麦面包。 商品分量：20%黑小麦 口感味道：软 保质期：还行 新鲜度：还行 ,-,-,2021-06-24
13,h**y,口味: ((20%黑麦代餐250g送250g(发500g/箱).仅8.9,好评,口感不错，挺好吃，分量足,-,-,2021-06-17
