数据下载时间：2021-07-01 13:28:21 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/588304046005/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,o**1,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,包装精美饱满口感好！打开过很多家也都一一对比了一下，通过商品介绍、评价对比，最终决定在这一家买。今天已经收到货了，把包装打开之后看了一下，感觉真的是物有所值了，下次还会继续回购的！不错，挺划算的，应该可以用很久了吧，喜欢当然就得给好评了。超值 ,很好吃，分给同事了，都说颗粒饱满特别好吃。,-,2021-06-18
2,王**3,食品口味: 【新货特大颗粒】：2斤（250g*4包）（掌柜推荐）,好评,包装品质：真空包装，独立的密封口挺好的 新鲜度：蛮新鲜的，颗粒饱满 口感味道：确实比我以前买的大颗粒还要大一点，这种特大颗粒吃起来很满足很爽 价格的话相对来说挺划算的，东西也不错，值得推荐！ ,-,-,2021-06-22
3,y**1,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,酥酥脆脆的好香味道香脆可口 吃一口满口的香味 日期新 没有一个坏的 很好是整颗颗粒完整的，每天吃几颗，味道不错，分量足 服务态度好 有需要还会再来个头大小均匀，这次买的非常好  ,挺好的，总是不停购买购买，一直吃他家的坚果，吃起来这个开心。感觉吃坚果时候是最开心的,-,2021-06-18
4,我**好,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,包装是密封带，拆开和密封很方便，量很足，口感还不错，比较脆，淡淡咸味，给同事分了一圈还有半袋，大果吃得就是过瘾！ ,回购数次了，感觉值得再买。分享给周围人 大家纷纷找我要链接哈哈哈哈太好吃了～香脆可口  坚果美日必备,-,2021-06-17
5,大**树,食品口味: 【新货特大颗粒】：1斤（250g*2包）（掌柜推荐）,好评,果仁非常大，整状，棵粒饱满，好吃。,-,-,2021-06-23
6,t**4,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,个有大有小不过没坏果，很新鲜下次还会再买的,-,-,2021-06-21
7,王**3,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,包装品质：包装也很好，可以封口，半斤一装也不会太多 商品分量：份量很足，没有缺斤少两，自己家做生意，到了顺便称了一下，都是净重 新鲜度：脆脆的没有哈味 口感味道：很好吃，难得写评价，真的很不错才会写哦，建议卖家大包装的也可以一整包，避免浪费包装 ,-,-,2021-06-22
8,t**9,食品口味: 【体验装大颗粒】：250g*1包,好评,"xc很满意哦🚠,味道好。好吃不贵,妈🚟咪特别欢喜,而且价格🍠那么实惠,五星好评。🕑这家排名第一,果型整❎齐。吃完继续买买买配🌊料表上没有防腐剂之类🔷的添加剂,有点糯,感🍱不咸。口感酥脆,还是🍝一如既往的好, ",超级好货！想买千万别看我晒图！冲冲冲！,-,2021-06-22
9,t**7,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,包装品质：一直在这里买这个，发货速度贼快，质量不错，是正品 商品分量：这个产品和它价位相比来说，还是很合适的 ，都是净含量的 保质期：180天，细节非常完美，下次还会继续光顾！ ,很脆很酥，个个粒大饱满。稍微有点盐味，没有吃出来糖的味道，对于限制吃糖的人群很友好🤙🤙🤙,"亲爱的，感谢您对我们的信任与支持，您的满意就是我们奋斗的目标，同样的价格我们比质量！同样的质量我们比服务！同样的服务我们比信誉！ 我们一定不会辜负您对我们的信任 ,谢谢您的支持，期待您的再次光临!!!",2021-06-22
10,薛**彤,食品口味: 【新货特大颗粒】：2斤（250g*4包）（掌柜推荐）,好评,物流很快就到了。分量足，质量好。五星好评。,-,-,2021-06-19
11,一**靠,食品口味: 【新货大颗粒】：2斤（250g*4包）,好评,包装品质：每袋的重量刚好，干果这东西吃起来会上瘾，小包装还能进行下物理控制。 商品分量：份量感觉还是比较足的，但是里面碎皮还是比较多的。 新鲜度：每包里会有两三个吃起来已经陈化的果子来。 口感味道：大果味道相当好，有些烤得有点过的，没有香味只有干硬，每包平均会有一两个坏果。 总的来说，还不错，第二次购买了，这个价格，质量还是可以接受的。 ,-,-,2021-06-20
12,茶**袋,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,腰果大膜容易脱落，好吃不停嘴 收到货尝尝味道很好，越嚼越香！吃的适合很方便，很新鲜。全五星好评了。  ,-,-,2021-06-21
13,金**6,食品口味: 【新货特大颗粒】：2斤（250g*4包）（掌柜推荐）,好评,包装品质：没的说，很精致 商品分量：足够了 保质期：没问题 新鲜度：很新鲜，脆劲儿还在 口感味道：非常棒，确定鲜货 ,-,-,2021-06-25
14,你**z,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,半斤一袋，每袋撕开之后都有密封条，方便吃不完存放，就喜欢这样简单的坚果，拆了一包，腰果的品质不错，都比较大颗，碎的比较小，特别喜欢吃腰果，香脆，商家能一直保证品质的话，是会永久回购的款。 ,-,-,2021-06-24
15,z**3,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,拆开包装，一股清香迎面而来，一闻到这清香就知道腰果肯定很是新鲜！一吃就停不下来了！腰果颗粒饱满，果粒特别大，口感酥脆，我简直太喜欢吃了！而且价格那么实惠，可以实现坚果自由了，原本再别人家买的太差了生产日期都是近期的，很干燥香脆，还会继续购买的! 价格实惠，很满意哦，多次购买。 ,每天一点坚果，营养又美味，在他家已经购买过很多次了，家里人都说很好吃，坚果让我戒掉了零食，让我孕期可以吃的健康！,让我们红尘作伴，吃的白白胖胖！策马奔腾，共享美食满堂~，谢谢您带来好心情分享，感谢您一路上支持，因为有您，小果的生活才更加丰富多彩~~，期待与您再次相遇哦(*^__^*)——【每果时光旗舰店】小果,2021-06-06
16,t**8,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,太好吃了，已经买第二次了，下次还买,-,-,2021-06-23
17,m**i,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,香脆脆，味道真的很不错！值得拥有！ 产品包装：产品包装设计完美！颜色搭配很漂亮！口袋包装不错！打开很方便！里面腰果很大颗！很多腰果！都是带紫皮的腰果、颗粒挺大的，把皮剥掉，里面的果仁白色带点黄，很香脆脆 ,腰果很酥脆，好吃，大人孩子都喜欢吃，还会回购！,-,2021-06-06
18,t**9,食品口味: 【新货特大颗粒】：1斤（250g*2包）（掌柜推荐）,好评,看包装就非常精致 里边的腰果更是原味 纯正，非常好的食品，大家可以放心购买 ！,-,-,2021-06-22
19,t**5,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,多次购买，家里都不够吃，定点在这家，腰果大，膜容易脱落，好吃不停嘴 收到货尝尝味道很好，越嚼越香！吃的适合很方便。感不咸。味道很好。很新鲜。好吃，只是个人最喜欢碧根果。手残每次买整的都不会剥，这次看到有果仁实在是懒人福音太棒了。吃完再来。,第二天又来追评了，腰果真的好吃，颗颗香脆，日期也非常新鲜，家人们都说非常好吃，下次还会到这家店买坚果，真的物美价廉。,小店每天最开心的事莫过于看到亲的好评，亲的好评就像是清泉一样滋润我们的心田，小店会更加的珍惜亲的好评，不断的改进自己，完善自己，力求让小店的服务做得更好，店铺做得更大，也是为了让亲能够更好的更快的买到自己的喜欢的宝贝。你的好评就是对我们最大的肯定和鼓励，希望亲再次关顾我们的店铺，检验小店的进步。——【每果时光旗舰店】小果,2021-06-26
20,忆**1,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,腰果包装高端，大气，上档次，而且里面的果仁口感真心棒，酥脆香嫩，新鲜原味让人欲罢不能，分量十足 新鲜度：鲜美可口，没想到这价格能买到这样的腰果挺好 ,果粒饱满、香脆，轻盐淡香的带皮腰果，味美价廉，值得回购！,-,2021-06-07
21,q**8,食品口味: 【新货特大颗粒】：2斤（250g*4包）（掌柜推荐）,好评,包装品质：很好 商品分量：足 保质期：新日期 新鲜度：新鲜 口感味道：很好 ,-,-,2021-06-22
22,四**l,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,真空包装，分量没称就开袋吃了😁，新鲜，皮皮也容易掉，口感好，味道不错。放心购买吧。 ,-,-,2021-06-21
23,t**1,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,带封口的袋子包装挺好，称了下一袋净含量连干燥剂250克，生产日期新鲜，口感挺好的。 ,-,-,2021-06-22
24,t**0,食品口味: 【新货特大颗粒】：2斤（250g*4包）（掌柜推荐）,好评,已经是第二次购买商家腰果。商品外包装好，分量足、果仁大、而且较新鲜，口感也特别好。还会光顾此店。 ,-,-,2021-06-19
25,芭**9,食品口味: 【新货特大颗粒】【大包装】：2斤*1大包,好评,这个腰果必须好评，而且要第一时间上来评价，包装好，果很新鲜，吃了这么多没有一颗坏果。关键果粒个头大，可以说是腰果之中的巨无霸，味道好。买了这么多家的腰果，这家排名第一，以后就认准你们家了！很赞 ,-,-,2021-06-16
26,k**啊,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,非常棒，果仁颗粒非常大，味道也特别香，一吃就停不下来，每天会提前抓一大把扒好皮放在一个小盒子里，饿的时候随时吃起来，扒皮过程也非常解压，成了我近期最爱的活动，后来又买了其他家的腰果，一对比高下立显，一定会回购的，五星好评！  ,腰果很好吃，已经买了好几次了，又香又脆，喜欢吃的亲们快来买它,-,2021-05-28
27,哈**7,食品口味: 【新货大颗粒】：2斤（250g*4包）,好评,美味，口感酥脆香甜，皮易脱，果的话大的多，小的少量有点，这个一点都不重，反正是买克数的，还会回购！ ,-,-,2021-06-21
28,z**2,食品口味: 【体验装大颗粒】：250g*1包,好评,腰果仁个头较小，味道还不错，价格实惠，值得购买。 ,-,-,2021-06-23
29,t**6,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,这个腰果每个都很大，而且颗颗饱满，味道也很好，没有坏的，吃过之后唇齿留香，真心满意，立刻回购[呲牙][呲牙]，分量也挺足的，没有坏味，很不错的品质。 ,腰果很好吃，香味很浓郁，都是完整的没有碎，皮搓一下就掉了很方便，硬度也刚刚好,-,2021-06-21
30,t**0,食品口味: 【新货大颗粒】：2斤（250g*4包）,好评,足斤足两，但是颗粒大小就是正常的，口味不错，挺新鲜的，我反而觉得这个个头正好，没必要太大，因为重量是一样的。 ,-,-,2021-06-19
31,小**我,食品口味: 【新货特大颗粒】：1斤（250g*2包）（掌柜推荐）,好评,包装的很精美，带自封条很方便，一次吃不了，封上就行，腰果很大粒，颗颗香脆，值得购买。,-,-,2021-06-26
32,琴**玥,食品口味: 【体验装大颗粒】：250g*1包,好评,回购，颗粒饱满！无烂果！比超市便宜多啦！还会回购。,-,-,2021-06-12
33,寻**者,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,包装品质：虽说包装来时坏了，但客服很好，立马帮我解决，给个赞 口感味道：颗粒大，饱满 ,-,-,2021-06-21
34,t**4,食品口味: 【体验装大颗粒】：250g*1包,好评,带皮腰果收到了，尝了尝味道不错，量足，建议购买。 ,-,-,2021-06-21
35,t**5,食品口味: 【体验装大颗粒】：250g*1包,好评,随身带起吃 很脆 都挺大颗的，还是有一两颗坏果，整体还可以 ,-,-,2021-06-26
36,s**2,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,蛮超出我意外的，腰果颗粒很大，味道也很好。之前不太敢在网上买坚果，怕发霉有黄曲霉素。但这个很干，没有任何异味。 ,-,-,2021-06-20
37,w**6,食品口味: 【新货特大颗粒】：2斤（250g*4包）（掌柜推荐）,好评,包装品质：个头大，味道好，比超市买的便宜多了，一个月要吃3斤，已经回购好多次了，推荐给朋友，个个都说好吃，颗粒饱满，皮也好剥，商家态度好，服务也到位，每样都买了尝尝，老公还是最喜欢吃腰果 ,-,-,2021-06-16
38,t**5,食品口味: 【新货特大颗粒】【大包装】：2斤*1大包,好评,零售商成功与否，清点一下回头客。短短2个月来，我己重复买了很多次，质量价格都是可以的，值得推荐。最后一次评论，不然要误会我是替商家卖广告的，广东潮汕一食客。希望商家能永远重视质量,-,-,2021-06-26
39,康**5,食品口味: 【体验装大颗粒】：250g*1包,好评,很好吃，日期新鲜，比实体店优惠。以后还会回购的！ ,-,-,2021-06-26
40,s**翼,食品口味: 【新货特大颗粒】：1斤（250g*2包）（掌柜推荐）,好评,腰果日期新鲜没有味道香脆买的特大颗粒很好 ,-,-,2021-06-21
41,t**6,食品口味: 【新货特大颗粒】：1斤（250g*2包）（掌柜推荐）,好评,好大颗粒，确实很好，完整香酥。完全停不下嘴，好货，值得购买,-,-,2021-06-21
42,q**8,食品口味: 【新货特大颗粒】：2斤（250g*4包）（掌柜推荐）,好评,日期新，口感好，618买了很多，喜欢吃干果的朋友放心买吧 ,-,-,2021-06-22
43,t**9,食品口味: 【新货特大颗粒】：1斤（250g*2包）（掌柜推荐）,好评,口感好…实惠满意满意满意满意满意大家喜欢吃,-,-,2021-06-22
44,折**l,食品口味: 【体验装大颗粒】：250g*1包,好评,新鲜，酥脆中带点咸！超值 ,-,-,2021-06-22
45,狂**1,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,东西很好，常划算，性价比很高而且 卖家的设计很好，不割手！吃完继续买买买配料表上没有防腐剂之类的添加剂，完完全全健 康食品呀，放心吃配料表上没有防腐剂之类的添加剂，完完全全健 康食品呀，放心吃  ,这个腰果真不错，没有坏的，颗颗都挺大，好吃,非常感谢您对我们的评价，因为您的赞许让我们充满动力，您的批评让我们更加完美，我们不仅仅邮寄包裹，我们还邮寄快乐！专业的服务就在您身边，期待您的再次光临！——【每果时光旗舰店】小果,2021-06-08
46,h**8,食品口味: 【新货特大颗粒】：1斤（250g*2包）（掌柜推荐）,好评,各个又大又新鲜，总之很满意，就是平时价格稍贵 ,-,-,2021-06-22
47,i**4,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,此用户没有填写评价。,腰果大颗的好吃😋，山核桃仁这次买的是独立包装的，比较方便，脆香脆香的，一如既往的好，质量一直这样好的话，会无限次回购的哈！,-,2021-06-05
48,猪**怕,食品口味: 【新货特大颗粒】：2斤（250g*4包）（掌柜推荐）,好评,包装品质：包装好！ 商品分量：分量足！ 新鲜度：很新鲜！味道很不错 口感味道：口感很好！ ,-,-,2021-06-20
49,q**9,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,都是袋装的，有自封条，紫皮腰果，500g的，250g一袋一点都不少的。 盐焗味，带皮，越南原装新货。 包装较好，分量足够，果仁新鲜，口感香脆，品质优良！是我喜欢的  价格也很优惠 ,超级无敌好吃哦，腰果科技特别大，很香，价格和品质都能得到保证,-,2021-05-29
50,c**2,食品口味: 【新货大颗粒】：2斤（250g*4包）,好评,腰果买过很多次了，家人特别爱吃，老板家的货质量非常好，想吃的亲千万不要错过，坚果类零食很健康的哟，酥脆可口，量很足！ ,-,-,2021-06-23
51,纯**猫,食品口味: 【新货大颗粒】：2斤（250g*4包）,好评,味道可以，没有坏果，就是有一部分皮不好扒，已经干掉一包了，希望我的评价能够帮到想买的小伙伴,-,-,2021-06-25
52,乖**1,食品口味: 【新货特大颗粒】：2斤（250g*4包）（掌柜推荐）,好评,我发誓，这绝对不是特大颗粒，比别家的特大颗粒小太多太多了，最大的都算不上是大颗粒，一包里好几个坏果，皮不好扒，很多都扒不掉，价格也不比别家便宜，但是真的不算好，看在味道还行的份上勉强给个好评，决对不会回购系列,罐子是里别家店买的特大果，好不好大家自己看，而且价格还更便宜，麻烦客服不要再给我打电话，我只是真实评价,-,2021-06-20
53,t**3,食品口味: 【体验装大颗粒】：250g*1包,好评,包装品质：包装好，份量足，新鲜，保质期6月份，口感好，酥香松脆，价格低。 ,-,-,2021-06-20
54,w**6,食品口味: 【体验装大颗粒】：250g*1包,好评,收到货了，感觉味道还可以，祝老板生意兴隆，财源广进,价格也很实惠，很好吃，家人都很喜欢吃，价格也很实惠。,-,2021-06-16
55,1**y,食品口味: 【体验装大颗粒】：250g*1包,好评,很脆，很好吃  保质期：很好  包装品质：不错不错👍 ,-,-,2021-06-22
56,t**8,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,他家的产品真的很好，质量值得信赖，以后继续回购,-,-,2021-06-23
57,马**n,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,包装设计很新颖，腰果大小很均匀，味道非常好，很适合作为下午的茶点，周围的人都很喜欢吃，自己留了一袋，另外一袋送给朋友了。,-,-,2021-06-25
58,y**6,食品口味: 【新货特大颗粒】：2斤（250g*4包）（掌柜推荐）,好评,喜欢外包装的设计图案，果仁也特别大！价格也不贵！会再次回购！ ,-,-,2021-06-25
59,n**5,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,好吃的根本停不下来，不过下次还是买不带皮儿的吧，扒皮儿耽误吃啊 ,-,-,2021-06-23
60,c**m,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,香酥可口，很好吃。可以回购。,-,-,2021-06-25
61,n**a,食品口味: 【新货特大颗粒】：1斤（250g*2包）（掌柜推荐）,好评,"特别大的腰果，看起来就很好，包装精致，没有被压碎，都是大颗粒,店家发货好很快，快速速度值得赞一下。腰果吃起来很香，也很苏，值得推荐。",-,-,2021-06-15
62,k**4,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,感觉很不错啊，个头大，份量应该也足，最主要的是价格也太实惠了啊！,-,-,2021-06-19
63,清**6,食品口味: 【体验装大颗粒】：250g*1包,好评,党的十八大提出，倡导富强、民主、文明、和谐，倡导自由、平等、公正、法治，倡导爱国、敬业、诚信、友善，积极培育和践行社会主义核心价值观。富强、民主、文明、和谐是国家层面的价值目标，自由、平等、公正、法治是社会层面的价值取向，爱国、敬业、诚信、友善是公民个人层面的价值准则，这24个字是社会主义核心价值观的基本内容 ,-,-,2021-06-21
64,y**话,食品口味: 【体验装大颗粒】：250g*1包,好评,已经是第二次购买了，腰果太好吃了，比超市买的还要便宜，好吃，安利给大家哦，真的物超所值 ,-,-,2021-06-20
65,h**6,食品口味: 【新货大颗粒】：1斤（250g*2包）,好评,包装精致，果子大小适中，酥脆可口，早餐、零食都可。可回购。 ,-,-,2021-06-23
66,往**1,食品口味: 【新货特大颗粒】：2斤（250g*4包）（掌柜推荐）,好评,东西不错，，生产日期6月12号，，不说每一颗都是大颗粒，，起码过得去，，，口味也不错，，已经第N次购买了,-,-,2021-06-19
67,春**9,食品口味: 【新货特大颗粒】：1斤（250g*2包）（掌柜推荐）,好评,腰果很不错！酥香干脆，好吃！不愧是特大颗粒，比体验装的大好多，分钱分货。。以后坚果就你家了，望店家一如既往的保持品质！,-,-,2021-06-19
68,6**6,食品口味: 【体验装大颗粒】：250g*1包,好评,跟大伙儿评价的一样，经济实惠，口感好，个别的皮不好去掉，昨天收到就处理完外皮装罐，方便食用，好评！ ,-,-,2021-06-22
69,y**萍,食品口味: 【新货特大颗粒】：2斤（250g*4包）（掌柜推荐）,好评,味道不错，已经买过几次了，个大饱满，给好评！ ,-,-,2021-06-09
70,l**0,食品口味: 【新货特大颗粒】：1斤（250g*2包）（掌柜推荐）,好评,包装品质：密封好 商品分量：刚好三四个人一次能吃完  好 保质期：新日期 新鲜度：很新鲜 口感味道：脆 好吃 ,-,-,2021-06-19
71,东**速,食品口味: 【新货特大颗粒】【大包装】：2斤*1大包,好评,货收到了，已经是回头客了，收到货马上开箱验货，还是一如既往的好，这家的特大腰果是我买过的最好的一家，一会再买腰果就这家了。找到上帝的感觉了。货真价实，足斤足两。好吃。不知道说啥了，看图吧！ ,-,-,2021-06-03
