数据下载时间：2021-07-01 13:34:41 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/581583526336/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,尚**建,口味: 【推荐】共30包仅9.9 (混合味15包送15包 每日限量,好评,包装品质：很好吃很不错分量不多而已 商品分量：很好吃很不错分量不多而已 保质期：可以满意 新鲜度：可以不错 口感味道：很好吃很不错分量不多而已 ,-,-,2021-06-24
2,t**1,口味: .共10包4.9(混合味5包送5包）,好评,口味超好，很好吃，超级酥脆 良心商家口感味道：酥脆，口味超棒 一如既往的酥脆  ,-,-,2021-06-20
3,陈**5,口味: 【推荐】共30包仅9.9 (混合味15包送15包 每日限量,好评,口感味道：给一个好评吧。确实还可以       ,-,-,2021-06-24
4,t**6,口味: 【推荐】共30包仅9.9 (混合味15包送15包 每日限量,好评,宝贝掌心面，收到了打开看看，试了试嗯，味道挺不错的，和介绍的一样。吃完还来购买的。物流也很快给好评。,-,-,2021-06-25
5,孤**暖,口味: 【推荐】共100包限量仅28.5(混合味50包送50包(约0.28元/包,好评,满满一大箱100包，真的太多了，价格又实惠，老客了，比比赞必须比比赞👍🏻 ,-,-,2021-06-21
6,王**3,口味: 【推荐】共30包仅9.9 (混合味15包送15包 每日限量,好评,包装品质：每个包装完好无损 商品分量：近三十包，这个价格那是很实惠的 新鲜度：吃起来很好，平时小零食相当的不错 口感味道：吃起来很脆，干脆面要的就是这个效果 ,-,-,2021-06-21
7,t**1,口味: .共10包4.9(混合味5包送5包）,好评,都是孩子买的，味道挺好吃的，香脆可口,-,-,2021-06-20
8,t**d,口味: 【推荐】共30包仅9.9 (混合味15包送15包 每日限量,好评,点淘里618促销红包加持下购买的。有几包碎了，可能是因为运输的问题。不过，他的这个干脆面味道口感还是很不错的，又香又脆！用料也比较恰到好处。最主要的，价格优惠😂给个好评 ,-,-,2021-06-21
9,n**4,口味: 【推荐】共30包仅9.9 (混合味15包送15包 每日限量,好评,很好吃，孩子很喜欢吃，价格便宜 ,-,-,2021-06-22
10,许**2,口味: 【推荐】共30包仅9.9 (混合味15包送15包 每日限量,好评,"tg试了试嗯,很干,不🐓错值得购买。太爱了,很🏥安全,哈哈哈哈哈哈哈🚍哈。偏重口,小小的,🔖东西质量还可以,超级🐰辣,比一般辣条还辣点📀。干脆面不错,",价格实惠，看图↓每天就送100张↓,-,2021-06-20
11,读**事,口味: 【推荐】共30包仅9.9 (混合味15包送15包 每日限量,好评,30包，量很足，就是一小包的面饼有点小了，不过这个价格也是很不错了，一到货就拆开分了一些给同事吃，同事说是童年的味道，好吃的！很喜欢，可以吃好久啦 ,-,-,2021-06-25
12,微**燕,口味: .共90包仅26.8(混合味45包送45包,好评,请问你家的辣的是卖不了了吗，这个坑一个人，我买的是90包，就放了30包辣的，里面的面饼小就不说了，还这个多辣的。好歹多放几个口味，就3口味，,-,-,2021-06-22
13,t**3,口味: 【推荐】共30包仅9.9 (混合味15包送15包 每日限量,好评,面对商家各种形式、各种节点或脑洞大开的，我自认为我的脑细胞已经跟不上了。还好有强大的设备在手，还好有伟大的互联网同胞为伍。我倡议大家以后一定要把买货截图附在评论区图片内，这样就可以为广大的卖家们和买家们节省很多很多的脑细胞，相信借助大家的努力我们的购物环境会越来越好 ,-,-,2021-06-21
14,t**0,口味: 【推荐】共100包限量仅28.5(混合味50包送50包(约0.28元/包,好评,喜欢！太棒了，再来一箱！没说的,-,-,2021-06-22
15,龙**0,口味: .共40包仅14.9(混合味20包送20包,好评,包装品质：很好的 商品分量：很足 保质期：新鲜 新鲜度：很脆好好吃 口感味道：很脆一口气吃三袋。很有满足感… ,-,-,2021-06-23
