数据下载时间：2021-07-01 13:29:04 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/608162532556/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**9,口味: 小圆饼干250g送250g 发整箱约12包 仅6.9,好评,1. 巧克力的丝滑，饼干的酥脆，每一块饼干，都会让你惊喜万分。  2. 饼干终于烤好了，咬一口，哇，自己做的饼干好好吃哦！  3. 啊，饼干熟了，散发出香喷喷的甜味，虽然看起来不太美观，但吃起来很好吃。  4. 我做的饼干形状千奇百怪：有菠萝、花、爱心、樱桃、木马、米奇甚至还有**儿形状的呢！  5. 饼干终于出炉了，我迫不及待地尝了一下，啊，又香又脆，真好吃！  6. 这个饼干脆脆的，香香的，像薯条一样，又比薯条好吃。  7. 我吃过的一块饼干，它是圆的。里面全是蜜糖甜甜的很美味。  8. 饼干真甜，真好吃，众人也称赞。  9. 香脆的小饼干，入口香甜。  10. 同学送了我一盒饼干，黑色的，很可爱，有令人陶醉的香。  11. 我撕开包装袋，闻到柠檬的香味，饼干是淡黄的，上面还有好几个点点，咬了一口，脆脆的，味道香香的，真好吃。  12、我喜欢把那种圆形有波浪边的饼干竖起来，用牙齿把波浪边刮平吃掉。  13、面包与饼干不宜一起存放。面饱含水分较多，饼干一般则是干而脆，两者如果存放在一起，就会使面包变硬，饼干也会因受潮失去酥脆感。  14、把人生当成饼干罐就可以了。,-,-,2021-06-25
2,1**排,口味: 小圆饼干250g送250g 发整箱约12包 仅6.9,好评,小包的，个人感觉味道淡点，还可以 ,-,-,2021-06-13
3,偏**0,口味: 小圆饼干250g送250g 发整箱约12包 仅6.9,好评,商品分量：很大一箱  口感味道：甜甜的不腻 建议购买 ,-,-,2021-06-26
4,l**n,口味: 小圆饼干500g送500g 发整箱约24包 仅13.8,好评,以为是一大包，收到货后一看是娇小的一包。味道很好。价格对得起。,-,-,2021-06-24
5,t**2,口味: 小圆饼干1000g送1000g 发2箱约48包 仅26.8.,好评,商品分量：好大一箱哈哈哈好值 新鲜度：日期也都蛮新鲜的 口感味道：海盐味好好好好吃 ,哈哈哈哈哈好好吃，便宜量很多，海盐味爱了，解馋小零嘴，吃不腻～,亲，感谢您对我们的鼓励和支持，您的每一个认可都是我们前进的动力，我们也会尽所能的改进产品和 服务，让更多的人都能认可我们的产品呢，感谢有您，【汇香聚旗舰店】愿您生活愉快，事事顺心！有 空要常来哦~,2021-06-25
6,z**0,口味: 小圆饼干500g送500g 发整箱约24包 仅13.8~,好评,这个小饼干，可太喜欢吃了，味道不错，吃过一次就喜欢了，好吃。 ,-,-,2021-06-23
7,小**8,口味: 小圆饼干500g送500g 发整箱约24包 仅13.8,好评,小圆饼干很香脆可口，价格也不贵，值得拥有,-,-,2021-06-22
8,小**1,口味: 小圆饼干500g送500g 发整箱约24包 仅13.8~,好评,买了两次，第一次饼干碎的还不是特别离谱，只有一半是碎的。味道还不错就买了第二次，第二次的饼干，毫不夸张的说每袋里面几乎没有完整的。全是边角料，碎的一半一半的。不会再复购。差评,-,-,2021-06-24
9,t**0,口味: 买500g小圆饼干送400g 果酱夹心饼干混合味 发2箱 仅16.8,好评,孩子特别爱吃，满满两箱就剩这些了 ,-,-,2021-06-16
10,t**3,口味: 小圆饼干250g送250g 发整箱约12包 仅6.9~,好评,饼干包装严实，味道很好，值得购买,-,-,2021-06-24
