数据下载时间：2021-07-01 13:37:01 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/646542220643/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,c**暖,口味: 800g原味千层软撕面包棒（10袋装）,好评,"份量看着足,如果这🔶种味道是符合大众的口味⭕,面包热热的就像刚从🐠烤箱里出炉的一样。号📓的很新鲜,非常喜欢喜🛂欢喜欢喜欢喜欢喜欢喜🎒欢喜欢喜欢喜欢喜欢喜👅欢。味道刚刚好,在直😌播间买的优惠一点,简🏆直不要太软不会很甜 ",-,-,2021-06-26
2,我**勋,口味: 800g原味千层软撕面包棒（10袋装）,好评,QA超级软手撕都好吃，🍌但是一点也不甜，💏感觉刚刚好的。老人小孩都可以吃，🔱就是不要吃太多哈份量看着足.很好吃赞推荐大家购买，🔰包装看起来也不错，🎹包装的很仔细，🔪价格也非常公道，🉐还会继续买买买  ,-,-,2021-06-26
3,龙**8,口味: 800g原味千层软撕面包棒（10袋装）,好评,简直不要太软，不会很甜，味道刚刚好，现在开始跟着薇娅推荐买 ,-,-,2021-06-23
4,韩**o,口味: 800g原味千层软撕面包棒（10袋装）,好评,包装很好 日期也很新鲜 但不确定是不是直播带来的生意太好 品控没以前好了 面包烤的颜色普遍都深 有些吃着有点点微苦（表面）之前也买过没有这种情况 还是希望严控品质 实物颜色与宣传图片相差较大 还是要引起重视较好 除此之外面包本身还是很松软（新鲜） ,-,-,2021-06-22
5,空**空,口味: 800g原味千层软撕面包棒（10袋装）,好评,直播间买的，有优惠还加上红包，比较实惠。泓一的面包感觉也还行，和某些牌子的也没啥差别。这款面包就真的很软，超级软，手撕都好吃，但是一点也不甜，感觉刚刚好的。老人小孩都可以吃，就是不要吃太多哈。 ,-,-,2021-06-23
6,孙**1,口味: 800g原味千层软撕面包棒（10袋装）,好评,面包松软口感好，日期新鲜 ,-,-,2021-06-21
7,妖**子,口味: 800g原味千层软撕面包棒（10袋装）,好评,"J日期还是很新鲜的🔨,甜而不腻。这款面包就🍙真的很软,奶香味十足🕐。整个面包有霉味加上📥发酵的味道。除此之外👚面包本身还是很松软,🚫吃起来很软带点甜很入🐟口。面包很好吃买的不🏣亏。生产日期新鲜,就😷是不要吃太多哈。  ",-,-,2021-06-25
8,空**空,口味: 800g原味千层软撕面包棒（10袋装）,好评,买了2箱，1箱而小10包，份量看着足，面包是个转称的东西，泓一的面包感觉也还行，和别的也没差。这款面包就真的很软，超级软，手撕都好吃，但是一点也不甜，感觉刚刚好的。老人小孩都可以吃，就是不要吃太多哈。毕竟都是加工食品。 ,-,-,2021-06-23
9,反**秋,口味: 800g原味千层软撕面包棒（10袋装）,好评,她说又软又大，挺好吃的，分量足，可以吃一段时间了…… ,-,-,2021-06-25
10,悠**e,口味: 800g原味千层软撕面包棒（10袋装）,好评,很好吃，一直买弘一的面包，没失望过，不会特别甜。,-,-,2021-06-21
11,雨**2,口味: 800g原味千层软撕面包棒（10袋装）,好评,收到宝贝第二天才拿回家，回家就迫不及待打开了，满满的两箱，很有分量，首先看了看日期，日期是6月18日的很新鲜，然后就是打开一袋尝了尝味道，味道不错，吃着感觉很新鲜，19块多买这么多很划算了！直播间有的东西还是很划算的，物流也很快！不错不错！ ,-,-,2021-06-22
12,小**敌,口味: 800g原味千层软撕面包棒（10袋装）,好评,微娅直播间买的，妈也，6月25号也就是今天收到的，然后看生产日期是6.23号生产，厂家直接生产然后物流装箱打包发走，可以，速度快，就是下单早，现在都是预售了。够新鲜，保质期120天，还没开始吃，看上去不错。估计是很好吃。按照我爱吃面包的量，估计一次得两三包。胖吧，不是罪？忍住不吃，就犯罪。 ,-,-,2021-06-25
13,t**心,口味: 800g原味千层软撕面包棒（10袋装）,好评,包装品质：包装不错，一箱挺多的，口感很好，挺好吃的，松松软软的，早餐吃正合适，第一次买，推荐的，买买买买买。 保质期也还可以，分量很实在，味道不错，不会甜腻之类的 ,-,-,2021-06-25
14,游**鱼,口味: 800g原味千层软撕面包棒（10袋装）,好评,面包软软的，好吃不油腻,-,-,2021-06-21
15,小**0,口味: 800g原味千层软撕面包棒（10袋装）,好评,这是一个好评模版，不要看了下面都是废话。因为本姑娘很懒不想每个宝贝都写好评 所以才模仿网友的  好评模版  但是这个宝贝不管是质量 款式还是性价比 都是本姑娘喜欢的  如果是不喜欢的那本姑娘就会很生气 然后这个模版就变成了各种喋喋不休的吐槽  自然就不会撒下这个好评给各位淘友一个参考  本宝贝还是极好的 ,-,-,2021-06-26
16,传**粒,口味: 800g原味千层软撕面包棒（10袋装）,好评,包装品质：下图，拆箱后一股臭臭的毛笔墨汁的味道扑面而来； 跟客服反映情况，客服说不影响食用 保质期：120天 新鲜度：6.22 ,-,-,2021-06-26
17,p**y,口味: 800g原味千层软撕面包棒（10袋装）,好评,回购款，日期新鲜，是现做现卖的，刚收到尝了一个很松软，但也有个缺点，不知道是不是趁热包装，里面的防潮垫是个败笔，老感觉挨着板子的地方有股类似槊胶味,-,-,2021-06-26
18,l**6,口味: 800g原味千层软撕面包棒（10袋装）,好评,面包很好吃，赞，推荐大家购买，包装看起来也不错，包装的很仔细，价格也非常公道，还会继续买买买！✌ 口感味道：软，口感很好 ,-,-,2021-06-22
19,衣**年,口味: 800g原味千层软撕面包棒（10袋装）,好评,商品分量：足 保质期：240天 第一次买，真的很不错，软软的，当早餐刚刚好，还会回购的~ 口感味道：柔软，甜 ,-,-,2021-06-25
