数据下载时间：2021-07-01 13:38:15 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/622409702387/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,旖**乖,口味: 买1发3盒（奇亚籽魔芋粥，轻食代餐，营养饱腹）送碗勺,好评,朋友推荐的，之前在他那边尝了一包，感觉味道不错才买的，一共是三盒30小包，还送碗勺。还是挺好挺不错的。紫薯味很香甜，里面的葡萄干酸酸的丰富了味道。作为女生，个人食量有点点大，但是这次减肥期间第一天吃了一袋以后再喝点清热的茶，一下午没有饥饿感。送的被子和碗很喜欢，碗也在正餐使用，据说蓝色的碗让人不会吃那么多，食欲冲动会降低。多吃几个星期看看效果。 ,-,-,2021-06-24
2,t**5,口味: 买1发3盒（奇亚籽魔芋粥，轻食代餐，营养饱腹）送碗勺,好评,"真的开心，而且配料真的是太良心了喝过最好喝的代餐了。适合懒人。甜甜的,爱吃好吃实惠,口感丰富充盈,强烈推荐啊姐妹们。就平时代几餐就能轻松瘦身了 ",-,-,2021-06-15
3,哥**8,口味: 买1发3盒（奇亚籽魔芋粥，轻食代餐，营养饱腹）送碗勺,好评,收到宝贝包装很好，打开就可以闻到紫薯的香味，而且代餐粥里面还都是不添加任何的香精色素防腐剂的，开水直接泡就好啦~~~泡好可以成糊糊状，粥一样的感觉，不会太甜有很多葡萄干，枸杞，很养生啊，口感很顺滑，饱腹感还可以，是味道不错的代餐了。 ,-,-,2021-06-18
4,q**0,口味: 买1发3盒（奇亚籽魔芋粥，轻食代餐，营养饱腹）送碗勺,好评,很不错，好吃，热量不高，每天早上起来冲泡一碗，搭配鸡蛋营养十足，饱腹感也可以，买1发3价格这么便宜，真的赚到了。 ,-,-,2021-06-23
5,章**民,口味: 买1发3盒（奇亚籽魔芋粥，轻食代餐，营养饱腹）送碗勺,好评,都给我买起来，减肥又健康的食品，而且价格还非常美丽，和实体店比真的是很美丽呀？食疗重在坚持，只要坚持肯定有减肥效果的呀！而且他都是定量包装的，一包是118kal，刚刚开始吃的时候是量比较大，一包不够都需要吃两包，现在不一样了，每次只需要吃一包就够够的了，而且非常健康，大家可以买哦 ,-,-,2021-06-19
6,z**4,口味: 买1发3盒（奇亚籽魔芋粥，代餐刷脂，营养饱腹）送碗勺,好评,"代餐粥⊙▽⊙冲泡出来的很稠，本来紫薯和燕麦没有什么味道，正好搭配酸酸甜甜的红提+红枣，口感甚好✨，没有那么甜，饱腹感是有的。✨早上吃了一包，一早上都没有感觉到饿(""▔□▔)会推荐给朋友哒～✨ ",-,-,2021-06-15
7,李**1,口味: 买1发5（奇亚籽魔芋代餐粥5盒+送陶瓷杯）,好评,魔芋代餐粥，营养丰富，热量又低，里面含有魔芋，可以产生持久的饱腹感，食用上也方便，只需要打开一包放入杯子，然后再加上那个适量的开水，搅拌均匀，放一会儿就可以先手美味了，里面的食材都是天然的，安全健康。,-,-,2021-06-16
8,w**3,口味: 买1发3盒（奇亚籽魔芋粥，代餐刷脂，营养饱腹）送碗勺,好评,最近减肥，买来填饱肚子的，好吃，也很方便，上班这里随时就可以泡。 ,-,-,2021-06-21
9,x**4,口味: 买1发3盒（奇亚籽魔芋粥，代餐刷脂，营养饱腹）送碗勺,好评,好香！打开就有浓郁紫薯味，里面还都是独立包装的，代餐粥里面因为魔芋的关系，泡开后是略微粘稠状，加牛奶可能会更好吃，下次试试加牛奶， ,-,-,2021-06-15
10,张**一,口味: 买1发5（奇亚籽魔芋代餐粥5盒+送陶瓷杯）,好评,日期新鲜，口感特别好，夏天早上不想热着做饭，直接泡这个就行，重复购买了第4次了吧，放心购买。甜度也不高，不会腻 ,重复购买多次，这个粥是性价比很高，口感也很好的，更喜欢这个紫薯魔芋的口味的，不会踩雷的一个粥,-,2021-06-19
11,s**7,口味: 买1发3盒（奇亚籽魔芋粥，轻食代餐，营养饱腹）送碗勺,好评,这款代餐粥真的很不错，味道好吃不说，里面真材实料看得见，吃完一包就很饱腹，好吃热量低，又可以均衡营养，建议大家减肥的话可以直接购买。,-,-,2021-06-24
12,腾**0,口味: 买1发5（奇亚籽魔芋粥3盒+抹茶拿铁粥2盒）送陶瓷杯,好评,哎呀，实在是太爱了，这个代餐粥当早餐吃实在是太不错了，冲泡也很方便，直接接开水就好了，一包热量也才118kal 我都当早饭吃 大爱哈哈哈。,-,-,2021-06-15
13,t**5,口味: 买1发3盒（奇亚籽魔芋粥，轻食代餐，营养饱腹）送碗勺,好评,这个对于懒人来说太棒了，尤其对于我这种近期减肥的人来说太友好，每天早上一碗代餐粉，搭配一个白煮蛋，完美！哈哈，等我瘦了再来😍😍 ,-,-,2021-06-15
