数据下载时间：2021-07-01 13:38:36 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/644522975934/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**6,口味: 乳酪味200g送200g发整箱400g仅8.9元【限秒】,好评,"很介绍图片相差甚大🚒,很软,口感是那种软软📁糯糯的感觉。试了口感🙅不错,便宜,真的非常🦢好吃。收到货了,不干🎣,人和人之间少点套路🍫。东西收到了后,正品💋,放早餐吃很棒,好评🔱了。小小的,稍微几句🎮话就能表达我的喜爱",就找不到了。包装完好无损，料多，,-,2021-06-22
2,t**6,口味: 乳酪味400g送海苔味400g【发2箱仅16.9元】,好评,"hzp真的挺好吃味美物流很快🌂,8.9块买的个人觉得比跟实体店买的比还是挺划算的🌀,乳酪味很好吃！松松软软咸度适中☔,口感味道：不错🌂,口感味道：还好🌃,拍的200g送200g的⚡,肉松也没那么多🌂,但味道还不错🌀,里面的乳酪也很多（流出来那种）☁...",-,-,2021-06-22
3,t**9,口味: 【第2件5.9元已减】乳酪味400g送乳酪味400g【仅15.9元】,好评,包装不错，发货迅速，生产日期很新鲜，挺不错的,-,-,2021-06-24
4,t**1,口味: 乳酪味200g送200g发整箱400g仅8.9元【限秒】,好评,"qaq当点心🌂吃了一点肚子都不饿8,男女老少⛄皆宜,那么好吃的面⚡包,价格也☔实惠,外面肉松🌀里头夹心,而且☔还少了,↗味道不🌃错,以后就认定这家买了",“超级划算！！看我晒图！！”,-,2021-06-11
5,你**天,口味: 【第2件5.9元已减】乳酪味400g送乳酪味400g【仅15.9元】,好评,很不错的休闲食品，日期新鲜，打算给儿子也买点寄过去，味道好极了 ,-,-,2021-06-24
6,t**2,口味: 【第2件5.9元已减】乳酪味400g送海苔味400g【发2箱仅15.9元】,好评,✨打开包裹一🍓看，乳酪面包物流过天🍁就到货，男女老少皆✨宜，客服也✨不给解答，爱了肉✨松挺多哒，真是🍉很实在，东西🍁收到了后，反🍅正就跟掉地上又捡起来包装的那种，包装完好无损，肉松面包好吃，独立包装很干净卫生，乳酪味很好吃！松松软软咸度适中✨,-,-,2021-06-21
7,t**7,口味: 乳酪味200g送200g发整箱400g仅8.9元【限秒】,好评,店家💘很用心，但是客户收到货发现少件后第一时间联系店家，新zt很新鲜，吃起来💘口感不错，商品分量还行，商品💘分量：充足，肉松面包💘好吃，和客服说一句话，以后就选这家 ,-,-,2021-06-26
8,七**i,口味: 乳酪味400g送海苔味400g【发2箱仅16.9元】,好评,没认真看还发现有老鼠屎商家真良心一颗星都不给什么食品都不安全怎么卖的出去无语,-,-,2021-06-23
9,t**2,口味: 乳酪味800g送海苔味800g【仅32.9元】,好评,包装品质：包装很卡通 口感味道：甜甜的很好吃味道不错 已经是第二次买了，这次买的多，就是快递有点暴力把一个盒子都给挤坏了 ,-,-,2021-06-21
10,t**4,口味: 乳酪味200g送200g发整箱400g仅8.9元【限秒】,好评,宝贝的样子跟图片差距还是比较大，但是我觉得还好，面包只有一面有少许肉丝，对整体口感有一些影响，中间的夹心个人还是比较喜欢，就是肉丝面包常见夹心酱，我也不知道叫什么，吃的太快了，忘记拍照了，整体感觉还是不错，早餐吃两个加一个牛奶，很轻松就能解决一顿早餐，一般推荐,-,-,2021-06-24
11,邹**德,口味: 乳酪味400g送海苔味400g【发2箱仅16.9元】,好评,口感味道：包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来☺️ ,-,-,2021-06-22
12,糖**2,口味: 【第2件5.9元已减】乳酪味400g送海苔味400g【发2箱仅15.9元】,好评,这个面包味道好很，一共两个口味，里面的馅儿很足，一口咬下去满满的幸福感，放早餐吃很棒，或者平常饿了都是刻字吃的，非常好 ,-,-,2021-06-23
13,理**x,口味: 乳酪味400g送海苔味400g【发2箱仅16.9元】,好评,嗯，买的挺划算的，最起码比超市的划算很多，确实是海苔味的，好吃一点 嗯 ,-,-,2021-06-22
14,水**恒,口味: 乳酪味200g送200g发整箱400g仅8.9元【限秒】,好评,物流挺快的，包装还不错，颜色款式也是我喜欢的，总体都挺好的，性价比高，值得购买！需要的可以入手。,-,-,2021-06-23
15,t**3,口味: 乳酪味200g送200g发整箱400g仅8.9元【限秒】,好评,肉松吐司收到，试吃了 口感味道：好 包装品质：好 ,-,-,2021-06-24
16,章**文,口味: 【第2件5.9元已减】乳酪味400g送乳酪味400g【仅15.9元】,好评,包装品质：不错 保质期：新鲜 口感味道：香喷喷 ,-,-,2021-06-21
17,l**7,口味: 乳酪味400g送海苔味400g【发2箱仅16.9元】,好评,质量有保证非常不错🌷家里人都比较喜欢吃包装品质🌷：很精致得包🌷装等等好多好多零食🌷送人的最佳选择真的超级的🌷多呀满满的两箱零食办公室🌷的必备小零食赞新鲜度🌷：不错很新鲜香辣的味道🌷确实口感很佳哦🌷弟弟们都很稀饭的呀这个盒子也太可爱了🌷,-,-,2021-06-17
18,w**n,口味: 乳酪味400g送海苔味400g【发2箱仅16.9元】,好评,第二次购买了，两个口味，两个箱子，一个口味8个独立包装，很好吃的！ ,-,-,2021-06-24
19,t**0,口味: 乳酪味400g送海苔味400g【发2箱仅16.9元】,好评,吃的差不多了，面包很好吃，就是漏气了四包😔我估计发货没有检查，其它都还好，售后服务回复也慢，买了两箱，一箱就六包，等于一箱只能有四包才能吃😥😥😥😥,-,-,2021-06-21
20,巫**汁,口味: 乳酪味400g送海苔味400g【发2箱仅16.9元】,好评,本来以为，宝贝好，评价可以简短精美，好评不需要繁文缛节，稍微几句话就能表达我的喜爱，慢慢发现，那样的好评被认为敷衍，必须要85个字以上，那就不怪我了，我只能无情的揭露这个残酷的事实，够85个字了吗？不够？那我就再说两句。我觉得社会就应该简单点，人和人之间少点套路。够85个字了吗？嗯，我看应该够了，好评结束。谢谢观赏！！！！！ ,-,-,2021-06-21
21,洪**8,口味: 乳酪味200g送200g发整箱400g仅8.9元【限秒】,好评,是我喜欢的口味，好吃看得见，很值得购买的一款零食小吃，物超所值，物美价廉 ,-,-,2021-06-23
22,t**5,口味: 【第2件5.9元已减】乳酪味400g送乳酪味400g【仅15.9元】,好评,肉松加奶油，菜鸟购物红包买的，味道还不错 ,-,-,2021-06-21
23,f**n,口味: 【第2件5.9元已减】乳酪味400g送乳酪味400g【仅15.9元】,好评,味道很不错的说，带单位当点心 ,-,-,2021-06-21
24,周**珊,口味: 乳酪味200g送200g发整箱400g仅8.9元【限秒】,好评,价格实惠又好吃。吃完还会回购,-,-,2021-06-26
25,情**8,口味: 岩烧乳酪面包150g送150g发整箱300g【无肉松】,好评,面包收到了，吃着很新鲜，夹心也挺多，既便宜又实惠，下次还会购买,-,-,2021-06-23
26,晨**a,口味: 海苔味400g送同款400g合并发800g仅16.9元,好评,味道有点奇怪，口感一般 ,-,-,2021-06-26
27,a**豹,口味: 海苔味200g送200g发整箱400g 仅9.9元,好评,包装品质：好 商品分量：还可以 保质期：合适 新鲜度：不错 口感味道：特别好吃 ,-,-,2021-06-22
28,x**8,口味: 【第2件5.9元已减】乳酪味400g送乳酪味400g【仅15.9元】,好评,包装品质：没有任何破损 口感味道：上层是肉丝中间夹得沙拉很好吃艮啾啾的 ,-,-,2021-06-24
