数据下载时间：2021-07-01 13:39:45 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/545852157095/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**8,口味: 混合全部辣味2斤【买2份送20包q豆干】,好评,"cj喜欢麻辣味🌂,收到就吃了好几袋🌀,多次购买过这家店豆干🌂,希望能恢复原来的味道🌄,豆干很好吃🌃,多,次购买豆干了🌅,昨天和线上客服说过﻿☀,喜欢吃的都可以来吃哈🌁,味道不错下次继续光顾🌅,有一包还是烂的☁,味道还不错☁ ",-,-,2021-06-23
2,谭**0,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,收到货外包装都烂了，有一包还是烂的，，盒子也破了,-,-,2021-06-23
3,半**开,口味: 香菇辣混口味2斤【买2份送20包q豆干】,好评,不错的宝贝，包装好，物流快，味道好，真是非常好吃，味道特别棒，是我在淘宝吃的最满意美食之一，拿来就吃了很多，肯定贪吃会长胖，但美味佳肴面前没有任何抵抗力了，管他的个，吃吃吃，今朝有酒今朝醉，明日胖了再减肥。为了美食值得牺牲身材，谁让自己是个吃货呢，哈哈哈。还会再回购，5分好评必须的！,-,-,2021-06-21
4,l**1,口味: 香菇不辣口味2斤【买2份送20包q豆干】,好评,好多次购买，非常美味，但这次失望了，里面吃出细小铁丝，估计钢丝球的残留，店家售后很好，服务非常满意，只真实评价，希望以后注意食品卫生安全，但愿这是唯一一次失误，相信以后会做的更好！,-,-,2021-06-26
5,t**5,口味: 香菇不辣口味2斤【买2份送20包q豆干】,好评,跟超市一模一样，便宜好多，实惠，口味很好，值得购买,-,-,2021-06-12
6,z**6,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,"还没开🌀始吃,尝了一小袋味道不☁错,保质期🌀：长,大人🌁吃辣的,媽媽喜歡☔吃,味道也还🌃可以,分量很☁足！味道不错哦追剧必备,商🌄品分量：味道很棒,左边绿色包装好点的是🌄这家买的,第一🌅次买这个豆干,价☁钱便宜而且非常好吃x很棒呀哦y_~ ",-,-,2021-06-07
7,z**i,口味: 香菇不辣口味2斤【买2份送20包q豆干】,好评,收到以后，就立刻打开尝了尝，挺好吃的😊，买一大包，还比实体店便宜，当零食，或者配米饭吃都好吃😋，喜欢的可以看看😇。,-,-,2021-06-23
8,r**辰,口味: 【实惠款】1斤香菇豆干+30包q弹豆干+20包手撕素肉,好评,组合装非常的棒了，一次可以买到三种不同的豆干了，超级爱手撕素肉了，口感超级棒！这家我已经买过四次了，以后还会继续购买别的种类了。 ,-,-,2021-06-26
9,龙**6,口味: 香菇辣混口味2斤【买2份送20包q豆干】,好评,味道不错下次继续光顾,-,-,2021-06-17
10,先**祠,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,多次购买豆干了，便宜实惠，非常推荐 ,-,-,2021-06-23
11,湘**向,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,2斤大概32包，口感清爽，有嚼劲，不辣，生产日期从2月到5月。 ,-,-,2021-06-22
12,h**l,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,包装品质：单独包装 商品分量：挺多的 口感味道：香菇超香！不过一小包来说豆干不太好分开，吃着容易掉，个人喜欢一口放嘴里嚼，豆干提供嚼劲，香菇提供香味！至于不同的口味个人感觉没差多少吧。 ,-,-,2021-06-25
13,丁**9,口味: （不辣）鸡汁味2斤【买2份送20包q豆干】,好评,宝贝收到，活动期间抓紧购啦两分购吃一段时间，收到就吃了好几袋，赠品也好吃，  新鲜度：s月 包装品质：好 商品分量：足 保质期：九个月 口感味道：看图，纯豆制品 ,-,-,2021-06-19
14,薄**蓉,口味: 香菇辣混口味2斤【买2份送20包q豆干】,好评,包装品质：这已经是我第三次买他们家的豆干了，真心好吃，特别是香辣味的香菇味的是我的最爱，真的很喜欢，哈哈 ,-,-,2021-06-22
15,t**6,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,包装品质：好 商品分量：多 口感味道：好 味道可口，量很大，很好吃  ,-,-,2021-06-26
16,8**鹤,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,满满一大袋，买的混合口味的，味道种类有很多，每个味道都很好，好吃又不贵 ,-,-,2021-06-24
17,陪**9,口味: 香菇辣混口味2斤【买2份送20包q豆干】,好评,豆干很好吃，很干净，孩子很喜欢吃，不会有一股浓浓的豆香味。 ,-,-,2021-06-21
18,旋**a,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,宝贝收到啦，物流飞快，收到满满一大袋，各种口味应有尽有，香菇味的很香，值得推荐，爱极啦！,-,-,2021-06-24
19,大**9,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,口感不错，是期待的味道，很划算 ,-,-,2021-06-21
20,t**1,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,东西很不错质量好，推荐大家购买，懂得都懂，直接冲，不用废话，都是自己用的实际效果，给我买他没他买它。冲冲冲冲冲冲冲冲冲冲冲冲冲冲冲,-,-,2021-06-20
21,g**1,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,宝贝很好吃。豆制品热爱专家。喜欢吃的都可以来吃哈。美食鉴定。具体上图 ,-,-,2021-06-25
22,g**1,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,味道不错，还实惠。已经吃了不少了。好评！ ,-,-,2021-06-25
23,b**g,口味: 山椒香菇味2斤【买2份送20包q豆干】,好评,口感味道：多次购买过这家店豆干，从第一次购买到现在差不多有了，这次口感味道非常失望，昨天和线上客服说过，也不知道是否有反馈给加工车间！山椒味没以前辣味道特别淡，牛肉味几乎没啥滋味，而且这两个口味这次口感都发干，我觉得这次加工出现一些问题，希望能恢复原来的味道，别让老顾客买了失望，新顾客买了后悔！以前的味道喝酒或者当零食越吃越香！(在线客服说售后明天上班第一时间联系我，但并没有) ,-,-,2021-06-22
24,t**9,口味: 香菇不辣口味2斤【买2份送20包q豆干】,好评,帮室友买的，两天就吃完了哈哈，味道还不错，不辣的这款口味有点淡。 ,-,-,2021-06-18
25,b**g,口味: （不辣）牛肉香菇味2斤【买2份送20包q豆干】,好评,口感味道：多次购买过这家店豆干，从第一次购买到现在差不多有了，这次口感味道非常失望，昨天和线上客服说过，也不知道是否有反馈给加工车间！山椒味没以前辣味道特别淡，牛肉味几乎没啥滋味，而且这两个口味这次口感都发干，我觉得这次加工出现一些问题，希望能恢复原来的味道，别让老顾客买了失望，新顾客买了后悔！以前的味道喝酒或者当零食越吃越香！（在线客服说明天售后上班第一时间联系我，到了第二天中午都没人联系我） ,-,-,2021-06-22
26,小**f,口味: 混合不辣口味2斤【买2份送20包q豆干】,好评,价格实惠，有需要再来买˚*̥(∗*⁰͈꒨⁰͈)*̥哇哦~ ,-,-,2021-06-22
27,t**3,口味: 香菇辣混口味2斤【买2份送20包q豆干】,好评,味道还可以，豆干好吃，吃完再回购 ,-,-,2021-06-24
28,h**4,口味: 烧烤香菇味2斤【买2份送20包q豆干】,好评,价格很划算  量大  做活动时候买的  特别爽 ,-,-,2021-06-23
29,何**筱,口味: 混合不辣口味2斤【买2份送20包q豆干】,好评,包装品质：包装很严实 商品分量：很多，👍 保质期：挺久的，都是新鲜的 口感味道：很好吃哇 ,-,-,2021-06-22
30,飘**扁,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,东西收到了，好吃棒棒的，包装可以👍,-,-,2021-06-24
31,t**6,口味: 香菇辣混口味2斤【买2份送20包q豆干】,好评,这个颜色很喜欢，摸起来质感不错，百搭～包装也很大气，用来送人的话也是不错的选择 ,-,-,2021-06-26
32,v**9,口味: 香菇不辣口味2斤【买2份送20包q豆干】,好评,东西量挺足的，价格也实惠。刚到货就吃了十几包，看来要忍住呀。给个五星好评,-,-,2021-06-26
33,t**2,口味: 混合不辣口味2斤【买2份送20包q豆干】,好评,给家里买的，能发邮政真的挺好的，不知道味道怎么样，好评 ,-,-,2021-06-26
34,银**义,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,挺好吃就是不辣 ,-,-,2021-06-21
35,m**7,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,包装品质：好评好评，好吃的 ,-,-,2021-06-25
36,王**6,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,第一次见到这样的，又不好吃又一开这样的,-,-,2021-06-26
37,t**9,口味: 混合全部辣味2斤【买2份送20包q豆干】,好评,第二次回购，超级喜欢豆干，喜欢麻辣味，香辣味 这次给的赠品是Q弹，真的很Q    ,-,-,2021-06-18
38,谢**梦,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,第一次买这个豆干，还送了一包赠品豆干，味道都很不错，拿到手就开始吃了，好吃😋 ,-,-,2021-05-29
39,t**6,口味: （不辣）卤香香菇味2斤【买2份送20包q豆干】,好评,整体来说还不错之前有买过  比超市便宜  实惠  ,-,-,2021-06-26
40,t**7,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,透气了,-,-,2021-06-24
41,t**1,口味: 混合不辣口味2斤【买2份送20包q豆干】,好评,豆腐干收到好吃我最喜欢吃豆干，上次买的吃完了这次又买了一大袋，吃完再买。,-,-,2021-06-20
42,吴**9,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,此用户没有填写评价。,非常好吃，口感闻到都非常棒，家里老年人也时不时的吃，强烈推荐,-,2021-06-15
43,h**6,口味: 混合全部辣味2斤【买2份送20包q豆干】,好评,得得得摸摸快快乐乐的饿了咯的叽叽咕咕回来了额巴巴爸爸喇叭测得得得,-,-,2021-06-23
44,爱**树,口味: 香菇辣混口味2斤【买2份送20包q豆干】,好评,包装品质：也不错，总之挺满意的，物流也给力 口感味道：是我喜欢的香菇味道～ ,-,-,2021-06-23
45,t**8,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,商品分量：数量多，但是一包里面分量不是很多，但这个价格也算划算了。 保质期：还算好，是四月份的，保质期9个月 口感味道：一般，不算很好吃 ,-,-,2021-06-23
46,l**3,口味: 混合不辣口味2斤【买2份送20包q豆干】,好评,很好吃！买了好多次了。 ,-,-,2021-06-24
47,懂**←,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,中奖了有根头发，哈哈哈哈哈哈哈,-,-,2021-06-22
48,j**7,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,豆干味道还是好吃，已经买了多次，口味丰富，继续支持。,-,-,2021-06-24
49,杨**5,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,此用户没有填写评价。,可以东西实惠便宜好吃,-,2021-06-17
50,b**n,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,豆干味道不错，包装完好，小包装的吃起来方便。很好！ ,-,-,2021-06-17
51,憧**0,口味: 混合不辣口味2斤【买2份送20包q豆干】,好评,豆腐干的，味道不错，吃起来挺香的。而且分量也特别的足。 ,-,-,2021-06-26
52,漂**n,口味: 香菇不辣口味2斤【买2份送20包q豆干】,好评,味道不错！值得拥有！ 希望加强物流服务质量，提供真正的送货上门服务。 最后一公里物流不给力，拉后腿啦。4星好评！,-,-,2021-06-25
53,少**我,口味: 麻辣味2斤【买2份送20包q豆干】,好评,很好很喜欢吃？ ,-,-,2021-06-23
54,j**子,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,此用户没有填写评价。,味道一般 实际香菇很少 感觉赠品更好吃些,-,2021-05-19
55,s**y,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,豆干挺好吃的，包装也挺好的，不过我数了一下，一共是35小袋，不应该是36袋的么 ,-,-,2021-06-24
56,m**1,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,好吃不贵，很有嚼劲，香菇也有。味道不错，吃了，想一直吃。嘴馋……,-,-,2021-06-25
