数据下载时间：2021-07-01 13:39:54 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/561887674777/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,陈**w,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,番茄牛腩酱口味很正，买给孩子吃的，天气热，孩子食欲也不好，这个酱拌饭，很下饭  ,-,-,2021-06-24
2,t**0,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,活动拍的收到了  味道不错小孩吃的清淡口味  有点甜  下次活动再屯点 ,-,-,2021-06-23
3,历**5,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,一直回购的老粉了  夏天番茄的比较清淡点 搭配意面超级棒 自己加点配菜 简单方便 ,-,-,2021-06-26
4,这**皮,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,没什么好评论的了，已经第不知道多少次回购啦，很不错  番茄牛腩酱yyds 另一个对于口味很淡的我来说咸了一点点点点，感觉和鱼虾酱味道差不多,-,-,2021-06-21
5,谢**a,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,好多一瓶，买给小朋友吃的，比较适合小孩吃，口感味道都很不错的 ,-,-,2021-06-23
6,黄**瓜,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,买好多次啦  618又屯了几瓶 凑上满减划算的很  味道一级棒 赞赞赞~ ,-,-,2021-06-21
7,t**8,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,宝宝爱吃一直回购的酱  活动比平时划算很多  日期新鲜放心屯起来 ,-,-,2021-06-21
8,陈**w,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,吃饭的时候总要来点他家的酱，才下饭，番茄牛腩酱很好吃哟  ,-,-,2021-06-24
9,t**9,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,只要是番茄的我都喜欢，夏天喜欢吃番茄，也喜欢吃番茄牛腩酱，不辣好吃,-,-,2021-06-16
10,g**j,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,无添加的酱给儿子吃很放心 日期也好 夏天了要放冰箱就感觉很靠谱啊   活动拍的  发货也快,-,-,2021-06-21
11,t**2,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,很好吃，家里孩子也喜欢，以后会经常回购！,-,-,2021-06-21
12,t**2,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,还是那么的好吃，适合小朋友吃的儿童拌饭酱 ,-,-,2021-06-21
13,t**5,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,刚收到 给快递小哥点个赞 大晚上给我送来了 他家这个酱很独特 不辣 口味挺特别的 酸甜口的 老人孩子适合吃 ,-,-,2021-06-12
14,美**忆,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,番茄牛腩酱拌饭很好吃，口味很清爽,-,-,2021-06-25
15,小**花,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,挺好吃，不辣，酸酸滴，非常满意，拌饭吃非常棒 ,-,-,2021-06-24
16,o**陌,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,番茄牛腩酱很新鲜，拿来拌饭小孩子吃了一大碗，推荐推荐 ,-,-,2021-06-20
17,小**花,口味: 蛋黄酱1瓶（含量≥85%）【营养丰富】,好评,还行，味道有点大，比想象中小很多，一个小瓶装，还是挺不错，非常满意 ,-,-,2021-06-24
18,幸**1,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,拌面特别棒，吃不了辣就选它 ,-,-,2021-06-15
19,w**9,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,非常的美味，实惠，孩子很爱吃  ,-,-,2021-06-16
20,s**1,口味: 不辣的番茄牛腩酱1瓶（0辣度，孕妇儿童皆可食用））,好评,番茄土豆味比较浓，牛肉味比较淡，酱味也淡，孩子还是喜欢吃的 ,-,-,2021-06-26
