数据下载时间：2021-07-01 13:46:18 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/629968172356/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,微**心,口味: 【12桶】猪骨浓汤风味86g*12,好评,✨口感味道：虾仁味，真的有好多虾仁在里面，好吃看得见比超市便宜太多了！今天又回购来的，值得购买一直都是合味道的忠实粉丝，只要吃一次就会让你放弃其他方便面，欲罢不能的爱上它，吃个够。✨  ,-,-,2021-06-09
2,禾**9,口味: 【12桶爆款组合】6口味各2桶,好评,比超市便宜、拍12杯还赠送了12根22g重的迷你小肠😊、这个泡面很方便泡、一打开直接倒入开水就行、不用一包一包的拆料包了、俗称懒人泡面🤦‍♀️ ,-,-,2021-06-26
3,t**0,口味: 【12桶 4口味各3桶】虾仁+香辣海鲜+香辣牛肉+猪骨浓汤,好评,没有胀包，生产日期是上个月底，味道很好吃 ,-,-,2021-06-18
4,t**8,口味: 【12桶】虾仁6桶+海鲜6桶,好评,好好好618买的还送火腿肠女儿最喜欢吃这个方便面已多次回购，日期最新的 ,-,-,2021-06-21
5,g**g,口味: 【12桶爆款组合】6口味各2桶,好评,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的!说实在，这是我购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。 再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好!不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦! ,-,-,2021-06-16
6,橙**8,口味: 【6桶尝鲜】6口味各1桶,好评,日期新鲜，价格实惠，很好吃的方便面！ ,-,-,2021-06-25
7,坏**静,口味: 【6桶】海鲜风味84g*6,好评,一直都挺喜欢吃合味道的 ,-,-,2021-06-23
8,空**戏,口味: 【12桶 4口味各3桶】虾仁+香辣海鲜+香辣牛肉+猪骨浓汤,好评,比在超市买的划算，棒！ ,-,-,2021-06-25
9,爱**澜,口味: 【12桶】海鲜6桶+香辣海鲜6桶,好评,公司同事忠爱香辣海鲜味的，刚买来没多久就吃完了，希望一直坚持品质 ,-,-,2021-06-18
10,落**雪,口味: 【6桶尝鲜】6口味各1桶,好评,性价比非常高🍀，可以放心购买👍，做工非常精致🌈，值得购买😜！ ,-,-,2021-06-25
11,瀚**气,口味: 【6桶】香辣牛肉2桶+香辣海鲜2桶+猪骨浓汤2桶,好评,宝贝到货啦，今天拿来泡一桶吃，很好吃，还是原来的味道，物流也很快，客服也很好  ,-,-,2021-06-23
12,t**0,口味: 【6桶】香辣海鲜风味81g*6,好评,东西很好 虽然还没有吃因为是大品牌的东西不会错的，看包装看日期就知道了，卖家人不错，下次还会来。 ,-,-,2021-06-18
13,t**8,口味: 【6桶】虾仁风味82g*6,好评,吃到最后🤮🤮🤮🤮🤮，不要给我打电话，谢谢🙏 ,-,-,2021-06-21
14,t**1,口味: 【6桶】海鲜风味84g*6,好评,很满意的一次购物体验，好评！,-,-,2021-06-22
15,t**6,口味: 【12桶 4口味各3桶】虾仁+海鲜+五香牛肉+猪骨浓汤,好评,是回购的，品质一如既往， 胀包问题：没有 包装品质：很完整，还送了火腿肠 口感味道：很好 新鲜度：很新鲜 ,-,-,2021-06-20
16,l**k,口味: 【6桶】虾仁风味82g*6,好评,一直吃这个牌子，跟超市一个味道，但比超市便宜，不错👍 ,-,-,2021-06-22
17,陌**龙,口味: 【6桶】香辣牛肉2桶+香辣海鲜2桶+猪骨浓汤2桶,好评,方便实惠，口感特棒，一直信赖的一款泡面！ ,-,-,2021-06-24
18,t**1,口味: 【6桶尝鲜】6口味各1桶,好评,目前吃了两桶，可能是因为都是晚上吃的，目前的两桶来看吃完第二天必拉肚子，不过大概率可能是自己的原因。。。,-,-,2021-06-22
19,叮**2,口味: 【6桶】虾仁2桶+海鲜2桶+五香牛肉2桶,好评,包装完好无损，泡面盒子干干净净，没有出现评论里乱七八糟的情况，推荐,-,-,2021-06-23
20,0**4,口味: 【6桶尝鲜】6口味各1桶,好评,还可以拉 价钱也合适 物品本身也可以,-,-,2021-06-21
21,g**7,口味: 【12桶爆款组合】6口味各2桶,好评,味道可以的，跟线下购买的一样，大家可以放心购买 ,-,-,2021-06-26
