数据下载时间：2021-07-01 13:48:05 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/584316234207/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,李**卓,口味: 咖啡坚果*1+奇亚籽芝士草莓*1,好评,就这个燕麦片这么好吃📎，😽到底是不是用来减肥的🐝↩…😳🐱🚻而且燕麦的热量还高👽，👌🈵400克三天就吃光了好难啊🐛🌌但真的很好吃啊◀🚪里面有很多蔓越莓干，🚲咖啡苦中带着果干的香甜，🌻两个混一起真的特别棒，🚢咖啡坚果真的是值得回购的一款！�,-,-,2021-06-26
2,t**4,口味: 奇亚籽芝士草莓*1+芋泥奶茶*1,好评,真材实料是真的，😄好吃也是真好吃🐎泥奶茶的味道也很香甜，😔棒！巧克力配合麦片坚果香味，🏃甜度刚刚好！麦片太好吃了，📝被我当零食干掉了💟天天早餐泡牛奶吃，🌓也能当零食干吃，👀味道好极了！口感松脆，🎃甜度适中🎧以后就买王饱饱了。� ,-,-,2021-06-25
3,t**6,口味: 草莓优脆乳*1（送33g贝贝南瓜体验装）,好评,饱腹感很强泡🕵牛奶吃应该更好里面🕵的酸奶块特别好吃减🕵脂期的朋友可以榛子的尝🕵了下觉得直接当零食吃真不🕵错王饱饱吃🕵法很多因年纪大比🕵较在乎脾胃所以多般🕵选择放二勺到牛奶或豆奶🕵去煮软乎了再喝杂质营养健🕵康家里人都爱吃🕵杂质营养健康口感味道：棒棒哒🕵,-,-,2021-06-23
4,5**达,口味: 咖啡坚果*1+奇亚籽芝士草莓*1,好评,这次买了很多新口味，希望没有踩雷，减肥人都有的苦恼：又想减肥又想吃点有味道的😓 ,黑巧和咖啡一定要搭配牛奶来吃，太好吃了,-,2021-06-20
5,后**依,口味: 榛子黑巧*1+草莓优脆乳*1,好评,包装品质：包装不错，好看品质感良好。 外观品相：果仁和水果冻干很多，好吃。 口感味道：味道不错，直接吃脆脆的，泡牛奶吃也非常棒。我个人很喜欢草莓优脆乳里的草莓和脆椰球，还有榛子黑巧里面的榛子，实物图和网店里面拍的一模一样，可以放心购买。超市回购好多回，发现网店活动力度大，价格优惠。还送了两个小包。 ,-,-,2021-06-23
6,p**6,口味: 【热卖】奇亚籽芝士草莓*1+酸奶果然多*1,好评,"yy非常划算,酸酸🏀的,封口设计很方便。饱😵腹感很强,很满意的一💴次购物。用酸奶一泡就📼成了粉色,成分植物油😅,懒人必备。咖啡堅果🚇更不用説,在李佳琪直⛳播更划算所以又买了。🌻不太甜,泡牛奶里面,🗽喜欢咖啡味的燕麦,",-,-,2021-06-26
7,j**m,口味: 咖啡坚果*1+奇亚籽芝士草莓*1,好评,这次一口气买了9袋，可以屯一段时间了。无数次回购，已经成为日常口粮。周深的推荐真的很靠谱，好评！  口感味道：奇亚籽芝士草莓味和咖啡坚果麦片yyds！ 溶解难易：一般用牛奶泡着吃，即泡即吃口感比较脆，泡一会儿在吃会软乎乎很多，根据个人喜好来啦。 包装品质：收到的快递包装还是挺严实的，王饱饱本身的产品包装一直还不错，封口设计很方便。 ,-,-,2021-06-10
8,m**r,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,发货快，产品日期新鲜，最重要是请的代言人又帅又可爱！周深和王饱饱适配性这么高，都是一样的真材实料。 溶解难易：麦片泡牛奶非常好吃，奶块没有很快融掉，我喜欢吃奶块，太好吃了。 包装品质：包装完好，日期新鲜 外观品相：量大，划算 口感味道：周深代言的就是好吃😋 ,-,-,2021-06-17
9,t**0,口味: 【热卖】奇亚籽芝士草莓*1+酸奶果然多*1,好评,第二回購必須好評真的好好吃...很香脆，💃💃💃酸奶塊和堅果也蠻多的，日期都很新鮮👇👇👇泡酸奶和幹吃都一樣很贊，👍👍👍價格也很實惠還送了四小包不同口味的，肉鬆控很好吃下次可以買，咖啡堅果更不用説，貝貝南瓜比較適合老人家，蜜桃烏龍茶味很重，會繼續回購，會繼續回購，會繼續回購！,-,-,2021-06-19
10,k**j,口味: 榛子黑巧*1+酸奶果然多*1,好评,卖家发货速度很快，包装也很不错，快递物流速度也很快。因为周深买的，收到货之后已经打开吃了，榛子黑巧克力确实不错，但是对我来说还是有点干，有点硬，还没有试过用来泡奶或者酸奶，只干吃过。不知道是不是对燕麦的口味口感不是很习惯，里面的配料都觉得很好吃，酸奶块啊，榛子啊，还有那个椰片都挺好吃，就是燕麦觉得有点干有点硬。味道还可以。好评。 ,-,-,2021-06-26
11,羊**下,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,两袋子赠品都和正品一样大小，以后有机会再尝尝别的口味，616活动平均一袋二十块钱，非常划算，开心！ ,-,-,2021-06-21
12,k**西,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,活动买的 超级划算！ 七十多有三大包 而且每个味道都很有特色 很好吃  酸奶块也很扎实 我买了榛子、咖啡、送了草莓的（里面的水果和干果干也很新鲜）棒棒棒  草莓的酸酸甜甜 咖啡更适合不太爱吃甜的~ 料很多 很足 麦片脆脆的喜欢💕 甜度适中 空口吃也很棒,-,-,2021-06-20
13,x**n,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,味道好极了👏👏👏,-,-,2021-06-21
14,d**y,口味: 【热卖】奇亚籽芝士草莓*1+酸奶果然多*1,好评,王饱饱的麦片好好吃 干吃泡牛奶都行 嘴馋时直接当零食吃 酸奶果然多的味道好棒 酸奶块味道浓 还有奇亚籽草莓也好吃 618买还送了两包小包的很划算 ,-,-,2021-06-24
15,y**i,口味: 榛子黑巧*1+奇亚籽芝士草莓*1,好评,榛子黑巧超好吃，里面有好多大颗榛果仁，即能饱腹垫饥又又可以当小零食，成为了我在王饱饱口味中除奇亚籽芝士外最喜欢的口味了，哈哈哈哈！爱深深宝宝也爱王饱饱！ ,-,-,2021-06-26
16,g**x,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,"黑巧和咖啡甜口麦片干吃的神！！！！我也就跟着周深大概买了5,6包吧，分给室友室友也说好吃！！！朋友吃了我的安利之后也跟着一起买来吃！周深周边多搞点啊王阿饱！！！ ",-,-,2021-06-23
17,忘**9,口味: 【热卖】奇亚籽芝士草莓*1+酸奶果然多*1,好评,周深推荐的好东西，618活动很划算，买二送二，已经多次购买了，这次换了新口味，天天早餐泡牛奶吃，也能当零食干吃，味道好极了！,-,-,2021-06-23
18,克**n,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,我爱周深！刚好又喜欢黑巧和咖啡就秒选。很划算，在李佳琪直播更划算所以又买了。六包也就花了110多。量超多！吃了咖啡味，太香了。泡牛奶的话，那牛奶像喝拿铁一样。微微的苦，甜也不是很甜的，刚刚好。 ,-,-,2021-06-20
19,a**行,口味: 咖啡坚果*1+芋泥奶茶*1,好评,吃完一袋才来评价，量不是很大，奶冻干很好吃，很适合我这种，还没吃完一袋就想开下一袋的人哈哈，之前买的卡乐比三年都没吃完，相比于泡酸奶泡牛奶，我最喜欢直接吃，味道不错。 ,-,-,2021-06-26
20,吕**淼,口味: 咖啡坚果*1+芋泥奶茶*1,好评,不错(*๓´╰╯`๓)♡芋泥有股奶茶味，香香的  榛子是巧克力味，咖啡一股咖啡味，每个味道不同👍 ,-,-,2021-06-22
21,卜**啊,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,跟着周深买了一次，这次是回购，买回来，酸奶味和草莓味的女儿喜欢，榛子的老公喜欢。正好赶上618，再买一波。 ,-,-,2021-06-20
22,c**p,口味: 【热卖】奇亚籽芝士草莓*1+酸奶果然多*1,好评,草莓味和酸奶味的都好吃，我牙齿不太好，需要用开水泡一段时间再吃，口味仍然不错，搭配酸奶更是好吃。 ,-,-,2021-06-25
23,木**染,口味: 咖啡坚果*1+芋泥奶茶*1,好评,好吃好吃😋吃完了两包送的草莓乳酪和榛子巧克力的，特别喜欢榛子巧克力微苦的味道～芋泥奶茶的味道也很香甜，棒！,-,-,2021-06-23
24,天**0,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,周深推荐的东西不会错，一直在买买买，618价格更合适！好评给你！ ,-,-,2021-06-23
25,p**白,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,第一次购买，早上刚开封的咖啡坚果麦片，嚼得嗝嗝响，拿出一看是玻璃**，体验感不好。请提高产品质量问题！,-,-,2021-06-26
26,t**6,口味: 咖啡坚果*1+肉松控*1,好评,618正好之前买的吃完了，趁活动又屯了点，今天收到了😁还赠了几包，真不戳！！周深代言也棒,-,-,2021-06-23
27,日**8,口味: 咖啡坚果*1+芋泥奶茶*1,好评,芋泥奶茶永远的神！无限回购的一个口味！咖啡味送朋友了，她超爱！ ,-,-,2021-06-25
28,屁**主,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,口感味道：很好吃 包装品质：不错 外观品相：还行 溶解难易：还没试，只干吃了一点 配件问题：送的也不错 ,-,-,2021-06-21
29,哇**8,口味: 咖啡坚果*1+芋泥奶茶*1,好评,刚刚试了拌酸奶的吃法，感觉可能泡牛奶会好一点？？？酸奶加燕麦太顶饱了我现在好撑哈哈哈哈哈，早餐的话可以少放点酸奶😂 ,-,-,2021-06-23
30,t**7,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,被周深种草，火速拆了包黑巧的尝了尝，干吃挺好吃的，特别是奶块和椰子片，可以当追剧的零食了，列入回购名单！ ,-,-,2021-06-22
31,t**2,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,其实热量很高，饱腹感还好，基本每次我都50g加酸奶。我喜欢这种甜的，感觉很好吃。减肥，就估计黄了,-,-,2021-06-24
32,卜**啊,口味: 榛子黑巧*1+草莓优脆乳*1,好评,看到周深的推荐来买的，榛子黑巧味道好正，榛子很多，量足。草莓和酸奶的我一般，但是女儿超喜欢吃，泡牛奶里面，喝牛奶的速度都变快了。每种口味里面的料都比较多，比之前一直买的那个品牌要多一些，以后就买王饱饱了。 ,-,-,2021-06-20
33,m**敏,口味: 【热卖】奇亚籽芝士草莓*1+酸奶果然多*1,好评,不错，第一次买王饱饱，没有失望，很大一袋，还送了两小袋，试了草莓优脆乳，味道很好，赞👍🏻 ,-,-,2021-06-23
34,信**轩,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,发货真快，可惜周深拼图抢不到！！！我喜欢咸口，家人喜欢甜口。咖啡和黑巧泡酸奶和牛奶都极好。 ,-,-,2021-06-26
35,小**露,口味: 【周深推荐】榛子黑巧*1+咖啡坚果*1,好评,周星星代言的王饱饱超级好吃，我以前都不爱吃早餐，现在牛奶配王饱饱，每天都吃早餐！ ,-,-,2021-06-24
