数据下载时间：2021-07-01 13:50:26 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/638549822878/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,w**9,口味: 【80gx50片】8斤 送纸袋【超值】,好评,此用户没有填写评价。,-,-,2021-06-24
2,z**2,口味: 【60gx20片】2.4斤 小手抓饼无赠品,好评,"xr手抓饼质量挺好 的，💹设计很细心，🐚黏黏的♦。而且也不花时间，💄非 常的正宗，➖太好吃了吧。便老人孩子很欢喜,水没了,美味安全,保 持新鲜度。泡沫箱加冰袋包装严密。 口感味道：口感很好，🍷小朋友也很喜欢。 新鲜度：比较新鲜 x ",-,-,2021-06-25
3,t**6,口味: 【60gx20片】2.4斤 小手抓饼无赠品,好评,整体评价：不错，已经回购了好几次。 胀包问题：没有 包装品质：泡沫箱加冰袋包装严密。 口感味道：口感很好，小朋友也很喜欢。 新鲜度：比较新鲜 ,-,-,2021-06-23
4,沧**否,口味: 【60gx20片】2.4斤 小手抓饼无赠品 仅9.9,好评,皇家小虎的手抓饼就爱上了，面饼皮很还是无油就能煎的，起酥也快，裹上生菜，香肠 黄瓜，就可以吃了 ，咬下去酥脆，配上牛奶一顿早饭就解决了 ,-,-,2021-06-26
5,d**5,口味: 【60gx20片】2.4斤 小手抓饼无赠品 仅9.9,好评,"CC一家人都爱吃﻿☀,LYW期待下次购买🌁,越吃越好吃呢🌀,不管是摸酱卷肠还是直接与羊肉汤搭配吃起来都不错🌁,适合懒人.家人孩子很喜欢吃🌀,朋友推荐我来买的☔,早餐很省事啦！手抓饼日期新鲜🌂,这里品种齐全🌂  ",-,-,2021-06-26
6,t**4,口味: 【80gx20片】3.2斤 无赠品,好评,"不管是摸酱卷肠☁还是直接与羊肉汤搭配吃起来都不错,朋友推🌁荐我来买的,相当⚡满意！皇,而*🌁^_且也不花时间,放在⛄早餐机上,质量有⚡保障,越吃越好吃呢",我买的很实惠，大家也可以去↓↓领,-,2021-06-01
7,t**1,口味: 【60gx20片】2.4斤 小手抓饼无赠品,好评,此用户没有填写评价。,包装完好，做工优良，大小合适，口感非常好，孩子非常喜欢吃！,-,2021-06-21
8,独**7,口味: 【60gx20片】2.4斤 小手抓饼无赠品,好评,"AD手抓饼质量挺好🚔的,设计很细心,黏黏的♦。而且也不花时间,非😭常的正宗,太好吃了吧☕。便老人孩子很欢喜,❕水没了,美味安全,保📀持新鲜度。放的番茄酱🔵菜鸡蛋火腿肠,很喜欢👂吃。家里刚好有电饼铛✌,香味了, ",-,-,2021-06-17
9,梦**1,口味: 【60gx20片】2.4斤 小手抓饼无赠品 仅9.9,好评,手抓饼(๑•̀ㅂ•́)و✧价格超优惠，物流和产品都不错，性价比高，赞赞赞👏👏👏💌收到立马做了两个饼，口感很好，电饼铛不需要加油，猪油起酥，非常满意！ ,-,-,2021-06-24
10,我**好,口味: 【60gx20片】2.4斤 小手抓饼无赠品 仅9.9,好评,"饼,很香,咸淡适中，也不是特别油，日期很新鲜,做起来特别省事，再也不用出去排队买了。 ",-,-,2021-06-26
11,菜**箱,口味: 【80gx30片】4.8斤 送纸袋,好评,"值得推荐哦喜欢的宝宝们可以购买啦﻿,就很美味了﻿,手抓饼质量挺好的﻿,放在早餐机上﻿,不管是摸酱卷肠还是直接与羊肉汤搭配吃起来都不错﻿,在家做很干净﻿,家人孩子都很喜zu欢﻿,适合懒人.家人孩子很喜欢吃﻿ ",-,-,2021-06-16
12,两**宝,口味: 【60gx20片】2.4斤 小手抓饼无赠品 仅9.9,好评,手抓饼味道不错哈，咸淡适中，每天早餐煎几个，比较方便，家里人也都挺喜欢吃的，满意哈。,-,-,2021-06-26
13,t**3,口味: 【60gx20片】2.4斤 小饼无赠品 仅9.9,好评,"手抓饼收到了[礼物]这个饼质量很好[烟花]而且食用方便效果也好🌴不用放油直接用锅煎一下就可以🍳几分钟就好了！效果很好适合懒人⚡,朋友推荐我来买的🌇,放在早餐机上☔,价(*￣︶￣)格实惠味道棒棒的信得过的品牌⚡",非常值得信赖的品牌，质量有保障，价格还亲民，相当满意！皇家小虎家的食材太好了！,人生最幸福的事，莫过于有一群懂您的食客，您的鼓励就是皇家小虎继续努力的动力！,2021-06-10
14,t**1,口味: 【80gx50片】8斤 送纸袋【超值】仅28.68,好评,从来没有给过商家差评，这次必须要给，本来想拒收呢，为了给你差评，为了给别的买家一个警醒，忍痛收了 ，前一天东西就到了，第二天中午物流才通知你的东西到了是生鲜件，你自己来取吧，我问昨天就到了为什么不给送，物流说给你发有收货码，你没看到吗，****，你给谁发过的，***，你知道这***是生鲜的，为什么不送，收到东西全粘到一块了，怎么吃，问商家，商家说我们不知道你们物流什么情况，你自己问吧，**吗，生意这么不好做还有这样的商家，请大家搽亮眼睛看看，我原来买过好多家的手抓饼，没有一家这样的，自认倒霉吧，**圆通，**商家,-,-,2021-06-21
15,g**v,口味: 【60gx20片】2.4斤 小手抓饼无赠品 仅9.9,好评,手抓饼拿出来无需解冻，放在电饼铛，不用油煎，猪油起酥外酥里嫩，好满意！  ,-,-,2021-06-26
16,w**3,口味: 【80gx50片】8斤 送纸袋【超值】仅28.68,好评,收到货几天了才有空早餐吃这个，口味不是太好，吃了4片发现味道有点点酸就直接扔垃圾桶，要求退款被拒绝，说要提供外包装内包装单号和食物包装单号，那东西我都不知道被哪个收废品的捡了要我怎么拿，说只能补助6元，我都没给他拿，太坑了,味道不好，弄好后皮不酥脆，还有点酸，售后不行，要求退货退款被拒，我就不想多说了这家店这样弄会没顾客的,-,2021-06-25
