数据下载时间：2021-07-01 13:55:42 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/622829471403/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,s**7,口味: 0脂黑胡椒汁 280g+0脂麻辣油醋汁 270g.,好评,是老回头客，很喜欢这款产品 ⚡味道很好 ⚡特别香。西兰花胡萝卜芦笋虾仁水煮后蘸着吃美味又减肥⛄加一点芝麻酱 🌄口感味道：口味多种选择 宜酸宜甜 口感不错 真的是零脂肪，非常适合健身的朋友们吃，味道也很正宗，物超所值~,绝了，很不错,-,2021-06-21
2,虞**t,口味: 0脂日式油醋汁 270g+焙煎芝麻沙拉汁 260g—私教力荐Hot!!!.,好评,首先，他们是包装的很严实到我手里的，瓶子密封的很好，没有破没有漏。 我当天就拌了一个黄瓜，用的芝麻酱，太好吃了吧，是我想象中的味道，甜，咸，香，而且0脂肪，非常适合减肥的妹子了，不会觉得沙拉寡淡无味。还有油醋汁，我之前经常用，所以也一起买了，这两个就是完美的搭配。  ,是矮圆的瓶身，冰箱好放，也容易拿,-,2021-06-26
3,零**k,口味: 0脂0蔗糖日式油醋汁 270g+0脂0蔗糖黑胡椒汁 280g—Hot!!!.,好评,味道很好耶，切一些蔬菜凉拌，或者水煮菜加一些黑胡椒酱都超级好吃，不会觉得水煮菜难以下咽了呜呜呜，姐妹们冲鸭，买少了买少了陈便宜多买点，不经吃安全，吃吃就没了。搭配上荞麦面，不会饿肚子了~good ,-,-,2021-06-22
4,t**4,口味: 0脂黑胡椒汁 280g*2瓶.,好评,确实特别好吃，而且方便，📅白水煮好各种蔬菜倒入酱汁，🎋还有沾水煮蛋也特别好吃。买了很多种牌子的沙拉汁什么的，都觉得一般，❄独角兽是我买过的沙拉汁最好吃的一款了，以后决定就买它了值得购买！,-,-,2021-06-26
5,t**4,口味: 0脂日式油醋汁 270g+0脂千岛沙拉汁 270g—私教力荐Hot!!!.,好评,",里面的口味因为都想吃吃,介绍身边很多人买，😉😊😋说实话味道不错，我现在的减肥餐全靠它了，💪👈我是忠实粉丝,还买了全麦面包,荞麦面,魔芋系列,👏👐✍已经成功减下8斤.继续加油.😛😜",-,-,2021-06-26
6,t**4,口味: 【超值3瓶装，单瓶低至9.9元】0脂0蔗糖日式油醋汁 270g+0脂0蔗糖千岛沙拉汁 270g+0脂0蔗糖黑胡椒汁 280g,好评,很开胃。适合凉拌菜之类的，味道不错，水煮菜也有了有了味道。适合减肥期间吃。终于可以自己做了，想低热量还好吃选他就没错了，水煮菜都能让你觉得非常好吃，熟菜肉食都可以，营养搭配。,-,-,2021-06-26
7,l**2,口味: 0脂0蔗糖日式油醋汁 270g*2瓶—私教力荐Hot!!!.,好评,觉得蛮喜欢的哦，油醋汁还不错，0脂肪的。还是无糖。用法简单，也适合减肥的人群，拌东西也不需要放盐，很棒。味道都挺香的，做沙拉吃味道很好，酸酸甜甜的很喜欢 ，很开胃。推荐！ ,-,-,2021-06-24
8,j**8,口味: 0脂日式油醋汁 270g+0脂黑胡椒汁 280g—Hot!!!.,好评,油醋汁很好吃的，看了宣传是零脂肪的正好适合我，不必担心会长肉，家里人也尝过了，都说味道很棒，这次吃完肯定是还会回购的很值得， 拌了一盘菜，自己吃光了都，这样能瘦下去不哈哈哈哈，口感味道不像是别的沙拉酱什么的，没有油腻的感觉，吃着很清爽，日期很近。多吃蔬菜，才能保证营养均衡。买了很多种牌子的沙拉汁什么的，都觉得一般，碧翠园家的是我买过沙拉汁里面，最好吃的一款了，以后决定就买它了 ,-,-,2021-06-20
9,小**1,口味: 0脂0蔗糖千岛沙拉汁 270g+0蔗糖焙煎芝麻沙拉汁 260g.,好评,收到吃了一段时间，现在才来评价，油醋汁非常的不错，是我吃过味道最好的一款，主要是无糖。很健康。都已经吃完了，准备重新回购下单，0脂肪又美味，水煮菜都吃的香 ,-,-,2021-06-23
10,t**1,口味: 【超值3瓶装，单瓶低至9.9元】0脂0蔗糖日式油醋汁 270g+0脂0蔗糖千岛沙拉汁 270g+0脂0蔗糖黑胡椒汁 280g,好评,比我预期的要好吃，用来拌减脂餐吃很不错，油醋汁和沙拉汁都是百搭食谱啊，随便搭配餐食都不会踩雷，这次买了3口味沙拉汁下次试试别的味道，放家里和家人一起吃，0脂的都不担心会长肉. ,-,-,2021-06-20
11,t**9,口味: 0脂日式油醋汁 270g+0脂千岛沙拉汁 270g—私教力荐Hot!!!.,好评,此用户没有填写评价。,减脂期间用它来拌菜，热量非常的低，很香，比意料中的好吃的，又给了父母买了一瓶，让他也尝一尝，妈妈品尝了也说味道非常的好，而且非常的方便。不用再拌菜的时候再添加其他的东西。实用方便又健康。用完了还会再来购买的。,-,2021-05-10
12,买**块,口味: 【超值3瓶装，单瓶低至9.9元】0脂日式油醋汁 270g+0脂千岛沙拉汁 270g+0脂黑胡椒汁 280g,好评,减脂期间用它来拌菜，热量非常的低，很香，比意料中的好吃的，又给了父母买了一瓶，让他也尝一尝，妈妈品尝了也说味道非常的好，而且非常的方便。不用再拌菜的时候再添加其他的东西。实用方便又健康。用完了还会再来购买的。 ,-,-,2021-06-22
13,y**0,口味: 0脂0蔗糖日式油醋汁 270g+0蔗糖焙煎芝麻沙拉汁 260g—私教力荐Hot!!!.,好评,这款油醋汁口感很棒，热量很低，适合减脂，味道纯正，做素菜沙拉必用，我们一家都爱吃的调料，减脂餐配这个应该味道有很大的提升，可以坚持下去了，有了这款低脂醋就全都能搞定了味道极其鲜美，真是两全其美，真心喜欢这款低脂醋，很合我口味。,-,-,2021-06-19
14,t**0,口味: 0脂0蔗糖千岛沙拉汁 270g+0脂0蔗糖黑胡椒汁 280g.,好评,"明星推荐麦片🔥果然很好吃呀,🍎无添加剂,安全,家里有小孩子的也可以吃,我家宝贝好喜欢,😍早上自己去拿麦片拌酸奶,自己就开心的吃起来👍里面的坚果和水果很多,✊多多吃吃坚果水果对身体好,💪买一送一推荐碧翠园.👏 ",-,-,2021-06-26
15,t**1,口味: 0脂日式油醋汁 270g+0脂黑胡椒汁 280g—Hot!!!.,好评,"这个是酱汁是我吃过最好吃的，减肥健身用很好，是0脂无糖的。希望可以瘦吧，吃草太难了，但是这个酱汁拌黄瓜做沙拉什么的都很好吃，能量和碳水也很低，蛮开胃的，还会回购的。这个零脂肪的，多吃不怕肥,最适合生菜青瓜番茄，放醋汁一捞即吃，方便快捷，努力能减下去，加油  ",-,-,2021-06-20
16,繁**键,口味: 0脂日式油醋汁 270g+0脂番茄沙司 280g—Hot!!!.,好评,此用户没有填写评价。,"味道都很好吃,👑👒可以拌沙拉,拌面,💁🙋牛排呀,多种多样,调料汁的日期都很新鲜,🌼🌷🌱🌲还买了不少碧翠园其它产品,🍒🍓都很满意,我想后期的减肥计划就要靠碧翠园家的来实现了,🍛🍜🍝平时上班比较忙的话,🍖🍗最多就做好一个沙拉,🍕🍳🍲煎个牛排,煮个荞麦面,🎪🎭🎨或者带包魔芋面,带瓶油醋汁在公司直接吃,🍵方便许多,也好比过点外卖吧,干净健康好的很多",-,2021-06-17
17,k**b,口味: 【超值3瓶装，单瓶低至9.9元】0脂0蔗糖日式油醋汁 270g+0脂0蔗糖千岛沙拉汁 270g+0脂0蔗糖黑胡椒汁 280g,好评,碧翠园家油醋汁0脂酱料，口味很好，拌了蔬菜沙拉，很是喜欢，分量很足的。准备减肥，油醋汁的热量真的低，拌沙拉也比较开胃，希望可以一直坚持瘦下来减肥健身人士的优良选择，希望大家都能够试一试。效果应该不错。 ,-,-,2021-06-18
18,朱**猫,口味: 0脂日式油醋汁 270g+0脂青梅沙拉汁 260g—Hot!!!.,好评,"油醋汁已经是回购了第三次了,🙏在碧翠园家,买过不少商品,我应该是真真实实的忠实粉,😍😘服务是真的很好😛😜😝,商品完全不用说,尤其油醋汁,👌👍拯救了我的味蕾,减脂餐也再也不是枯燥难吃,🍛🍜🍝🍠🍢🍣🍤调料汁真的都很好吃,价格实惠,😺😸比在超市买的都很好,👏现在我的体重已经达到了我的满意98斤,💋💋💋",-,-,2021-06-17
19,0**露,口味: 0脂0蔗糖日式油醋汁 270g+0脂0蔗糖千岛沙拉汁 270g—私教力荐Hot!!!.,好评,"这个酱汁我已经第二次回购了😺😸，确实特别好吃，👌👍而且方便，白水煮好倒入酱汁，😍😘😗就是料理，👍🔥所以我最近减脂，就疯狂迷上了这个料汁，😉😊😋确实贼棒，快空瓶了,👀👂0脂的平时伴个沙拉什么的，也没有热量，健身首选👄👍🔥  ",-,-,2021-06-19
20,雨**4,口味: 0脂日式油醋汁 270g*2瓶—私教力荐Hot!!!.,好评,减肥同胞的佳音，根本不用担心水煮菜难吃，味道还挺不错，一瓶一个人可以吃好久，可以一直吃，瘦了十几斤了，下次还来回购～为了减肥入手，坚持吧，荞麦面配上油醋汁也很好吃，姐妹们快冲,-,-,2021-06-20
21,t**7,口味: 0脂日式油醋汁 270g+焙煎芝麻沙拉汁 260g—私教力荐Hot!!!.,好评,"因为想要减肥，🍝🍠🍢所以得控制饮食，🌿🍀🍁素菜和肉都需要调料，😺😸但是好多调料减脂期间不能吃，👚👛所以就在这买了两瓶酱汁，👌👍味道不错呦，😍😘开了尝了，👍🔥味道很好，这样食物就不会很无味了！也很实惠,🌹🍀🍎开心！好评！😃😄 ",-,-,2021-06-10
22,晴**3,口味: 【超值3瓶装，单瓶低至9.9元】0脂0蔗糖日式油醋汁 270g+0脂0蔗糖千岛沙拉汁 270g+0脂0蔗糖黑胡椒汁 280g,好评,减肥期间全靠这个调味，看中了他的0脂跟无糖 煮一点意面伴着吃，低脂又健康，家人们都说味道好极了！真的特别适合减脂的小姐姐们，我是用来拌蔬菜的，吃草也变得没那么悲惨了， ,-,-,2021-06-20
23,m**t,口味: 0脂千岛沙拉汁 270g+0脂青梅沙拉汁 260g.,好评,此用户没有填写评价。,这两瓶沙拉汁都是零脂的哦，减肥吃沙拉完全没有罪恶感。千岛酱里有少量菊糖，不参与代谢的糖类哦。青梅汁有一点点白砂糖，不过不用担心这一点点糖了，吃起来几乎是没有甜味的，还是咸的。刷脂必备，天天吃鸡胸沙拉很无聊的话就试试换各种口味的酱汁吧,-,2021-06-01
24,呆**猪,口味: 【超值3瓶装，单瓶低至9.9元】0脂日式油醋汁 270g+0脂千岛沙拉汁 270g+0脂黑胡椒汁 280g,好评,太棒了，这个酱汁！！！！之前在一家日料店吃到的觉得这个沙拉酱非常棒口味，然后就问店家要了牌子！真的非常好吃。很香。我之前买过别家的 都没这家的好吃 碧翠园yyds！！！,-,-,2021-06-24
25,小**2,口味: 0脂0蔗糖日式油醋汁 270g+0脂0蔗糖千岛沙拉汁 270g—私教力荐Hot!!!.,好评,商品成分：对成分不了解，感觉有点酸，我是拌菜吃的，放了生菜，大头菜，还有小西红柿，因为有小西红柿，一口甜味非常舒服，不知道吃水果怎么样 新鲜度：第一次买这种汁水的还不错 ,-,-,2021-06-24
26,x**i,口味: 0脂千岛沙拉汁 270g+焙煎芝麻沙拉汁 260g.,好评,这个是0脂的，味道挺好的，个人很喜欢这个味道。而且没有添加糖，看了配料表也没有太多添加剂，很健康。不用担心长肉肉啦，不愧是减肥佳品。减肥必备哦 ,-,-,2021-06-17
27,最**的,口味: 0脂日式油醋汁 270g+0脂千岛沙拉汁 270g—私教力荐Hot!!!.,好评,特别香！ 总体比较满意哦，爱上它了，吃饭必备 低脂的，以前下面放一堆调料，现在只需要一点这个就OK了， 能量和碳水也很低 蛮开胃的 这个油 醋汁真好吃， 以前在外面吃过油醋汁，所以在网上找了好久， 比单独吃没味道的 蔬菜和肉好 ,-,-,2021-06-10
28,h**0,口味: 0脂0蔗糖日式油醋汁 270g+0蔗糖焙煎芝麻沙拉汁 260g—私教力荐Hot!!!.,好评,这个沙拉汁还不错，用法简单，特别适合减肥的人群，拌东西也不需要放盐，很棒。烘焙芝麻沙拉汁味道挺香的，做沙拉吃味道很好，酸酸甜甜的很喜欢 ，比较开胃。而且价格也是比较实惠。 整体比较满意,-,-,2021-06-22
29,程**倩,口味: 0脂0蔗糖日式油醋汁 270g+0脂0蔗糖黑胡椒汁 280g—Hot!!!.,好评,这个酱汁我已经第二次回购了，📏确实特别好吃，而且方便，📅白水煮好各种蔬菜倒入酱汁，🎋还有沾水煮蛋也特别好吃。买了很多种牌子的沙拉汁什么的，都觉得一般，❄碧翠园是我买过的沙拉汁最好吃的一款了，以后决定就买它了😋 ,-,-,2021-06-21
30,麦**霸,口味: 0脂0蔗糖日式油醋汁 270g+0脂0蔗糖千岛沙拉汁 270g—私教力荐Hot!!!.,好评,最近想减肥从饮食开始，买了很多减肥必备的东西，希望自己能坚持下去，这个酱汁拯救了我的味蕾，让我的减肥餐不再寡淡，而且无糖0脂。不用担心长胖，味道超级棒，水果蔬菜，简直百搭，爱了爱了 ,-,-,2021-06-23
31,茶**忆,口味: 0脂千岛沙拉汁 270g*2瓶.,好评,"油醋汁已经是回购了第三次了,🙏在碧翠园家,买过不少商品,我应该是真真实实的忠实粉,😍😘服务是真的很好😛😜😝,商品完全不用说,尤其油醋汁,👌👍拯救了我的味蕾,减脂餐也再也不是枯燥难吃,🍛🍜🍝🍠🍢🍣🍤调料汁真的都很好吃,价格实惠,😺😸比在超市买的都很好,👏现在我的体重已经达到了我的满意98斤",-,-,2021-06-14
