数据下载时间：2021-07-01 13:55:55 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/591831729856/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,罪**实,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,买的随机口味，拆盲盒的感觉，喜欢的香辣蟹味道给的少了些，看来以后就得买专属口味了，总体感觉不错，要是量大点就好了,-,-,2021-06-22
2,t**9,口味: 【整箱48包】小当家香葱味/,好评,包装品质：很好 新鲜度：好吃  好吃划算，快来买 口感味道：小时候的味道 ,-,-,2021-06-23
3,0**0,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,便宜好吃，下次接着买， 商品分量：多 保质期：新鲜 口感味道：棒 ,-,-,2021-06-26
4,恩**7,口味: 【散装20包】小当家香葱味,好评,好久没吃了，口味好像没有小时候老包装的浓郁，但也还是不错的。会回购。 ,-,-,2021-06-26
5,肥**妞,口味: 【整箱48包】小当家香葱味/,好评,包装品质：包装没问题 口感味道：还是原来还是原来那个味儿，挺好 ,-,-,2021-06-24
6,丶**西,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,东西很喜欢，质量也很好的，这个价格能买到是真的很划算 ,-,-,2021-06-22
7,小**嗳,口味: 【散装20包】小当家五香牛肉味,好评,看着图片买的还以为跟以前吃的一样 拿到后很让人失望 快递包装差的很 东西包装也不一样 而且面饼特别小 真的是垃圾 吐了,-,-,2021-06-23
8,过**7,口味: 【散装20包】小当家混合口味//,好评,商品分量：分量少得可怜，只有小半包，味道不好吃，太假了真的，第一次买到那么难吃的干脆面 ,-,-,2021-06-20
9,别**5,口味: 【散装20包】小当家混合口味//,好评,很少，理性购买 ,-,-,2021-06-23
10,弄**爱,口味: 【限量200份整箱】小当家24包+魔法士24包混合,好评,包装品质：特别差，箱子挤压变形了，里面全碎了太心寒了 ,包装质量特别差，千万别买,-,2021-06-21
11,d**2,口味: 【散装20包】小当家蜜汁猪排味,好评,"终于收到我需要的宝贝了,东西很好，价美物廉，谢谢掌柜的!说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品,我都非常满意的。掌柜态度很专业热情，有问必答,回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是,宝贝比我想象中的还要好!不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦! ",-,-,2021-06-26
12,g**s,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的!说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。 ,-,-,2021-06-16
13,斯**罗,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,个人觉得蜜汁猪排味稍微强点，葱油有丢丢咸 ,-,-,2021-06-26
14,l**n,口味: 【限量200份整箱】小当家24包+魔法士24包混合,好评,送货快，价格便宜，性价比很高，下次有机会还会买。 ,-,-,2021-06-25
15,丑**e,口味: 【两箱已减5元】小当家混合48包+魔法士混合48包,好评,此用户没有填写评价。,收到的东西和店铺上的图片、直播宣传的产品不一样，味道和超市同一正品商品味道不一样，面饼很小和店铺图片上差别很大,-,2021-06-18
16,j**生,口味: 【超值整箱48包】魔法士干脆面混合口味★★★★#,好评,包装就一点，魔法士没小当家好吃,-,-,2021-06-25
17,d**妮,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,买给家里孩子们吃的，备点零食也换换口味；买了一箱，老品牌的味道不错，日期也好。,-,-,2021-06-22
18,t**2,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,全部都只有半包的，又碎，这也太欺负人了吧,-,-,2021-06-04
19,壹**伍,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,便宜没好货，一包里面只有半半，,-,-,2021-06-21
20,l**a,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,此用户没有填写评价。,好吃是贼好吃。这量 真是足啊。吃了上一顿还能再吃下一顿,-,2021-06-20
21,t**3,口味: 【热卖40包】小当家20包混合+琥珀小米锅巴20包,好评,挺便宜的小零食，好吃！希望质量过关，蛮害怕网购入口的东西！,-,-,2021-06-25
22,t**2,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,不错，混装小当家，一箱5种口味各有十几袋。箱子底还送了火腿肠和一包糖果，还有巧克力味的。,-,-,2021-06-04
23,微**5,口味: 【散装20包】小当家五香牛肉味,好评,口感味道：和以前一样好吃😋 价格又实惠 ,-,-,2021-06-22
24,b**5,口味: 【整箱48包】小当家香葱味/,好评,东西非常好，店家还给送的火腿和糖，赞一个 ,-,-,2021-06-22
25,t**1,口味: 【限量200份整箱】小当家24包+魔法士24包混合,好评,包装完好无损，酥脆，孩子很喜欢吃，一包的量少，一次吃好几包。 ,-,-,2021-06-21
26,我**7,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,太差劲了，买了一箱混合口味的，全都是香葱口味的，根本没有人买的，超级难吃，早知道不发混合口味了，都是卖出不去的难吃口味,-,-,2021-06-26
27,y**0,口味: 【超值整箱48包】魔法士干脆面混合口味★★★★#,好评,没有一包 是完整的，基本上都碎了，每包分量产差不齐 ,-,-,2021-06-26
28,巷**女,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,包装差,-,-,2021-06-26
29,t**6,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,难吃的要*，没小时候的味道，一包只有图片的三分之一，两三口，香葱的占一半，哪不好卖发哪，每袋都像漏气一样，太假了，又坑，太难吃，不是正品的小当家 ,-,-,2021-06-24
30,1**n,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,味道不错，价格实惠 商品分量：挺足 ,-,-,2021-06-22
31,t**0,口味: 【超值整箱48包】魔法士干脆面混合口味★★★★#,好评,包装品质：包装完整 口感味道：跟小时候一样 保质期：还行 新鲜度：新鲜 商品分量：比小时候少了一半 ,-,-,2021-06-21
32,下**1,口味: 【热卖30包组合】小当家20包+小浣熊10包混合味★★★,好评,个人比较喜欢小当家蓝色包装，小烷熊比较适合重口味的小可爱,-,-,2021-06-24
33,t**4,口味: 【散装20包】小当家混合口味//,好评,还是牌子的好吃，吃起来挺香的，不像别的杂牌子，吃起来没啥味道,-,-,2021-06-26
34,赖**3,口味: 【限量200份整箱】小当家24包+魔法士24包混合,好评,品质很不错🍆，性价比比较高的的商品🍀，喜欢的亲可以直接下手不要犹豫哦📍 ,-,-,2021-06-25
35,t**2,口味: 【整箱48包】小当家蜜汁猪排味/,好评,包装品质：包装普通 商品分量：很足 保质期：新鲜 新鲜度：非常新鲜 口感味道：很好正品 ,-,-,2021-06-04
36,真**9,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,有些底层的量不够足没有上层的量多,-,-,2021-06-26
37,为**1,口味: 【整箱48包】小当家蜜汁猪排味/,好评,质量绝对放心购买值的信赖与好评…… ,-,-,2021-06-18
38,z**3,口味: 【散装20包】小当家香辣蟹味,好评,很不错啊，小时候五毛钱一包现在都不用五毛钱，好美丽的价格，味道也好吃😋，就是没有卡片啦😁😁 ,-,-,2021-06-23
39,t**7,口味: 小浣熊干脆面40g*10包（混合味）,好评,好好吃，味道不错，有一种回到小时候的感觉，吃完下次再买,-,-,2021-06-23
40,向**金,口味: 【散装20包】小当家香辣蟹味,好评,很好，买家发货特别快，基本没有碎太多 ,-,-,2021-06-21
41,邵**1,口味: 【限量200份整箱】小当家24包+魔法士24包混合,好评,面饼太小了，才巴掌大，一口没了。没有小时候的味道了。 ,-,-,2021-06-26
42,l**2,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,给老公买的充饥食品，没事嚼两口，挺好的 ,-,-,2021-06-21
43,w**i,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,包装破损，里面干脆面好多都碎了，差评，虽然东西不贵，但是现象可恶，加以声讨，望改正,-,-,2021-06-24
44,阔**叔,口味: 【限量200份整箱】小当家24包+魔法士24包混合,好评,不错，直接开口连箱子一起摆着拿，而且分量刚好当个小零嘴，,-,-,2021-06-24
45,我**林,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,童年！ ,-,-,2021-06-26
46,s**3,口味: 【超值整箱48包】魔法士干脆面混合口味★★★★#,好评,味道不错，有时候当下午零食，回味童年。,-,-,2021-06-21
47,飞**林,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,小时候的味道！很不错🎈商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！！！！ ,-,-,2021-06-23
48,戴**0,口味: 【散装20包】小当家香葱味,好评,口感味道：挺好吃 ,-,-,2021-06-19
49,蒋**东,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,快递收到货已经全都碎了,-,-,2021-06-23
50,h**e,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,现在这一包量真是少得可怜呐。味道还是蛮好的 ,-,-,2021-06-26
51,n**z,口味: 【散装20包】小当家混合口味//,好评,还行，建议买蜜汁猪排味，不知是批次问题还是怎么，没有以前的好吃，味儿淡，普遍偏咸,-,-,2021-06-26
52,等**淘,口味: 【整箱48包】小当家红烧牛肉味/,好评,还不错，实惠，娃们很喜欢吃！！,-,-,2021-06-24
53,我**s,口味: 【限量整箱48包】小当家干脆面混合口味##,好评,此用户没有填写评价。,吃完了，味道还可以，好店，还是不要让他沉沦下去，我准备再入手，晚上打游戏，打发的小零食，真的爽,-,2021-04-24
54,a**屋,口味: 【限量200份整箱】小当家24包+魔法士24包混合,好评,买来给公司的小朋友吃的，他们好像还挺喜欢吃 ,-,-,2021-06-21
55,芊**6,口味: 【限量200份整箱】小当家24包+魔法士24包混合,好评,我买了混合口味  且不说快递回来怎么样  混合口味就俩味儿  问客服  客服说以具体收到货为主  所以混合口味儿就是两种味儿  他们直接写成两个味儿就行了  何必写混合  买混合就是因为不想一直吃一个味儿,-,-,2021-06-26
56,n**e,口味: 【散装20包】小当家混合口味//,好评,价格实惠，味道好，童年的味道。 ,-,-,2021-06-23
57,w**8,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,混合口味没有香葱，两排香辣蟹的 ,-,-,2021-06-26
58,女**就,口味: 【散装20包】小当家五香牛肉味,好评,商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~🌸🌸🌸 ,-,-,2021-06-24
59,古**5,口味: 【热卖30包组合】小当家20包+小浣熊10包混合味★★★,好评,特别差，赶紧就是在买真空包装，里面面饼很小，就一口两口，还特别碎，以后再也不能从你家买东西了，真坑,-,-,2021-06-18
60,呼**吉,口味: 【散装20包】小当家混合口味//,好评,到货容易碎，不过不影响食用，味道不错，袋大面小 ,-,-,2021-06-18
61,凉**安,口味: 【整箱48包】小当家香辣蟹味/,好评,看人家买的味道很好就在这里买，然而味道很淡而且明显比正常的小一点。 ,-,-,2021-06-17
62,t**1,口味: 【整箱48包】小当家香葱味/,好评,好吃 还是原来的味道 ,-,-,2021-06-21
63,7**七,口味: 【散装20包】小当家五香牛肉味,好评,非常好，不错，还送我一袋糖果，都是我爱吃的，给力,-,-,2021-06-21
64,猫**7,口味: 【整箱30包】小浣熊干脆面（混合味）40g*30包#30,好评,商家需要注意包装，面都碎了 ,-,-,2021-06-24
65,l**2,口味: 【限量整箱48包】小当家干脆面混合口味/,好评,很多，划算,-,-,2021-06-21
66,s**鑫,口味: 【整箱48包】小当家香辣蟹味/,好评,虽然跟小时候小当家的包装不一样，但是味道是一样的，以前买5毛钱一包，这里买划下来也4.9左右 ,-,-,2021-06-23
